Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeugrhabdotus sisyphus	Watznaueria barnesae	Micula staurophora	Kamptnerius magnificus	Helicolithus anceps	Gartnerago obliquum	Eiffellithus turriseiffelii	Cretarhabdus crenulatus	Cretarhabdus conicus	Biscutum ellipticum	Arkhangelskiella cymbiformis	Reinhardtites anthophorus	Quadrum gartneri	Prediscosphaera cretacea	Marthasterites furcatus	Lithastrinus floralis	Broinsonia enormis	Watznaueria biporta	Microrhabdulus decoratus	Lithraphidites carniolensis	Eiffellithus eximius	Broinsonia signata	Watznaueria ovata	Tranolithus orionatus	Tranolithus gabalus	Seribiscutum primitivum	Manivitella pemmatoidea	Lithastrinus grillii	Helicolithus trabeculatus	Ahmuellerella octoradiata	Reinhardtites sp. aff. R.anthophorus/levis	Lucianorhabdus spp.	Lucianorhabdus cayeuxii	Cylindralithus biarcus	Cribrosphaerella ehrenbergii	Glaukolithus compactus	Cretarhabdus angustiforatus	Orastrum campanensis	Calculites obscurus	Biscutum coronum	Cylindralithus sculptus	Broinsonia parca	Biscutum magnum	Monomarginatus primus	Scampanella spp.	Prediscosphaera stoveri	Zygodiscus spiralis	Pervilithus varius	Micula sp.	Monomarginatus pectinatus/quaternarius	Microrhabdulus stradneri	Biscutum dissimilis	Lucianorhabdus scotus	Nephrolithus frequens	Lucianorhabdus arcuatus	Thoracosphaera spp.	Nephrolithus corystus	Teichorhabdus ethmos	Staurolithites mielnicensis	Micula murus	Thoracosphaera operculata	Prinsius dimorphosus	Placozygus sigmoides	Markalius inversus	Hornibrookina teuriensis	Cruciplacolithus tenuis	Cruciplacolithus primus	Coccolithus pelagicus	Chiasmolithus danicus	Biscutum harrisonii	Coccolithus subpertusus	Prinsius martinii	Markalius apertus	Neochiastozygus distentus	Prinsius bisulcus	Chiasmolithus bidens/solitus	Toweius eminens/pertusus	Neochiastozygus spp.	Neocrepidolithus rimosus	Cruciplacolithus latipons	Neochiastozygus concinnus	Toweius tovae	Fasciculithus tympaniformis group	Neochiastozygus digitosus	Sphenolithus sp.	Heliolithus kleinpellii	Chiasmolithus californicus/consuetus	Heliolithus riedelii	Neochiastozygus junctus	Zygrhablithus bijugatus	Scampanella sp.	Zygodiscus adamas	Discoaster multiradiatus	Comment

  SR	Paleocene        	                 	NP8               	              	114	 700	B	 28	R	 2	  16.00	    258.6600	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	R                       	                       	                       	                     	                     	                   	                       	                 	R                	R                        	F                	F                           	A                       	                    	                        	R                        	R                        	F            	C                                	                         	                	                       	                                    	                    	R                      	R                      	R              	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	NP8               	              	114	 700	B	 28	R	CC	  14.00	    263.3300	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	R                   	R                 	                        	                       	                       	                     	                     	                   	                       	                 	R                	                         	F                	F                           	A                       	                    	                        	                         	R                        	F            	F                                	                         	                	R                      	                                    	R                   	R                      	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	NP8               	              	114	 700	B	 29	R	 2	 122.00	    269.2200	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	R                   	                  	                        	                       	                       	                     	                     	                   	R                      	                 	R                	                         	C                	F                           	A                       	                    	R                       	                         	R                        	F            	R                                	                         	                	                       	                                    	R                   	                       	                       	               	                 	                        	Overgrown coccolith;Reworked Cretaceous  from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	H.kleinpellii (Crux)	              	114	 700	B	 29	R	CC	  18.00	    269.5200	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	R                   	R                 	                        	                       	                       	                     	                     	                   	R                      	                 	                 	                         	F                	R                           	A                       	                    	R                       	                         	R                        	F            	R                                	                         	R               	R                      	R                                   	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	F. tympaniformis gr.	              	114	 700	B	 30	R	 2	 120.00	    278.7000	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	F                   	R                 	                        	                       	                       	                     	                     	                   	R                      	                 	R                	                         	F                	R                           	A                       	                    	R                       	                         	                         	F            	R                                	R                        	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	F. tympaniformis gr.	              	114	 700	B	 30	R	CC	   8.00	    284.1200	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	R                        	                    	F                   	R                 	                        	R                      	                       	R                    	                     	                   	R                      	                 	                 	                         	C                	F                           	A                       	                    	                        	R                        	                         	F            	R                                	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	F. tympaniformis gr.	              	114	 700	B	 31	R	 2	  96.00	    287.9600	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	                    	R                   	R                 	R                       	R                      	                       	                     	                     	R                  	R                      	                 	                 	                         	A                	F                           	A                       	                    	R                       	                         	                         	F            	R                                	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	F. tympaniformis gr.	              	114	 700	B	 31	R	 5	 115.00	    292.6500	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	R                        	                    	R                   	                  	                        	R                      	                       	R                    	                     	R                  	                       	                 	                 	                         	A                	F                           	A                       	                    	R                       	R                        	                         	R            	F                                	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	P. bisulcus       	              	114	 700	B	 31	R	CC	  12.00	    295.2500	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	R                  	                     	                    	                           	            	R                        	                    	R                   	R                 	R                       	R                      	                       	R                    	R                    	                   	R                      	                 	R                	                         	A                	F                           	C                       	                    	                        	                         	R                        	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	P. martinii (Crux)	              	114	 700	B	 32	R	 2	  83.00	    297.3300	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	R                  	                     	                    	                           	            	R                        	                    	R                   	R                 	R                       	R                      	                       	R                    	F                    	R                  	R                      	A                	R                	                         	C                	F                           	R                       	                    	R                       	R                        	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	P. martinii (Crux)	              	114	 700	B	 32	R	CC	  12.00	    303.2500	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	R                  	                     	                    	                           	            	R                        	                    	R                   	R                 	                        	R                      	                       	                     	F                    	R                  	R                      	A                	                 	                         	A                	F                           	R                       	R                   	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	P. martinii (Crux)	              	114	 700	B	 33	R	 1	 114.00	    305.6400	Crux     	Nannofossils                                 	C              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	R                  	                     	                    	                           	            	R                        	                    	R                   	                  	                        	                       	                       	                     	F                    	R                  	                       	C                	                 	                         	F                	F                           	R                       	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Presence of F. tympaniformis gr. is uncertain; Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	P. martinii (Crux)	              	114	 700	B	 33	R	CC	  12.00	    305.8100	Crux     	Nannofossils                                 	F              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	R                  	                     	                    	                           	            	R                        	                    	R                   	R                 	R                       	R                      	                       	                     	F                    	R                  	R                      	F                	                 	                         	R                	R                           	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	P. dimorphosus    	              	114	 700	B	 34	R	 2	 105.00	    316.5500	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	R                  	                     	                    	                           	            	R                        	                    	R                   	R                 	R                       	R                      	R                      	R                    	F                    	R                  	R                      	F                	                 	A                        	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	P. dimorphosus    	              	114	 700	B	 34	R	CC	   9.00	    318.2700	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	                   	                     	                    	                           	            	                         	A                   	R                   	R                 	R                       	                       	R                      	R                    	F                    	R                  	R                      	R                	R                	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith;Reworked Cretaceous  from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	P. dimorphosus    	              	114	 700	B	 35	R	 2	  80.00	    321.3000	Crux     	Nannofossils                                 	F              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	R                  	                     	                    	                           	            	                         	F                   	R                   	R                 	R                       	R                      	                       	R                    	F                    	                   	R                      	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith;Reworked Cretaceous  from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	P. dimorphosus    	              	114	 700	B	 35	R	CC	  11.00	    322.1100	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	R                  	                     	                    	                           	            	R                        	A                   	F                   	R                 	R                       	R                      	                       	R                    	C                    	R                  	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Paleocene        	                 	P. dimorphosus    	              	114	 700	B	 36	R	CC	  19.00	    329.7600	Crux     	Nannofossils                                 	A              	VP                	                      	                    	                  	                      	                   	                   	                           	                       	                    	                   	                            	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	                                          	                   	                       	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	                   	                  	          	                                      	                        	                   	                     	                     	                       	R                  	                     	                    	                           	            	R                        	A                   	C                   	R                 	F                       	R                      	R                      	R                    	F                    	R                  	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith;Reworked Cretaceous  from ODP Leg 114 SR Chapter 7 Table 3 p 159

  SR	Maestrichtian    	                 	N. frequens       	              	114	 700	B	 37	R	 2	  31.00	    332.5100	Crux     	Nannofossils                                 	A              	VP                	                      	R                   	F                 	A                     	F                  	F                  	C                          	                       	R                   	F                  	A                           	                         	                	A                       	                       	                     	                  	                   	                        	R                          	                    	                  	                 	                     	                   	                       	R                      	                    	                         	                         	                                          	                   	                       	                      	R                           	                      	                           	                    	                   	                	                       	                	               	                     	                	C                      	R                  	                  	          	                                      	                        	                   	                     	A                    	                       	                   	R                    	R                   	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	N. frequens       	              	114	 700	B	 37	R	CC	  43.00	    334.1300	Crux     	Nannofossils                                 	A              	VP                	                      	                    	R                 	C                     	R                  	C                  	R                          	R                      	R                   	A                  	A                           	                         	                	A                       	                       	                     	                  	                   	                        	R                          	                    	                  	                 	                     	                   	                       	R                      	                    	                         	                         	                                          	C                  	                       	                      	F                           	                      	                           	                    	                   	                	                       	                	               	                     	                	                       	F                  	                  	          	R                                     	R                       	                   	                     	A                    	                       	                   	R                    	                    	R                          	R           	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	N. frequens       	              	114	 700	B	 38	R	CC	  28.00	    343.2800	Crux     	Nannofossils                                 	A              	VP                	R                     	R                   	R                 	A                     	                   	F                  	R                          	C                      	R                   	F                  	A                           	                         	                	A                       	                       	                     	                  	                   	                        	R                          	                    	                  	                 	                     	                   	                       	R                      	                    	                         	R                        	                                          	                   	C                      	                      	                            	                      	                           	                    	                   	                	                       	                	               	                     	                	C                      	R                  	                  	          	R                                     	R                       	                   	                     	A                    	                       	                   	                     	R                   	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	B. magnum         	              	114	 700	B	 39	R	 2	  32.00	    346.8200	Crux     	Nannofossils                                 	C              	VP                	                      	R                   	R                 	A                     	                   	R                  	R                          	                       	R                   	                   	A                           	                         	                	C                       	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	R                      	                    	                         	                         	                                          	A                  	                       	                      	R                           	                      	                           	                    	                   	                	                       	                	R              	                     	                	F                      	A                  	                  	          	                                      	R                       	                   	                     	C                    	                       	                   	R                    	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	R. levis          	              	114	 700	B	 39	R	CC	   9.00	    350.6100	Crux     	Nannofossils                                 	A              	VP                	                      	                    	R                 	A                     	                   	R                  	                           	R                      	R                   	                   	A                           	                         	                	R                       	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	R                      	                    	                         	                         	F                                         	                   	                       	                      	R                           	                      	                           	                    	R                  	                	                       	                	A              	                     	                	F                      	R                  	                  	          	                                      	R                       	R                  	                     	A                    	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

  SR	Maestrichtian    	                 	R. levis          	              	114	 700	B	 40	R	 2	  49.00	    356.4900	Crux     	Nannofossils                                 	C              	VP                	                      	                    	F                 	A                     	                   	                   	                           	                       	                    	                   	F                           	                         	                	                        	                       	                     	                  	                   	                        	                           	                    	                  	                 	                     	                   	                       	                       	                    	                         	                         	R                                         	C                  	                       	                      	                            	                      	                           	                    	                   	                	                       	                	C              	                     	                	                       	                   	                  	          	R                                     	                        	R                  	                     	C                    	                       	                   	                     	                    	                           	            	                         	                    	                    	                  	                        	                       	                       	                     	                     	                   	                       	                 	                 	                         	                 	                            	                        	                    	                        	                         	                         	             	                                 	                         	                	                       	                                    	                    	                       	                       	               	                 	                        	Overgrown coccolith; from ODP Leg 114 SR Chapter 7 Table 4 p.160

