Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triquetrorhabdulus rugosus,Syracosphaera histrica,Sphenolithus abies/neoabies,Reticulofenestra spp. small,Reticulofenestra pseudoumbilica,Pontosphaera japonica,Helicosphaera kamptneri,Discoaster variabilis,Discoaster surculus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster brouweri,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Amaurolithus delicatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus primus,Discoaster asymmetricus,Ceratolithus rugosus,Rhabdosphaera stylifera,Pseudoemiliania lacunosa,Discoaster tamalis,Cyclolithella rotula,Discoaster intercalaris,Rhabdosphaera clavigera,Reticulofenestra doronicoides,Syracosphaera pulchra,Helicosphaera sellii,Discoaster triradiatus,Scyphosphaera pulcherrima,Gephyrocapsa spp.,Umbilicosphaera mirabilis,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Umbilicosphaera sibogae,Ceratolithus telesmus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,108, 660,A,  3,H, 4,  23.00,     16.0300,Manivit  ,Nannofossils                                 ,A              ,G                 ,                          ,                      ,                           ,                           ,                               ,R                    ,F                      ,                     ,                   ,                       ,                        ,                   ,                     ,                      ,C                     ,                      ,                   ,                            ,                   ,                       ,R                   ,                       ,F                       ,                  ,                    ,                       ,                       ,A                            ,R                    ,                    ,                      ,R                        ,A                ,                         ,C                        ,C                    ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,              ,108, 660,A,  3,H, 6, 146.00,     20.2600,Manivit  ,Nannofossils                                 ,A              ,G                 ,                          ,R                     ,                           ,                           ,                               ,                     ,C                      ,                     ,                   ,                       ,                        ,                   ,                     ,                      ,C                     ,                      ,                   ,                            ,                   ,                       ,                    ,R                      ,F                       ,                  ,                    ,                       ,R                      ,A                            ,                     ,                    ,                      ,                         ,A                ,                         ,C                        ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,CN13b         ,108, 660,A,  3,H,CC,   8.00,     20.8400,Manivit  ,Nannofossils                                 ,R              ,M                 ,                          ,                      ,                           ,                           ,                               ,                     ,C                      ,                     ,                   ,                       ,                        ,                   ,                     ,                      ,C                     ,                      ,                   ,                            ,                   ,                       ,                    ,F                      ,F                       ,                  ,                    ,                       ,                       ,C                            ,                     ,R                   ,                      ,R                        ,A                ,                         ,C                        ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,CN13b         ,108, 660,A,  4,H, 7,  50.00,     30.3000,Manivit  ,Nannofossils                                 ,C              ,P                 ,                          ,                      ,                           ,                           ,                               ,R                    ,F                      ,                     ,                   ,                       ,                        ,                   ,R                    ,                      ,C                     ,                      ,                   ,                            ,                   ,                       ,F                   ,R                      ,F                       ,                  ,                    ,                       ,R                      ,C                            ,                     ,R                   ,                      ,                         ,A                ,R                        ,F                        ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,              ,108, 660,A,  5,H, 2, 124.00,     33.0400,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,R                     ,                           ,                           ,                               ,                     ,C                      ,                     ,                   ,                       ,                        ,                   ,                     ,R                     ,C                     ,                      ,                   ,                            ,                   ,                       ,                    ,R                      ,F                       ,                  ,                    ,                       ,                       ,C                            ,R                    ,R                   ,                      ,                         ,A                ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12d             ,CN13a         ,108, 660,A,  5,H,CC,  18.00,     39.9700,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,R                     ,                           ,                           ,                               ,                     ,C                      ,                     ,                   ,                       ,                        ,                   ,R                    ,F                     ,C                     ,                      ,                   ,                            ,                   ,                       ,                    ,R                      ,C                       ,                  ,                    ,                       ,F                      ,C                            ,F                    ,F                   ,                      ,                         ,A                ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12d             ,CN13a         ,108, 660,A,  6,H, 1,  85.00,     40.6500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,F                     ,                           ,                           ,                               ,R                    ,C                      ,                     ,                   ,                       ,                        ,                   ,F                    ,F                     ,C                     ,                      ,                   ,                            ,                   ,                       ,R                   ,F                      ,C                       ,                  ,                    ,                       ,F                      ,C                            ,F                    ,F                   ,                      ,R                        ,A                ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,108, 660,A,  6,H, 5,   6.00,     45.8600,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,                      ,                           ,                           ,                               ,                     ,C                      ,                     ,                   ,                       ,                        ,F                  ,R                    ,F                     ,C                     ,                      ,                   ,                            ,                   ,                       ,                    ,                       ,C                       ,                  ,                    ,                       ,                       ,C                            ,                     ,C                   ,F                     ,                         ,A                ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,CN12d         ,108, 660,A,  6,H, 5, 140.00,     47.2000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,                      ,                           ,                           ,                               ,                     ,C                      ,                     ,                   ,                       ,                        ,C                  ,F                    ,F                     ,F                     ,                      ,                   ,                            ,                   ,                       ,                    ,R                      ,C                       ,                  ,                    ,                       ,C                      ,C                            ,                     ,C                   ,F                     ,                         ,A                ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,108, 660,A,  6,H, 6, 140.00,     48.7000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,                      ,                           ,                           ,                               ,                     ,C                      ,                     ,                   ,                       ,F                       ,C                  ,R                    ,F                     ,C                     ,                      ,                   ,                            ,                   ,                       ,                    ,R                      ,C                       ,                  ,                    ,                       ,                       ,F                            ,F                    ,C                   ,R                     ,R                        ,C                ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12c         ,108, 660,A,  7,H, 3,  70.00,     53.0000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,F                     ,                           ,A                          ,                               ,R                    ,C                      ,R                    ,R                  ,                       ,F                       ,C                  ,F                    ,F                     ,C                     ,                      ,                   ,                            ,                   ,                       ,R                   ,                       ,C                       ,                  ,                    ,                       ,F                      ,C                            ,                     ,F                   ,R                     ,                         ,                 ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12c         ,108, 660,A,  7,H, 4,  70.00,     54.5000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,                      ,                           ,A                          ,                               ,                     ,C                      ,R                    ,R                  ,                       ,F                       ,C                  ,F                    ,F                     ,F                     ,                      ,                   ,                            ,                   ,R                      ,                    ,                       ,C                       ,R                 ,                    ,                       ,                       ,C                            ,                     ,F                   ,R                     ,                         ,                 ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12b         ,108, 660,A,  7,H,CC,   5.00,     58.9500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,R                     ,                           ,A                          ,                               ,                     ,C                      ,R                    ,F                  ,                       ,C                       ,C                  ,F                    ,F                     ,C                     ,                      ,                   ,                            ,                   ,F                      ,                    ,R                      ,C                       ,                  ,                    ,R                      ,F                      ,C                            ,R                    ,                    ,                      ,                         ,                 ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN11              ,CN12a         ,108, 660,A,  8,H, 4, 120.00,     64.5000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,                      ,R                          ,A                          ,                               ,                     ,F                      ,R                    ,F                  ,                       ,C                       ,C                  ,F                    ,F                     ,F                     ,                      ,                   ,                            ,                   ,                       ,R                   ,                       ,F                       ,R                 ,                    ,                       ,R                      ,C                            ,                     ,                    ,                      ,                         ,                 ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN11              ,CN12a         ,108, 660,A,  8,H, 5, 120.00,     66.0000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,R                     ,R                          ,A                          ,R                              ,                     ,C                      ,F                    ,F                  ,                       ,C                       ,C                  ,F                    ,F                     ,C                     ,                      ,                   ,                            ,                   ,                       ,                    ,R                      ,F                       ,R                 ,R                   ,                       ,                       ,                             ,                     ,                    ,                      ,                         ,                 ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN11              ,              ,108, 660,A,  8,H, 6,  10.00,     66.4000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,                      ,F                          ,A                          ,F                              ,R                    ,C                      ,R                    ,F                  ,                       ,C                       ,C                  ,R                    ,F                     ,F                     ,R                     ,                   ,                            ,                   ,R                      ,R                   ,                       ,F                       ,R                 ,                    ,R                      ,                       ,                             ,                     ,                    ,                      ,                         ,                 ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN10b             ,CN11          ,108, 660,A,  8,H,CC,   7.00,     68.2100,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,R                     ,C                          ,A                          ,C                              ,                     ,C                      ,R                    ,F                  ,                       ,C                       ,C                  ,F                    ,F                     ,F                     ,R                     ,                   ,                            ,                   ,F                      ,                    ,F                      ,R                       ,R                 ,R                   ,                       ,                       ,                             ,                     ,                    ,                      ,                         ,                 ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN10b             ,              ,108, 660,A,  9,H, 3,  55.00,     71.8500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,                      ,A                          ,A                          ,C                              ,                     ,F                      ,R                    ,F                  ,                       ,C                       ,C                  ,R                    ,F                     ,C                     ,R                     ,                   ,R                           ,R                  ,R                      ,R                   ,                       ,                        ,                  ,                    ,                       ,                       ,                             ,                     ,                    ,                      ,                         ,                 ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN10a             ,              ,108, 660,A,  9,H, 5,  20.00,     74.5000,Manivit  ,Nannofossils                                 ,A              ,M                 ,R                         ,                      ,A                          ,A                          ,C                              ,                     ,F                      ,F                    ,F                  ,                       ,C                       ,C                  ,F                    ,F                     ,C                     ,R                     ,R                  ,R                           ,R                  ,                       ,                    ,                       ,                        ,                  ,                    ,                       ,                       ,                             ,                     ,                    ,                      ,                         ,                 ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN9b              ,              ,108, 660,A,  9,H, 6, 104.00,     76.8400,Manivit  ,Nannofossils                                 ,A              ,M                 ,R                         ,F                     ,A                          ,A                          ,C                              ,R                    ,C                      ,F                    ,F                  ,R                      ,C                       ,C                  ,F                    ,F                     ,C                     ,R                     ,                   ,                            ,                   ,                       ,                    ,                       ,                        ,                  ,                    ,                       ,                       ,                             ,                     ,                    ,                      ,                         ,                 ,                         ,                         ,                     ,                       ,                     ,from ODP Leg 108 SR Chapter 4 Table 6 p 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
