Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassionema nitzschioides,Stephanopyxis spp.,Stephanopyxis dimorpha,Rhizosolenia styliformis,Proboscia curvirostris,Neodenticula seminae,Fragilariopsis doliolus,Coscinodiscus marginatus,Thalassiosira antiqua,Actinocyclus curvatulus,Delphineis surirella,Actinoptychus senarius,Thalassiosira jouseae,Thalassiosira eccentrica,Actinocyclus ochotensis,Thalassiosira oestrupii,Pyxidicula horridus,Thalassiosira leptopus,Hemidiscus cuneiformis,Proboscia barboi,Coscinodiscus radiatus,Actinocyclus oculatus,Rhizosolenia hebetata,Proboscia alata,Neodenticula koizumii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C,  6,H,CC,  24.00,     56.9400,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,F                     ,                        ,T                     ,F                   ,T                      ,R                       ,R                    ,                       ,T                   ,T                     ,                     ,                        ,                       ,R                      ,                   ,                      ,                      ,T               ,                      ,                     ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C,  7,H,CC,  62.00,     66.3300,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,F                     ,                        ,R                     ,F                   ,                       ,T                       ,                     ,                       ,R                   ,                      ,                     ,                        ,                       ,                       ,                   ,                      ,                      ,                ,                      ,                     ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C,  8,H,CC,  11.00,     74.7600,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,F                     ,                        ,T                     ,R                   ,                       ,                        ,                     ,                       ,                    ,                      ,                     ,                        ,                       ,                       ,                   ,                      ,                      ,                ,                      ,                     ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C,  8,H,CC,  16.00,     74.8100,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,F                     ,                        ,T                     ,R                   ,                       ,                        ,                     ,                       ,                    ,                      ,                     ,                        ,                       ,                       ,                   ,                      ,                      ,                ,                      ,                     ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C,  8,H,CC,  24.00,     74.8900,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,F                 ,C                     ,                        ,T                     ,F                   ,                       ,                        ,T                    ,                       ,                    ,                      ,                     ,                        ,                       ,                       ,                   ,T                     ,T                     ,                ,                      ,                     ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C,  9,H,CC,  26.00,     86.1400,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,F                 ,C                     ,                        ,T                     ,R                   ,                       ,R                       ,                     ,                       ,T                   ,                      ,                     ,                        ,                       ,                       ,                   ,                      ,                      ,                ,                      ,                     ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C, 10,H,CC,  35.00,     94.5100,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,F                     ,                        ,T                     ,F                   ,                       ,R                       ,                     ,T                      ,                    ,T                     ,T                    ,                        ,                       ,T                      ,T                  ,                      ,                      ,                ,                      ,                     ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C, 11,H,CC,  53.00,    102.9400,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,F                     ,T                       ,R                     ,F                   ,                       ,                        ,                     ,T                      ,T                   ,                      ,T                    ,T                       ,T                      ,                       ,                   ,                      ,                      ,                ,                      ,                     ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C, 12,H,CC,  33.00,    114.5700,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,F                     ,                        ,R                     ,R                   ,                       ,                        ,T                    ,                       ,T                   ,                      ,T                    ,                        ,                       ,                       ,                   ,                      ,                      ,                ,                      ,                     ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C, 13,H,CC,  21.00,    121.4600,Watanabe ,Diatoms                                      ,C              ,M                 ,R                          ,R                 ,R                     ,                        ,T                     ,F                   ,R                      ,                        ,                     ,                       ,R                   ,T                     ,                     ,                        ,                       ,                       ,                   ,                      ,                      ,                ,                      ,                     ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C, 14,H,CC,  11.00,    130.9700,Watanabe ,Diatoms                                      ,B              ,                  ,                           ,                  ,                      ,                        ,                      ,+                   ,                       ,                        ,                     ,                       ,                    ,                      ,                     ,                        ,                       ,                       ,                   ,                      ,                      ,                ,                      ,                     ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C, 16,H,CC,  30.00,    142.1000,Watanabe ,Diatoms                                      ,F              ,P                 ,R                          ,R                 ,F                     ,                        ,T                     ,R                   ,T                      ,T                       ,T                    ,T                      ,                    ,                      ,                     ,                        ,                       ,                       ,                   ,                      ,                      ,                ,                      ,                     ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1248,C, 17,X,CC,  14.00,    148.4700,Watanabe ,Diatoms                                      ,R              ,P                 ,R                          ,R                 ,R                     ,T                       ,T                     ,R                   ,T                      ,T                       ,                     ,                       ,                    ,                      ,                     ,                        ,                       ,                       ,                   ,                      ,                      ,                ,                      ,                     ,                     ,               ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
