Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Parasubbotina griffinae	Clavigerinella jarvisi	Paragloborotalia nana	Muricoglobigerina senni	Clavigerinella eocanica	Catapsydrax unicavus	Acarinina collactea	"H." cf. bolivaraina bolivaraina	Subbotina eocaena	Parasubbotina cf. linaperta	Acarinina rohri	Acarinina bullbrooki	Acarinina punctocarinata	Paragloborotalia wilsoni	Clavigerinella columbiana	Clavigerinella akersi	Acarinina praetopilensis	Turborotalia ampliapertura	Paragloborotalia continuosa	Globoquadrina tapuriensis	Catapsydrax dissimilis	Subbotina utilisindex	Subbotina angiporoides	Dentoglobigerina galavisi	Globorotaloides suteri	Globoquadrina tripartita	Globigerina prasaepis	Dentoglobigerina globularis	Chiloguembelina cubensis	Globigerina euapertura	Cassigerinella chipolensis	Globoquadrina venezuelana	Tenuitella gemma	Catapsydrax dissimilis ciperoensis	Tenuitella clemenciae	Tenuitellinata angustiumbilicata	Subbotina gortanii	Paragloborotalia opima opima	Dentoglobigerina yeguaensis	Paragloborotalia pseudokugleri	Paragloborotalia mayeri	Globorotaloides sp.	Globoquadrina sellii	Dentoglobigerina altispira	Subbotina praeturritilina	Globigerina praebulloides	Globigerina ciperoensis	Paragloborotalia kugleri	Paragloborotalia acrostoma	Paragloborotalia siakensis	Globoquadrina praedehiscens	Globoquadrina binaiensis	Globoquadrina dehiscens	Globigerinella praesiphonifera	Dentoglobigerina baroemoenensis	Globigerinoides primordius	Comment

  IR	                 	                 	                  	              	199	1218	A	  7	H	 2	 110.00	     58.3000	planks   	Planktonic Foraminifers                      	C              	M                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	                      	                     	                      	                         	R                     	F                       	                     	R                          	                        	                      	                          	A                        	                	R                                 	                     	P                               	                  	                            	                           	                              	A                      	                   	                    	F                         	                         	                         	                       	                        	                          	A                         	F                          	                        	                       	+                             	F                              	R                         	       

  IR	                 	                 	                  	              	199	1218	A	  7	H	 3	 110.00	     59.8000	planks   	Planktonic Foraminifers                      	C              	M                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	R                          	                         	                      	                     	                      	                         	R                     	                        	                     	                           	                        	                      	                          	A                        	                	R                                 	                     	                                	                  	                            	                           	                              	A                      	                   	F                   	                          	                         	                         	                       	                        	                          	                          	F                          	                        	                       	P                             	R                              	                          	       

  IR	                 	                 	                  	              	199	1218	A	  7	H	 4	 110.00	     61.3000	planks   	Planktonic Foraminifers                      	T              	P                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	                      	                     	                      	                         	                      	                        	                     	                           	                        	                      	                          	                         	                	                                  	                     	                                	                  	                            	                           	                              	R                      	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	  7	H	 6	 110.00	     64.3000	planks   	Planktonic Foraminifers                      	F              	P                 	                       	                      	                     	                       	                       	R                   	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	                      	                     	                      	                         	R                     	                        	                     	                           	                        	                      	+                         	A                        	                	R                                 	                     	                                	                  	                            	                           	                              	F                      	                   	F                   	P                         	                         	                         	                       	                        	                          	R                         	F                          	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	  7	H	CC	  19.00	     65.7000	planks   	Planktonic Foraminifers                      	F              	P                 	                       	                      	                     	                       	                       	R                   	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	                      	                     	                      	                         	                      	                        	                     	                           	                        	                      	                          	R                        	                	R                                 	                     	                                	                  	                            	                           	                              	R                      	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	M2                	M1b           	199	1218	A	  8	H	 2	 110.00	     67.8000	planks   	Planktonic Foraminifers                      	C              	M                 	                       	                      	                     	                       	                       	R                   	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	R                          	                         	                      	                     	                      	                         	P                     	                        	                     	                           	                        	                      	                          	A                        	                	R                                 	                     	R                               	                  	                            	                           	                              	A                      	                   	R                   	P                         	                         	                         	                       	R                       	                          	P                         	F                          	R                       	R                      	R                             	                               	P                         	       

  IR	                 	                 	                  	              	199	1218	A	  8	H	 3	 110.00	     69.3000	planks   	Planktonic Foraminifers                      	F              	P                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	R                          	                         	                      	                     	                      	                         	                      	                        	                     	                           	                        	                      	                          	F                        	                	                                  	                     	                                	P                 	                            	                           	                              	F                      	                   	                    	                          	                         	                         	                       	                        	                          	                          	F                          	                        	P                      	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	  8	H	 4	 110.00	     70.8000	planks   	Planktonic Foraminifers                      	R              	P                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	                      	                     	                      	                         	                      	                        	                     	                           	                        	                      	                          	F                        	                	F                                 	                     	                                	                  	                            	                           	                              	F                      	                   	                    	                          	                         	                         	                       	                        	                          	                          	F                          	                        	R                      	                              	                               	                          	       

  IR	                 	                 	M1b               	M1a           	199	1218	A	  8	H	 5	 110.00	     72.3000	planks   	Planktonic Foraminifers                      	F              	M                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	P                          	                         	                      	                     	                      	                         	P                     	                        	                     	                           	                        	                      	                          	F                        	                	F                                 	                     	P                               	                  	                            	                           	R                             	A                      	                   	R                   	                          	                         	R                        	                       	R                       	                          	P                         	F                          	                        	R                      	P                             	R                              	                          	       

  IR	                 	                 	                  	              	199	1218	A	  8	H	 6	  60.00	     73.3000	planks   	Planktonic Foraminifers                      	C              	M                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	                      	                     	                      	                         	                      	                        	                     	                           	                        	                      	                          	A                        	                	R                                 	                     	F                               	                  	                            	                           	R                             	A                      	                   	F                   	                          	                         	                         	                       	F                       	                          	F                         	F                          	P                       	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	  8	H	CC	  14.00	     74.1300	planks   	Planktonic Foraminifers                      	F              	M                 	                       	                      	                     	                       	                       	F                   	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	F                          	                         	F                     	                     	                      	                         	                      	                        	                     	                           	                        	                      	                          	F                        	                	                                  	                     	                                	                  	                            	                           	R                             	F                      	                   	P                   	                          	                         	                         	+                      	F                       	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	  9	H	 5	 110.00	     81.8000	planks   	Planktonic Foraminifers                      	R              	P                 	                       	                      	                     	                       	                       	R                   	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	                      	                     	                      	                         	                      	                        	                     	                           	                        	                      	                          	R                        	                	                                  	                     	                                	                  	                            	                           	                              	R                      	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	  9	H	CC	  14.00	     84.6800	planks   	Planktonic Foraminifers                      	R              	P                 	                       	                      	                     	                       	                       	R                   	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	R                          	                         	R                     	                     	                      	                         	                      	                        	                     	                           	                        	                      	                          	P                        	                	                                  	                     	                                	                  	                            	                           	R                             	                       	                   	                    	                          	                         	                         	                       	R                       	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 10	H	 1	  74.00	     84.9400	planks   	Planktonic Foraminifers                      	F              	M                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	                      	                     	                      	                         	                      	                        	                     	                           	                        	                      	                          	                         	                	                                  	                     	                                	                  	                            	                           	                              	R                      	                   	                    	                          	                         	                         	                       	R                       	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	M1a               	P22           	199	1218	A	 10	H	 1	 130.00	     85.5000	planks   	Planktonic Foraminifers                      	F              	M                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	R                          	                         	R                     	                     	                      	                         	R                     	                        	                     	                           	                        	                      	                          	                         	                	                                  	                     	                                	                  	                            	                           	                              	R                      	                   	                    	                          	                         	                         	                       	R                       	R                         	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 11	H	 1	   2.00	     93.7200	planks   	Planktonic Foraminifers                      	T              	P                 	                       	                      	                     	                       	                       	P                   	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	P                     	                     	                      	                         	P                     	                        	                     	                           	                        	                      	                          	R                        	                	                                  	                     	                                	                  	                            	                           	                              	                       	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 11	H	 2	  10.00	     95.3000	planks   	Planktonic Foraminifers                      	T              	P                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	P                     	                     	                      	                         	                      	                        	                     	                           	                        	                      	                          	                         	                	                                  	                     	                                	                  	                            	                           	                              	                       	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 11	H	 3	  10.00	     96.8000	planks   	Planktonic Foraminifers                      	T              	P                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	                      	                     	                      	                         	                      	                        	                     	                           	                        	                      	                          	P                        	                	                                  	                     	                                	                  	                            	                           	                              	                       	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 11	H	 4	  58.00	     98.7800	planks   	Planktonic Foraminifers                      	T              	P                 	                       	                      	                     	                       	                       	P                   	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	R                     	                     	                      	                         	P                     	                        	                     	                           	                        	                      	                          	                         	                	                                  	                     	                                	                  	                            	                           	                              	                       	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 11	H	 5	  38.00	    100.0800	planks   	Planktonic Foraminifers                      	F              	P                 	                       	                      	                     	                       	                       	R                   	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	R                     	                     	                      	                         	R                     	R                       	                     	                           	                        	                      	                          	R                        	                	                                  	                     	R                               	                  	                            	                           	R                             	R                      	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 11	H	 6	  38.00	    101.5800	planks   	Planktonic Foraminifers                      	F              	P                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	R                     	                     	                      	                         	R                     	                        	                     	                           	                        	                      	                          	R                        	                	R                                 	                     	                                	                  	                            	                           	                              	R                      	                   	R                   	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 12	H	 1	 142.00	    104.6200	planks   	Planktonic Foraminifers                      	F              	P                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	                      	                     	                      	                         	F                     	                        	                     	                           	                        	                      	                          	R                        	                	F                                 	                     	P                               	                  	                            	                           	                              	R                      	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 12	H	 2	 118.00	    105.8800	planks   	Planktonic Foraminifers                      	F              	M                 	                       	                      	                     	                       	                       	R                   	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	P                        	A                     	                     	                      	+                        	A                     	                        	                     	F                          	                        	                      	                          	                         	                	                                  	                     	F                               	P                 	+                           	                           	R                             	F                      	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 12	H	 4	  59.00	    108.2900	planks   	Planktonic Foraminifers                      	R              	P                 	                       	                      	                     	                       	                       	P                   	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	F                     	                     	                      	                         	R                     	                        	                     	                           	                        	                      	                          	P                        	                	                                  	                     	                                	                  	                            	                           	                              	                       	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 12	H	 5	 120.00	    110.4000	planks   	Planktonic Foraminifers                      	C              	M                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	R                     	                     	                      	                         	R                     	R                       	                     	                           	                        	                      	                          	R                        	                	R                                 	                     	                                	                  	                            	R                          	                              	R                      	                   	                    	                          	                         	R                        	R                      	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 12	H	 6	 129.00	    111.9900	planks   	Planktonic Foraminifers                      	F              	P                 	                       	                      	                     	                       	                       	R                   	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	F                     	                     	                      	                         	R                     	R                       	                     	                           	                        	                      	                          	                         	                	R                                 	                     	                                	                  	                            	                           	                              	                       	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 12	H	 7	  37.00	    112.5700	planks   	Planktonic Foraminifers                      	T              	P                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	F                     	                     	                      	                         	R                     	R                       	                     	                           	                        	                      	                          	                         	                	R                                 	                     	                                	                  	                            	                           	                              	                       	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 12	H	CC	   0.00	    112.8100	planks   	Planktonic Foraminifers                      	T              	P                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	F                     	                     	                      	                         	R                     	R                       	                     	                           	                        	                      	                          	                         	                	R                                 	                     	                                	                  	                            	                           	                              	                       	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 13	H	 1	   9.00	    112.7900	planks   	Planktonic Foraminifers                      	T              	P                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	P                     	                     	                      	                         	P                     	                        	                     	                           	                        	                      	                          	                         	                	P                                 	                     	                                	                  	                            	                           	                              	                       	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 13	H	 7	  60.00	    122.3000	planks   	Planktonic Foraminifers                      	F              	P                 	                       	                      	F                    	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	R                        	F                     	                     	                      	                         	F                     	P                       	                     	                           	                        	                      	                          	                         	                	F                                 	                     	                                	                  	                            	                           	                              	                       	                   	                    	                          	                         	P                        	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 13	H	CC	  22.00	    122.7600	planks   	Planktonic Foraminifers                      	R              	P                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	F                     	                     	                      	                         	F                     	                        	                     	                           	                        	                      	                          	                         	                	                                  	                     	                                	                  	                            	                           	                              	                       	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 14	H	 1	  27.00	    122.4700	planks   	Planktonic Foraminifers                      	R              	P                 	                       	                      	P                    	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	P                        	R                     	                     	                      	                         	R                     	                        	                     	                           	                        	                      	                          	P                        	                	R                                 	                     	                                	                  	                            	                           	                              	P                      	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 14	H	 2	  32.00	    124.0200	planks   	Planktonic Foraminifers                      	F              	M                 	                       	                      	F                    	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	A                     	                     	                      	                         	                      	                        	                     	                           	                        	                      	                          	P                        	                	                                  	                     	P                               	                  	                            	                           	                              	F                      	P                  	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 14	H	 3	  31.00	    125.5100	planks   	Planktonic Foraminifers                      	F              	P                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	R                        	                      	                     	                      	                         	F                     	                        	                     	                           	                        	                      	                          	                         	                	F                                 	                     	                                	                  	                            	                           	                              	R                      	P                  	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 14	H	 4	  31.00	    127.0100	planks   	Planktonic Foraminifers                      	F              	M                 	                       	                      	F                    	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	F                        	                      	                     	                      	                         	F                     	F                       	                     	                           	                        	                      	                          	                         	                	A                                 	                     	F                               	                  	                            	R                          	                              	F                      	P                  	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	P22               	P21b          	199	1218	A	 14	H	 5	  32.00	    128.5200	planks   	Planktonic Foraminifers                      	F              	M                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	F                     	                     	                      	                         	F                     	                        	                     	                           	                        	                      	                          	R                        	                	A                                 	                     	                                	                  	R                           	                           	                              	F                      	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 14	H	 6	  32.00	    130.0200	planks   	Planktonic Foraminifers                      	C              	M                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	F                        	                      	                     	                      	                         	F                     	F                       	                     	                           	                        	                      	                          	                         	                	R                                 	                     	                                	                  	F                           	                           	                              	F                      	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 14	H	 7	  32.00	    131.5200	planks   	Planktonic Foraminifers                      	F              	M                 	                       	                      	R                    	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	R                        	F                     	                     	                      	                         	R                     	                        	                     	                           	                        	                      	                          	F                        	                	F                                 	                     	                                	                  	R                           	                           	                              	                       	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 14	H	CC	   0.00	    131.6700	planks   	Planktonic Foraminifers                      	F              	M                 	                       	                      	F                    	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	F                     	                     	                      	                         	F                     	                        	                     	                           	                        	                      	                          	                         	                	                                  	                     	F                               	                  	F                           	                           	                              	F                      	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 15	H	 1	  50.00	    132.2000	planks   	Planktonic Foraminifers                      	C              	M                 	                       	                      	F                    	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	P                        	R                     	                     	                      	                         	R                     	                        	R                    	                           	                        	R                     	                          	P                        	                	R                                 	R                    	R                               	                  	F                           	R                          	                              	F                      	                   	                    	                          	R                        	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 15	H	 3	  50.00	    135.2000	planks   	Planktonic Foraminifers                      	C              	M                 	                       	                      	F                    	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	F                        	F                     	                     	                      	                         	F                     	                        	R                    	                           	                        	R                     	                          	                         	                	F                                 	P                    	R                               	                  	F                           	                           	                              	R                      	                   	                    	                          	R                        	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 15	H	 5	  50.00	    138.2000	planks   	Planktonic Foraminifers                      	C              	M                 	                       	                      	F                    	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	                         	F                     	                     	                      	                         	R                     	R                       	                     	                           	                        	F                     	                          	R                        	                	A                                 	R                    	R                               	                  	A                           	                           	                              	                       	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 15	H	 7	  50.00	    141.2000	planks   	Planktonic Foraminifers                      	C              	M                 	                       	                      	P                    	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	F                        	                      	                     	                      	                         	R                     	F                       	F                    	                           	                        	F                     	                          	R                        	                	A                                 	                     	P                               	P                 	D                           	F                          	                              	R                      	                   	P                   	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 15	H	CC	  19.00	    141.8200	planks   	Planktonic Foraminifers                      	F              	M                 	                       	                      	R                    	                       	                       	                    	                   	+                               	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	R                        	F                     	                     	                      	                         	                      	+                       	                     	                           	                        	F                     	                          	                         	                	                                  	                     	                                	                  	R                           	R                          	                              	                       	                   	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 16	H	 1	 117.00	    142.3700	planks   	Planktonic Foraminifers                      	C              	G                 	                       	                      	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	F                        	F                     	                     	                      	                         	R                     	F                       	F                    	                           	                        	R                     	                          	                         	                	A                                 	R                    	P                               	                  	F                           	F                          	                              	R                      	R                  	                    	                          	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

  IR	                 	                 	                  	              	199	1218	A	 16	H	 3	 118.00	    145.3800	planks   	Planktonic Foraminifers                      	C              	M                 	                       	+                     	                     	                       	                       	                    	                   	                                	                 	                           	               	                    	                        	                        	                         	                     	                        	                          	                           	F                        	R                     	                     	                      	                         	R                     	F                       	F                    	                           	                        	F                     	                          	                         	                	R                                 	                     	F                               	                  	A                           	F                          	                              	                       	                   	+                   	+                         	                         	                         	                       	                        	                          	                          	                           	                        	                       	                              	                               	                          	       

