Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra small-sized,Helicosphaera stalis,Helicosphaera carteri,Gephyrocapsa medium-sized,Gephyrocapsa (small),Dictyococcites productus,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Calcidiscus leptoporus,Reticulofenestra medium-sized,Dictyococcites bisectus,Pyrocyclus spp.,Cribrocentrum reticulatum,Reticulofenestra pseudoumbilicus,Geminilithella rotula,Cyclicargolithus abisectus,Sphenolithus moriformis,Reticulofenestra lockerii,Pontosphaera spp.,Discoaster variabilis,Cruciplacolithus primus,Watznaueria barnesae,Helicosphaera sellii,Emiliania huxleyi,Neococcolithes minutus,Helicosphaera walbersdorfensis,Fasciculithus spp.,Chiasmolithus spp.,Coccolithus miopelagicus,Tetralithoides symeonidesii,Syracosphaera pulchra,Reticulofenestra umbilica,Calcidiscus macintyrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A,  5,H,CC,  10.00,     46.5700,nannos   ,Nannofossils                                 ,C              ,G                 ,F                           ,                    ,R                    ,C                        ,C                   ,C                       ,F                         ,F                          ,C                    ,F                     ,                             ,F                      ,F              ,                         ,R                               ,R                    ,                          ,                       ,R                        ,                 ,                     ,                       ,                    ,                    ,C                ,                      ,                              ,                  ,R                 ,                        ,                           ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A,  6,H,CC,  10.00,     56.3400,nannos   ,Nannofossils                                 ,C              ,M                 ,A                           ,                    ,F                    ,C                        ,C                   ,                        ,C                         ,F                          ,C                    ,F                     ,                             ,R                      ,R              ,                         ,F                               ,                     ,                          ,R                      ,                         ,F                ,                     ,                       ,                    ,                    ,C                ,R                     ,R                             ,C                 ,                  ,                        ,                           ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A,  7,H,CC,   0.00,     65.8000,nannos   ,Nannofossils                                 ,A              ,M                 ,D                           ,                    ,F                    ,C                        ,A                   ,F                       ,F                         ,                           ,C                    ,F                     ,                             ,                       ,               ,                         ,R                               ,                     ,                          ,                       ,                         ,                 ,                     ,                       ,R                   ,R                   ,C                ,                      ,                              ,                  ,                  ,                        ,                           ,                     ,                         ,                      ,Sponge spicules; Coccosphaerae (D. productus)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A,  8,H,CC,   0.00,     73.8400,nannos   ,Nannofossils                                 ,C              ,M                 ,A                           ,                    ,F                    ,C                        ,C                   ,C                       ,F                         ,R                          ,C                    ,C                     ,F                            ,R                      ,               ,R                        ,R                               ,                     ,R                         ,R                      ,R                        ,R                ,R                    ,R                      ,                    ,                    ,                 ,                      ,                              ,                  ,                  ,                        ,                           ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A,  9,X,CC,   0.00,     76.4600,nannos   ,Nannofossils                                 ,F              ,M                 ,A                           ,R                   ,F                    ,C                        ,A                   ,F                       ,F                         ,                           ,C                    ,F                     ,F                            ,R                      ,               ,R                        ,R                               ,R                    ,R                         ,                       ,                         ,                 ,                     ,                       ,                    ,                    ,                 ,                      ,                              ,                  ,                  ,                        ,                           ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A, 10,X,CC,  10.00,     85.7900,nannos   ,Nannofossils                                 ,F              ,M                 ,A                           ,                    ,C                    ,F                        ,C                   ,C                       ,R                         ,R                          ,F                    ,R                     ,                             ,R                      ,R              ,R                        ,                                ,                     ,                          ,                       ,                         ,                 ,                     ,                       ,                    ,                    ,                 ,                      ,                              ,                  ,                  ,                        ,                           ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A, 11,X,CC,   0.00,     96.7700,nannos   ,Nannofossils                                 ,F              ,G                 ,F                           ,                    ,                     ,R                        ,F                   ,F                       ,R                         ,R                          ,C                    ,R                     ,R                            ,R                      ,               ,                         ,                                ,                     ,                          ,                       ,                         ,                 ,                     ,                       ,                    ,                    ,                 ,                      ,                              ,                  ,                  ,                        ,                           ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A, 12,X,CC,  10.00,    109.6400,nannos   ,Nannofossils                                 ,F              ,G                 ,F                           ,R                   ,F                    ,C                        ,C                   ,C                       ,R                         ,R                          ,C                    ,F                     ,                             ,                       ,               ,                         ,                                ,                     ,                          ,                       ,                         ,                 ,                     ,                       ,                    ,                    ,                 ,                      ,                              ,                  ,                  ,                        ,                           ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
