Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Sphenolithus moriformis,Sphenolithus heteromorphus,Solidopons petrae,Reticulofenestra samodurovii,Reticulofenestra minutula,Reticulofenestra minuta,Pontosphaera discopora,Helicosphaera euphratis,Helicosphaera carteri,Helicosphaera ampliaperta,Geminilithella rotula,Discoaster variabilis,Discoaster deflandrei,Cyclicargolithus floridanus,Coronocyclus nitescens,Coccolithus pelagicus,Coccolithus miopelagicus,Pontosphaera multipora,Helicosphaera scissura,Calcidiscus tropicus,Sphenolithus belemnos,Rhabdosphaera procera,Discoaster signus,Cryptococcolithus takayamae,Scyphosphaera spp.,Calcidiscus leptoporus,Calcidiscus premacintyrei,Pontosphaera spp.,Discosphaera tubifera,Braarudosphaera bigelowii,Helicosphaera perch-nielseniae,Helicosphaera waltrans,Helicosphaera walbersdorfensis,Discoaster musicus,Hayella aperta,Scapholithus fossilis,Pyrocyclus hermosus,Triquetrorhabdulus rugosus,Helicosphaera orientalis,Triquetrorhabdulus rioensis,Triquetrorhabdulus challengeri,Triquetrorhabdulus auritus,Syracosphaera spp.,Reticulofenestra pseudoumbilicus,Discoaster pseudovariabilis,Holodiscolithus solidus,Discoaster kugleri,Calcidiscus macintyrei,Sphenolithus abies,Discoaster bellus,Catinaster coalitus,Discoaster brouweri,Discoaster bollii,Discoaster hamatus,Catinaster calyculus,Minylitha convallis,Discoaster prepentaradiatus,Discoaster pentaradiatus,Discoaster neohamatus,Discoaster loeblichii,Discoaster surculus,Discoaster quinqueramus,Discoaster berggrenii,Amaurolithus primus,Hayella challengeri,Reticulofenestra rotaria,Amaurolithus delicatus,Amaurolithus amplificus,"Discoaster ""six-rayed""",Discoaster asymmetricus,Amaurolithus tricorniculatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 952,A, 20,X, 4, 139.00,    180.7900,Howe     ,Nannofossils                                 ,VH             ,M                 ,                       ,                       ,                          ,                 ,                            ,A                        ,A                      ,R                     ,S                      ,R                    ,                         ,C                    ,C                    ,                     ,                           ,                      ,C                    ,                        ,R                     ,                      ,                    ,                     ,F                    ,                 ,                           ,                  ,F                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,S                  ,                          ,                        ,                           ,                              ,                          ,                  ,C                               ,                           ,                       ,                  ,R                     ,F                 ,                 ,                   ,F                  ,                 ,                  ,                    ,                   ,                           ,R                       ,                     ,                     ,F                  ,F                      ,                     ,                   ,                   ,                        ,                      ,                       ,                      ,                       ,                            ,found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 952,A, 20,X,CC,   2.00,    184.3300,Howe     ,Nannofossils                                 ,L              ,P                 ,                       ,                       ,                          ,                 ,                            ,R                        ,R                      ,                      ,                       ,                     ,                         ,                     ,C                    ,                     ,                           ,                      ,                     ,                        ,                      ,                      ,                    ,                     ,S                    ,                 ,                           ,                  ,R                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,                          ,                        ,                           ,                              ,                          ,                  ,F                               ,                           ,                       ,                  ,                      ,                  ,                 ,                   ,F                  ,                 ,                  ,                    ,                   ,                           ,S                       ,                     ,                     ,R                  ,?S                     ,                     ,                   ,                   ,                        ,R                     ,                       ,                      ,                       ,                            ,found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 952,A, 21,X, 1,  13.00,    184.6300,Howe     ,Nannofossils                                 ,VH             ,P-M               ,R                      ,                       ,                          ,                 ,                            ,A                        ,A                      ,R                     ,                       ,F                    ,                         ,C                    ,C                    ,                     ,                           ,                      ,C                    ,                        ,R                     ,                      ,R                   ,                     ,F                    ,                 ,R                          ,R                 ,F                     ,                         ,R                ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,                          ,                        ,                           ,                              ,                          ,                  ,C                               ,                           ,                       ,                  ,R                     ,R                 ,                 ,                   ,F                  ,                 ,                  ,                    ,                   ,                           ,R                       ,                     ,                     ,F                  ,R                      ,                     ,S                  ,                   ,                        ,R                     ,                       ,                      ,                       ,                            ,Rare Cretaceous reworking. found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 952,A, 21,X, 1,  93.00,    185.4300,Howe     ,Nannofossils                                 ,VH             ,M-G               ,R                      ,                       ,                          ,                 ,                            ,A                        ,A                      ,                      ,                       ,F                    ,                         ,C                    ,C                    ,                     ,                           ,                      ,C                    ,                        ,                      ,                      ,R                   ,                     ,F                    ,                 ,S                          ,R                 ,F                     ,                         ,R                ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,R                         ,                        ,                           ,                              ,                          ,                  ,A                               ,                           ,                       ,                  ,F                     ,C                 ,                 ,                   ,C                  ,                 ,                  ,                    ,                   ,                           ,F                       ,                     ,                     ,R                  ,R                      ,                     ,                   ,                   ,R                       ,F                     ,S                      ,                      ,                       ,                            ,found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 952,A, 21,X, 3, 132.50,    188.8250,Howe     ,Nannofossils                                 ,VL             ,P                 ,                       ,                       ,                          ,                 ,                            ,                         ,                       ,                      ,                       ,                     ,                         ,                     ,                     ,                     ,                           ,                      ,                     ,                        ,                      ,                      ,                    ,                     ,                     ,                 ,                           ,                  ,                      ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,                          ,                        ,                           ,                              ,                          ,                  ,                                ,                           ,                       ,                  ,                      ,                  ,                 ,                   ,                   ,                 ,                  ,                    ,                   ,                           ,                        ,                     ,                     ,                   ,                       ,                     ,                   ,                   ,                        ,                      ,                       ,S                     ,                       ,                            ,found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 952,A, 22,X, 7,  49.00,    203.5900,Howe     ,Nannofossils                                 ,H              ,M-G               ,                       ,                       ,                          ,                 ,                            ,C                        ,A                      ,R                     ,R                      ,F                    ,                         ,C                    ,F                    ,                     ,                           ,                      ,C                    ,                        ,R                     ,                      ,                    ,                     ,F                    ,                 ,R                          ,                  ,F                     ,                         ,S                ,                     ,                         ,                              ,                      ,                              ,                  ,              ,S                    ,                   ,R                         ,                        ,                           ,                              ,                          ,S                 ,F                               ,                           ,                       ,                  ,R                     ,C                 ,                 ,                   ,R                  ,                 ,                  ,                    ,                   ,                           ,R                       ,                     ,                     ,R                  ,C                      ,                     ,                   ,                   ,R                       ,R                     ,                       ,                      ,                       ,                            ,Single Cretaceous reworking. found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 952,A, 23,X, 2, 125.50,    206.5550,Howe     ,Nannofossils                                 ,M-H            ,M                 ,                       ,                       ,                          ,                 ,                            ,A                        ,A                      ,                      ,                       ,F                    ,                         ,C                    ,C                    ,                     ,S                          ,                      ,C                    ,                        ,                      ,                      ,R                   ,                     ,F                    ,                 ,R                          ,                  ,F                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,                          ,                        ,                           ,                              ,                          ,                  ,C                               ,                           ,                       ,                  ,R                     ,F                 ,                 ,                   ,F                  ,                 ,                  ,                    ,                   ,                           ,F                       ,                     ,                     ,R                  ,R                      ,R                    ,                   ,                   ,R                       ,R                     ,S                      ,                      ,                       ,                            ,Rare Cretaceous reworking. found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 952,A, 23,X, 4,  41.00,    208.7100,Howe     ,Nannofossils                                 ,VH             ,M-G               ,                       ,                       ,                          ,                 ,                            ,A                        ,A                      ,R                     ,                       ,F                    ,                         ,C                    ,C                    ,                     ,                           ,                      ,C                    ,                        ,R                     ,                      ,                    ,                     ,F                    ,                 ,R                          ,                  ,F                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,R                         ,                        ,                           ,                              ,                          ,                  ,C                               ,                           ,                       ,                  ,R                     ,C                 ,                 ,                   ,F                  ,                 ,                  ,                    ,                   ,                           ,R                       ,                     ,                     ,R                  ,C                      ,R                    ,                   ,                   ,R                       ,R                     ,R                      ,                      ,                       ,                            ,found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 952,A, 23,X, 5,  10.00,    209.9000,Howe     ,Nannofossils                                 ,VH             ,M-G               ,                       ,                       ,                          ,                 ,                            ,A                        ,A                      ,R                     ,R                      ,C                    ,                         ,C                    ,C                    ,                     ,                           ,                      ,C                    ,                        ,                      ,                      ,R                   ,                     ,F                    ,                 ,R                          ,F                 ,F                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,R                         ,                        ,                           ,                              ,                          ,                  ,A                               ,                           ,                       ,                  ,F                     ,F                 ,                 ,                   ,F                  ,                 ,                  ,                    ,                   ,                           ,F                       ,                     ,                     ,R                  ,R                      ,                     ,S                  ,                   ,F                       ,R                     ,R                      ,                      ,                       ,                            ,Single Cretaceous & Paleogene reworking. found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 952,A, 23,X, 7,  33.00,    213.1300,Howe     ,Nannofossils                                 ,VH             ,M-G               ,                       ,                       ,                          ,                 ,                            ,A                        ,A                      ,R                     ,                       ,F                    ,                         ,C                    ,C                    ,                     ,                           ,                      ,C                    ,                        ,R                     ,                      ,R                   ,                     ,C                    ,                 ,                           ,S                 ,F                     ,                         ,R                ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,R                         ,                        ,                           ,                              ,                          ,                  ,C                               ,                           ,                       ,                  ,F                     ,F                 ,                 ,                   ,C                  ,                 ,                  ,                    ,R                  ,                           ,F                       ,                     ,                     ,R                  ,F                      ,R                    ,S                  ,                   ,F                       ,R                     ,                       ,                      ,                       ,                            ,Single Paleogene reworking. found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 952,A, 24,X, 2,  59.00,    215.4900,Howe     ,Nannofossils                                 ,VH             ,M-G               ,R                      ,                       ,                          ,                 ,                            ,A                        ,A                      ,                      ,S                      ,F                    ,                         ,C                    ,C                    ,                     ,                           ,                      ,C                    ,                        ,                      ,                      ,                    ,                     ,C                    ,                 ,S                          ,                  ,R                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,R                  ,                          ,                        ,                           ,                              ,                          ,                  ,F                               ,                           ,                       ,                  ,F                     ,F                 ,                 ,                   ,F                  ,                 ,                  ,                    ,                   ,                           ,R                       ,                     ,                     ,R                  ,F                      ,R                    ,                   ,                   ,F                       ,R                     ,                       ,                      ,                       ,                            ,Rare Cretaceous & Single Paleogene reworking. found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 952,A, 24,X, 5,  69.00,    220.0900,Howe     ,Nannofossils                                 ,VH             ,M                 ,                       ,                       ,                          ,                 ,                            ,A                        ,A                      ,                      ,                       ,R                    ,                         ,C                    ,C                    ,R                    ,R                          ,                      ,C                    ,                        ,R                     ,                      ,R                   ,                     ,C                    ,                 ,R                          ,                  ,R                     ,                         ,S                ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,R                  ,F                         ,                        ,                           ,                              ,                          ,                  ,C                               ,                           ,                       ,                  ,C                     ,F                 ,                 ,                   ,F                  ,                 ,                  ,                    ,R                  ,                           ,R                       ,                     ,                     ,R                  ,R                      ,R                    ,R                  ,                   ,R                       ,                      ,                       ,                      ,                       ,                            ,Rare Paleogene reworking. found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 952,A, 25,X, 6,  10.00,    230.7000,Howe     ,Nannofossils                                 ,H              ,M                 ,R                      ,                       ,                          ,                 ,                            ,A                        ,A                      ,                      ,R                      ,F                    ,                         ,C                    ,C                    ,                     ,                           ,                      ,C                    ,R                       ,R                     ,                      ,F                   ,                     ,F                    ,                 ,R                          ,R                 ,F                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,F                         ,                        ,                           ,                              ,                          ,                  ,F                               ,                           ,                       ,                  ,R                     ,F                 ,                 ,                   ,C                  ,                 ,                  ,S                   ,?R                 ,                           ,F                       ,                     ,S                    ,                   ,R                      ,                     ,R                  ,S                  ,                        ,                      ,                       ,                      ,                       ,                            ,Single Paleogene reworking. found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 952,A, 25,X,CC,  26.00,    231.1600,Howe     ,Nannofossils                                 ,VH             ,M-G               ,R                      ,                       ,S                         ,                 ,                            ,A                        ,A                      ,R                     ,S                      ,F                    ,                         ,C                    ,C                    ,S                    ,                           ,                      ,C                    ,S                       ,R                     ,                      ,S                   ,                     ,C                    ,S                ,R                          ,R                 ,R                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,S                    ,                   ,                          ,                        ,                           ,                              ,                          ,                  ,R                               ,                           ,                       ,                  ,R                     ,F                 ,                 ,                   ,F                  ,                 ,                  ,                    ,S                  ,                           ,F                       ,                     ,S                    ,R                  ,F                      ,F                    ,R                  ,                   ,                        ,                      ,                       ,                      ,                       ,                            ,found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,157, 952,A, 26,X, 1,  58.00,    233.2800,Howe     ,Nannofossils                                 ,M              ,M                 ,                       ,                       ,                          ,                 ,                            ,C                        ,C                      ,                      ,                       ,R                    ,                         ,F                    ,F                    ,                     ,                           ,                      ,F                    ,                        ,R                     ,                      ,R                   ,                     ,R                    ,                 ,S                          ,                  ,R                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,                          ,                        ,                           ,                              ,                          ,                  ,F                               ,                           ,                       ,                  ,                      ,R                 ,                 ,                   ,F                  ,                 ,                  ,                    ,                   ,                           ,R                       ,                     ,                     ,S                  ,R                      ,F                    ,                   ,                   ,                        ,                      ,                       ,                      ,                       ,                            ,found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,157, 952,A, 26,X, 1, 113.00,    233.8300,Howe     ,Nannofossils                                 ,VL             ,P                 ,R                      ,                       ,                          ,                 ,                            ,F                        ,F                      ,                      ,                       ,R                    ,                         ,S                    ,R                    ,                     ,                           ,                      ,R                    ,                        ,S                     ,                      ,S                   ,                     ,                     ,                 ,                           ,                  ,R                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,                          ,                        ,                           ,                              ,                          ,                  ,R                               ,                           ,                       ,                  ,                      ,R                 ,                 ,                   ,                   ,                 ,                  ,                    ,                   ,                           ,                        ,                     ,                     ,                   ,                       ,                     ,                   ,                   ,                        ,                      ,                       ,                      ,                       ,                            ,found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,157, 952,A, 26,X, 3,  96.00,    236.6600,Howe     ,Nannofossils                                 ,M-H            ,M                 ,                       ,                       ,                          ,                 ,                            ,A                        ,A                      ,R                     ,S                      ,F                    ,                         ,C                    ,C                    ,                     ,                           ,                      ,C                    ,S                       ,R                     ,                      ,                    ,                     ,R                    ,                 ,R                          ,                  ,S                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,R                    ,                   ,S                         ,                        ,                           ,                              ,                          ,                  ,R                               ,                           ,                       ,                  ,R                     ,F                 ,                 ,                   ,F                  ,R                ,                  ,                    ,F                  ,                           ,F                       ,                     ,R                    ,R                  ,R                      ,F                    ,                   ,                   ,                        ,                      ,                       ,                      ,                       ,                            ,found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,157, 952,A, 27,X, 1, 144.50,    243.8450,Howe     ,Nannofossils                                 ,L              ,P                 ,R                      ,                       ,                          ,                 ,                            ,F                        ,F                      ,                      ,S                      ,R                    ,                         ,R                    ,F                    ,                     ,                           ,                      ,R                    ,                        ,                      ,                      ,R                   ,                     ,R                    ,                 ,R                          ,                  ,R                     ,S                        ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,                   ,                          ,                        ,                           ,                              ,                          ,                  ,                                ,                           ,                       ,                  ,                      ,R                 ,                 ,                   ,F                  ,                 ,                  ,                    ,S                  ,                           ,R                       ,                     ,                     ,                   ,                       ,                     ,                   ,                   ,                        ,                      ,                       ,                      ,                       ,                            ,found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,157, 952,A, 27,X, 3,  68.00,    246.0800,Howe     ,Nannofossils                                 ,M-H            ,M-G               ,                       ,                       ,                          ,                 ,                            ,C                        ,C                      ,                      ,R                      ,F                    ,                         ,C                    ,F                    ,                     ,                           ,                      ,F                    ,                        ,R                     ,                      ,F                   ,                     ,F                    ,                 ,R                          ,S                 ,R                     ,                         ,                 ,                     ,                         ,                              ,                      ,                              ,                  ,              ,                     ,R                  ,                          ,                        ,                           ,                              ,                          ,                  ,F                               ,                           ,                       ,                  ,S                     ,R                 ,R                ,                   ,F                  ,                 ,                  ,                    ,C                  ,                           ,F                       ,                     ,?S                   ,                   ,                       ,                     ,                   ,                   ,                        ,                      ,                       ,                      ,                       ,                            ,Single Cretaceous reworking. found in SR. Ch 29. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
