Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera mirabilis	Syracosphaera pulchra	Sphenolithus abies/neoabies	Scapholithus fossilis	Rhabdosphaera clavigera	Reticulofenestra sp. (<5 microns)	Reticulofenestra sp. (5-7 microns)	Pseudoemiliania lacunosa	Pontosphaera sp.	Pontosphaera japonica	Pontosphaera discopora	Helicosphaera kamptneri	Gephyrocapsa sp. (< 3.5 microns)	Gephyrocapsa oceanica (4-5.5 microns)  	Discoaster sp.	Discoaster quinqueramus	Discoaster brouweri	Dictyococcites sp.	Calcidiscus leptoporus	Syracosphaera clava	Scyphosphaera sp.	Helicosphaera sellii	Ceratolithus cristatus	Discoaster pentaradiatus	Coccolithus pelagicus	Holodiscolithus macroporus	Sphenolithus moriformis	Ceratolithus sp.	Discosphaera tubifera	Discoaster variabilis	Umbellosphaera irregularis	Emiliania huxleyi	Cyclicargolithus floridanus	Discoaster surculus	Calcidiscus macintyrei	Comment
  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	  5	H	 3	 114.00	     36.7400	Staerker 	Nannofossils                                 	R              	E                 	C                        	C                    	rR                         	C                    	C                      	R                                	                                  	rS                      	S               	S                    	S                     	C                      	A                               	S                                      	rR            	rS                     	rS                 	C                 	C                     	S                  	                 	                    	R                     	rS                      	R                    	                          	                       	R               	S                    	rR                   	R                         	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	  6	H	 1	 120.00	     40.4000	Staerker 	Nannofossils                                 	R              	E                 	S                        	S                    	rS                         	C                    	S                      	R                                	                                  	rS                      	R               	S                    	R                     	C                      	V                               	C                                      	rR            	rS                     	rS                 	C                 	C                     	                   	                 	                    	R                     	rS                      	R                    	                          	rR                     	R               	R                    	rR                   	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	  7	H	 2	 132.00	     48.0200	Staerker 	Nannofossils                                 	R              	E                 	S                        	S                    	rS                         	C                    	S                      	R                                	                                  	rS                      	R               	S                    	R                     	C                      	A                               	C                                      	rR            	rS                     	rS                 	C                 	C                     	                   	                 	                    	R                     	rS                      	R                    	                          	                       	R               	R                    	rR                   	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	  8	H	 2	  95.00	     56.4200	Staerker 	Nannofossils                                 	R              	E                 	S                        	S                    	rS                         	C                    	S                      	R                                	                                  	rS                      	R               	S                    	R                     	C                      	V                               	C                                      	rR            	rR                     	rR                 	C                 	C                     	                   	                 	                    	R                     	rR                      	R                    	                          	                       	R               	R                    	rR                   	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	 10	H	 1	  20.00	     63.1000	Staerker 	Nannofossils                                 	R              	E                 	C                        	S                    	                           	R                    	S                      	                                 	                                  	                        	R               	R                    	                      	C                      	V                               	C                                      	              	                       	                   	S                 	C                     	                   	                 	                    	R                     	                        	                     	                          	                       	R               	                     	                     	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	 11	H	 1	 110.00	     70.8000	Staerker 	Nannofossils                                 	R              	E                 	C                        	R                    	rR                         	R                    	S                      	R                                	                                  	                        	R               	R                    	R                     	C                      	V                               	C                                      	rR            	rR                     	rR                 	C                 	C                     	                   	                 	                    	R                     	                        	                     	                          	rR                     	R               	                     	                     	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	 12	H	 1	  43.00	     76.4300	Staerker 	Nannofossils                                 	R              	E                 	S                        	R                    	                           	R                    	R                      	R                                	                                  	                        	R               	R                    	R                     	S                      	A                               	S                                      	              	                       	                   	S                 	S                     	                   	                 	                    	R                     	                        	                     	                          	                       	                	                     	                     	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	 13	H	 2	   2.00	     79.5200	Staerker 	Nannofossils                                 	R              	E                 	S                        	R                    	                           	R                    	R                      	R                                	                                  	                        	R               	R                    	R                     	S                      	A                               	S                                      	              	                       	rR                 	S                 	S                     	                   	                 	                    	R                     	                        	                     	                          	                       	                	                     	                     	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	 15	X	CC	  16.00	     84.1600	Staerker 	Nannofossils                                 	R              	E                 	S                        	R                    	                           	R                    	R                      	R                                	                                  	                        	R               	R                    	R                     	S                      	A                               	C                                      	              	                       	rR                 	S                 	C                     	                   	                 	                    	R                     	rR                      	                     	                          	                       	                	                     	                     	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	 16	X	 2	  43.00	     95.6300	Staerker 	Nannofossils                                 	S              	E                 	C                        	C                    	rR                         	S                    	S                      	R                                	rS                                	rC                      	S               	S                    	R                     	C                      	A                               	C                                      	              	rS                     	rS                 	C                 	C                     	R                  	                 	                    	R                     	rS                      	                     	                          	                       	                	                     	                     	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	 17	X	CC	  14.00	    103.4400	Staerker 	Nannofossils                                 	R              	E                 	C                        	C                    	rR                         	S                    	S                      	R                                	rS                                	rC                      	S               	S                    	R                     	C                      	A                               	C                                      	              	rS                     	rS                 	C                 	C                     	R                  	                 	                    	R                     	rS                      	                     	R                         	                       	                	                     	                     	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	 18	X	CC	  17.00	    113.1700	Staerker 	Nannofossils                                 	R              	E                 	C                        	C                    	rR                         	S                    	S                      	R                                	rS                                	rC                      	S               	S                    	R                     	C                      	A                               	C                                      	rS            	rS                     	rS                 	C                 	C                     	S                  	                 	                    	R                     	rS                      	                     	                          	                       	                	                     	                     	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	 21	X	 2	 115.00	    144.6500	Staerker 	Nannofossils                                 	R              	E                 	C                        	C                    	rS                         	S                    	S                      	R                                	rS                                	rC                      	S               	                     	R                     	C                      	A                               	C                                      	rS            	rS                     	rS                 	C                 	C                     	                   	                 	                    	R                     	rS                      	R                    	                          	                       	                	                     	                     	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	 23	X	 1	  49.00	    161.7900	Staerker 	Nannofossils                                 	R              	E                 	C                        	C                    	rR                         	S                    	C                      	R                                	rR                                	rC                      	S               	                     	R                     	C                      	A                               	C                                      	rS            	rR                     	rR                 	C                 	C                     	                   	                 	                    	S                     	rR                      	                     	                          	                       	                	                     	                     	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	 24	X	 1	  85.00	    171.7500	Staerker 	Nannofossils                                 	S              	E                 	C                        	C                    	rR                         	C                    	C                      	R                                	rR                                	rC                      	S               	S                    	S                     	C                      	A                               	A                                      	rR            	rS                     	rR                 	C                 	C                     	R                  	R                	R                   	S                     	                        	                     	                          	                       	                	                     	                     	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	 25	X	CC	  28.00	    180.8800	Staerker 	Nannofossils                                 	R              	E                 	S                        	S                    	rR                         	S                    	S                      	R                                	rR                                	rC                      	S               	R                    	R                     	C                      	C                               	S                                      	rR            	rS                     	rR                 	R                 	S                     	                   	                 	                    	                      	                        	                     	                          	                       	                	                     	                     	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	A	 26	X	 1	  22.00	    190.5200	Staerker 	Nannofossils                                 	R              	E                 	C                        	S                    	rR                         	S                    	S                      	R                                	rR                                	rC                      	S               	R                    	R                     	C                      	A                               	S                                      	rR            	rS                     	rR                 	R                 	C                     	                   	                 	                    	                      	                        	                     	                          	                       	                	                     	                     	                          	                 	                           	                   	                      	from ODP Leg 134 SR Chapter 10 Table 8 p 223

