Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sceptroneis tenue-pesplanus (group),Resting spores (excluding Chaetoceros),Pyxilla spp.,Paralia sulcata,Melosira architecturalis,Kisseleviella carina,Cavitatus jouseanus,Benthic diatoms,Azpeitia tabularis,Actinoptychus senarius,Stellarima spp.,Rouxia naviculoides,Rocella praenitida,Pseudotriceratium radiosoreticulatum,Hemiaulus cf. incisus,Coscinodiscus marginatus,Azpeitia oligocenica,Chaetoceros spores,Thalassiothrix longissima,Thalassionema nitzschioides,Rouxia obesa,Cavitatus miocenicus,Actinocyclus octonarius,Rocella vigilans,Ikebea tenuis,Hemiaulus sp. (pyxiloides form),Thalassiosira dubiosa,Simonseniella interposita,Rocella semigelida,Coscinodiscus lewisianus var. levis,Cestodiscus trochus,Cestodiscus kugleri,Thalassiosira media/convexa,Rouxia cf. granda,Rocella gelida  var. schraderi,Thalassiosira irregulata,Cavitatus rectus,Pseudodimerogramma elegans,Goniothecium odontella,Cavitatus linearis,Kozloviella minor,Cymatosira aff. lorenziana,Asteromphalus aff. robustus-symmetricus,Asteromphalus aff. oligocenicus,Rocella gelida,Lisitzinia ornata,Coscinodiscus rhombicus,Lisitzinia ornata  f. pentagona,Thalassiosira lusca,Kisselviella magnaareolata,Thalassiosira praefraga,Kisseleviella ezoensis,Goniothecium decoratum,Raphidodiscus marylandicus,Actinocyclus ingens,Azpeitia salisburyana,Azpeitia praenodulifera,Azpeitia biradiata,Rhizosolenia hotaense,Thalassiosira fraga,Rhizosolenia norwegica,Azpeitia aff. praenodulifera,Nitzschia maleinterpretaria,Simonseniella praebarboi,Crucidenticula sawamurae,Coscinodiscus lewisianus,Actinocyclus tsugaruensis,Actinocyclus sp. (ochotensis-ingens form),Mediaria splendida,Crucidenticula ikebei,Asteromphalus cf. darwinii,Thalassionema nitzschioides  var. parva,Rouxia isopolica,Crucidenticula kanayae,Nitzschia challengeri,Denticulopsis praelauta,Nitzschia aff. challengeri,Cavitatus exiguus,Denticulopsis lauta,Actinocyclus ingens  var. nodus,Cavitatus lanceolatus,Yoshidaia divergens,Denticulopsis hyalina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. praelauta      ,              ,145, 884,B, 63,X, 4,  25.00,    579.5500,Gladenkov,Diatoms                                      ,C              ,M                 ,                                   ,1                                     ,            ,               ,                        ,+                   ,+                  ,+              ,                  ,2                     ,+              ,+                  ,                  ,                                    ,                     ,4                       ,                    ,3                 ,13                       ,1                          ,            ,2                   ,                       ,                ,+            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,                  ,                 ,                          ,+                                      ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,170                ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,7                       ,                        ,                        ,                         ,                                         ,+                 ,                     ,                          ,                                       ,                ,                      ,+                    ,1                      ,                          ,+                ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. praelauta      ,              ,145, 884,B, 63,X, 5,  25.00,    581.0500,Gladenkov,Diatoms                                      ,A              ,G                 ,                                   ,+                                     ,            ,               ,                        ,+                   ,+                  ,+              ,                  ,1                     ,+              ,7                  ,                  ,                                    ,                     ,1                       ,                    ,2                 ,14                       ,1                          ,            ,6                   ,                       ,                ,+            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,+                 ,                 ,                          ,1                                      ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,30                 ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,5                       ,                        ,                        ,                         ,                                         ,7                 ,                     ,                          ,                                       ,                ,                      ,2                    ,111                    ,12                        ,+                ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. praelauta      ,              ,145, 884,B, 63,X, 6,  25.00,    582.5500,Gladenkov,Diatoms                                      ,A              ,M/G               ,                                   ,3                                     ,            ,               ,                        ,+                   ,+                  ,+              ,+                 ,3                     ,10             ,                   ,                  ,+                                   ,                     ,18                      ,                    ,21                ,15                       ,4                          ,            ,4                   ,                       ,                ,+            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,+                 ,                 ,                          ,                                       ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,112                ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,10                      ,                        ,+                       ,                         ,                                         ,5                 ,                     ,                          ,                                       ,                ,                      ,1                    ,13                     ,+                         ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. praelauta      ,              ,145, 884,B, 63,X,CC,   0.00,    583.8200,Gladenkov,Diatoms                                      ,A              ,G                 ,                                   ,4                                     ,+           ,+              ,                        ,+                   ,1                  ,+              ,+                 ,5                     ,7              ,2                  ,                  ,                                    ,                     ,19                      ,                    ,26                ,13                       ,3                          ,            ,7                   ,                       ,                ,2            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,+                 ,                 ,                          ,+                                      ,+                              ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,118                ,                     ,                       ,                  ,                     ,+                  ,                      ,                            ,                           ,2                       ,                        ,+                       ,                         ,                                         ,1                 ,                     ,+                         ,                                       ,                ,+                     ,2                    ,11                     ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. kanayae        ,              ,145, 884,B, 64,X, 1,  25.00,    584.6500,Gladenkov,Diatoms                                      ,C              ,G                 ,                                   ,2                                     ,            ,+              ,                        ,3                   ,1                  ,+              ,+                 ,1                     ,2              ,                   ,                  ,                                    ,                     ,106                     ,                    ,36                ,19                       ,10                         ,            ,12                  ,                       ,                ,+            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,                  ,                 ,                          ,1                                      ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,34                 ,                     ,+?                     ,                  ,                     ,                   ,                      ,                            ,                           ,2                       ,                        ,                        ,                         ,                                         ,+                 ,+                    ,                          ,                                       ,                ,2                     ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. kanayae        ,              ,145, 884,B, 64,X, 2,  25.00,    586.1500,Gladenkov,Diatoms                                      ,C-A            ,G                 ,                                   ,+                                     ,+           ,1              ,                        ,+                   ,+                  ,+              ,+                 ,5                     ,3              ,                   ,                  ,                                    ,                     ,48                      ,                    ,15                ,16                       ,5                          ,            ,14                  ,                       ,                ,+            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,+                 ,                 ,                          ,1                                      ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,47                 ,                     ,1                      ,                  ,                     ,                   ,                      ,                            ,                           ,4                       ,1                       ,                        ,                         ,                                         ,+                 ,+                    ,                          ,                                       ,                ,48                    ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. kanayae        ,              ,145, 884,B, 64,X, 3,  25.00,    587.6500,Gladenkov,Diatoms                                      ,A              ,G                 ,                                   ,2                                     ,+           ,+              ,                        ,+                   ,+                  ,+              ,                  ,+                     ,21             ,                   ,                  ,                                    ,                     ,43                      ,                    ,14                ,40                       ,4                          ,            ,7                   ,                       ,                ,+            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,                  ,                 ,                          ,+                                      ,+                              ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,14                 ,+                    ,1                      ,                  ,                     ,                   ,                      ,                            ,                           ,3                       ,10                      ,                        ,                         ,                                         ,+                 ,2                    ,+                         ,                                       ,                ,50                    ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. kanayae        ,              ,145, 884,B, 64,X, 4,  25.00,    589.1500,Gladenkov,Diatoms                                      ,C-A            ,G                 ,                                   ,5                                     ,            ,+              ,                        ,+                   ,1                  ,+              ,1                 ,1                     ,29             ,                   ,                  ,                                    ,                     ,37                      ,+?                  ,10                ,16                       ,4                          ,            ,9                   ,                       ,                ,+            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,+                 ,                 ,                          ,+                                      ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,8                  ,+                    ,+                      ,                  ,                     ,                   ,                      ,                            ,                           ,                        ,6                       ,+                       ,+                        ,2                                        ,                  ,2                    ,                          ,68                                     ,                ,16                    ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. sawamurae      ,              ,145, 884,B, 64,X, 5,  25.00,    590.6500,Gladenkov,Diatoms                                      ,A              ,M/G               ,                                   ,5                                     ,+           ,+              ,                        ,1                   ,1                  ,+              ,+                 ,+                     ,31             ,+                  ,                  ,+                                   ,                     ,16                      ,                    ,40                ,53                       ,9                          ,            ,11                  ,+                      ,                ,1            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,3                 ,                 ,                          ,1                                      ,+                              ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,4                  ,                     ,+                      ,                  ,+                    ,1                  ,                      ,+                           ,                           ,4                       ,34                      ,+                       ,2                        ,6                                        ,+                 ,1                    ,+                         ,11                                     ,1               ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. sawamurae      ,              ,145, 884,B, 64,X, 6,  28.00,    591.4800,Gladenkov,Diatoms                                      ,C              ,G                 ,                                   ,2                                     ,2           ,               ,                        ,1                   ,1                  ,               ,                  ,                      ,37             ,                   ,                  ,                                    ,                     ,28                      ,                    ,21                ,62                       ,2                          ,            ,17                  ,                       ,                ,             ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,+                 ,                 ,                          ,3                                      ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,6                  ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,6                       ,8                       ,                        ,17                       ,3                                        ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. sawamurae      ,              ,145, 884,B, 64,X,CC,  13.00,    594.3300,Gladenkov,Diatoms                                      ,A              ,M                 ,                                   ,1                                     ,            ,+              ,                        ,+                   ,+                  ,2              ,                  ,+                     ,29             ,                   ,                  ,                                    ,                     ,29                      ,                    ,21                ,57                       ,3                          ,            ,13                  ,                       ,                ,+            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,+                 ,                 ,                          ,2                                      ,+                              ,+             ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,3                  ,                     ,+                      ,                  ,                     ,                   ,                      ,                            ,                           ,4                       ,54                      ,                        ,+                        ,2                                        ,+                 ,+                    ,+                         ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. sawamurae      ,              ,145, 884,B, 65,X, 2,  25.00,    595.8500,Gladenkov,Diatoms                                      ,C              ,M                 ,                                   ,1                                     ,+           ,2              ,                        ,2                   ,1                  ,+              ,                  ,+                     ,69             ,+?                 ,                  ,                                    ,                     ,69                      ,                    ,14                ,25                       ,3                          ,            ,3                   ,                       ,                ,1            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,+                 ,                 ,                          ,+                                      ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,6                  ,                     ,                       ,                  ,                     ,                   ,                      ,                            ,                           ,4                       ,5                       ,                        ,+                        ,5                                        ,+                 ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. sawamurae      ,              ,145, 884,B, 65,X, 4,  25.00,    598.8500,Gladenkov,Diatoms                                      ,C              ,M                 ,                                   ,3                                     ,            ,2              ,                        ,1                   ,6                  ,+              ,+                 ,1                     ,55             ,+?                 ,                  ,                                    ,                     ,16                      ,                    ,13                ,42                       ,7                          ,            ,11                  ,+                      ,                ,+            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,2                 ,                 ,                          ,+                                      ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,7                  ,                     ,+                      ,                  ,                     ,+                  ,                      ,                            ,                           ,3                       ,15                      ,                        ,+                        ,18                                       ,2                 ,+                    ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. sawamurae      ,              ,145, 884,B, 65,X, 6,  25.00,    601.8500,Gladenkov,Diatoms                                      ,C              ,M                 ,                                   ,8                                     ,            ,1              ,                        ,1                   ,4                  ,+              ,                  ,+                     ,110            ,                   ,                  ,                                    ,                     ,12                      ,                    ,9                 ,30                       ,3                          ,            ,5                   ,+                      ,                ,1            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,+                 ,                 ,                          ,                                       ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,3                  ,                     ,+                      ,                  ,+                    ,1                  ,                      ,+                           ,                           ,2                       ,8                       ,                        ,+                        ,6                                        ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. sawamurae      ,              ,145, 884,B, 65,X,CC,  27.00,    604.0400,Gladenkov,Diatoms                                      ,C              ,M                 ,                                   ,5                                     ,+           ,2              ,                        ,+                   ,2                  ,+              ,                  ,                      ,109            ,+?                 ,                  ,                                    ,                     ,27                      ,                    ,18                ,27                       ,5                          ,            ,3                   ,+                      ,                ,+            ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,                  ,                 ,                          ,                                       ,                               ,              ,                 ,                       ,                               ,                   ,                          ,                       ,                      ,                      ,                          ,3                  ,                     ,+                      ,                  ,                     ,+                  ,+                     ,2                           ,                           ,1                       ,4                       ,+                       ,3                        ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,T. fraga          ,              ,145, 884,B, 66,X, 1,  25.00,    604.0500,Gladenkov,Diatoms                                      ,A              ,M/G               ,+                                  ,6                                     ,            ,+              ,                        ,1                   ,2                  ,+              ,                  ,+                     ,91             ,                   ,                  ,                                    ,                     ,61                      ,+?                  ,12                ,23                       ,3                          ,            ,4                   ,+                      ,                ,             ,                               ,                     ,                         ,                  ,                                   ,                   ,                   ,                           ,                 ,                              ,                        ,                ,                          ,                      ,                  ,                 ,                          ,                                       ,                               ,              ,                 ,                       ,                               ,                   ,                          ,1                      ,                      ,                      ,                          ,+                  ,                     ,+                      ,                  ,+                    ,1                  ,+                     ,1                           ,                           ,                        ,                        ,                        ,                         ,                                         ,                  ,                     ,                          ,                                       ,                ,                      ,                     ,                       ,                          ,                 ,                   ,                               ,                     ,                   ,                     ,from Leg 145 SR; Ch 2; Table 1; p. 22-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
