Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Neogloboquadrina humerosa	Globorotalia puncticulata	Globorotalia hirsuta	Globigerina quinqueloba	Globigerina bulloides	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina asanoi	Globorotalia inflata	Globigerinita glutinata	Neogloboquadrina sp. "rounded"	Globorotalia scitula	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma "rounded"	Globigerina umbilicata	Globigerina apertura	Globorotaloides hexagona	Neogloboquadrina dutertrei	Hastigerina aequilateralis	Globorotalia truncatulinoides	Comment
  IR	                 	                 	N22               	N23           	167	1018	A	  8	H	CC	  40.00	     71.8100	Kennett  	Planktonic Foraminifers                      	A              	G                 	                 	                         	                         	                    	                       	A                    	                                     	                       	                    	                       	                              	                    	A                                      	                                     	A                     	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	  9	H	CC	  23.00	     81.4300	Kennett  	Planktonic Foraminifers                      	A              	G                 	F                	                         	                         	                    	                       	A                    	F                                    	                       	C                   	                       	                              	R                   	A                                      	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	 10	H	CC	  44.00	     91.1500	Kennett  	Planktonic Foraminifers                      	C              	G                 	                 	                         	                         	                    	                       	A                    	                                     	                       	C                   	                       	                              	                    	A                                      	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	 11	X	CC	  11.00	     99.2100	Kennett  	Planktonic Foraminifers                      	A              	G                 	R                	C                        	                         	                    	                       	A                    	A                                    	                       	                    	R                      	                              	R                   	C                                      	                                     	F                     	                    	                        	C                         	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	 12	X	CC	  11.00	    106.2100	Kennett  	Planktonic Foraminifers                      	C              	G                 	                 	F                        	                         	                    	                       	                     	C                                    	                       	                    	                       	                              	R                   	C                                      	F                                    	                      	                    	R                       	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	 13	X	CC	  26.00	    117.9000	Kennett  	Planktonic Foraminifers                      	R              	P                 	                 	                         	                         	                    	                       	R                    	                                     	                       	                    	                       	                              	                    	R                                      	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	 14	X	CC	  12.00	    127.7500	Kennett  	Planktonic Foraminifers                      	A              	G                 	                 	                         	                         	R                   	                       	A                    	                                     	                       	R                   	                       	                              	R                   	A                                      	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	 15	X	CC	  17.00	    137.6400	Kennett  	Planktonic Foraminifers                      	F              	M                 	                 	                         	                         	                    	                       	                     	C                                    	                       	                    	                       	                              	                    	F                                      	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	 16	X	CC	  14.00	    142.2800	Kennett  	Planktonic Foraminifers                      	A              	G                 	                 	                         	                         	                    	                       	A                    	                                     	                       	                    	                       	                              	                    	A                                      	A                                    	                      	C                   	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	 17	X	CC	  31.00	    157.0700	Kennett  	Planktonic Foraminifers                      	A              	G                 	                 	                         	                         	R                   	A                      	A                    	                                     	                       	R                   	                       	                              	                    	A                                      	A                                    	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	 19	X	CC	  40.00	    176.3000	Kennett  	Planktonic Foraminifers                      	F              	M                 	                 	                         	                         	                    	                       	C                    	F                                    	                       	                    	                       	                              	                    	F                                      	F                                    	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	 20	X	CC	  31.00	    185.9600	Kennett  	Planktonic Foraminifers                      	A              	G                 	                 	                         	                         	                    	                       	A                    	A                                    	                       	                    	                       	                              	                    	                                       	C                                    	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	 21	X	CC	  31.00	    195.4800	Kennett  	Planktonic Foraminifers                      	R              	P                 	                 	                         	                         	                    	                       	C                    	                                     	                       	                    	                       	                              	                    	                                       	R                                    	R                     	R                   	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N22               	N23           	167	1018	A	 22	X	CC	  25.00	    205.0200	Kennett  	Planktonic Foraminifers                      	F              	M                 	                 	                         	                         	                    	F                      	A                    	F                                    	                       	                    	                       	                              	                    	                                       	C                                    	A                     	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 24	X	CC	  28.00	    224.2800	Kennett  	Planktonic Foraminifers                      	R              	P                 	                 	                         	                         	                    	                       	R                    	                                     	                       	                    	                       	                              	                    	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 25	X	CC	  29.00	    233.9300	Kennett  	Planktonic Foraminifers                      	F              	M                 	                 	F                        	                         	                    	                       	A                    	C                                    	                       	                    	                       	                              	                    	R                                      	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 26	X	CC	  35.00	    243.6600	Kennett  	Planktonic Foraminifers                      	F              	M                 	                 	                         	                         	                    	                       	A                    	C                                    	                       	                    	                       	                              	                    	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 27	X	CC	  32.00	    253.2900	Kennett  	Planktonic Foraminifers                      	F              	M                 	                 	                         	                         	                    	                       	C                    	                                     	C                      	                    	                       	                              	                    	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 28	X	CC	  20.00	    262.7000	Kennett  	Planktonic Foraminifers                      	R              	P                 	                 	                         	                         	                    	                       	R                    	                                     	R                      	                    	                       	                              	                    	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 29	X	CC	  32.00	    272.2800	Kennett  	Planktonic Foraminifers                      	F              	M                 	R                	                         	                         	                    	                       	A                    	R                                    	F                      	                    	                       	                              	                    	R                                      	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 30	X	CC	  30.00	    281.9500	Kennett  	Planktonic Foraminifers                      	R              	P                 	                 	                         	                         	                    	                       	R                    	                                     	R                      	                    	                       	                              	                    	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 31	X	CC	  28.00	    291.5200	Kennett  	Planktonic Foraminifers                      	F              	M                 	                 	                         	                         	                    	                       	F                    	R                                    	F                      	                    	                       	                              	                    	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 34	X	CC	  24.00	    320.4100	Kennett  	Planktonic Foraminifers                      	C              	M                 	                 	                         	                         	                    	                       	A                    	C                                    	C                      	F                   	                       	C                             	R                   	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 35	X	CC	  31.00	    330.0700	Kennett  	Planktonic Foraminifers                      	F              	M                 	R                	                         	                         	                    	                       	C                    	                                     	C                      	                    	                       	C                             	                    	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 36	X	CC	  27.00	    339.7400	Kennett  	Planktonic Foraminifers                      	R              	P                 	R                	                         	                         	                    	                       	F                    	                                     	F                      	                    	                       	                              	                    	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 37	X	CC	  33.00	    349.4900	Kennett  	Planktonic Foraminifers                      	F              	M                 	                 	                         	                         	                    	                       	F                    	                                     	F                      	R                   	                       	                              	                    	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 39	X	CC	  32.00	    368.8000	Kennett  	Planktonic Foraminifers                      	F              	M                 	                 	                         	                         	                    	                       	C                    	C                                    	C                      	                    	                       	F                             	                    	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 40	X	CC	  33.00	    378.4800	Kennett  	Planktonic Foraminifers                      	R              	P                 	                 	                         	                         	                    	                       	F                    	                                     	F                      	                    	R                      	                              	                    	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 42	X	CC	   9.00	    397.4600	Kennett  	Planktonic Foraminifers                      	R              	P                 	                 	                         	                         	                    	                       	                     	                                     	R                      	                    	                       	                              	                    	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N21               	              	167	1018	A	 43	X	CC	   0.00	    406.9400	Kennett  	Planktonic Foraminifers                      	F              	M                 	R                	                         	                         	                    	                       	C                    	R                                    	C                      	C                   	                       	                              	                    	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N20               	              	167	1018	A	 44	X	CC	  34.00	    416.7700	Kennett  	Planktonic Foraminifers                      	F              	M                 	R                	                         	                         	                    	                       	                     	                                     	                       	                    	                       	                              	                    	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

  IR	                 	                 	N20               	              	167	1018	A	 45	X	CC	  10.00	    426.2400	Kennett  	Planktonic Foraminifers                      	F              	M                 	C                	R                        	R                        	R                   	F                      	C                    	                                     	                       	                    	                       	                              	                    	                                       	                                     	                      	                    	                        	                          	                          	                             	from IR. Ch 12. Table 3.

