Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys armata	Lithopera renzae	Liriospyris stauropora	Giraffospyris toxaria	Eucyrtidium diaphanes	Dorcadospyris dentata	Didymocyrtis prismatica	Carpocanopsis cingulata	Carpocanopsis bramlettei	Calocycletta robusta	Calocycletta costata	Acrocubus octopylus	Liriospyris parkerae	Dorcadospyris alata	Lithopera thornburgi	Calocycletta caepa	Stichocorys wolffii	Stichocorys delmontensis	Siphostichartus corona	Cyrtocapsella cornuta	Carpocanopsis cristata	Botryostrobus miralestensis	Cyrtocapsella japonica	Diartus petterssoni	Stichocorys johnsoni	Diartus hughesi	Solenosphaera omnitubus omnitubus	Stylatractus universus	Stichocorys peregrina	Phormostichoartus fistula	Phormostichoartus doliolum	Lychnodictyum audax	Didymocyrtis penultima	Anthocyrtidium pliocenica	Anthocyrtidium jenghisi	Theocorythium vetulum	Pterocanium prismatium	Spongaster tetras	Amphirhopalum ypsilon	Lamprocyrtis neoheteroporos	Lamprocyrtis heteroporos	Theocalyptra davisiana	Anthocyrtidium angulare	Theocorythium trachelium trachelium	Pterocorys minythorax	Lamprocyrtis nigriniae	Collosphaera tuberosa	Comment

  SR	                 	                 	P12               	              	138	 845	A	  2	H	 5	 110.00	     14.7000	Moore    	Radiolarians                                 	A              	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	                           	                        	R                     	                       	R                                  	F                    	R                     	R                    	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. ypsilon        	              	138	 845	A	  2	H	CC	  13.00	     17.1800	Moore    	Radiolarians                                 	A              	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	-                    	                           	                        	R                     	                       	-                                  	F                    	R                     	-                    	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. ypsilon        	              	138	 845	A	  3	H	 3	 110.00	     21.2000	Moore    	Radiolarians                                 	A              	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	-                          	                        	R                     	                       	R                                  	F                    	R                     	R                    	Uncertain identity of C. tuberosa; from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. ypsilon        	              	138	 845	A	  3	H	 4	  44.00	     22.0400	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	-                          	                        	R                     	                       	-                                  	R                    	R                     	-                    	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. ypsilon        	              	138	 845	A	  3	H	 4	 122.00	     22.8200	Moore    	Radiolarians                                 	A              	M                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	-                          	                        	R                     	                       	R                                  	R                    	R                     	-                    	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. ypsilon        	              	138	 845	A	  3	H	 5	  51.00	     23.6100	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	-                    	-                          	                        	R                     	-                      	R                                  	R                    	R                     	-                    	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. ypsilon        	              	138	 845	A	  3	H	 5	 110.00	     24.2000	Moore    	Radiolarians                                 	A              	M                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	-                    	                      	R                	R                    	R                          	                        	R                     	R                      	-                                  	R                    	R                     	                     	Uncertain identity of A. angulare; from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. angulare       	              	138	 845	A	  3	H	 6	  51.00	     25.1100	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	-                    	                      	R                	R                    	R                          	                        	R                     	R                      	-                                  	R                    	R                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. angulare       	              	138	 845	A	  3	H	 6	  99.00	     25.5900	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	-                    	                      	R                	R                    	R                          	                        	R                     	R                      	-                                  	R                    	R                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. angulare       	              	138	 845	A	  3	H	CC	  20.00	     26.9600	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	F                    	                      	R                	R                    	R                          	                        	R                     	R                      	R                                  	R                    	R                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. angulare       	              	138	 845	A	  4	H	 1	  80.00	     27.4000	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	R                    	                      	R                	R                    	R                          	                        	R                     	R                      	R                                  	R                    	-                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. angulare       	              	138	 845	A	  4	H	 2	  10.00	     28.2000	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	R                    	                      	R                	R                    	R                          	                        	R                     	R                      	R                                  	R                    	-                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. angulare       	              	138	 845	A	  4	H	 2	  88.00	     28.9800	Moore    	Radiolarians                                 	C/A            	M                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	R                    	-                     	R                	R                    	R                          	                        	R                     	R                      	R                                  	R                    	-                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. angulare       	              	138	 845	A	  4	H	 3	 110.00	     30.7000	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	F                    	-                     	R                	R                    	R                          	                        	R                     	R                      	R                                  	R                    	R                     	                     	Uncertain identity of L. nigrini; from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. angulare       	              	138	 845	A	  4	H	 4	  42.00	     31.5200	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	F                    	-                     	R                	R                    	R                          	-                       	R                     	R                      	-                                  	R                    	R                     	                     	Uncertain identity of L. nigrini; Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. angulare       	              	138	 845	A	  4	H	 5	 110.00	     33.7000	Moore    	Radiolarians                                 	C/A            	M                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	F                    	-                     	R                	-                    	R                          	R                       	R                     	R                      	-                                  	-                    	-                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. angulare       	              	138	 845	A	  4	H	 6	  99.00	     35.0900	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	R                    	-                     	R                	R                    	R                          	R                       	R                     	R                      	-                                  	-                    	-                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 845	A	  4	H	CC	  16.00	     36.4600	Moore    	Radiolarians                                 	A              	M                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	                       	F                    	R                     	R                	R                    	R                          	R                       	R                     	R                      	-                                  	-                    	-                     	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 845	A	  5	H	 1	  20.00	     36.3000	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	                     	                         	                          	                   	                      	                         	-                      	R                    	R                     	R                	R                    	R                          	R                       	R                     	-                      	                                   	-                    	                      	                     	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 845	A	  5	H	 1	  99.00	     37.0900	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	-                    	                         	                          	                   	                      	                         	-                      	R                    	-                     	R                	-                    	R                          	R                       	R                     	-                      	                                   	                     	                      	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 845	A	  5	H	 5	 110.00	     43.2000	Moore    	Radiolarians                                 	A              	M                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	-                    	                         	                          	                   	                      	                         	R                      	F                    	-                     	R                	R                    	R                          	R                       	R                     	-                      	                                   	                     	                      	                     	Reworked older fauna = Few; from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 845	A	  5	H	CC	  21.00	     46.0700	Moore    	Radiolarians                                 	A              	M                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	-                    	                         	                          	                   	                      	                         	R                      	F                    	R                     	R                	R                    	R                          	R                       	R                     	                       	                                   	                     	                      	                     	Reworked older fauna = Few; from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. jenghisi M95   	              	138	 845	A	  6	H	 2	  98.00	     48.0800	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	R                    	                         	                          	                   	                      	                         	R                      	R                    	-                     	R                	R                    	R                          	R                       	-                     	                       	                                   	                     	                      	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. jenghisi M95   	              	138	 845	A	  6	H	 3	  20.00	     48.8000	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	R                    	                         	                          	                   	                      	                         	R                      	F                    	R                     	R                	R                    	R                          	R                       	-                     	                       	                                   	                     	                      	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. jenghisi M95   	              	138	 845	A	  6	H	 3	 110.00	     49.7000	Moore    	Radiolarians                                 	A              	M                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	R                    	                         	                          	                   	                      	                         	R                      	F                    	R                     	R                	R                    	R                          	R                       	                      	                       	                                   	                     	                      	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. jenghisi M95   	              	138	 845	A	  6	H	 4	  40.00	     50.5000	Moore    	Radiolarians                                 	C              	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	R                    	                         	                          	                   	                      	-                        	R                      	R                    	-                     	R                	R                    	-                          	R                       	                      	                       	                                   	                     	                      	                     	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. jenghisi M95   	              	138	 845	A	  6	H	 4	 119.00	     51.2900	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	R                    	                         	                          	                   	                      	-                        	R                      	R                    	-                     	R                	R                    	R                          	-                       	                      	                       	                                   	                     	                      	                     	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. jenghisi M95   	              	138	 845	A	  6	H	 5	  50.00	     52.1000	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	R                    	                         	                          	                   	                      	-                        	R                      	R                    	R                     	R                	R                    	-                          	-                       	                      	                       	                                   	                     	                      	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198

  SR	                 	                 	A. jenghisi M95   	              	138	 845	A	  6	H	 5	 110.00	     52.7000	Moore    	Radiolarians                                 	C/A            	P                 	                  	                	                      	                     	                     	                     	                       	                       	                        	                    	                    	                   	                    	                   	                    	                  	                   	                        	                      	                     	                      	                           	                      	                   	                    	               	                                 	R                     	R                    	-                        	                          	                   	                      	-                        	R                      	R                    	-                     	-                	-                    	-                          	-                       	                      	                       	                                   	                     	                      	                     	from ODP Leg 138 SR Chapter 11 Figure 2 p 196-198
