Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1461D-22R-CC-PAL-NANNO,0,10,713.29,713.39,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,C,,,F,,,,,,,,,,F,,,,C,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,R,,,,,,C,F,,,,,R,,,,P,,,,F,,,R,,,,,,,R,,,R,,,,,,,356,U1461,D,22,R,CC,PAL,d8ac9119850d33238b536e4699ad5689
356-U1461D-23R-CC-PAL-NANNO,0,10,729.84,729.94,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",M,A,,,F,,,,,,,,,,,,,,F,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,C,,,,,,VA,A,,,,,,,,,F,,,,F,,P,,F,,,,,F,,,,,,,,,,,356,U1461,D,23,R,CC,PAL,a4219e7241536270a09e6afda74201ca
356-U1461D-24R-7-PAL-NANNO,0,10,739.02,739.12,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,C,,,F,,,,,,,,,,F,,,,F,,,,,,,,P,,,,,,F,,,,,,,,,,,,,,,F,,,,,,F,C,,,,,R,,,,R,,,,F,,,R,,,,R,,,F,,,,,,,,,,356,U1461,D,24,R,7,PAL,95a3df3548428c06f0d7f11d3cd7bddf
356-U1461D-27R-CC-PAL-NANNO,0,10,766.92,767.02,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,F,,,,,,,,,,R,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,A,C,,,,,R,,,,R,,,,F,,,F,R,,,,,,F,,,P,,,,,,,356,U1461,D,27,R,CC,PAL,69f6be30868f71fb99cc7f73ebfeb18d
356-U1461D-29R-CC-PAL-NANNO,0,10,788.23,788.33,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,C,,,F,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,A,C,,,,,F,,,,,,,,R,P,,R,P,,,,P,P,R,,,R,,,,,,,356,U1461,D,29,R,CC,PAL,a927941654f36f24d52867a817293b18
356-U1461D-31R-3-PAL-NANNO,0,10,800.92,801.02,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,F,,,,,,,,,,R,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,C,,,,,,A,C,,,,,R,,,,,,,,F,R,,P,R,,,,P,P,R,,,,,,,,,,356,U1461,D,31,R,3,PAL,b01d1399ae9ba8cc10edadf298dc148d
356-U1461D-33R-CC-PAL-NANNO,0,10,817.53,817.63,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",VG,A,,,F,,,,,,,,,,R,,,,C,,,,,,,,R,R,P,,,,,,,,,,,,,,,,,,,C,,,,,,A,C,,,,,R,,,,,,,,R,R,,R,R,,,,,R,R,,,R,,,,,,,356,U1461,D,33,R,CC,PAL,5612c6a7c62738c253ff1cbf64cb4dbb
356-U1461D-34R-CC-PAL-NANNO,0,10,836.85,836.95,NN15,"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",M,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,VA,VA,,C,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,356,U1461,D,34,R,CC,PAL,ea47fe42639e7e4138df01ed0a7cfc89
356-U1461D-35R-CC-PAL-NANNO,0,11,846.51,846.62,NN15,"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",M,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,VA,VA,,A,,,P,,,,,,,,F,,,P,P,,,,,P,P,,,,,,,,,,356,U1461,D,35,R,CC,PAL,80358bf7eff9f32f9f749fdbc93f97af
356-U1461D-37R-CC-PAL-NANNO,0,10,865.36,865.46,NN15,"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",G,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,C,,VA,VA,,A,,,F,,,,,,,,C,,,,,,,F,,,,,,F,,,,,,,356,U1461,D,37,R,CC,PAL,de6773c6c9b59b06e50a26a9c9e99eed
356-U1461D-38R-7-PAL-NANNO,0,10,873.77,873.87,NN15,"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",G,A,,,F,,,,,,,,,,R,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,C,,VA,C,,C,,,,,,,,,,,,,,R,,,,,,R,,,,P,,,,,,,356,U1461,D,38,R,7,PAL,43e91415c187563d8d7cbee76b7cbb05
356-U1461D-39R-CC-PAL-NANNO,0,7,883.79,883.86,NN15,"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",G,A,,,,,,,,,,,,,,,,,F,,,,,,,,C,,P,,,,,,,,,,,,,,,,,,,C,,,C,C,,VA,C,,C,,,,,,,,,,,F,,,P,F,,,,,F,,,,,,,Ceratolithus rugosus,,,,356,U1461,D,39,R,CC,PAL,7bd88718b9863ce95cefd7740f997f6a
356-U1461D-40R-1-PAL-NANNO,0,10,885.35,885.45,NN15,"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",G,A,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,F,,VA,A,,C,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,356,U1461,D,40,R,1,PAL,73fe800ea6efecc522bd6ff877226a7e
356-U1461D-41R-CC-PAL-NANNO,0,10,904.62,904.72,NN14,"NN14 - Discoaster asymmetricus (Gradstein et al., 2012)",G,D,,P,P,,,,,,,,,,F,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,,VA,C,,A,,,F,,,,,,,,C,,,,,,,,,F,F,,,,,,,,,,356,U1461,D,41,R,CC,PAL,e0be9dd38efcb89d48205672e0f20840
356-U1461D-43R-CC-PAL-NANNO,0,10,918.11,918.21,NN14,"NN14 - Discoaster asymmetricus (Gradstein et al., 2012)",G,A,,R,R,,,,,,,,,,R,,,,C,,,,,,,,F,,P,,,,,,,,,,,,,,,,,,,C,,,F,R,,A,A,,A,,,R,,,,R,,,,F,,,F,R,,,,,R,,,,,,,,,,,356,U1461,D,43,R,CC,PAL,c77efd93517274f6d461bc65bdb3dcb3
356-U1461D-45R-CC-PAL-NANNO,0,11,943.05,943.16,NN13,"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",G,A,P,,F,,,,,,,,,,R,,,,R,,,,,,,,R,,P,,,,,,,,,,,,,,,,,,,F,,,C,R,,A,A,,A,,,F,,,,,,,,C,,,R,,,,,P,R,,,,,,,,,,,356,U1461,D,45,R,CC,PAL,5032570a4bf34d4dc33bae17ab9ca3b5
356-U1461D-47R-CC-PAL-NANNO,0,4,953.19,953.23,,,G,A,P,,R,,,,,,,,,,R,,,,R,,,,,,,,F,,P,,,,,,,,,,,,,,,,,,,R,,,R,F,,A,A,,C,,,F,,,,R,,,,F,,,F,R,,,,R,R,,,,,,,,,,,356,U1461,D,47,R,CC,PAL,c5bd70e5a36d3fb8cb224e5c173fcd9b
356-U1461D-49R-CC-PAL-NANNO,0,10,980.36,980.46,,,G,A,,,F,,,,,P,,,,,R,,,,F,,,,,,,,F,,P,,,,,,,,,,,,,,,,,,,,,,,C,,A,C,,A,,,R,,,,R,,,,F,,,R,,,,,,R,,,,,,,,,,,356,U1461,D,49,R,CC,PAL,242fe460148e75189f3f2d7b291409f9
356-U1461D-50R-CC-PAL-NANNO,0,5,982.25,982.3,,,G,A,,P,R,,,,,,,,,,R,,,,F,,,,,,,,F,,P,,,,,,,,,,,,,,,,,,,,,,,C,,A,C,,A,,,,,,,P,,,,,,,R,,,,,,R,,,,,,,,,,,356,U1461,D,50,R,CC,PAL,8d4f062f05503e594add66705e96cb4f
356-U1461D-51R-CC-PAL-NANNO,0,10,1001.6,1001.7,,,G,C,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,F,P,,A,C,,C,,,P,,,,P,,,,F,,,,,,,,,P,,,P,,,,micrite and few dolomite,,,,356,U1461,D,51,R,CC,PAL,be3a5008d649ff7dc5920882a743559e
356-U1461D-52R-5-A 136/136-NANNO,0,0,1008.25,1008.25,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",M,F,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,C,,,,,,,,,,,R,,,,,,,,,,,,,,,,micrite and dolomite,,,,356,U1461,D,52,R,5,A,3afee25d952864cb0f37565508452ab1
356-U1461D-53R-1-W 137/137-NANNO,0,0,1012.57,1012.57,,,M,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,C,,,,,,,,,,,,,,P,,,,,,,,,,,,,lots of micrite,,,,356,U1461,D,53,R,1,W,b014c5d240412e9b1003d7764b1b7cb8
356-U1461D-53R-CC-PAL-NANNO,0,13,1012.6,1012.73,,,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,C,,,,,,,,,,,,,,,,,,,,P,,,P,,,,"rare discoasters (poor preservation, 5-rayed; few 6-rayed)",,,,356,U1461,D,53,R,CC,PAL,176e9b01fc7a165f05a09f1e3a081e52
356-U1461D-54R-CC-PAL-NANNO_10,0,0,1023.83,1023.83,,,P,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,C,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,356,U1461,D,54,R,CC,PAL,0f6311393aba0dc5bef3a1c8ba2af031
356-U1461D-54R-CC-PAL-NANNO_8,0,0,1023.81,1023.81,,,G,C,,,P,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,A,P,,,,,,P,,,,F,,,,,,,F,,,,,,P,,,"rare discoasters (poor preservation, 5-rayed; few 6-rayed)",,,,356,U1461,D,54,R,CC,PAL,66d4d523b465968f7ca21961ee92778f
356-U1461D-55R-CC-PAL-NANNO,0,10,1031.8,1031.9,,,G,F,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,,P,,,,,,,,P,,,,rare Z. bijugatus?,,,,356,U1461,D,55,R,CC,PAL,de03c42cd301920d6c7476a6b8673130
356-U1461D-57R-CC-PAL-NANNO,0,10,1054.17,1054.27,,,M,F,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,,,,,,,,P,,,,,,P,,,P,,,,,,,coarse micrite,,,,356,U1461,D,57,R,CC,PAL,5d96eed7bd4bc55f43d2b66f0e5bc18e
356-U1461D-59R-CC-PAL-NANNO,0,5,1074.61,1074.66,,,M,F,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,P,,,,,,,,,,,,,,,,,,,,,,coarse micrite,,,,356,U1461,D,59,R,CC,PAL,e768cfd67894908614707f4e17dfb843
356-U1461D-60R-CC-PAL-NANNO,0,10,1084.54,1084.64,NN10,"NN10 - B Discoaster berggrenii to Discoaster hamatus (Gradstein et al., 2012)",M,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,F,,,F,,,,,,,,,,,,,,,,,,P,,,,,,,,,Triquetrorhabdulus milowii present,,,,356,U1461,D,60,R,CC,PAL,1a47d40e470d13ab5ea2bb7f8e3ee389
356-U1461D-61R-CC-PAL-NANNO,0,10,1088.82,1088.92,,,P,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,C,,,,,,,,,,,,,,,,,P,,,,,,,P,P,,,,,,356,U1461,D,61,R,CC,PAL,f66f95bbff997ac8ce7cfd0131573221
