Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data
356-U1463C-25H-CC-PAL-FORAM-150-2000,0,5,229.97,230.02,,,,,PL4 (Indo-Pacific) [G12],"PL4 (Indo-Pacific) - Dentoglobigerina altispira Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,3.47,3.59,C [A101],M [P39],,70,,,,,,"Ostracod (P), Bryozoa (P)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,,,,P [A109],,,P [A109],P [A109],,,,,,,,,P [A109],,,,,,,,,,P [A109],,P [A109],,,,P [A109],,,,,,,,,,P [A109],,,,,P [A109],,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,
356-U1463C-26H-CC-PAL-FORAM-150-2000,0,5,238.84,238.89,"B Globorotalia tosaensis (Gradstein et al., 2012)",B Globorotalia tosaensis,,3.35128,PL5 (Indo-Pacific) [G12],"PL5 (Indo-Pacific) - Globorotalia pseudomiocenica Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,3.16,3.47,C [A101],G [P39],,70,,,present [A79],,,Ostracod (P); sponge spicules; pyrite; galuconite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,,,,P [A109],,,P [A109],P [A109],,,P [A109],,,,,,P [A109],,,,,,,,,,P [A109],,P [A109],,,,P [A109],,,,,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,
356-U1463C-29H-CC-PAL-FORAM-150-2000,0,5,265.58,265.63,"T Dentoglobigerina altispira (Gradstein et al., 2012)",T Dentoglobigerina altispira,,3.47,PL4 (Indo-Pacific) [G12],"PL4 (Indo-Pacific) - Dentoglobigerina altispira Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,3.47,3.59,C [A101],G [P39],,80,,,,,,Ostracod (P),,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,P [A109],,P [A109],,,P [A109],,,,,P [A109],,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,P [A109],,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,
356-U1463C-30H-6-PAL-FORAM-150-2000,0,5,273.83,273.88,"T Pulleniatina primalis (Wade et al., 2011)",T Pulleniatina primalis,,3.66,PL4 (Indo-Pacific) [G12],"PL4 (Indo-Pacific) - Dentoglobigerina altispira Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,3.47,3.59,C [A101],G [P39],,70,,,,,,Ostracod (P),,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,P [A109],,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,P [A109],,P [A109],,,,P [A109],,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,
356-U1463C-31H-5-PAL-FORAM-150-2000,0,5,280.67,280.72,,,,,,,,,,C [A101],M [P39],,70,,,,,,Ostracod (P),,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,,P [A109],,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,P [A109],,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,,,P [A109],P [A109],,P [A109],,,,,,,,,,,,,
356-U1463C-36F-4-PAL-FORAM-150 2000,0,5,301.7,301.75,"T Globorotalia margaritae (Gradstein et al., 2012)",T Globorotalia margaritae,,3.85,PL2 [G12],"PL2 - Globorotalia margaritae Highest Occurrence Zone (Gradstein et al., 2012)",,3.85,4.37,C [A101],M [P39],,80,,,,,,"Ostracod (R), Bryozoa (P)",,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,P [A109],,P [A109],,,P [A109],,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,P [A109],,,,,,,,,,,,,,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,
356-U1463C-40F-2-PAL-FORAM-150-2000,0,5,314.42,314.47,,,Pulleniatina sin to dex,,PL2 [G12],"PL2 - Globorotalia margaritae Highest Occurrence Zone (Gradstein et al., 2012)",Pulleniatina sin to dex,3.85,4.37,C [A101],G [P39],,70,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,P [A109],,,,,,,P [A109],P [A109],P [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,P [A109],,,P [A109],,P [A109],,P [A109],,,,,,,,,,,,,P [A109],P [A109],,,,,P [A109],,,,,,,,,,
356-U1463C-46F-3-PAL-FORAM-150-2000,0,5,334.66,334.71,"T Sphaeroidinellopsis kochi (Gradstein et al., 2012)",T Sphaeroidinellopsis kochi,,4.53,PL1 (Indo-Pacific) [G12],"PL1 (Atlantic) - Globorotalia tumida/Globoturborotalita nepenthes Concurrent-range Zone (Atlantic) (Gradstein et al., 2012)",,4.37,5.72,C [A101],M [P39],,70,,,,,,Ostracod (P),,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,
356-U1463C-49F-3-PAL-FORAM-150-2000,0,5,343.58,343.63,,,,,,,,,,C [A101],M [P39],,70,,,,,,Ostracod (P),,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,P [A109],,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,
356-U1463C-51F-CC-PAL-FORAM-150-2000,0,5,349.8,349.85,,,,,,,,,,C [A101],G [P39],,80,,,present [A79],,,Ostracod (R),,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,P [A109],,P [A109],,,P [A109],,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,P [A109],,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,P [A109],,P [A109],,,,P [A109],,,,,,,,,,,,,,P [A109],,,,P [A109],P [A109],,,,,,,,,,
356-U1463C-56F-3-PAL-FORAM-150-2000,0,5,369.72,369.77,,,,,,,,,,C [A101],M [P39],,80,,,present [A79],,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,P [A109],,,P [A109],,,,,,,,P [A109],P [A109],,,P [A109],,,,,,,,,,,,,,,,P [A109],,P [A109],,,,,P [A109],,,,P [A109],,,,,P [A109],,,,,P [A109],,,,,,,,P [A109],,P [A109],,P [A109],,,,,,,,,,,,,,P [A109],,,,P [A109],,,,,,,,,,,
356-U1463C-61F-CC-PAL-FORAM-150-2000,0,5,392.44,392.49,,,,,,,,,,F [A101],P [P39],,70,,,,,,Glauconite,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,P [A109],P [A109],,,,,,,,,,,,,,,
