Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,General comment,Percentage of nannos in total assemblage [%],Diatoms and siliceous plankton comment,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus pacificanus,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus cristatus,Ceratolithus larrymayeri,Ceratolithus rugosus,Ceratolithus telesmus,Chiasmolithus altus,Chiasmolithus consuetus,Chiasmolithus eograndis,Chiasmolithus gigas,Chiasmolithus nitidus,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiasmolithus spp.,Clausicoccus obrutus,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cryptococcolithus mediaperforatus,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites bisectus,Dictyococcites bisectus (>10µm),Dictyococcites haqii,Dictyococcites hesslandii,Dictyococcites perplexus,Dictyococcites scrippsae,Dictyococcites spp. (<6 microns),Discoaster anartios,Discoaster asymmetricus,Discoaster aulakos,Discoaster barbadiensis,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster binodosus,Discoaster blackstockae,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei,Discoaster diastypus,Discoaster druggii,Discoaster elegans,Discoaster exilis,Discoaster hamatus,Discoaster kuepperi,Discoaster kugleri,Discoaster lenticularis,Discoaster lodoensis,Discoaster loeblichii,Discoaster mediosus,Discoaster musicus,Discoaster neohamatus,Discoaster neorectus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster salisburgensis,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster tanii nodifer,Discoaster tanii ornatus,Discoaster triradiatus,Discoaster tristellifer,Discoaster variabilis,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia formosa,Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa (small <4 microns),Gephyrocapsa aperta,Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Girgisia gammation,Hayaster perplexus,Hayella situliformis,Helicopontosphaera hyalina,Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera inversa,Helicosphaera recta,Helicosphaera sellii,Helicosphaera wallichii,Hughesius gizoensis,Isthmolithus recurvus,Markalius inversus,Minylitha convallis,Nannotetrina alata,Nannotetrina fulgens,Nannotetrina spp.,Neocrepidolithus spp.,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra dictyoda,Reticulofenestra gelida,Reticulofenestra hillae,Reticulofenestra lockeri,Reticulofenestra minuta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra rotaria,Reticulofenestra samodurovii,Reticulofenestra spp. small,Reticulofenestra umbilicus (>14um),Rhabdosphaera clavigera,Rhabdosphaera gladius,Rhabdosphaera inflata,Rhomboaster cuspis,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conspicuus,Sphenolithus delphix,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus editus,Sphenolithus furcatolithoides,Sphenolithus heteromorphus,Sphenolithus intercalaris,Sphenolithus moriformis,Sphenolithus predistentus,Sphenolithus pseudoradians,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus spp.,Syracosphaera pulchra,Tetralithoides symeonidesii,Thoracosphaera spp.,Toweius callosus,Toweius crassus,Toweius pertusus,Toweius spp.,Tranolithus orionatus,Tribrachiatus bramlettei,Tribrachiatus contortus,Tribrachiatus digitalis,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbellosphaera tenuis,Umbilicosphaera hulburtiana,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Zygrhablithus bijugatus,Shore File Links,File Data,eodp_id
350-U1436A-11F-CC-PAL-NANNO,350,U1436,A,11,11-CC,F,CC,PAL,NANNO,0,5,62.69,62.74,,,,,,,,,,,,,,G,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,F,C,C,F,,C,F,R,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,d8d7aca4737327a948910f491fe62a31
350-U1436A-12F-CC-PAL-NANNO,350,U1436,A,12,12-CC,F,CC,PAL,NANNO,0,5,64.93,64.98,,,,,,,,,,,,,,G,,,,F,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,F,C,C,,,C,R,,,,,,,,,F,,,,,,,,,,,,,,,,,,VF,VF,,C,,,,,,,*,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,0c95cbd505ba0930427965e001fe8f50
350-U1436A-13X-CC-PAL-NANNO,350,U1436,A,13,13-CC,X,CC,PAL,NANNO,0,5,65.0,65.05,,,,,,,,,,,,,,G,,,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,C,C,,,C,R,R,,,,,,,,F,,,,,,,,,,,,,,,,,,VF,VF,,C,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a7cac8c3d50eca84471f22b25975b5dd
350-U1436A-15X-CC-PAL-NANNO,350,U1436,A,15,15-CC,X,CC,PAL,NANNO,0,3,83.26,83.29,,T,,12.38,CN14a,Emiliania ovata,,,,,,,,G,,,,C,,,,,,,,VF,R,,,VF,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,C,C,,,C,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,692e4d7b8bc6eda10c734ff10103dffb
350-U1436A-16X-CC-PAL-NANNO,350,U1436,A,16,16-CC,X,CC,PAL,NANNO,0,3,95.34,95.37,"T Discoaster brouweri (Gradstein et al., 2012)",T,,1.93,CN13a,Pseudoemiliania lacunosa,,,,,,,,G,,,,C,,,,,,,,F,R,,,VF,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,C,,,,,,,,,,,,,,,,F,,*,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,F,,,C,R,,,R,R,,,,,,,,,R,,,,,,R,,,,,,,,,,,VF,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,6452d1c6e835b2c6e0263c404cf77080
350-U1436A-17X-2-W 50/50-NANNO,350,U1436,A,17,17-2,X,2,W,50/50-NANNO,0,0,104.3,104.3,"T Discoaster pentaradiatus (Gradstein et al., 2012)",T,,2.39,CN12d,Calcidiscus macintyrei,,,,,,,,E,,,,C,,,,,,,,VF,R,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,F,,,,R,,R,,,,,,,,,,,R,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27cdee366332150073ee33c451d90df8
350-U1436A-17X-CC-PAL-NANNO,350,U1436,A,17,17-CC,X,CC,PAL,NANNO,0,5,105.73,105.78,,,,,,,,,,,,,,G,,,,C,,,,,,,,F,VF,,,,,,,,,R,,,,,,,,,,,,,,,,F,,,,,,,A,,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,VF,,,,R,,R,,,,,,,,,,,R,,,,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,20c8af4a3f956c24d78b82f4487e86b2
350-U1436A-18X-CC-PAL-NANNO,350,U1436,A,18,18-CC,X,CC,PAL,NANNO,0,5,112.2,112.25,,,,,,,,,,,,,,M,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847ac3d37247ff433b9e47131edcc42d
350-U1436A-18X-CC-PAL-NANNO,350,U1436,A,18,18-CC,X,CC,PAL,NANNO,0,5,112.2,112.25,,,,,,,,,,,,,,M,,,,C,,,,,,,,F,VF,,,,,,,,,R,,,,,,,,,,,,,,,,VF,,,,,,,C,,,,,,VF,,,,,,,,,,F,,,,,,,*,,,,,,,,,*,,R,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a1c878ca137edf54d2250836c1ca646c
350-U1436A-19X-CC-PAL-NANNO,350,U1436,A,19,19-CC,X,CC,PAL,NANNO,0,3,121.96,121.99,"T Discoaster pentaradiatus (Gradstein et al., 2012)",T,,2.39,CN12c,Discoaster pentaradiatus,T D pentaradiatus,,,,,,,G,,,,C,,,,,*,,,C,VF,,,VF,,,,*,,,,,,,,,,,,,,,,,,F,,,,,,,A,,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,C,,,,,,,,,,,,,,,,,VF,,,,R,,R,,,,,,,,,,,R,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,e0d0bed36dccc8ee4b3a4cc282d15ff7
350-U1436A-20X-CC-PAL-NANNO,350,U1436,A,20,20-CC,X,CC,PAL,NANNO,0,3,131.69,131.72,"T Discoaster surculus (Gradstein et al., 2012)",T,,2.49,CN12b,Discoaster surculus,,,,,,,,G,,,,C,,,,,,,,F,VF,,,,,,,,,R,,,,,,,,,,,,,,,,VF,,,,,,,A,,,,,,,,,,*,*,,,,,R,,,,,,,,,,,,,,,,,,VF,,,,,R,,,,,,,,,,,C,,,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,R,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8e3de85e128a87af2948a21312d01229
