Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)","PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Comment (general),Large Benthic Forams [%],Acervulina mabahethi,Agglutinated spp. (indeterminate),Ammodiscus sp.,Ammonia spp.,Amphicoryna scalaris,Amphicoryna separans,Amphicoryna spp.,Amphistegina hauerina,Amphistegina lessonii,Amphistegina lobifera,Amphistegina papillosa,Amphistegina radiata,Amphistegina spp.,Anomalinella rostrata,Anomalinoides globulosus,Anomalinoides spp.,Articulina alticostata,Articulina pacifica,Assilina ammonoides,Astacolus spp.,Asterorotalia concinna,Astrononion spp.,Astrororalia milletti,Bolivina pusilla,Bolivina robusta,Bolivina sp.,Bolivina striatula,Bolivinella elegans,Bolivinita quadrilatera,Borelis spp.,Brizalina semilineata,Brizalina spp.,Bulimina aculeata,Bulimina barbata,Bulimina marginata,Bulimina sp.,Bulimina striata,Buliminella spp.,Buliminoides spp.,Cancris auriculus,Cancris spp.,Cassidulina carinata,Cassidulina sp.,Cassidulinoides spp.,Cerebrina lacunata,Challengeria spp.,Chilostomella oolina,Chilostomella sp.,Chrysalidinella dimorpha,Cibicides mediocris,Cibicides praecinctus,Cibicides spp.,Cibicides tenuimargo,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundula,Cibicidoides renzi,Cibicidoides sp.,Cibicidoides subhaidingerii,Clavulina subangularis,Cornuspira spp.,Cristellaria bradyi,Cycloclypeus? sp.,Cymbaloporetta sp. 1,Cymbaloporetta spp.,Discorbia spp.,Discorbinella sp. 1,Discorbinella spp.,Discorbis spp.,Eggerella bradyi,Ehrenbergina pacifica,Ehrenbergina spp.,Elhpidium craticulatum,Elongobula crispum,Elongobula parallela,Elphidium advenum limbatum,Elphidium excavatum,Elphidium hispidulum,Elphidium macellum,Elphidium spp.,Epistominella exigua,Epistominella spp.,Euloxostomum pseudobeyrichi,Eusphaeroidina inflata,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Frondricularia spp.,Gaudryina convexa,Gavelinopsis praegeri,Glabratella spp.,Glandulina spp.,Globobulimina affinis,Globocassidulina spp.,Globocassidulina subglobosa,Globogyroidina boninensis,Guttulina communis,Guttulina spp.,Guttulina yabei,Gyroidina neosoldanii,Gyroidinoides spp.,Hauerina spp.,Heterolepa bradyi,Heterostegina depressa,Hoeglundina elegans,Homotrema rubra,Hyalinea spp.,Inaequilina spp.,Karreriella bradyi,Laevidentalina communis,Laevidentalina inflexa,Laevidentalina spp.,Lagena sp.,Laticarinina pauperata,Lenticulina rotulata,Lenticulina sp.,Lobatula Lobatula,Marginopora spp.,Marginulina obesa,Martinotiella spp.,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Migros flintii,Miliolina spp.,Miliolinella oceanica,Miliolinella sp. 1,Miliolinella subrotunda,Monalysidium spp.,Mucronina compressa,Neoeponides margaritifer,Neoeponides procerus,Neoeponides spp.,Neorotalia spp.,Nephrolepidina ferrori,Nephrolepidina Spp.,Neugeborina longiscata,Nodosaria spp.,Nonionella sp.,Nonionoides grateloupi,Nonionoides spp.,Numullites spp.,Nuttallides umbonifera,Obesopleurostomella brevis,Olgia spp.,Oolina globosa,Oolina spp.,Operculina ammonoides,Operculina complanata,Operculina spp.,Operculinella venosa,Ophthalmidium circularis,Oridorsalis spp.,Oridorsalis umbonatus,Osangulariella bradyi,Parafissurina sp.,Parasorites spp.,Patellina spp.,Patellinella spp.,Peneroplis spp.,Pileolina spp.,Planispirinella spp.,Planogypsina sp. 1,Planorbulina spp.,Planorbulinella larvata,Planospirina spp.,Planularia gemmata,Planularia spp.,Planulina spp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella sp. A,Pleurostomella spp.,Procerolagena spp.,Pseudoclavulina juncea,Pseudonodosaria sp.,Pseudonodosaria spp.,Pseudorotalia angusta,Pseudorotalia annectens,Pseudorotalia globosa,Pseudorotalia indopacifica,Pseudorotalia inermis,Pseudorotalia schroetiana,Pseudorotalia spp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyramidulina glanduliniformis,Pyrgo denticulata,Pyrgo lucernula,Pyrgo murrhina,Pyrgo spp.,Quinqueloculina exmouthensis,Quinqueloculina lamarckiana,Quinqueloculina neocostata,Quinqueloculina patagonica,Quinqueloculina philippinensis,Quinqueloculina spp.,Quinqueloculina subpolygona,Rectobolivina bifrons,Recurvoides sp.,Reophax spp.,Reusella spp.,Rhabdammina? sp.,Rhizammina sp.,"Rhizammina sp. (Kaiho, 1992)",Rosalina spp.,Rotalinoides gaimardii,Rotalinoides spp.,Rotliammina sp.,Rudigaudryina minor,Sagrinella jugosa,Sagrinella spp.,Sahulia barkeri,Saraceneria spp.,Semicassis craticulata,Septotextularia rugosa,Sigmoidella elegantissima,Sigmoidella spp.,Sigmoilopsis schlumbergeri,Siphogeneria raphana,Siphogenerina dimorpha,Siphogenerina indica,Siphonaperta spp.,Siphoniferoides siphonifera,Siphonina tubulosa,Siphouvigerina hispida,Siphouvigerina interrupta,Siphouvigerina porrecta,Siphouvigerina proboscidae,Sorites spp.,Sphaerogypsina globulus,Sphaeroidina bulloides,Spiroloculina sp. N/A,Spiroloculina spp.,Spirotextularia fistulosa,Spirotextularia spp.,Spirotextularia tubulosa,Sprioloculina corrugata,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Textularia agglutinans,Textularia catenata,Textularia lateralis,Textularia spp.,Textularia sp. 1,Textulariella barrettii,Tosaia hanzawai,Tretomphaloides spp.,Tribliolepidina spp.,Trifarina spp.,Triloculina spp.,Tritaxis fusca,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispidocostata,Uvigerina peregrina,Uvigerina senticosa,Uvigerina spp.,Vaginulinopsis bradyi,Vertebralina spp.,Wiesnerella spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1464B-20H-CC-PAL-FORAM-150-2000,0,5,180.13,180.18,M [P39],D [A10],15,,UB,,,Ostracods and bryazoa present,15,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,A,,A,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,P,,,,,,,F,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,R,,,,,F,,,,F,,,,,,,,,F,,,,,,,,,,D,F,,,,,,,,,,,P,,,P,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31403971,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31403971,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31403971,",356,U1464,B,20,H,CC,PAL
356-U1464B-22H-CC-PAL-FORAM-150-2000,0,5,196.6,196.65,G [P39],D [A10],11,,,,,Ostracods and bryazoa present with iron encrustation.,1,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,A,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,A,,,,,,,,,P,,,,,,,,R,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,F,,,,,,P,,,,,,,,,,,F,,,,,R,,P,,A,,,,,R,,,R,A,,,,,,,,,,D,A,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31403171,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31403171,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31403171,",356,U1464,B,22,H,CC,PAL
356-U1464B-24H-CC-PAL-FORAM-150-2000,0,5,215.64,215.69,G [P39],D [A10],9,,UB,,,Ostracods and bryazoa present. Some iron infilling.,1,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,P,,,,,,,,,,,F,,,,,,,A,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,F,,,,,,,,,,,,,,,,,F,F,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,,,P,,,,R,,,,,,,,,,A,,,,,,,,,,,,F,,P,R,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31401701,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31401701,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31401701,",356,U1464,B,24,H,CC,PAL
356-U1464B-26H-CC-PAL-FORAM-150-2000,0,5,235.2,235.25,G [P39],D [A10],10,,,,,"Ostracods and bryazoa present, some glauconite and iron infilling. Ostracods a mixture of sublittoral and deep species.",0,,,,,,,P,,,,,,,,,,,,,,,,,,,A,,,,,,F,,,,,,,,,F,,,,,,,,,,,A,,,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,A,,,,,,,,,F,,,,,,,,R,A,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,D,,,,,A,,,,,,,,,,,R,F,,,,,,,,,P,,,,,,,,,,,,F,,R,F,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31394031,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31394031,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31394031,",356,U1464,B,26,H,CC,PAL
356-U1464B-28H-CC-PAL-FORAM-150-2000,0,5,254.68,254.73,G [P39],D [A10],9,,,,,Ostracods and bryazoa present,5,,,,,,,,,,,,,,,,,,,,,,,,,R,A,,,,,,A,,,,,,,,,,,,,,,,,,,,A,,,,,,,A,,A,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,F,,,,,,,,,,,,,,,,,A,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,D,,,P,,,,F,,,,,,,,,R,,,,,,,,,,F,,,,,,,,,,,,A,,,F,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31400961,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31400961,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31400961,",356,U1464,B,28,H,CC,PAL
356-U1464B-30H-5-PAL-FORAM-150-2000,0,5,272.57,272.62,G [P39],D [A10],8,,,,,Ostracods and bryazoa present.,15,,,,,,,,,,,,,,,,,,,,,,,,,P,A,,,,,,P,,,,,P,,,,,,,,,,P,,,,,A,,,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,F,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,R,,,,,,,,,R,,,,,,,,,,F,,,,,,,,,,,,A,,,R,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31400461,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31400461,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31400461,",356,U1464,B,30,H,5,PAL
356-U1464B-32H-6-PAL-FORAM-150-2000,0,5,293.1,293.15,G [P39],D [A10],8,,,,,"Ostracods present, glauconite and iron infilling",0,,,,,,,P,,,,,,,,,,,,,,,,,,R,D,,,,,,F,,,,P,P,,,,R,,,,,,,,,,,A,,,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,P,,,,,,,,A,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,,,,A,,R,F,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31391191,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31391191,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31391191,",356,U1464,B,32,H,6,PAL
356-U1464B-33H-6-PAL-FORAM-150 2000,0,5,303.14,303.19,G [P39],D [A10],7,,,,,Ostracods and bryazoa present with iron infilling in tests,0,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,P,,,,,,,,,,,F,,,,,,,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,A,,,,,,,,,,,,,,,,,A,F,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,P,,,F,,,F,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31406181,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31406181,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31406181,",356,U1464,B,33,H,6,PAL
356-U1464B-34H-3-W 17/18-FORAM,0,1,306.87,306.88,G [P39],A [A10],6,,OS/UB,,,Abundant glauconite,1,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,D,,,,,,,,,R,,,,,,,,A,F,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,F,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31444141,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31444141,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31444141,",356,U1464,B,34,H,3,W
356-U1464B-34H-6-W 17/18-FORAM,0,1,310.78,310.79,P [P39],F [A10],97,,IS,,,"Abundant glauconite, manganese, pyrite and gypsum?",80,,,,,,,,,A,,,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31442641,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31442641,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31442641,",356,U1464,B,34,H,6,W
356-U1464B-34H-CC-PAL-FORAM-150 2000,0,5,312.7,312.75,P [P39],A [A10],93,,,,,"Heavily glauconitized, bryzazoa present.",90,P,,,,,,,,A,,F,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,A,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,P,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,A,P,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31392081,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31392081,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31392081,",356,U1464,B,34,H,CC,PAL
356-U1464B-35F-CC-PAL-FORAM-150-2000,0,5,316.89,316.94,P [P39],A [A10],95,,,,,"Heavily glauconitized, bryazoa present",85,,,,,,,,,A,F,R,D,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,A,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31396111,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=31396111,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=31396111,",356,U1464,B,35,F,CC,PAL
