Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1472A-11H-CC-PAL,0,5,100.21,100.26,,,M,C,,,,,,,,R,F,C,,,,,R,,F,R,,,,R,,R,,R,,,,,,R,,,,,,,R,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,11,H,CC,PAL,69fe71c8618465781ebb76f64a293939
359-U1472A-12H-CC-PAL,0,5,109.75,109.8,,,M,F,,,,,,,,F,F,R,,,,,R,,R,,,,,R,,R,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,12,H,CC,PAL,48419a6041862f63a51feedbd3233e82
359-U1472A-13H-CC-PAL,0,5,119.12,119.17,,,M,F,,,,,,,,,R,C,C,,,,,,,,,,,,,R,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,13,H,CC,PAL,b78f39c54982ebb4ee51de156d181d3a
359-U1472A-14H-CC-PAL,0,5,128.82,128.87,,,P,F,,,,,,,,,R,F,F,,,,,,,,,,,R,,C,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,14,H,CC,PAL,ebe01686c29f75b49e9848872978271a
359-U1472A-15H-CC-PAL,0,5,138.31,138.36,,,P,F,,,,,,,,,R,R,R,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,15,H,CC,PAL,9c4eda224b74b12d515f86048c613b39
359-U1472A-16H-CC-PAL,0,5,147.99,148.04,,,M,R,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,16,H,CC,PAL,561de46c51f116f28463631645a001c7
359-U1472A-17H-CC-PAL,0,5,156.98,157.03,,,M,R,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,17,H,CC,PAL,cbfaa31400a92b9629653d94e5ebcf40
359-U1472A-18H-CC-PAL,0,5,166.75,166.8,,,M,F,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,18,H,CC,PAL,403b5253bdef1ec67dbdd7ec91193389
359-U1472A-19H-CC-PAL,0,5,176.54,176.59,,,M,C,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,19,H,CC,PAL,f0c53439f7d38bac45d741cfe39118a7
359-U1472A-20H-CC-PAL,0,5,185.96,186.01,,,M,C,,,,,,,,R,,C,A,,,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,20,H,CC,PAL,b8c66d1beee657a379d66c77d45940fa
359-U1472A-21H-CC-PAL,0,5,195.21,195.26,,,M,F,,,,,,,,,,C,A,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,21,H,CC,PAL,ce18ab2890d6ebc7da44209e71860797
359-U1472A-22H-CC-PAL,0,5,198.34,198.39,,,M,F,,,,,,,,,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,22,H,CC,PAL,87d6eaabeee7e9aa04cfa2036f50b01b
359-U1472A-23H-CC-PAL,0,5,200.33,200.38,,,M,F,,,,,,,,,,C,A,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,23,H,CC,PAL,d0d7b5629dbab438e4d374a21f38e480
359-U1472A-24F-CC-PAL,0,5,201.05,201.1,,,M,C,,,,,,,,,,C,A,,,,,,,,,,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,24,F,CC,PAL,ab0e68106e02e13cc34e69613e9522f1
359-U1472A-25F-CC-PAL,0,5,205.61,205.66,,,M,C,,,,,,,,,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,25,F,CC,PAL,9f4641a7337b18c7aee8add68ea2d763
359-U1472A-26F-CC-PAL,0,5,214.1,214.15,,,P,R,,,,,,,,,,R,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,26,F,CC,PAL,0c26ed1401d4d8ef9263849e33a18a82
359-U1472A-27F-CC-PAL,0,5,218.53,218.58,,,M,F,,,,,,,,,,R,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barren,,,,359,U1472,A,27,F,CC,PAL,65a986d0e53db6cf1b21c07e756f7b24
359-U1472A-28F-CC-PAL,0,5,223.14,223.19,,,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,28,F,CC,PAL,00cbc89912beb548dc54b97ae4582612
359-U1472A-29F-CC-PAL,0,5,225.21,225.26,,,M,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,29,F,CC,PAL,2605b16021d55be812c0fac81d50b934
359-U1472A-30F-CC-PAL,0,5,232.38,232.43,,,M,R,,,,,,,,R,,,C,,,,,,P,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,30,F,CC,PAL,4fbf0db7f12ced1a1e8422748848dbed
359-U1472A-31F-CC-PAL,0,5,237.33,237.38,,,M,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,31,F,CC,PAL,b0a31de50b9b35b4144c6e00ac11d1fd
359-U1472A-32F-CC-PAL,0,5,241.43,241.48,,,P,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,32,F,CC,PAL,df5a233f2a2f885fc40ae7fefe6b18d3
359-U1472A-33F-CC-PAL,0,5,245.91,245.96,,,M,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,33,F,CC,PAL,f1e6b38ea96378b74a7fe9a4310b3c0b
359-U1472A-34F-CC-PAL,0,5,249.19,249.24,,,M,R,,,,,,,,P,,,R,,,,P,,P,,,P,,,,R,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1472,A,34,F,CC,PAL,861d5b7f1e1c5583c013c0a148722bb4
