Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi,Globigerina euapertura,Globigerina gortanii,Globigerina falconensis,Globigerina ouachitaensis,Globigerina praebulloides,Globigerina pseudovenezuelana,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis,Globigerina tripartita,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia cibaoensis,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula,Globorotalia decoraperta,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miotumida,Globorotalia miozea,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia plesiotumida,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia scitula,Globorotalia sp.,Globorotaloides suteri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp.,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp.,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina eocaena s.l.,Subbotina linaperta s.l.,Subbotinal yeguaensis s.l.,Tenuitella gemma,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia cocoaensis,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli,Turborotalita humilis,Comment,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
349-U1431E-12R-7-W 90/96-PAL-FORAMP,0,6,661.11,661.17,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"only 01 specimen G. druryi, maybe contaminated.",,,349,U1431,E,12,R,7,W,7f9e4b184946d3c880a728648a015421
349-U1431E-13R-1-W 51/53-PAL-FORAMP,0,2,662.52,662.54,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"only 02 specimens, mostly small forms.",,,349,U1431,E,13,R,1,W,6499f818b83aa44019b29d155c160146
349-U1431E-13R-1-W 71/73-PAL-FORAMP,0,2,662.92,662.94,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,13,R,1,W,17b8111ee6ac14847d2bd34856456a4f
349-U1431E-13R-5-W 40/43-PAL-FORAMP,0,3,668.1,668.13,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,13,R,5,W,c544b14c54d937f525e8963c6d749620
349-U1431E-13R-6-PAL-FORAMP,0,5,670.04,670.09,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claystone,,,349,U1431,E,13,R,6,PAL,48e4741ebcc9b1381ea2b84b69fda75a
349-U1431E-14R-1-W 121/122-PAL-FORAMP,0,1,673.62,673.63,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,14,R,1,W,276cd6c3c501f842b2da70e1ab80e444
349-U1431E-14R-5-W 32/34-PAL-FORAMP,0,2,677.69,677.71,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,E,14,R,5,W,7839b637e113624bb6a5b9fe687fde2d
349-U1431E-14R-6-W 90/91-PAL-FORAMP,0,1,679.24,679.25,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deepsea clay,,,349,U1431,E,14,R,6,W,894928c668a6205dcdd5621456377436
349-U1431E-14R-7-PAL-FORAMP,0,5,680.31,680.36,,,,,M12,"M12 - Globigerinoides trilobus Partial-range Zone (Gradstein et al., 2012)",,,9.83,,,10.46,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,R,,R,,R,,R,,,,,,,,,,,,,,,R,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,abundant volcanic material (dark). Forams found in the yellowish fraction.,,,349,U1431,E,14,R,7,PAL,fc04470e74fd19b480f61248a723665e
349-U1431E-15R-4-PAL-FORAMP,0,5,685.64,685.69,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,siltstone-claystone,,,349,U1431,E,15,R,4,PAL,25c1ba7e4c14802ef7dd387e667001ba
349-U1431E-16R-8-PAL-FORAMP,0,5,701.06,701.11,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Almost barren, only a few internal mounds (glauconitic) of G. siphonifera; claystone-grainstone,",,,349,U1431,E,16,R,8,PAL,c16dfb5732f1738d840172cab5990f10
349-U1431E-17R-8-PAL-FORAMP,0,5,709.87,709.92,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandstone (volcanic debris+clay?),,,349,U1431,E,17,R,8,PAL,e004f945504b10b5d62e4fb6c7b76cea
349-U1431E-18R-3-PAL-FORAMP,0,5,713.86,713.91,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown ash siltstone with numerous glass debris,,,349,U1431,E,18,R,3,PAL,d2bceb3ddd60c99bf3da463570a3e8e8
349-U1431E-19R-6-PAL-FORAMP,0,6,726.32,726.38,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claystone,,,349,U1431,E,19,R,6,PAL,e800e400b531e097481cc3b5dd97e14a
349-U1431E-20R-5-PAL-FORAMP,0,6,735.33,735.39,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claystone with small carbonate and basalt clasts,,,349,U1431,E,20,R,5,PAL,32af5d1a6e8e34c1e961732d6372385d
349-U1431E-21R-2-PAL-FORAMP,0,7,741.06,741.13,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"basalt clasts, quartz fragments.",,,349,U1431,E,21,R,2,PAL,3de8b4b7dc24b0283c61d4bd24ae9064
349-U1431E-22R-7-PAL-FORAMP,0,7,756.42,756.49,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"breccia, basalt, quartz, volcanic glass, glauconite (lithified)",,,349,U1431,E,22,R,7,PAL,2a8b3545edbb6978ee7cc0ce521bfd0f
349-U1431E-23R-3-PAL-FORAMP,0,6,762.34,762.4,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mafic clay, glass (and oolities?). lithified",,,349,U1431,E,23,R,3,PAL,0890693c0724c2b4a4cb249a8ddd54df
349-U1431E-24R-4-PAL-FORAMP,0,7,773.31,773.38,,,,,,,,,,,,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,"Often stuck in the lithified mafic clay-oolities(?), many fragments and very difficult to identify. with quartz, volcanic glass.",,,349,U1431,E,24,R,4,PAL,f998fcfdde32bdd4738a32a2895b078b
349-U1431E-25R-1-PAL-FORAMP,0,8,779.32,779.4,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,"Almost barren, only a few stuck in the lithified claystone. Mixture of various claystones, numerous oolites(?).",,,349,U1431,E,25,R,1,PAL,110ace3da2e8d48e014cd3a0bca37489
349-U1431E-26R-3-PAL-FORAMP,0,7,791.33,791.4,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Almost barren, only a few fragments of not-identifiable tests",,,349,U1431,E,26,R,3,PAL,dd7456a382a863a7d7458be519baad74
349-U1431E-27R-9-PAL-FORAMP,0,6,807.28,807.34,"B regular Globigerinoides obliquus (Gradstein et al., 2012)",B,,11.25,M11,"M11 - Globoturborotalita nepenthes/Paragloborotalia mayeri Concurrent-range Zone (Gradstein et al., 2012)",,,10.46,,,11.63,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Almost barren, only 01 specimen and a few fragments. Some carbonate concretions given to Yifeng Chen.",,,349,U1431,E,27,R,9,PAL,b4607781a1abe7c461b00a22581490e9
349-U1431E-28R-8-PAL-FORAMP,0,6,815.62,815.68,,,,,,,,,,,,,,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,"Almost barren, only 3 specimens, 2 are broken not-identifiable.",,,349,U1431,E,28,R,8,PAL,fab073a863f3a700e7b548ca1d74cc93
349-U1431E-29R-7-PAL-FORAMP,0,7,825.34,825.41,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only 2 fragments of foraminifera tests,,,349,U1431,E,29,R,7,PAL,9b1d1a1ebe396e1882f9dc27a5dfc84a
349-U1431E-30R-8-PAL-FORAMP,0,7,834.9,834.97,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,almost barren only two specimens stuck to grains.,,,349,U1431,E,30,R,8,PAL,06ecf40f861b550d7267aa8e3ed5c2ff
349-U1431E-31R-9-PAL-FORAMP,0,8,845.91,845.99,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,"claystone, with some quartz fragments.",,,349,U1431,E,31,R,9,PAL,3dd7bfe2c5720916c618ff10b6e4b0a3
349-U1431E-32R-9-PAL-FORAMP,0,5,855.79,855.84,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"angular quartz, volcanic glass, carbonate rocks",,,349,U1431,E,32,R,9,PAL,b37c1bb391371616245958e00d672ed7
349-U1431E-33R-8-PAL-FORAMP,0,5,864.1,864.15,"B Sphaeroidinellopsis subdehiscens (Gradstein et al., 2012)",B,,13.02,M9b,"M9b - Fohsella robusta/Fohsella fohsi Concurrent-range Subzone (Gradstein et al., 2012)",,,11.79,,,13.13,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,a few specimens stuck in the claystone,,,349,U1431,E,33,R,8,PAL,e649b74acd4374260a90091b181a14a8
349-U1431E-34R-6-W 41/43-RADS-FORAMP,0,2,872.53,872.55,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,very small Globorotalia specimens,,,349,U1431,E,34,R,6,W,f564c7cf1f8252aabccb69aa6e43016a
