Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus macintyrei,Catinaster coalitus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Florisphaera profunda,Helicosphaera carteri,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera spp.,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera sibogae,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
349-U1435A-23R-CC-PAL-NANNO,0,6,218.17,218.23,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A few nannofossil-like fossils, unidentified",,,349,U1435,A,23,R,CC,PAL,29bca9f46ed88929e7d0f397eb7631d3
349-U1435A-24R-CC-PAL-NANNO,0,6,229.86,229.92,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some Fasiculithus-like form present,,,349,U1435,A,24,R,CC,PAL,b1da3f057d45183cf3b4f8d009bcc361
349-U1435A-25R-CC-PAL-NANNO,0,6,237.1,237.16,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few to common calcite crystals and organic debris,,,349,U1435,A,25,R,CC,PAL,ccd276e601544d5bebf7c4bc0bbb6019
349-U1435A-26R-CC-PAL-NANNO,0,9,249.14,249.23,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few to common calcite crystals and organic debris,,,349,U1435,A,26,R,CC,PAL,9105b2e35ff315fc547df0009f2a2aff
349-U1435A-27R-CC-PAL-NANNO,0,6,258.3,258.36,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frequent Fasciculithus-like form present,,,349,U1435,A,27,R,CC,PAL,715e2e309b5d3eddca64bda46e03f835
349-U1435A-28R-CC-PAL-NANNO,0,6,268.67,268.73,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,28,R,CC,PAL,ead5a837261d2b1922839c074570aca4
349-U1435A-29R-CC-PAL-NANNO,0,5,276.29,276.34,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low abundance of calcareous particles,,,349,U1435,A,29,R,CC,PAL,8f8d22a6303b5e418f92565eff527470
349-U1435A-30R-CC-PAL-NANNO,0,6,282.1,282.16,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low abundance of calcareous particles,,,349,U1435,A,30,R,CC,PAL,55f370cc3632f2272f47b2c3048c4c11
349-U1435A-31R-CC-PAL-NANNO,0,6,289.16,289.22,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,31,R,CC,PAL,d8a12cb35ec244b4f1e2cabf4cd7a025
349-U1435A-32R-CC-NANNO,0,10,299.06,299.16,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F. tympaniformis? - 1 specimen,,,349,U1435,A,32,R,CC,NANNO,56126ec67e57ecdf541440377ebb2217
