Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],?Acarinina spp.,?Morozovella spp.,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi,Globigerina euapertura,Globigerina falconensis,Globigerina gortanii,Globigerina ouachitaensis,Globigerina praebulloides,Globigerina pseudovenezuelana,Globigerina quinqueloba,Globigerina rubescens (pink),Globigerina rubescens (white),Globigerina tapuriensis,Globigerina tripartita,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia birnageae,Globorotalia cibaoensis,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula,Globorotalia decoraperta,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miotumida,Globorotalia miozea,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia scitula,Globorotalia sp.,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp.,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina sp.,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina eocaena s.l.,Subbotina linaperta s.l.,Subbotinal yeguaensis s.l.,Tenuitella gemma,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia cocoaensis,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
368-U1505C-15H-CC-PAL-FORAM,0,5,141.27,141.32,,,,,,,,,,,,,,G [P32],A,95,,,,P,,,,,,,F,,,,P,,,,,,,,,,,,,,,,,,,,,F,R,,P,,,P,A,,,,P,,,,,R,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,P,,,P,,,,,,,,A,,,,,,,,,,,,,,,,,,F,A,,,,,,,,,,,,,,,,,,,,368,U1505,C,15,H,CC,PAL,97c15f4705af1cacfe183effc24fa7fe
368-U1505C-16H-CC-PAL-FORAM,0,5,150.85,150.9,,,,,,,,,,,,,,G [P32],A,95,,,,P,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,A,,,,R,,,,,R,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,R,,,P,,,R,P,,,,A,,,,,,,,,,,,,,,,,,F,A,,,,,,,,,,,,,,,,,,,,368,U1505,C,16,H,CC,PAL,b9e7dbbc9208179796d99f16c7c6d121
368-U1505C-17H-CC-PAL(34-39)-FORAM,0,5,160.62,160.67,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,A,,,,P,,,,,,,,,,,,,,,,,,P,,,,P,,A,,,,A,,,,P,,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,368,U1505,C,17,H,CC,PAL,0c942e00a673514b67e972a49fe5b2a6
368-U1505C-18H-CC-PAL(29-34)-FORAM,0,5,170.23,170.28,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,A,,,,P,,,,,,,,,,,,,,,,,,P,,,,P,,F,,,,A,,,,,,,F,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,368,U1505,C,18,H,CC,PAL,c4906c5ef0560f43443eb405e1a0db6f
368-U1505C-19H-CC-PAL(33-38)-FORAM,0,5,179.7,179.75,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,P,,F,,,,A,,,,,,,F,,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,368,U1505,C,19,H,CC,PAL,4f3d403d07d02bcd656aa7d3533d9173
368-U1505C-20H-CC-PAL(30-35)-FORAM,0,5,189.21,189.26,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,P,,,R,,,,F,,A,,,,A,,,,,,,F,,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,368,U1505,C,20,H,CC,PAL,2a3c7f7122498b9d92b723478bc020db
368-U1505C-21H-CC-PAL(17-22)-FORAM,0,5,196.48,196.53,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,R,,A,,,,R,,,,,,,F,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,P,,P,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,368,U1505,C,21,H,CC,PAL,2fff1b530be12c432dec527b5c709abe
368-U1505C-22H-CC-PAL(25-30)-FORAM,0,5,200.01,200.06,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,P,P,,,,,,,,,,R,,,,,,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,A,D,,,,,,,,,,,,,,,,,,,,368,U1505,C,22,H,CC,PAL,fc9500bf6f2e959c61d22a41bc4887f3
368-U1505C-23H-CC-PAL(37-42)-FORAM,0,5,207.0,207.05,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,D,,,,,,R,,,,,,,,,,,,,P,,P,P,,,,,,,,,R,R,,,,,,,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,368,U1505,C,23,H,CC,PAL,70abeb30c95c720178d8f4dc009bc84f
368-U1505C-24F-CC-PAL(29-34)-FORAM,0,5,212.13,212.18,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,P,P,,,,P,P,,R,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,368,U1505,C,24,F,CC,PAL,ad9ac08ab0271c0a90e07ebd11b0ab7f
368-U1505C-25F-CC-PAL(32-37)-FORAM,0,5,216.87,216.92,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,P,,,,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,P,,P,,,,,P,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,368,U1505,C,25,F,CC,PAL,a80a0bdb710bb87da8afe109ae4482db
368-U1505C-26F-CC-PAL(24-29)-FORAM,0,5,221.49,221.54,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,D,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,P,P,,F,,P,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,368,U1505,C,26,F,CC,PAL,32aca148167a94d2d4389fcb978518e1
368-U1505C-27F-CC-PAL(33-38)-FORAM,0,5,225.95,226.0,,,,,,,,,,,,,,M [P32],A,95,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,P,,,R,,,,,,,,,R,R,,,,,,,F,,A,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,F,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,368,U1505,C,27,F,CC,PAL,85a15c26fbfb6a193261c3ff959946a7
368-U1505C-28F-CC-PAL(22-27)-FORAM,0,5,230.88,230.93,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,P,,,R,,,,,,R,,,,A,,,,,,,R,,P,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,368,U1505,C,28,F,CC,PAL,cdc249145d2736501f89e42ca3c3560f
368-U1505C-29F-CC-PAL(27-32)-FORAM,0,5,235.64,235.69,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,P,,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,P,P,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,368,U1505,C,29,F,CC,PAL,05637c8db142ddc4a892531e3b104664
368-U1505C-30F-CC-PAL-FORAM,0,5,240.27,240.32,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,P,,,R,,,,,,A,,,,R,,,,,,,P,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,368,U1505,C,30,F,CC,PAL,12866309e9460c104776d09a57c1e8c8
368-U1505C-31F-CC-PAL-FORAM,0,5,244.97,245.02,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,P,,,R,,,,,,A,,,P,R,,,,,,,F,,F,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,368,U1505,C,31,F,CC,PAL,06a2a51bd1d4a4c1d1ce536337e665d7
368-U1505C-32F-CC-PAL-FORAM,0,5,249.69,249.74,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,P,R,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,368,U1505,C,32,F,CC,PAL,3090289f2a011f25162af9b8fe58c817
368-U1505C-33F-CC-PAL-FORAM,0,5,254.41,254.46,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,R,,,,,,,F,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,R,,,,,,,P,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,368,U1505,C,33,F,CC,PAL,7234c34986cba68846cb49ff5f6950ad
368-U1505C-34F-CC-PAL-FORAM,0,5,259.12,259.17,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,A,F,,,,P,P,,F,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,P,,P,P,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,368,U1505,C,34,F,CC,PAL,0f0b93f02c0c4604f738dd390a741fa0
368-U1505C-35F-CC-PAL-FORAM,0,5,263.78,263.83,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,A,F,,,,P,P,,R,,F,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,P,P,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,368,U1505,C,35,F,CC,PAL,255c377971c0e7290a66d13d4dccb048
368-U1505C-36F-CC-PAL-FORAM,0,5,268.48,268.53,,,,,,,,,,,,,,G [P32],A,95,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,A,F,,,,R,P,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,R,R,P,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,368,U1505,C,36,F,CC,PAL,bd48464285193afae547f8f3dd5fc2a7
