Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,General comment,Percentage of nannos in total assemblage [%],Diatoms and siliceous plankton comment,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus pacificanus,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus cristatus,Ceratolithus larrymayeri,Ceratolithus rugosus,Ceratolithus telesmus,Chiasmolithus altus,Chiasmolithus consuetus,Chiasmolithus eograndis,Chiasmolithus gigas,Chiasmolithus nitidus,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiasmolithus spp.,Clausicoccus obrutus,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cryptococcolithus mediaperforatus,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites bisectus,Dictyococcites bisectus (>10µm),Dictyococcites haqii,Dictyococcites hesslandii,Dictyococcites perplexus,Dictyococcites scrippsae,Dictyococcites spp. (<6 microns),Discoaster anartios,Discoaster asymmetricus,Discoaster aulakos,Discoaster barbadiensis,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster binodosus,Discoaster blackstockae,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei,Discoaster diastypus,Discoaster druggii,Discoaster elegans,Discoaster exilis,Discoaster hamatus,Discoaster kuepperi,Discoaster kugleri,Discoaster lenticularis,Discoaster lodoensis,Discoaster loeblichii,Discoaster mediosus,Discoaster musicus,Discoaster neohamatus,Discoaster neorectus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster salisburgensis,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster tanii nodifer,Discoaster tanii ornatus,Discoaster triradiatus,Discoaster tristellifer,Discoaster variabilis,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia formosa,Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa (small <4 microns),Gephyrocapsa aperta,Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Girgisia gammation,Hayaster perplexus,Hayella situliformis,Helicopontosphaera hyalina,Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera inversa,Helicosphaera recta,Helicosphaera sellii,Helicosphaera wallichii,Hughesius gizoensis,Isthmolithus recurvus,Markalius inversus,Minylitha convallis,Nannotetrina alata,Nannotetrina fulgens,Nannotetrina spp.,Neocrepidolithus spp.,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra dictyoda,Reticulofenestra gelida,Reticulofenestra hillae,Reticulofenestra lockeri,Reticulofenestra minuta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra rotaria,Reticulofenestra samodurovii,Reticulofenestra spp. small,Reticulofenestra umbilicus (>14um),Rhabdosphaera clavigera,Rhabdosphaera gladius,Rhabdosphaera inflata,Rhomboaster cuspis,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conspicuus,Sphenolithus delphix,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus editus,Sphenolithus furcatolithoides,Sphenolithus heteromorphus,Sphenolithus intercalaris,Sphenolithus moriformis,Sphenolithus predistentus,Sphenolithus pseudoradians,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus spp.,Syracosphaera pulchra,Tetralithoides symeonidesii,Thoracosphaera spp.,Toweius callosus,Toweius crassus,Toweius pertusus,Toweius spp.,Tranolithus orionatus,Tribrachiatus bramlettei,Tribrachiatus contortus,Tribrachiatus digitalis,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbellosphaera tenuis,Umbilicosphaera hulburtiana,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Zygrhablithus bijugatus,Shore File Links,File Data
350-U1437B-10H-CC-PAL-NANNO,350,U1437,B,10,10-CC,H,CC,PAL,NANNO,0,5,89.58,89.63,,,,,CN14a,Emiliania ovata [OB80],,,,,,,,E,A,,,C,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,C,C,F,,,F,VF,,,,,,,,R,,,,VF,,,,,,,,,,,,,R,R,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,
350-U1437B-11F-CC-PAL-NANNO,350,U1437,B,11,11-CC,F,CC,PAL,NANNO,0,5,94.11,94.16,,,,,CN14a,Emiliania ovata [OB80],,,,,,,,G,A,,,C,,,,,,,,VF,,,,,,,,,,R,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,C,V,F,,,VF,VF,,,,,,,,R,,,,R,,,,,,,,,,,,,R,,,,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-12F-CC-PAL-NANNO,350,U1437,B,12,12-CC,F,CC,PAL,NANNO,0,5,98.9,98.95,,,,,CN14a,Emiliania ovata [OB80],,,,,,,,M,C,,,C,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,A,C,C,C,F,VF,VF,,,,,,,,F,,,,R,,,R,,,,,,,,,,R,R,,,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,
350-U1437B-13F-CC-PAL-NANNO,350,U1437,B,13,13-CC,F,CC,PAL,NANNO,0,5,102.04,102.09,,,,,CN14a,Emiliania ovata [OB80],,,,,,,,G,A,,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,A,A,F,,C,C,C,,,,,,,,F,,,,VF,,,,,,,,,,,,,R,R,R,,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-14F-CC-PAL-NANNO,350,U1437,B,14,14-CC,F,CC,PAL,NANNO,0,5,106.95,107,,,,,CN14a,Emiliania ovata [OB80],,,,,,,,G,A,,,C,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,C,C,F,,VF,F,VF,,,,,,,,F,,,,R,,,R,,,,,,,,,,VF,R,R,,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-15F-1-W 80/81-NANNO,350,U1437,B,15,15-1,F,1,,80/81-NANNO,0,1,107.6,107.61,,,,,,,,,,,,,,G,A,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,A,C,F,,VF,VF,R,,,,,,,,VF,,,,,,,,,,,,,,,,,R,R,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-15F-3-W 80/81-NANNO,350,U1437,B,15,15-3,F,3,,80/81-NANNO,0,1,110.6,110.61,,,,,CN14a,Emiliania ovata [OB80],,,,,,,,G,A,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,C,C,F,,VF,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-15F-CC-PAL-NANNO,350,U1437,B,15,15-CC,F,CC,PAL,NANNO,0,5,111.65,111.7,,,,,CN14a,Emiliania ovata [OB80],T R asanoi common,0.91,,,,,,G,C,,,F,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,A,C,F,,VF,VF,R,,,,,,,,R,,,,,,,,,,,,,,,,,R,R,,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-16F-CC-PAL-NANNO,350,U1437,B,16,16-CC,F,CC,PAL,NANNO,0,5,113.45,113.5,,,,,CN14a,Emiliania ovata [OB80],,,,,,,,G,A,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,VF,,R,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-17F-CC-PAL-NANNO,350,U1437,B,17,17-CC,F,CC,PAL,NANNO,0,5,121.22,121.27,,,,,CN13b,Gephyrocapsa caribbeanica [OB80],B R asanoi common,1.14,,,,,,G,A,,,C,,,,,,,,VF,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,,,,,,,,,,,R,,,,R,,,R,,,,,,,,,,F,,R,,F,C,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-18F-CC-PAL-NANNO,350,U1437,B,18,18-CC,F,CC,PAL,NANNO,0,5,125.75,125.8,,,,,CN13b,Gephyrocapsa caribbeanica [OB80],,,,,,,,G,A,,,C,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,F,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,R,R,,,F,VF,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-19F-CC-PAL-NANNO,350,U1437,B,19,19-CC,F,CC,PAL,NANNO,0,5,130.54,130.59,,,,,CN13b,Gephyrocapsa caribbeanica [OB80],,,,,,,,G,A,,,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,F,F,C,,,R,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-20F-CC-PAL-NANNO,350,U1437,B,20,20-CC,F,CC,PAL,NANNO,0,4,135.17,135.21,,,,,CN13b,Gephyrocapsa caribbeanica [OB80],,,,,,,,G,A,,,VF,,,,,,,,C,,,,,R,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,A,F,,F,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,R,VF,,C,,,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,,VF,,,,,,,,,,,,,,,VF,,,,
350-U1437B-21F-CC-NANNO,350,U1437,B,21,21-CC,F,CC,,NANNO,0,5,137.42,137.47,,,,,CN13b,Gephyrocapsa caribbeanica [OB80],,,,,,,,G,A,,,VF,,,,,,,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,A,C,,F,,,,,,,,VF,,,F,,,,,,,,,,,,,,,,,,,R,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,
350-U1437B-22F-CC-PAL-NANNO,350,U1437,B,22,22-CC,F,CC,PAL,NANNO,0,5,142.58,142.63,,,,,CN13b,Gephyrocapsa caribbeanica [OB80],,,,,,,,G,A,,,C,,,,,,,,C,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,C,,C,A,VF,R,C,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,R,R,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,,VF,,,,,,,,,,,,,,,VF,,,,
350-U1437B-23F-CC-PAL-NANNO,350,U1437,B,23,23-CC,F,CC,PAL,NANNO,0,5,143.67,143.72,,,,,CN13b,Gephyrocapsa caribbeanica [OB80],,,,,,,,G,A,,,F,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,F,A,C,R,C,F,F,,,,,,VF,,,F,,,,,,*,,,,,,,,,,,,R,,,C,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,
350-U1437B-24F-CC-PAL-NANNO,350,U1437,B,24,24-CC,F,CC,PAL,NANNO,0,5,145.69,145.74,,,,,CN13b,Gephyrocapsa caribbeanica [OB80],,,,,,,,M,C,,,VF,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,F,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,
350-U1437B-25X-CC-PAL-NANNO,350,U1437,B,25,25-CC,X,CC,PAL,NANNO,0,5,153.11,153.16,,,,,CN13b,Gephyrocapsa caribbeanica [OB80],LO large Gephyrocapsa (also B of small Gephy dominance = same age),1.24,,,,,,G,C,,,R,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,*,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,F,C,VF,F,,VF,,,,VF,,,F,,,,,,,R,,,,,,,,,,,,R,,F,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,
350-U1437B-26X-CC-PAL-NANNO,350,U1437,B,26,26-CC,X,CC,PAL,NANNO,0,5,160.98,161.03,,,,,CN13b,Gephyrocapsa caribbeanica [OB80],,,,,,,,G,A,,,VF,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,C,C,C,C,,,,C,,,,VF,,,F,,,,,,,,,,,,,,,,,,R,R,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,,VF,,,,,,,,,,,,,,,,,,,
