Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data
356-U1461A-25H-CC-PAL-NANNO,0,10,191.05,191.15,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],C [A04],,,F [A30],R [A30],R [A30],,,,,,,,,F [A30],,,,,,F [A30],R [A30],,,,,R [A30],,,,,,,,,,,,,,,,,,,,,P [A30],,,micrite and few dolomite,,,
356-U1461A-27H-CC-PAL-NANNO,0,10,209.43,209.53,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],C [A04],R [A30],,R,R [A30],,,,,,,,,,C [A04],,R [A30],,,,F [A30],R [A30],,,,,R [A30],,,,,,,,,,,,,,,,,,,,,P [A30],,,dolomite,,,
356-U1461A-29H-CC-PAL-NANNO,0,10,228.1,228.2,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],C [A04],F [A30],,C [A04],F [A30],F [A30],,,,,,,,,C [A04],,,,,,F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,micrite,,,
356-U1461A-31F-CC-PAL-NANNO,0,10,237.55,237.65,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],,,P [A30],,F [A30],,,,,,,,,F [A30],F [A30],,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,
356-U1461A-32F-CC-PAL-NANNO,0,8,242.24,242.32,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],,,F [A30],,C [A04],,,,,,,,,C [A04],,F [A30],,,,F [A30],R [A30],,,,,P [A30],,,,,,,,,,,P [A30],,,,,,,,,,P [A30],,,micrite,,,
356-U1461A-33F-CC-PAL-NANNO,0,12,247.02,247.14,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],F [A30],,R [A30],F [A30],F [A30],,,,,,,,,C [A04],R [A30],F [A30],,,,F [A30],F [A30],,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1461A-34F-CC-PAL-NANNO,0,10,251.35,251.45,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],C [A04],,,,,,,,,,,,,F [A30],P [A30],,,,,A [A23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1461A-36F-CC-PAL-NANNO,0,12,260.82,260.94,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],C [A04],,,F [A30],F [A30],,,,,,,,,,C [A04],P [A30],F [A30],,,,F [A30],F [A30],,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,dolomite,,,
356-U1461A-38F-CC-PAL-NANNO,0,10,270.19,270.29,,,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],,,F [A30],F,F,,,,,,,,,C [A04],,,,,,F [A30],R [A30],,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1461A-39F-CC-PAL-NANNO,0,10,275.12,275.22,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],C [A04],,F [A30],,F [A30],,,,,,,,,R [A30],,,,,,C [A04],F [A30],,,,,P [A30],,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,
356-U1461A-40F-CC-PAL-NANNO,0,11,279.49,279.6,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],,,R [A30],,,,,,,,,,,R [A30],,,,,,F [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lots of micrite, white sediments",,,
356-U1461A-41F-CC-PAL-NANNO,0,10,284.69,284.79,,,M [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],A [A23],F [A30],,,P [A30],,,,,,,,,,P [A30],,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matrix of micron-scale low birefringent needles (aragonite?),,,
