Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Comments,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Blackites gladius,Blackites inflatus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcispheres,Campylosphaera dela,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus rugosus,Ceratolithus atlanticus,Chiasmolithus altus,Chiasmolithus danicus,Chiasmolithus gigas,Chiasmolithus grandis,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiphragmolithus acanthodes,Chiphragmolithus barbatus,Chiphragmolithus calathus,Clausicoccus fenestratus,Clausicoccus subdistichus,Coccolithus crassus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cruciplacolithus frequens,Cruciplacolithus intermedius,Cruciplacolithus primus,Cruciplacolithus tenuis,Cyclicargolithus abisectus (>11 microns),Cyclicargolithus floridanus,Dictyococcites bisectus,Dictyococcites bisectus (>10 microns),Discoaster asymmetricus,Discoaster backmanii,Discoaster barbadiensis,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster deflandrei,Discoaster delicatus,Discoaster diastypus,Discoaster druggii,Discoaster exilis,Discoaster falcatus/nobilis,Discoaster hamatus,Discoaster kuepperi,Discoaster kugleri,Discoaster lodoensis,Discoaster loeblichii,Discoaster mohleri,Discoaster multiradiatus,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster saipanensis,Discoaster signus,Discoaster sublodoensis,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis group,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia cf. E. robusta,Ericsonia robusta,Fasciculithus alanii,Fasciculithus clinatus,Fasciculithus involutus,Fasciculithus lilianae,Fasciculithus pileatus,Fasciculithus richardii,Fasciculithus schaubi,Fasciculithus spp.,Fasciculithus tympaniformis,Fasciculithus ullii,Gephyrocapsa (<4 microns),Gephyrocapsa (>4 microns),Gephyrocapsa (>5.5 microns),Gephyrocapsa caribbeanica,Girgisia gammation,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera intermedia,Helicosphaera recta,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Heliolithus cantabriae,Heliolithus kleinpellii,Heliolithus riedelii,Hughesius tasmaniae,Isthmolithus recurvus,Minylitha convallis,Nannotetrina  alata gr.,Nannotetrina cristata,Nannotetrina fulgens,Nannotetrina spp.,Neococcolithes dubius,Nicklithus amplificus,Orthorhabdus serratus,Prinsius bisulcus,Prinsius dimorphosus,Prinsius martinii,Prinsius tenuiculus,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Pseudotriquetrorhabdulus inversus,Reticulofenestra asanoi,Reticulofenestra dictyoda (3–10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5–7 microns),Reticulofenestra reticulata,Reticulofenestra umbilicus (>14 microns),Rhomboaster spp.,Sphenolithus akropodus,Sphenolithus anarrhopus,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus cuniculus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus distentus,Sphenolithus furcatolithoides morph A,Sphenolithus furcatolithoides morph B,Sphenolithus heteromorphus,Sphenolithus moriformis gr.,Sphenolithus obtusus,Sphenolithus perpendicularis,Sphenolithus predistentus,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus spp.,Sphenolithus strigosus,Toweius callosus,Toweius magnicrassus,Toweius pertusus,Tribrachiatus bramlettei,Tribrachiatus contortus,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Zygrhablithus bijugatus,Reticulofenestra erbae,Reticulofenestra isabellae,Chiasmolithus bidens,Toweius eminens,Toweius tovae,Discoaster salisburgensis,Lithoptychius vertebratoides,Zeugrhabdotus sigmoides,Neochiastozygus junctus,CREATACEOUS,Arkhangelskiella cymbiformis,Ceratolithoides kamptneri,Corollithion kennedyi,Cribrocorona gallica,Eiffellithus eximius,Eiffellithus turriseiffelii,Hayesites irregularis,Helenea chiastia,Lithastrinus grillii,Lithastrinus septenarius,Lithraphidites acutus,Lithraphidites quadratus,Micula murus,Nephrolithus frequens,Quadrum gartneri,Reinhardtites anthophorus,Reinhardtites levis,Tranolithus orionatus,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
371-U1509A-10R-CC-PAL-NANNO,0,10,82.42,82.52,NN2,M,A,B S. disbelemnos,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,C,VR,,,,,1,C,R,R,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VR,VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VR,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,10,R,CC,PAL,84664d3dee0b1e0644b39b133abc8a58
371-U1509A-11R-CC-PAL-NANNO,0,10,90.08,90.18,NN1,M,A,,,,,,,,,,,R,,,,,,,1,,,1,,VR,,,,,,,,R,C,1,,,,,,C,F,F,,,,,,,,R,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,VR,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,R,,,,,,,,,,,,2,,F,,,,,2,,,,,,,,,,1,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,11,R,CC,PAL,aea2adfad11f76bafbe764d367fcfe13
371-U1509A-12R-CC-PAL-NANNO,0,10,105.01,105.11,NN1,M,A,,,,,,,,,,,R,,,,,,,1,,,1,,R,,,,,,,,R,C,VR,,,,,,C,C,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,12,R,CC,PAL,a0b292a4f6bb357291e00c21de58365f
371-U1509A-13R-CC-PAL-NANNO,0,10,114.63,114.73,NN1,M,A,T S. ciperoensis,,,,,,,,,,R,,,,,,,VR,,,1,,R,,,,,,,,R,C,VR,,,,,1,C,C,C,,,1,,,,,R,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,F,,,,,,,,,,,,1,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,13,R,CC,PAL,f941814b887693585bdcbdc093801cd4
371-U1509A-14R-2-W 70/70-NANNO,0,0,118,118,NP25,M,A,,,,,,,,,,,R,,,,,,,VR,,,,,R,,,,,,,VR,R,C,,,,,,R,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,2,,,,,,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,14,R,2,W,2977e7404f1aaee5aee44172755c1609
371-U1509A-14R-CC-PAL-NANNO,0,10,122.2,122.3,NP25,M,A,,,,,,,,,,,R,,,,,,,R,,,,,R,,,,,VR,,VR,R,C,VR,,,,,VR,C,C,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,F,,,,,,3,,,,,,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,14,R,CC,PAL,8dfa01c66aec5a5ceb6debd98bbec731
371-U1509A-15R-2-W 75/75-NANNO,0,0,127.65,127.65,NP25,M,A,T S. distentus T S. predistentus,,,,,,,,,,R,,,,,,,R,,,,,R,,,,,R,,VR,R,C,VR,,,,,R,C,C,C,,,,,,,,R,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,3,,,,,,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,15,R,2,W,8cc8e774003bc27e4eda02af2951c2ea
371-U1509A-15R-CC-PAL-NANNO,0,10,135.12,135.22,NP24,M,A,,,,,,,,,,,R,,,,,,,R,,,,,R,,,,,VR,,VR,R,C,R,,,,,R,C,C,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,4,,,,1,,,,C,,,1,,,,,,,,,,,,,,F-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,15,R,CC,PAL,afe35659d5b419c36f254c35f300f559
371-U1509A-16R-CC-PAL-NANNO,0,10,143.91,144.01,NP24,G,A,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,R,,,F,C,R,,,,,R,C,,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,R,,,,R,,,,C,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,16,R,CC,PAL,65962b9deb4104c5ae90234cf9861e58
371-U1509A-17R-2-W 54/54-NANNO,0,0,146.64,146.64,NP24,G,A,B S. ciperoensis,,,,,,,,,,R,,,,,,,R,,,,,,,,,,R,,,R,C,R,,,,,R,C,C,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,VR,,,,C,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,17,R,2,W,c5e572079085794223f51969d225eed8
371-U1509A-17R-CC-PAL-NANNO,0,10,149.27,149.37,NP23,G,A,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,VR,,,F,C,F,,,,,VR,C,,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,-,,,,VR,,,,C,,,VR,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,17,R,CC,PAL,5838a7194b827eac4249f98d32dae1e5
371-U1509A-18R-CC-PAL-NANNO,0,10,162.24,162.34,NP23,G,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,1,C,R,,,,,,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,,,,C,,,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,18,R,CC,PAL,1f97e1b68643caeb3bd54fb1cb5f7218
371-U1509A-19R-CC-PAL-NANNO,0,10,166.66,166.76,NP23,G,A,B S. distentus,,,,,,,,,,,,,,,,,F,,,,,,,,,,VR,,,F,C,R,,,,,,C,F,C,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,C,,,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,19,R,CC,PAL,d757411c482d82a11bd10c8df9ba769c
371-U1509A-20R-2-W 80/80-NANNO,0,0,175.69,175.69,NP23,G,A,T R. umbilicus,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,R,C,VR,,,,,,C,F,C,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,20,R,2,W,e4f2e82a079a50cf24cfc69020e0aea0
371-U1509A-20R-CC-PAL-NANNO,0,10,178.45,178.55,NP22,G,A,,,,,,,,,,,,,,,,,,F,,,,1,,,,,,F,,,R,C,R,,,,,,C,F,C,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,20,R,CC,PAL,92f2375f5b492e4062e958e3961e47ff
371-U1509A-21R-2-W 35/35-NANNO,0,0,184.85,184.85,NP22,G,A,T I. recurvus,,,,,,,,,,2,,,,,,,F,,,,,,,,,,R,,,R,C,1,,,,,,C,F,C,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,F,,,R,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,21,R,2,W,447347b8685513781999d61b35f7d1db
371-U1509A-21R-CC-PAL-NANNO,0,10,186.34,186.44,NP22,G,A,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,1,,C,VR,,,,,,C,F,C,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,21,R,CC,PAL,cc04983650218666a94e45e36ce10cf6
371-U1509A-22R-CC-PAL-NANNO,0,10,196.43,196.53,NP22,M-G,A,,,,,,,,,,,1,,,,,,,R,,,,,,,,,,R,,4,1,C,VR,,,,,,C,C,C,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,R,,,,,,,,,,,,,,C,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,22,R,CC,PAL,50be02b822f4b578f4f543e2917617d7
371-U1509A-23R-2-W 90/90-NANNO,0,0,204.5,204.5,NP22,M-G,A,T C. formosus,,,,,,,,,,1,,,,,,,R,,,,,1,,,,,3,,1,1,C,VR,,,,,,C,C,C,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,C,,,VR,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,23,R,2,W,4f25b5cd7e3829db087d2d65e80858a4
371-U1509A-23R-CC-PAL-NANNO,0,10,205.11,205.21,NP21,M-G,A,,,,,,,,,,,3,,,,,,,R,,,1,2,,,,,,3,,R,1,C,1,,,,,,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,C,,,VR,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,23,R,CC,PAL,d5bf88cc212d1f20db6fa7bfa8e3e98a
