Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Emiliania huxleyi,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra asanoi,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster coalitus,Catinaster calyculus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Clausicoccus subdistichus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Ceratolithus cristatus,Ceratolithus acutus,Florisphaera profunda,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera burkei,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus belemnos,Sphenolithus disbelemnos,Sphenolithus pseudoheteromorphus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
367-U1500B-47R-1-W 59/59-NANNO,0,0,1282.39,1282.39,,P,A,,,,,,,,,,,F,R,,,,,,,,,R,,A,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,,,,,,,,,,T.CARINATUS,,,,367,U1500,B,47,R,1,W
367-U1500B-47R-3-W 107/107-NANNO,0,0,1285.44,1285.44,,P,A,,,,,,,,,,,R,,,,,,,,,F,F,,A,,,,,,,,,,,C,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,F,,,,,DISCOASTER >15MICRON,,,,367,U1500,B,47,R,3,W
367-U1500B-47R-CC-PAL-NANNO,0,5,1289.51,1289.56,,M,A,,,,,,,,,,,R,F,,,,,,,,F,C,,A,,,,,,,,,,,,,,,C,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,367,U1500,B,47,R,CC,PAL
367-U1500B-48R-CC-PAL-NANNO,0,5,1299.41,1299.46,,M,A,,,,,,,,,,,,,F,,,,,,,F,F,,A,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,,,,,C,,,,,,,,,367,U1500,B,48,R,CC,PAL
367-U1500B-49R-1-PAL-NANNO,0,5,1302.59,1302.64,,M,A,,,,,,,,,,,,,,,,,,,,F,C,,A,,R,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,,,,,F,,,,,,,,,367,U1500,B,49,R,1,PAL
367-U1500B-50R-1-W 8/8-NANNO,0,0,1310.98,1310.98,,M,A,,,,,,,R,,,,F,,,,,,,,,,F,,A,,R,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,,,,,F,,,,,OVERGROWN DISCO,,,,367,U1500,B,50,R,1,W
367-U1500B-50R-CC-PAL-NANNO,0,5,1313.85,1313.9,,M,C,,,,,,,,,,,,,,,,,,,,R,R,,A,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,367,U1500,B,50,R,CC,PAL
367-U1500B-51R-6-W 60/60-NANNO,0,0,1328.42,1328.42,,M,A,,,,,,,R,F,,,F,,,,,,,,,R,F,,A,,R,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,F,,,,R,R,R,F,,,,,H.RECTA; C.FENESTRATUS,,,,367,U1500,B,51,R,6,W
367-U1500B-51R-CC-PAL-NANNO,0,5,1329.52,1329.57,,M,C,,,,,,,,F,,,,F,,,,,,,,R,F,,A,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,F,F,R,,,,,,,,,367,U1500,B,51,R,CC,PAL
367-U1500B-52R-CC-PAL-NANNO,0,5,1335.82,1335.87,,P,C,,,,,,,R,C,,,,F,,,,,,,,R,F,,A,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,R,R,F,,,,,,,,,367,U1500,B,52,R,CC,PAL
367-U1500B-53R-CC-PAL-NANNO,0,5,1343.79,1343.84,,M,C,,,,,,,R,F,,,,F,,,,,,,,R,F,,A,,F,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,,F,F,F,,,,,H. RECTA,,,,367,U1500,B,53,R,CC,PAL
367-U1500B-55R-CC-PAL-NANNO,0,5,1363.31,1363.36,,M,C,,,,,,,R,R,,,,F,,,,,,,,,F,,A,F,F,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,F,F,F,,,,,"C.FENESTRATUS, D SAIPANENSIS",,,,367,U1500,B,55,R,CC,PAL
367-U1500B-56R-1-W 44/45-NANNO,0,1,1369.54,1369.55,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,56,R,1,W
367-U1500B-56R-1-W 72/74-NANNO,0,2,1369.82,1369.84,,M,F,,,,,,,,,,,R,,,,,,,,,R,R,R,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,367,U1500,B,56,R,1,W
367-U1500B-56R-CC-PAL-NANNO,0,5,1370.33,1370.38,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,56,R,CC,PAL
367-U1500B-57R-1-A 32/32-NANNO,0,0,1379.12,1379.12,,P,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,57,R,1,A
367-U1500B-57R-1-W 19/19-NANNO,0,0,1378.99,1378.99,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,57,R,1,W
367-U1500B-57R-1-W 32/32-NANNO,0,0,1379.12,1379.12,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,57,R,1,W
367-U1500B-57R-2-W 45/45-NANNO,0,0,1380.63,1380.63,,P,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,57,R,2,W
367-U1500B-57R-2-W 69/69-NANNO,0,0,1380.87,1380.87,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,57,R,2,W
367-U1500B-58R-1-W 3/3-NANNO,0,0,1388.53,1388.53,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,58,R,1,W
367-U1500B-60R-2-W 13/17-NANNO,0,4,1409.37,1409.41,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,60,R,2,W
367-U1500B-60R-2-W 7/12-NANNO,0,5,1409.31,1409.36,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fallen piece from the top,,,,367,U1500,B,60,R,2,W
367-U1500B-60R-3-W 16/18-NANNO,0,2,1410.9,1410.92,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,60,R,3,W
367-U1500B-62R-1-A 7/7-NANNO,0,0,1415.97,1415.97,,P,F,,,,,,,R,,,,,,,,,,,,,,R,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,Brown sediment in the vein,,,,367,U1500,B,62,R,1,A
367-U1500B-63R-2-W 29/30-PAL,0,1,1419.92,1419.93,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,63,R,2,W
367-U1500B-64R-1-W 126/128-PAL,0,2,1429.26,1429.28,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,64,R,1,W
367-U1500B-65R-1-A 136/136-NANNO,0,0,1434.16,1434.16,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,65,R,1,A
367-U1500B-66R-3-W 90/92-PAL,0,2,1440.4,1440.42,,P,F,,,,,,,,F,,,,,,,,,,,,,R,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,66,R,3,W
367-U1500B-67R-1-W 0/1-PAL,0,1,1442.1,1442.11,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,67,R,1,W
367-U1500B-67R-1-W 42/44-NANNO,0,2,1442.52,1442.54,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,67,R,1,W
367-U1500B-71R-1-W 110/112-PAL,0,2,1462.6,1462.62,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,71,R,1,W
367-U1500B-71R-1-W 91/92-PAL,0,1,1462.41,1462.42,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,71,R,1,W
367-U1500B-71R-1-W 95/96-PAL,0,1,1462.45,1462.46,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,71,R,1,W
367-U1500B-71R-3-W 112/114-PAL,0,2,1465.62,1465.64,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,71,R,3,W
367-U1500B-73R-1-W 6/9-PAL,0,3,1471.16,1471.19,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,73,R,1,W
