Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Preservation,Group Abundance,Stylatractus universus,Antarctissa cylindrica,Pterocanium charybdeum trilobum,Cycladophora pliocenica,Triceraspyris antarctica,Eucyrtidium calvertense,Helotholus vema,Desmospyris spongiosa,Cycladophora davisiana,Prunopyle titan,Lampromitra coronata,Lychnocanium grande,Amphymenium challengerae,Acrosphaera? labrata,Cycladophora spongothorax,Stichocorys peregrina,Lithomelissa stigi,Acrosphaera australis,Acrosphaera murrayana,Cycladophora humerus,Eucyrtidium pseudoinflatum,Actinomma golownini,Dendrospyris megalocephalis,Antarctissa deflandrei,Antarctissa robusta,Lychnocanoma sp. B Abelmann,Eucyrtidium punctatum,Gondwanaria deflandrei,Cycladophora golli regipileus,Cyrtocapsella longithorax,Stylosphaera radiosa,Cycladophora antiqua,Cyrtocapsella tetrapera,Ceratocyrtis cucullaris,Ceratocyrtis mashae,Cornutella clathrata,Corythospyris fiscella,Cycladophora golli golli,Cyrtocapsella robusta,Cystophormis brevispina,Desmospyris rhodospyroides,Didymocyrtis sp.,Gondwanaria japonica,Haliommetta miocenica,Helotholus? haysi,Lithatractus timmsi?,Lychnocanoma sp. A Abelmann,Lychnocanoma conica,Lamprocyclas aegles,Prunopyle hayesi,Siphonosphaera vesuvius,Spongomelissa dilli,Stylatractus santaeannae,Velicucullus sp. cf. oddgurneri,Acanthodesmia spp.,Actinomma popofskii,Acrosphaera? mercurius,Acrosphaera spinosa echinoides,Actinomma antarcticum,Actinomma boreale,Actinomma delicatulum,Actinomma leptodermum,Actinomma leptodernum longispinum,Amphistylus angelinus,Antarctissa denticulata,Antarctissa strelkovi,Anthocyrtella (?) callopisma,Botryostrobus auritus/australis,Carposphaera annikae,Cenosphaera cristata,Ceratocyrtis spp.,Ceratocyrtis histricosa,Cladoscenium ancoratum,Cornutella profunda,Cycladophora bicornis,Cycladophora conica,Cystophormis ob,Dendrospyris ? sakaii,Dictyophimus crisiae,Druppatractus hastatus,Enneaphormis rotula,Eucyrtidium annulatum,Eucyrtidium cienkowskii,Eucyrtidium inflatum,Hexacontium melpomene,Hexacontium pachydermum,Hexastylus spp.,Larcopyle nebulum,Larcopyle pylomaticus,Larcopyle weddellium,Lithelius minor,Lithelius nautiloides,Lithelius sp. A,Lithocampe platycephala,Lithomelissa ehrenbergii,Lithomelissa sp. A Petrushevskaya,Lithomelissa tricornis,Lychnocanoma sp. C Abelmann,Mitrocalpis araneafera,Octodendron spp. spines,Peripyramis circumtexta,Phaeodaria,Phormacantha hystrix/Plectacantha oikiskos group,Phormostichoartus corbula,Phorticium polycladum,Pseudodictyophimus gracilipes,Rhizoplegma boreale,Saccospyris antarctica,Saccospyris conithorax,Saccospyris praeantarctica,Saturnalis circularis,Siphocampe arachnea,Spongoplegma sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongotrochus sp. A Abelmann,Sphaeropyle robusta,Prunopyle tetrapila,Stylacontarium bispiculum,Stylatractus neptunus,Stylochlamidium  venustum,Stylodictya spp.,Stylosphaera coronata laevis,Tessarastrum straussi,Theocorys redondoensis,Triceraspyris coronata,Tripildium (?) clavipes,Trisulcus nana,Comments,ADDITIONAL SPECIES,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
374-U1524A-11H-CC-PAL-RADS,0,7,99.56,99.63,,P,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,11,H,CC,PAL,afabff549745e73875555e7fa2024994
374-U1524A-12H-CC-PAL-RADS,0,6,109.06,109.12,,P,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,12,H,CC,PAL,49cd11ba8b9ab97d6e2e1399f1db85f9
374-U1524A-13H-CC-PAL-RADS,0,5,118.57,118.62,,P,Tr,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,13,H,CC,PAL,2c04cbfd1de7b338c2f3664056f3a865
374-U1524A-14H-CC-PAL-RADS,0,6,127.47,127.53,,P,Tr,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,374,U1524,A,14,H,CC,PAL,7499f22835d24bc8ae1ea22a6bff8301
374-U1524A-15H-CC-PAL-RADS,0,5,137.63,137.68,> 2.35,P,Tr,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,15,H,CC,PAL,989fb3e9ab01182f875673c1a849de7e
374-U1524A-16H-CC-PAL-RADS,0,3,146.59,146.62,,P,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,16,H,CC,PAL,1dc0d7e3703fa4e33744443851df1959
374-U1524A-17H-CC-PAL-RADS,0,5,156.54,156.59,,P,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,17,H,CC,PAL,46a7b2eda1ac2ec67066a6dc224bee03
374-U1524A-18H-CC-PAL-RADS,0,5,160.86,160.91,> 2.47 LAD D. spongiosa,G,R,,X,,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,374,U1524,A,18,H,CC,PAL,35737842ae11c6539772678aa606160f
374-U1524A-19H-CC-PAL-RADS,0,5,170.68,170.73,,G,R,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,374,U1524,A,19,H,CC,PAL,d6f329099cf632b921d7fb841aebb801
374-U1524A-20H-CC-PAL-RADS,0,5,180.6,180.65,,M,Tr,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,20,H,CC,PAL,454c739afda7268f326ddcaa7c6e291c
374-U1524A-21H-CC-PAL-RADS,0,8,189.71,189.79,,P,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,21,H,CC,PAL,acd0a10b9418961fc10af5974aaefc91
374-U1524A-22H-CC-PAL-RADS,0,5,199.66,199.71,,M,Tr,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,22,H,CC,PAL,b3c1bb51e64bc9d9ee4b8eaddc684f48
374-U1524A-23H-CC-PAL-RADS,0,5,208.66,208.71,> 2.47,G,A,,F,,X,,X,X,C,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,R,R,,,,,X,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,X,,,,X,,,,,,,,X,,X,,X,X,,,,X,,,,,,X,,Gondwanaria dogieli,,,,374,U1524,A,23,H,CC,PAL,8113cf1574d67d567801303eb5fd8e5f
374-U1524A-24H-CC-PAL-RADS,0,5,217.99,218.04,,M,Tr,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,24,H,CC,PAL,3251c7d2d76834ea3e64ea253a130a08
374-U1524A-25H-CC-PAL-RADS,0,5,227.81,227.86,,P,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,25,H,CC,PAL,45748559491ee955cabaac5a0d207f04
374-U1524A-26H-CC-PAL-RADS,0,5,237.07,237.12,,P,Tr,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,26,H,CC,PAL,aed63d73158a46aaf096743f2db8ad1f
374-U1524A-27H-CC-PAL-RADS,0,5,246.86,246.91,,P,Tr,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,27,H,CC,PAL,5a571e1343bb7dd9ea1951d2efd6c1e7
374-U1524A-28H-CC-PAL-RADS,0,5,256.48,256.53,,M,Tr,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,374,U1524,A,28,H,CC,PAL,1947b0ab445bc2071246ea6cee8baffb
374-U1524A-29H-CC-PAL-RADS,0,5,266.13,266.18,,P,Tr,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,29,H,CC,PAL,cfb17d1065c100bca1ac91255c9f6a72
374-U1524A-30H-CC-PAL-RADS,0,5,270.27,270.32,,G,C,,A,,X,,X,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,F,X,,,,,,,,,R,,,,,,,,,X,,X,,,,X,,,,,,,,,,,,,X,,,,,,,X,,,X,X,X,,,,,,,X,,,,,,X,,,,,,374,U1524,A,30,H,CC,PAL,eea404c1b3d9d6b39740b4fa311875ed
374-U1524A-31F-CC-PAL-RADS,0,5,270.68,270.73,,G,A,,A,,,,X,X,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,F,R,,,,,,,,,,,,X,,X,,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,X,,,X,,,,,,,,,,,,,,,,374,U1524,A,31,F,CC,PAL,ef85b09067c2e10495c43d81bca4ca1e
374-U1524A-32X-CC-PAL-RADS,0,5,273.01,273.06,,P,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,32,X,CC,PAL,1f95988e7b81e0bf4f955cb1d5a78de5
374-U1524A-33X-CC-PAL-RADS,0,5,282.94,282.99,,M,Tr,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1524,A,33,X,CC,PAL,f3a057daac95f5d46db5f8251c5f7f7e
374-U1524A-34X-CC-PAL-RADS,0,5,290.31,290.36,,P,R,,X,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,X,,,,X,,,,,X,,,,,,,,,R,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,374,U1524,A,34,X,CC,PAL,2029f367ea3452e4fe5a79c3bbaaca98
