Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,General comment,Percentage of nannos in total assemblage [%],Diatoms and siliceous plankton comment,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus pacificanus,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus cristatus,Ceratolithus larrymayeri,Ceratolithus rugosus,Ceratolithus telesmus,Chiasmolithus altus,Chiasmolithus consuetus,Chiasmolithus eograndis,Chiasmolithus gigas,Chiasmolithus nitidus,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiasmolithus spp.,Clausicoccus obrutus,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cryptococcolithus mediaperforatus,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites bisectus,Dictyococcites bisectus (>10µm),Dictyococcites haqii,Dictyococcites hesslandii,Dictyococcites perplexus,Dictyococcites scrippsae,Dictyococcites spp. (<6 microns),Discoaster anartios,Discoaster asymmetricus,Discoaster aulakos,Discoaster barbadiensis,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster binodosus,Discoaster blackstockae,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei,Discoaster diastypus,Discoaster druggii,Discoaster elegans,Discoaster exilis,Discoaster hamatus,Discoaster kuepperi,Discoaster kugleri,Discoaster lenticularis,Discoaster lodoensis,Discoaster loeblichii,Discoaster mediosus,Discoaster musicus,Discoaster neohamatus,Discoaster neorectus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster salisburgensis,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster tanii nodifer,Discoaster tanii ornatus,Discoaster triradiatus,Discoaster tristellifer,Discoaster variabilis,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia formosa,Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa (small <4 microns),Gephyrocapsa aperta,Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Girgisia gammation,Hayaster perplexus,Hayella situliformis,Helicopontosphaera hyalina,Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera inversa,Helicosphaera recta,Helicosphaera sellii,Helicosphaera wallichii,Hughesius gizoensis,Isthmolithus recurvus,Markalius inversus,Minylitha convallis,Nannotetrina alata,Nannotetrina fulgens,Nannotetrina spp.,Neocrepidolithus spp.,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra dictyoda,Reticulofenestra gelida,Reticulofenestra hillae,Reticulofenestra lockeri,Reticulofenestra minuta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra rotaria,Reticulofenestra samodurovii,Reticulofenestra spp. small,Reticulofenestra umbilicus (>14um),Rhabdosphaera clavigera,Rhabdosphaera gladius,Rhabdosphaera inflata,Rhomboaster cuspis,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conspicuus,Sphenolithus delphix,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus editus,Sphenolithus furcatolithoides,Sphenolithus heteromorphus,Sphenolithus intercalaris,Sphenolithus moriformis,Sphenolithus predistentus,Sphenolithus pseudoradians,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus spp.,Syracosphaera pulchra,Tetralithoides symeonidesii,Thoracosphaera spp.,Toweius callosus,Toweius crassus,Toweius pertusus,Toweius spp.,Tranolithus orionatus,Tribrachiatus bramlettei,Tribrachiatus contortus,Tribrachiatus digitalis,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbellosphaera tenuis,Umbilicosphaera hulburtiana,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Zygrhablithus bijugatus,Shore File Links,File Data
350-U1437D-11R-CC-PAL-NANNO,350,U1437,D,11,11-CC,R,CC,PAL,NANNO,0,5,523.13,523.18,,,,,CN11b,Discoaster asymmmetricus,,,,,,,,G,C,,,B,,,,,,,,R,F,,,R,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,,,,,VF,,,,,,,*,,,F,,,,,,,,,,,,,,,,,,VF,,,,,F,F,,,,,,R,,,,F,,F,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,VF,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,
350-U1437D-12R-CC-PAL-NANNO,350,U1437,D,12,12-CC,R,CC,PAL,NANNO,0,5,533.08,533.13,,,,,,,,,,,,,,G,C,,,B,,,,,,,,VF,VF,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,A,,,,,,VF,,,,,,,,,,F,,,,,,,,,,*,,,,,,,,R,,,,,VF,VF,,,,R,,R,,,,VF,,F,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-13R-CC-PAL-NANNO,350,U1437,D,13,13-CC,R,CC,PAL,NANNO,0,5,542.75,542.8,,,,,,,,,,,,,,G,A,,,B,,,,,,,,F,VF,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,A,,,,,,VF,,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,,,,,F,R,,,,,,R,,,,F,,C,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,R,,,VF,,,,,,,*,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,VF,,,,,
350-U1437D-14R-CC-PAL-NANNO,350,U1437,D,14,14-CC,R,CC,PAL,NANNO,0,5,552.07,552.12,,,,,,,,,,,,,,M,C,,,B,,,,,,,,VF,F,,,VF,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,A,,,,,,R,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,R,,,,,VF,,,,,,,,,,,F,,F,,,,,,,,,,,,,,,F,,,,,,VF,,,,,,,,,,,,,,,,,,,,,F,*,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,VF,VF,R,,,
350-U1437D-15R-CC-PAL-NANNO,350,U1437,D,15,15-CC,R,CC,PAL,NANNO,0,5,563.21,563.26,,,,,,,,,,,,,,M,A,,,B,,,,,,,,VF,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,F,VF,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,R,,,F,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-16R-CC-PAL-NANNO,350,U1437,D,16,16-CC,R,CC,PAL,NANNO,0,5,571.46,571.51,T Sphenolithus spp,B,,7.42,CN12a,Discoaster tamalis,,3.65,,,,,,G,A,,,B,,,,,,,,F,F,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,,,,,VF,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,F,,VF,VF,,,,,,,,,,,,,,VF,,,,,,R,,,,,,,,,,,,,,,F,,,,,,VF,,,,,,F,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,
350-U1437D-17R-CC-PAL-NANNO,350,U1437,D,17,17-CC,R,CC,PAL,NANNO,0,5,577.91,577.96,,,,,,,,,,,,,,G,A,,,B,,,,,,,,F,F,,,VF,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,A,,,,,,VF,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,F,,F,F,,,,,,,,,R,,,,,VF,,,,,,F,,,,,,,,,,,,,,,F,,,,,,VF,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,VF,,,,,
350-U1437D-18R-CC-PAL-NANNO,350,U1437,D,18,18-CC,R,CC,PAL,NANNO,0,5,591.2,591.25,,,,,,,,,,,,,,G,A,,,B,,,,,,,,VF,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,VF,,F,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,VF,VF,,,,
350-U1437D-19R-3-W 32/32-NANNO,350,U1437,D,19,19-3,R,W,,32/32-NANNO,0,0,594.92,594.92,,,,,,,,,,,,,,M,A,,,B,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,VF,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,VF,,F,,,,,,,,,,,,,,,VF,,,,,,R,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,VF,,,,,
350-U1437D-19R-CC-PAL-NANNO,350,U1437,D,19,19-CC,R,CC,PAL,NANNO,0,5,599.15,599.2,"T Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",T,,3.7,CN11b,Discoaster asymmmetricus,LO R pseudoumbilicus (just one specimens),3.7,,,,,,M,A,,,B,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,VF,,,,,*,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,F,,F,F,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,VF,,,,,
350-U1437D-20R-CC-PAL-NANNO,350,U1437,D,20,20-CC,R,CC,PAL,NANNO,0,5,608.39,608.44,,,,,,,,,,,,,,M,A,,,B,,,,,,,,F,F,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,C,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,VF,,VF,,,,,,,,,,,,,,,VF,,,,,,R,,,,,,,,,,,,,,R,R,,,,,,VF,F,,,,,R,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,VF,,,,
350-U1437D-21R-CC-PAL-NANNO,350,U1437,D,21,21-CC,R,CC,PAL,NANNO,0,1,616.93,616.94,,,,,,,,,,,,,,M,A,,,B,,,,,,,,F,VF,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,F,,VF,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,
350-U1437D-22R-CC-PAL-NANNO,350,U1437,D,22,22-CC,R,CC,,NANNO,0,5,631.03,631.08,,,,,,,,,,,,,,M,C,,,B,,,,,,,,VF,F,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,F,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,VF,R,,,,
350-U1437D-23R-CC-PAL-NANNO,350,U1437,D,23,23-CC,R,CC,PAL,NANNO,0,5,640.71,640.76,,,,,,,,,,,,,,M,C,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,VF,,,,,,,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-24R-CC-PAL-NANNO,350,U1437,D,24,24-CC,R,CC,PAL,NANNO,0,5,649.0,649.05,,,,,,,,,,,,,,M,C,,,B,,,,,,,,VF,VF,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,C,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,R,,,,,,R,,,,F,,F,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,,,F,C,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-25R-CC-PAL-NANNO,350,U1437,D,25,25-CC,R,CC,PAL,NANNO,0,5,660.29,660.34,,,,,,,,,,,,,,G,A,,,B,,,,,,,,VF,R,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,A,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,R,R,,,,,,F,,,,F,,R,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-26R-CC-PAL-NANNO,350,U1437,D,26,26-CC,R,CC,PAL,NANNO,0,5,669.23,669.28,,,,,,,,,,,,,,G,C,,,B,,,,,,,,F,VF,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,R,,,,,,,F,F,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-27R-CC-PAL-NANNO,350,U1437,D,27,27-CC,R,CC,PAL,NANNO,0,5,676.84,676.89,,,,,,,,,,,,,,P,B,,,B,,,,,,,,F,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-28R-CC-PAL-NANNO,350,U1437,D,28,28-CC,R,CC,PAL,NANNO,0,5,683.95,684.0,,,,,,,,,,,,,,M,C,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,F,C,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-29R-CC-PAL-NANNO,350,U1437,D,29,29-CC,R,CC,PAL,NANNO,0,5,694.62,694.67,,,,,,,,,,,,,,P,F,,,B,,,,,,,,VF,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
