Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1459B-12F-CC-PAL-NANNO,0,5,64.2,64.25,NN16 [G12],"NN16 - Discoaster surculus (Gradstein et al., 2012)",VG [P33],C [A22],,,,,,,,,,,,,,,,,P [A30],,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,C [A04],C [A04],,,,,,,,,P [A30],,,,,,,,,,,,,,,,,P [A30],,,?reworked Helicosphaera recta,,,,356,U1459,B,12,F,CC,PAL
356-U1459B-13F-CC-PAL-NANNO,0,10,68.8,68.9,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],C [A04],,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,356,U1459,B,13,F,CC,PAL
356-U1459B-14F-CC-PAL-NANNO,0,5,73.56,73.61,,,VG [P33],A [A22],,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,C [A04],C [A04],,,,P [A30],,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,356,U1459,B,14,F,CC,PAL
356-U1459B-15F-CC-PAL-NANNO,0,5,78.34,78.39,,,G [P33],C [A22],,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,C [A04],C [A04],,,,,R [A30],,R [A30],,P [A30],,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,15,F,CC,PAL
356-U1459B-16F-CC-PAL-NANNO,0,5,83.15,83.2,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,C [A04],C,,,,,,,,,,,,,P [A30],,,,P [A30],,,,,,P [A30],,P,,,,,,,,356,U1459,B,16,F,CC,PAL
356-U1459B-17F-CC-PAL-NANNO,0,5,88.02,88.07,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,,,,,,,,,,,,C [A04],,,,,,A [A23],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,small geph 2 micron,,,,356,U1459,B,17,F,CC,PAL
356-U1459B-18F-CC-PAL-NANNO,0,5,92.51,92.56,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,C [A04],C [A04],,P [A30],,,R [A30],,,,,,,,P [A30],,,,,,,P [A30],,,,,,,,,,,,,356,U1459,B,18,F,CC,PAL
356-U1459B-19F-CC-PAL-NANNO,0,5,97.48,97.53,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],,,,,,,,,,,,,,,C [A04],,,,,,C [A04],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,reworked specimen of R. bisecta (Eocene-NN1),,,,356,U1459,B,19,F,CC,PAL
356-U1459B-20F-CC-PAL-NANNO,0,5,102.19,102.24,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],,C [A04],,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,reworked specimen of R. bisecta (Eocene-NN1),,,,356,U1459,B,20,F,CC,PAL
356-U1459B-21F-CC-PAL-NANNO,0,5,106.6,106.65,,,G [P33],A [A22],,,,,,,,,,,,,P [A30],,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,A [A23],C [A04],,C [A04],,,R [A30],,R [A30],,R [A30],,,,,,,,,,,,,,,,P [A30],,,,reworked specimen of R. bisecta (Eocene-NN1),,,,356,U1459,B,21,F,CC,PAL
356-U1459B-22F-CC-PAL-NANNO,0,5,111.57,111.62,,,G [P33],A [A22],,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,"R. pseudoumbilicus, 6 micron",,,,356,U1459,B,22,F,CC,PAL
356-U1459B-23F-CC-PAL-NANNO,0,5,115.82,115.87,NN15 [G12],"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",G [P33],A [A22],,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],F [A30],,A [A23],C [A04],,C [A04],,,R [A30],,,,R [A30],,,,,,,P [A30],,,,,,,,,P [A30],,,,,,,,356,U1459,B,23,F,CC,PAL
356-U1459B-24F-CC-PAL-NANNO,0,5,120.85,120.9,,,M [P33],C [A22],,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,A [A23],C [A04],,F [A30],,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,dolomite rhombs present,,,,356,U1459,B,24,F,CC,PAL
356-U1459B-25F-CC-PAL-NANNO,0,5,122.85,122.9,,,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,F [A30],R [A30],,C [A04],C [A04],,C [A04],,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,"R. pseudoumbilicus, 6 micron",,,,356,U1459,B,25,F,CC,PAL
356-U1459B-26F-CC-PAL-NANNO,0,5,127.32,127.37,,,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],,A [A23],C [A04],,F [A30],,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,R. pseudoumbilicus >7 micron (photomicrograph),,,,356,U1459,B,26,F,CC,PAL
356-U1459B-27F-CC-PAL-NANNO,0,5,130.59,130.64,,,G [P33],C [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],R [A30],,A [A23],C [A04],,C [A04],,,,,R [A30],,R [A30],,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,27,F,CC,PAL
356-U1459B-28F-CC-PAL-NANNO,0,5,136.98,137.03,,,VG [P33],A [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],F [A30],,A [A23],C [A04],,C [A04],,,P [A30],,,,R [A30],,,,,,,,,,,,,,,,P [A30],,,,,,,,356,U1459,B,28,F,CC,PAL
356-U1459B-29F-CC-PAL-NANNO,0,5,141.78,141.83,,,G [P33],C,,,R,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,F [A30],R [A30],,C,,,,,,,R,,,,P,,,,,,,,,,,,,,,,,,,,356,U1459,B,29,F,CC,PAL
356-U1459B-30F-CC-PAL-NANNO,0,5,146.54,146.59,,,G,F [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C [A04],,C,,,R [A30],,,,R,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,30,F,CC,PAL
356-U1459B-31F-CC-PAL-NANNO,0,5,151.21,151.26,,,G [P33],C [A22],,,R,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,F [A30],F [A30],,C,,,P [A30],,,,F [A30],,,,P,,,,,,,,,,,,,,,,,,,,356,U1459,B,31,F,CC,PAL
356-U1459B-32F-CC-PAL-NANNO,0,5,155.97,156.02,,,G,F [A22],,,P [A30],,,,,,,,,,P,,,,F,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,F [A30],F [A30],,C,,,P,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,32,F,CC,PAL
356-U1459B-33F-CC-PAL-NANNO,0,5,160.55,160.6,,,G,F,,,,,,,,,,,,,R [A30],,,,F,,,,P [A30],,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,33,F,CC,PAL
356-U1459B-34F-CC-PAL-NANNO,0,5,165.21,165.26,NN11 [G12],"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,R [A22],,,R [A30],,,,,,,,,,,,,,P [A30],,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,34,F,CC,PAL
356-U1459B-35F-CC-PAL-NANNO,0,5,169.87,169.92,,,G [P33],C [A22],,,R [A30],,,,,,,,,,P [A30],,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,C [A04],C [A04],,F [A30],,,R [A30],,,,R [A30],,,,,,,,,,,,,,,,P [A30],,,,H. intermedia (photomicrograph),,,,356,U1459,B,35,F,CC,PAL
356-U1459B-36F-CC-PAL-NANNO,0,5,173.74,173.79,,,G [P33],C [A22],,,,,,,,,,,,,P [A30],,,,R [A30],,,,,,P [A30],,P [A30],,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,R [A30],F [A30],,F [A30],,,R [A30],,,,R [A30],,,,R [A30],,,P [A30],,,,,,,,,,,,,D. challengeri (photomicrograph),,,,356,U1459,B,36,F,CC,PAL
356-U1459B-37F-CC-PAL-NANNO,0,5,179.5,179.55,,,G [P33],C [A22],,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,C [A04],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,37,F,CC,PAL
356-U1459B-38F-CC-PAL-NANNO,0,5,184.05,184.1,,,G [P33],F [A22],,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,38,F,CC,PAL
356-U1459B-39F-CC-PAL-NANNO,0,5,186.87,186.92,,,G [P33],C [A22],,,,,,,,,,,,,P [A30],,R [A30],,R [A30],,,,P [A30],,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],C [A04],,F [A30],,,R [A30],,,,R [A30],,,,,,,,,,,,,,,,P [A30],,,,,,,,356,U1459,B,39,F,CC,PAL
356-U1459B-40F-CC-PAL-NANNO,0,5,190.53,190.58,,,G,R,,,,,,,,,,,,,,P [A30],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,40,F,CC,PAL
356-U1459B-41F-CC-PAL-NANNO,0,8,197.94,198.02,,,G,F [A22],,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,R [A30],R [A30],F [A30],,,,R [A30],,,,R [A30],,,,P [A30],,,,,,,,,,,,,,,,,,,,356,U1459,B,41,F,CC,PAL
356-U1459B-42F-CC-PAL-NANNO,0,5,201.14,201.19,,,G [P33],F [A22],,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],R [A30],,,,,R [A30],,,,R [A30],,,,R [A30],,,,,,,,,,,,P [A30],,,,,,,,356,U1459,B,42,F,CC,PAL
356-U1459B-43F-CC-PAL-NANNO,0,8,204.81,204.89,,,M [P33],R [A22],,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,43,F,CC,PAL
356-U1459B-44F-CC-PAL-NANNO,0,8,209.76,209.84,,,G [P33],F [A22],,,R [A30],,,,,,P [A30],,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,R [A30],R [A30],,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,356,U1459,B,44,F,CC,PAL
356-U1459B-46F-CC-PAL-NANNO,0,5,218.89,218.94,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1459,B,46,F,CC,PAL
356-U1459B-47X-CC-NANNO,0,0,219.17,219.17,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,light grey mudstone in CC: 1-2 micron silicates (clay) and some micrite grains (4-10 micron).,,,,356,U1459,B,47,X,CC,NANNO
356-U1459B-48X-CC-PAL-NANNO,0,2,223.9,223.92,,,VG [P33],F [A22],,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,F [A30],F [A30],,,R [A30],,,P [A30],,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,356,U1459,B,48,X,CC,PAL
356-U1459B-49X-CC-PAL-NANNO,0,1,228.9,228.91,,,G [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,,P [A30],P [A30],,,,,,,,,,,,,,,,,,P [A30],P [A30],,,SS prepared from suspension after untrasonic bath of consolidated sediment,,,,356,U1459,B,49,X,CC,PAL
