Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Ammonia beccarii,Anomalina spherica,Anomalinoides vitrinodus,Bigenerina pliocenica,Bolivina affliata,Bolivina albatrossi,Bolivina barnwelli,Bolivina fyfei,Bolivina parri,Bolivina punctatostriata,Bolivina wanganuiensis,Bolivina watti,Bolivina zedirecta,Bolivinella australis,Bolivinella lilliei,Bolivinella profolium,Bolivinita compressa,Bolivinita elegantissima,Bolivinita finlayi,Bolivinita pliozea,Bolivinita pohana,Bolivinita pseudocompressa,Bolivinita quadrilatera,Bulimina aculeata,Bulimina mapiria,Bulimina marginata,Ceratocancris clifdenensis,Cibcides sp.,Cibicides amoenus,Cibicides deliquatus,Cibicides finlayi,Cibicides neoperforatus,Cibicides thiaracuata,Cibicides victoriensis,Cycloclypeus sp.,Discorbis dimidiatus,Dorothia scabra,Ehrenbergina marwicki,Ehrenbergina mestayeri,Elphidium charlottensis,Elphidium novozealandicum,Euuvigerina cf. peregrina,Euuvigerina mioschwageri,Euuvigerina pliozea,Globocassidulina arata,Haeuslerella finlayi,Haeuslerella morgani,Haeuslerella parri,Haeuslerella pukeuriensis,Haynesina depressula,Hopkinsina mioindex,Hyalinea cf. balthica,Karreriella cushmani,Karreriella cylindrica,Lenticulina calcar,Lepidocyclina ephippoides,Lingulina avellanoides,Loxostomum karrerianum,Loxostomum pakaurangiense,Loxostomum truncatum,Mucronina multicostales,Mucronina subtetragona,Mucronina tosta,Nodosaria acuminata,Nonionella flemingi,Notorotalia briggsi,Notorotalia finlayi,Notorotalia hurupiensis,Notorotalia kingmai,Notorotalia taranakia,Notorotalia wilsoni,Notorotalia zelandica,Patellinella inconspicua,Planorbulinella zelandica,Planulina wuellerstorfi,Plectofrondiculana fyfei,Plectofrondicularia parri,Plectofrondicularia pellucida,Plectofrondicularia pohana,Plectofrondicularia turgida,Rectobolivina maoria,Rectobolivina parvula,Rectobolivina striatula,Rectuvigerina pohana,Rectuvigerina ruatoria,Rectuvigerina vesca,Rotalia wanganuiensis,Saracenaria italica,Semivulvulina ihungia,Sherbornina cuneimarginata zealandica,Sigmoilopsis compressa,Sigmoilopsis schlumbergeri,Sigmoilopsis zeaserus,Siphotextularia wairoana,Siphouvigerina notohispida,Spiroloculina novozealandica,Textularia awazea,Textularia gladizea,Textularia kapitea,Textularia miozea,Uvigerina peregrina,Uvigerina rodleyi,Vaginulinopsis zeacarinata,Valvulineria sp.,Virgulopsis turris,Zeaflorilus parri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1520C-12R-CC-PAL-FORAM,0,7,746.82,746.89,G-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,12,R,CC,PAL,5e95b377ce87c9abacc4d2dbfb58a87e
375-U1520C-13R-CC-PAL-FORAM,0,5,756.62,756.67,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,13,R,CC,PAL,2e5a40a3b27ad35ca2d308ef7056de1b
375-U1520C-14R-CC-PAL-FORAM,0,5,766.15,766.2,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,14,R,CC,PAL,6764564854d887f2c4638751482798f8
375-U1520C-15R-7-PAL-FORAM,0,4,775.17,775.21,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,15,R,7,PAL,1cd9ed5bba89cd448fa89ea31216176e
375-U1520C-16R-4-PAL-FORAM,0,4,781.36,781.4,G-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,16,R,4,PAL,6c8157a022da628eeb1e9a5cccb08540
375-U1520C-17R-CC-PAL-FORAM,0,5,786.64,786.69,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,17,R,CC,PAL,5ba62ed578d84f07c428add4ef428e97
375-U1520C-18R-CC-PAL-FORAM,0,5,803.21,803.26,G-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,18,R,CC,PAL,638397ce11d2039e40b2880df1c36c8a
375-U1520C-19R-CC-PAL-FORAM,0,5,809.23,809.28,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,19,R,CC,PAL,83a5f01ac14af6dc8dae8c9c01c5e713
375-U1520C-20R-3-W 62/67-PAL-FORAM,0,5,817.92,817.97,G-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,20,R,3,W,083245881e8c2ecafab2e0ca2cd0d2f6
375-U1520C-20R-CC-PAL-FORAM,0,5,819.17,819.22,G-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,20,R,CC,PAL,a9544e7dabcb50536b9d80d2ae876077
375-U1520C-21R-2-W 6/12-PAL-FORAM,0,6,825.47,825.53,G-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,21,R,2,W,1e32317f222841721cfd4d7045ed98fd
375-U1520C-21R-CC-PAL-FORAM,0,5,827.04,827.09,G-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,21,R,CC,PAL,07455ff550535410d16f2a7b29205c2a
375-U1520C-22R-2-W 106/112-PAL-FORAM,0,6,835.97,836.03,G-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,22,R,2,W,d62cbedc80273d8e24d2d6d300e2715b
375-U1520C-22R-CC-PAL-FORAM,0,6,841,841.06,G-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,22,R,CC,PAL,e13340a5fb74dfcd093622a6389c622b
375-U1520C-23R-4-PAL-FORAM,0,5,848.01,848.06,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,23,R,4,PAL,487393140839a14da8af1f2965257c5a
375-U1520C-34R-2-PAL-FORAM,0,5,950.22,950.27,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,34,R,2,PAL,838d5b50e6373b689ae878fedc3ee36f
375-U1520C-34R-3-W 26/28-CRUN-FORAM,0,2,950.53,950.55,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,34,R,3,W,875318dc80d54caaa495c656a3b1a73b
375-U1520C-34R-CC-PAL-FORAM,0,5,953.45,953.5,M-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,34,R,CC,PAL,a5521e6269e45260ee1eefa9b2bbefd8
375-U1520C-41R-1-W 99/104-WOOD-FORAM,0,5,1016.69,1016.74,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,41,R,1,W,45dde502df2e5e9a000ef178d9ec0b3d
375-U1520C-41R-2-W 61/63-PAL-FORAM-FORAM,0,2,1017.8,1017.82,M-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,41,R,2,W,3215764e85ace1fc224cb8c6532fbce6
375-U1520C-43R-2-W 80/84-PAL-FORAM,0,4,1037.17,1037.21,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,43,R,2,W,53e5d0a6d88417039faa99e01d6f2708
