Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data
356-U1463C-15H-CC-PAL-NANNO,0,5,134.79,134.84,,,G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],R [A30],,,,,,,,,,,,,F [A30],,,,,,C [A04],C [A04],,,,,F [A30],,,,,,,,F [A30],,,,R [A30],,,,,,P [A30],,,F [A30],,,,,,
356-U1463C-20H-CC-PAL-NANNO,0,5,182.19,182.24,,,M [P33],C [A22],,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,A [A23],C [A04],,,,F [A30],,,,,F [A30],,,,R [A30],,,,F [A30],,,,,,P [A30],,,,,,few dolomite crystals,,,
356-U1463C-21H-CC-PAL-NANNO,0,5,192,192.05,NN18 [G12],"NN18 - Discoaster brouweri (Gradstein et al., 2012)",M [P33],C [A22],,,F [A30],,,,,,,,,,P [A30],,,,F [A30],,,,,,,,,,P [A30],,,,C [A04],,,,,,,,,,,,,,,F [A30],,,,,,V [A94],A [A23],,,,P [A30],F [A30],,,,C [A04],,,,F [A30],,,,P [A30],,P [A30],,,P [A30],P [A30],,,,,,,,,
356-U1463C-22H-CC-PAL-NANNO,0,5,201.32,201.37,,,G [P33],F [A22],,,R [A30],,,,,,,,,,,,,,F [A30],,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,R [A30],,,,,,C [A04],R [A30],,,,,F [A30],,,,R [A30],,,,F [A30],,,,,,,,,,P [A30],,,R [A30],,,,,,
356-U1463C-24H-CC-PAL-NANNO,0,5,220.49,220.54,NN17 [G12],"NN17 - Discoaster pentaradiatus (Gradstein et al., 2012)",M [P33],A [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,P [A30],,,,R [A30],,,,,,,,,,,,,,,,,,F [A30],,,,,,C [A04],A [A23],,,,P [A30],,,,,F [A30],,,,F [A30],,,,F [A30],,,,,,R [A30],,,,,,abundant small (lith?) fragments,,,
356-U1463C-25H-CC-PAL-NANNO,0,5,229.97,230.02,,,G [P33],C [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,F [A30],,,,,,A [A23],C [A04],,,,R [A30],,,,,P [A30],,,,F [A30],,,,R [A30],,P [A30],,,R [A30],R [A30],,,,,,,,,
356-U1463C-26H-CC-PAL-NANNO,0,5,238.84,238.89,,,G [P33],C [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,R [A30],,,,R [A30],,,,,,,,,,,,,,,,,,F [A30],,,,,,C [A04],A [A23],,,,R [A30],,,R [A30],,R [A30],,,,F [A30],,,,R [A30],,,,,R [A30],,,,,,,,,,
356-U1463C-29H-CC-PAL-NANNO,0,5,265.58,265.63,NN19 [G12],"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,F [A30],,,,,,,R [A30],P [A30],,,R [A30],,,,,,,,,,,,,,,,,,C [A04],,,,,,A [A23],A [A23],,,,,R [A30],,R [A30],,,,,,F [A30],,,,R [A30],,,,,P [A30],R [A30],,,,,,,,,
356-U1463C-30H-6-PAL-NANNO,0,5,273.83,273.88,,,M [P33],D [A22],,,F [A30],,,,,,,,,,R [A30],,,,F [A30],,,,,,,R [A30],,,,R [A30],,,,,,,,,,,,,,,,,,C [A04],,,,,,V [A94],A [A23],,R [A30],,P [A30],R [A30],,R [A30],,,,,,F [A30],,,,R [A30],,,,,,,,,,,,,,,
356-U1463C-31H-5-PAL-NANNO,0,5,280.67,280.72,,,G [P33],D [A22],,,R [A30],,,,,,,,,,,,,,F [A30],,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,C [A04],,,,,,V [A94],A [A23],,C [A04],,,,,,,,,,,F [A30],,,,F [A30],,F [A30],,,F [A30],,,R [A30],,,,,,,
356-U1463C-32F-CC-PAL-NANNO,0,8,285.05,285.13,,,G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,C [A04],,,,,,V [A94],A [A23],,C [A04],,,,,,,,,,,F [A30],,P [A30],,,,,,,F [A30],,,,,,,,,,
356-U1463C-33F-2-PAL-NANNO,0,10,288.31,288.41,NN15 [G12],"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,P [A30],,,,R [A30],,,,,,,,,,,,,,,,,,F [A30],,,,R [A30],,A [A23],A [A23],,C [A04],,P [A30],F [A30],,R [A30],,,,,,F [A30],,,,R [A30],,R [A30],,,P [A30],,,,F [A30],,,,,,
356-U1463C-35F-4-PAL-NANNO,0,5,296.98,297.03,,,G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,,,,P [A30],R [A30],,,,,,,,,,,,,,,,,,F [A30],,,,F [A30],,A [A23],A [A23],,A [A23],,P [A30],R [A30],,R [A30],,,,,,F [A30],,,,R [A30],,,,,R [A30],R [A30],,,F [A30],,,,,,
356-U1463C-36F-4-PAL-NANNO,0,5,301.7,301.75,,,G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,,,,P [A30],R [A30],,,,,,,,,,,,,,,,,,F [A30],,,,F [A30],,A [A23],A [A23],,A [A23],,,,,,,,,,,F [A30],,,,R [A30],,P [A30],,,R [A30],,,,,,,,,,
356-U1463C-41F-3-PAL-NANNO,0,5,317.66,317.71,,,G [P33],D [A22],,,R [A30],,,,,,,,,,P [A30],,,,R [A30],,,,,,,R [A30],R [A30],,,R [A30],,,,,,,,,,,,,,,,,,R [A30],,,,C [A04],,V [A94],A [A23],,A [A23],,R [A30],R [A30],,R [A30],,,,,,C [A04],,,,R [A30],,,,,R [A30],,,,,,,,,,
356-U1463C-45F-2-PAL-NANNO,0,5,330.61,330.66,,,G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,P [A30],,,,R [A30],,,,,,,,,,,,,,,,,,R [A30],,,,F [A30],,A [A23],A [A23],,C [A04],,,F [A30],,R [A30],,P [A30],,,,C [A04],,,P [A30],R [A30],,,,,R [A30],P [A30],,,F [A30],,,,,,
356-U1463C-46F-3-PAL-NANNO,0,5,334.66,334.71,,,G [P33],D [A22],,,R [A30],,,,,,,,,,,,,,F [A30],,,,,,,P [A30],R [A30],,,R [A30],,,,,,,,,,,,,,,,,,,,,,F [A30],,V [A94],C [A04],,C [A04],,,R [A30],,R [A30],,R [A30],,,,C [A04],,,P [A30],R [A30],,,,,R [A30],,,,,,,,,,
356-U1463C-49F-3-PAL-NANNO,0,5,343.58,343.63,,,G [P33],D [A22],,,,,,,,,,,,,F [A30],,,,F [A30],,,,,,,F [A30],P [A30],,P [A30],F [A30],,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],,V [A94],C [A04],,C [A04],,,P [A30],,,,,,,,F [A30],,,,R [A30],,,,,P [A30],,,,,,,,,,
356-U1463C-52F-CC-PAL-NANNO,0,5,353.17,353.22,,,G [P33],D [A22],,,P [A30],,,,,,,,,,P [A30],,,,,,,,,,,,P [A30],,,R [A30],,,,,,,,,,,,,,,,,,P [A30],,,C [A04],C [A04],C [A04],V [A94],A [A23],,C [A04],,R [A30],R [A30],,,,,,,,C [A04],,,R [A30],R [A30],,,,,R [A30],,,R [A30],,,,,,,
356-U1463C-56F-3-PAL-NANNO,0,5,369.72,369.77,,,G [P33],D [A22],,,,,,,,,,,,,,,,,F [A30],,,,,,,,P [A30],,,F [A30],,,,,,,,,,,,,,,,,,,,,C [A04],R [A30],,V [A94],A [A23],,A [A23],,,R [A30],,,,R [A30],,,,F [A30],,,,F [A30],,,,,R [A30],,,R [A30],,,,,,,
356-U1463C-61F-CC-PAL-NANNO,0,5,392.44,392.49,NN11 [G12],"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,P [A30],,P [A30],,,R [A30],,,,,,,,,,,,,,,,,,P [A30],,,F [A30],F [A30],,V [A94],A [A23],,A [A23],,,,,,,F [A30],,,,F [A30],,,,,,,,,P [A30],,,,,,P [A30],reworked R. bisecta present,,,
