Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Emiliania huxleyi,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra asanoi,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster coalitus,Catinaster calyculus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Clausicoccus subdistichus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Ceratolithus cristatus,Ceratolithus acutus,Florisphaera profunda,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera burkei,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus belemnos,Sphenolithus disbelemnos,Sphenolithus pseudoheteromorphus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
367-U1499A-29X-CC-PAL-NANNO,0,5,269.1,269.15,,M,R,,,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,F,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,D.variabilis group,,,,367,U1499,A,29,X,CC,PAL,6efe54b1e395124690f210078ca43747
367-U1499A-30X-2-W 72/72-NANNO,0,0,271.32,271.32,,M,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,F,,,,,,,,,,,F,,,,,R,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,367,U1499,A,30,X,2,W,cb141ca5b472e7bb58d6f07dc29c3380
367-U1499A-30X-5-W 72/72-NANNO,0,0,275.82,275.82,,M,F,,,,,,,,,R,,R,F,,,,,,,,,,,,,,,R,,,,F,,,,,,,,,,,F,,,,,F,,,F,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,367,U1499,A,30,X,5,W,67359115aebfb5cff7ce1630cf5d1634
367-U1499A-30X-CC-PAL-NANNO,0,5,278.91,278.96,,M,F,,,,,,,,,C,,,,F,,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,C,,,,C,,,,C,R,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,Amaurolithus delicatus,,,,367,U1499,A,30,X,CC,PAL,f52310cd29ea09dcd67d1e1cc58f40a4
367-U1499A-31X-2-W 52/52-NANNO,0,0,280.82,280.82,,G,C,,,,,,,,,C,,F,C,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,C,,,,,F,,,C,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,F,,,R,,,,,367,U1499,A,31,X,2,W,14dcb8b11923d047dc8006d500947c54
367-U1499A-31X-5-W 52/52-NANNO,0,0,285.32,285.32,,M,F,,,,,,,,,F,,F,F,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,F,,,,,R,,,F,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,367,U1499,A,31,X,5,W,e3b19372322b5ec0194b3b1eafbaf7f3
367-U1499A-31X-CC-PAL-NANNO,0,5,288.54,288.59,,M,C,,,,,,,,,F,,C,F,F,,,,,,,,F,,,,,,F,,,,C,,,,,,,,,,,C,,,,C,,,,C,,F,,,,F,R,,,,,,,,,,,F,,,,,,,,,,,,F,,,R,,,,,367,U1499,A,31,X,CC,PAL,256b693be2365b703096232e7698589c
367-U1499A-32X-2-W 99/99-NANNO,0,0,290.99,290.99,,M,F,,,,,,,,,R,,F,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,F,,,,R,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,32,X,2,W,cb25a17e9ebdc139ecf0f02ed0a75ce6
367-U1499A-32X-5-W 56/56-NANNO,0,0,295.06,295.06,,M,C,,,,,,,,,F,,C,R,F,,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,C,,,,,,,,C,F,,,,,F,R,,,,,,,,,,,R,,,,,,,,,,,,R,,,R,,,,,367,U1499,A,32,X,5,W,e5ef8686e2b5aba5748b449c385b1986
367-U1499A-32X-CC-PAL-NANNO,0,5,298.3,298.35,,G,A,,,,,,,,,F,,C,D,F,R,,,,,,,F,,,,,,C,,R,,C,,,,,,,,,,,F,,,,,,,,C,F,F,,,,C,C,,,,,,,,R,R,,C,,,,F,,,,,,,,F,,,F,within NN14,,,,367,U1499,A,32,X,CC,PAL,a86c184bcc239bfc995e7fc1c6179c0e
367-U1499A-33X-1-W 74/74-NANNO,0,0,298.94,298.94,,M,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,C,,,,,,,,C,,F,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,367,U1499,A,33,X,1,W,210586af5a2725bc33ed78237117791e
367-U1499A-33X-4-W 73/73-NANNO,0,0,303.43,303.43,,M,C,,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,C,,,,F,C,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,R,,,,,,367,U1499,A,33,X,4,W,53219e3d7b106d8b8b30faa6593dbdb1
367-U1499A-33X-CC-PAL-NANNO,0,5,306.84,306.89,,G,A,,,,,,,,,,,C,C,F,,,,,,,,F,,,,,,C,,,,C,,,,,,,,,,,C,,,,,,,,A,,F,,,F,F,,,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,367,U1499,A,33,X,CC,PAL,fc09e25d908ba2cdf30b5612f1c24841
367-U1499A-34X-2-W 115/115-NANNO,0,0,310.55,310.55,,M,C,,,,,,,,,,,C,F,,,,,,,,,F,,,,,,,,C,,C,,,,,,R,,,,,C,,,,,C,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,367,U1499,A,34,X,2,W,38511fce5226131e7b22e2f65461cb5c
367-U1499A-34X-5-W 59/59-NANNO,0,0,314.49,314.49,,G,A,,,,,,,,,,,,,C,F,,,,,,,F,,,,,,,,F,,C,,,,,,,,,,,C,,,C,,C,,,C,R,,,,,,,,,,,,,,,,,C,,,,,,,,,,,C,,,F,,,,,,367,U1499,A,34,X,5,W,498ccba5ee5645484a4f3ace1c4e23de
367-U1499A-34X-CC-PAL-NANNO,0,5,317.38,317.43,,M,C,,,,,,,,,F,,R,F,R,,,,,,,,R,,,,,,R,,,,F,,,,,,,,,,,F,,,,,R,,,A,,,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,367,U1499,A,34,X,CC,PAL,2431ee443a15242c330fe2d425abfe8c
367-U1499A-35X-2-W 40/40-NANNO,0,0,319.5,319.5,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,367,U1499,A,35,X,2,W,9d4484f7f4ff344f35ffeb6688efb747
367-U1499A-35X-5-W 70/70-NANNO,0,0,324.3,324.3,,M,F,,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,,C,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,367,U1499,A,35,X,5,W,dbc4f0f7d9447eb88ad43bd08c63f3c4
367-U1499A-35X-CC-PAL-NANNO,0,5,327.34,327.39,,M,R,,,,,,,,,R,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,F,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,35,X,CC,PAL,776e6ed0b40ec8d86dd2f1ba89210309
367-U1499A-36X-1-W 34/34-NANNO,0,0,327.64,327.64,,G,C,,,,,,,,,C,,C,C,C,,,,,,,,F,,,,,,,,F,,F,,,,,,,,,,,F,,,C,F,,,,C,,,,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,C,,,,,,367,U1499,A,36,X,1,W,dfd1bc683c013d6d55f21ae381dddc69
367-U1499A-36X-4-W 69/69-NANNO,0,0,332.49,332.49,,M,C,,,,,,,,,C,,F,C,F,,,,,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,C,F,,,,C,R,,,,,,,,,,,,,,,,,C,,,,,,,,,,,F,,,F,,Reworked C. calyculus?,,,,367,U1499,A,36,X,4,W,98f6c361358f85e75c21319d04aad23b
367-U1499A-36X-CC-PAL-NANNO,0,5,333.7,333.75,,P,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,Sand,,,,367,U1499,A,36,X,CC,PAL,0d3341d2921d6d6e55b293fde8a3c6d5
367-U1499A-37X-CC-PAL-NANNO,0,5,337,337.05,,M,C,,,,,,,,,F,,,R,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,C,,,,F,F,,,A,,,,,,,,,,,,,,,,,,C,,,,F,,,,,,,,,,,,,,,,367,U1499,A,37,X,CC,PAL,f94f7f36ae276e24b87d99a79877edb9
367-U1499A-38X-CC-PAL-NANNO,0,5,346.7,346.75,,M,C,,,,,,,,,C,,,C,F,,,,,,,,F,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,367,U1499,A,38,X,CC,PAL,fbcd724d5b8342aebc1d3677d02d754a
