Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Cibicides kullenbergi >1000 m,Cibicides molestus >150 m,Cibicides neoperforatus >200 m,Cibicides robertsoninaus >1000 m,Eggerella bradyi >600 m,Elphidium sp.,Euuvigerina miozea (group) >100 m,Euuvigerina rodleyi (group) >50 m,Karreriella bradyi >600 m,Karreriella cylindrica >400 m,Nodosarids (elongate forms),Notorotalia sp.,Planulina wuellerstorfi >1000 m,Pullenia bulloides >200 m,Sigmoilopsis schlumbergeri >600 m,Siphouvigerina notohispida >1000 m,Tritaxilina zealandica >1500 m,Vulvulina pennatula >800 m,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1520C-21R-CC-PAL-FORAM,0,5,827.04,827.09,G-M,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,21,R,CC,PAL,caf7bf789e63980208e0f77c822f8ce8
375-U1520C-22R-2-W 106/112-PAL-FORAM,0,6,835.97,836.03,G-M,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,22,R,2,W,89a016807296337296bfc1c52e79215d
375-U1520C-22R-CC-PAL-FORAM,0,6,841,841.06,G-M,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,22,R,CC,PAL,110e6abd4db448273ac5367d9295b7ff
375-U1520C-23R-4-PAL-FORAM,0,5,848.01,848.06,M,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,23,R,4,PAL,42bf59737655dba8b2d6b0e06e10aece
375-U1520C-34R-2-PAL-FORAM,0,5,950.22,950.27,P,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,34,R,2,PAL,e7d5edc4cd4b1de149d19c1e7ab7d037
375-U1520C-34R-3-W 26/28-CRUN-FORAM,0,2,950.53,950.55,M,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,34,R,3,W,27f4e03e16bd56e13372d92ba4cc888e
375-U1520C-34R-CC-PAL-FORAM,0,5,953.45,953.5,M-P,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,34,R,CC,PAL,e6e4a3fd427cf7d7904cb1b4e90cfe2f
375-U1520C-41R-1-W 99/104-WOOD-FORAM,0,5,1016.69,1016.74,P,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,41,R,1,W,43c394828e80d70baab22355c998ee0a
375-U1520C-41R-2-W 61/63-PAL-FORAM-FORAM,0,2,1017.8,1017.82,M-P,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,41,R,2,W,527e3e5171fa57c085eaecb453cee6dd
375-U1520C-43R-2-W 80/84-PAL-FORAM,0,4,1037.17,1037.21,P,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,43,R,2,W,f5377353325c4dcf44f150e5e2003983
