Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1463B-23H-5-PAL-FORAM-150-2000,0,5,213.76,213.81,"T Globigerinoides extremus (Gradstein et al., 2012)",T Globigerinoides extremus,,1.98,PL6,"PL6 - Globigerinoides fistulosus Highest-occurrence Zone (Atlantic) (Gradstein et al., 2012)",,1.88,2.39,C,M,L [F02],70,1,,,,,Ostracod (R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,P,,P,,,,,P,,,P,P,P,P,P,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1463,B,23,H,5,PAL,e878916a9ea7639b431943950d6b4e7b
356-U1463B-25H-CC-PAL-FORAM-150-2000,0,5,233.05,233.1,,,,,,,,,,C,M,L [F02],70,1,,,,,Ostracod (R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,P,P,,P,,,P,,P,,,P,P,P,P,P,,,P,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,P,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,356,U1463,B,25,H,CC,PAL,95f611e01c843002f3ad1c05e6924343
356-U1463B-27H-CC-PAL-FORAM-150-2000,0,5,251.13,251.18,,,,,,,,,,C,M,L [F02],70,1,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,356,U1463,B,27,H,CC,PAL,a186a268afc465b4993728ab722ea70d
356-U1463B-29H-CC-PAL-FORAM-150-2000,0,5,265.87,265.92,"T Dentoglobigerina altispira (Gradstein et al., 2012)",T Dentoglobigerina altispira,,3.47,PL5 (Indo-Pacific),"PL5 (Indo-Pacific) - Globorotalia pseudomiocenica Highest Occurrence Zone (Indo-Pacific) (Gradstein et al., 2012)",,3.16,3.47,C,G,L [F02],70,1,,,,,Ostracod (P),,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,P,,,P,F,,,P,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,P,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,356,U1463,B,29,H,CC,PAL,c85526e3ab1ac3d647941c161a2e5c36
356-U1463B-31F-CC-PAL-FORAM-150-2000,0,10,276.01,276.11,,,,,,,,,,C,M,L [F02],70,1,,,,,Ostracod (P),,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,P,,,P,F,,,P,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1463,B,31,F,CC,PAL,b0ae4c29d443ca630fb9f40d9d0f080b
356-U1463B-34X-CC-PAL-FORAM-150-2000,0,10,293.64,293.74,"T Pulleniatina primalis (Wade et al., 2011)",T Pulleniatina primalis,,3.66,,,,,,C,M,L [F02],70,1,,,,,Ostracod (R),,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,F,,,P,,,,,,,,P,F,,,P,,,,,,,,,P,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,P,,,,,,P,,R,,,,P,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,356,U1463,B,34,X,CC,PAL,59625b7743eb36c01f11ff9540845de0
356-U1463B-36X-CC-PAL-FORAM-150-2000,0,10,308.11,308.21,"T Globorotalia margaritae (Gradstein et al., 2012)",T Globorotalia margaritae,"also Pulleniatina sin dex change, thus >4.08",3.85,PL2,"PL2 - Globorotalia margaritae Highest Occurrence Zone (Gradstein et al., 2012)","also Pulleniatina sin dex change, thus >4.08",3.85,4.37,C,G,L [F02],80,1,,,,,Ostracod (P),,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,P,,,P,F,,,R,,,,,,,,,,,,,,,,,R,P,,,,P,P,,,,,,,,,,,,,,P,,,,,,P,,R,,,,P,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,356,U1463,B,36,X,CC,PAL,08cba5d3650c637a78ab9f76bd087118
356-U1463B-38X-CC-PAL-FORAM-150-2000,0,10,327.52,327.62,,,,,,,,,,C,G,L [F02],80,1,,,,,Ostracod (P); bryozoa,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,P,,,P,P,,,R,,,,,,,,,P,,,,,,,P,P,P,,,,,P,,,,,,,,,,,,,,P,,,,,,,,R,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,356,U1463,B,38,X,CC,PAL,a33edd43061721352885e0270a49c60c
356-U1463B-40X-CC-PAL-FORAM-150-2000,0,10,345.11,345.21,"T Sphaeroidinellopsis kochi (Gradstein et al., 2012)",T Sphaeroidinellopsis kochi,,4.53,PL1 (Indo-Pacific),"PL1 (Atlantic) - Globorotalia tumida/Globoturborotalita nepenthes Concurrent-range Zone (Atlantic) (Gradstein et al., 2012)",,4.37,5.72,C,M,,80,,,present,,,Ostracod (P),,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,P,P,,,R,,,,,,,,,,,,,,,,P,P,P,,,P,,P,,,,,,,,,,,,,,,,,,,,P,,R,,,,P,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,356,U1463,B,40,X,CC,PAL,b684b8e76dd6c869115aca774d93c28b
356-U1463B-42X-CC-PAL-FORAM-150-2000,0,10,360.29,360.39,,,,,,,,,,C,P,,60,,,,,,Ostracod (P); glauconitized specimens,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,P,P,,,P,,,,,,,,,,,P,,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,356,U1463,B,42,X,CC,PAL,23b2be89bc60a6cce7ce36d32b4ce75e
356-U1463B-44X-CC-PAL-FORAM-150-2000,0,10,378.95,379.05,,,,,,,,,,C,P,,60,,,,,,Ostracod (P); sponge spicules,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,P,,,,,,,,P,P,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,R,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,356,U1463,B,44,X,CC,PAL,134031d5cbf31877a966154b8b735246
356-U1463B-45X-CC-PAL-FORAM-150-2000,0,5,388.91,388.96,,,,,,,,,,R,P,S [F02],50,3,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,P,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1463,B,45,X,CC,PAL,c71447246515e39df43b02a7c6ea8056
356-U1463B-46X-CC-PAL-FORAM-150-2000,0,9,395.5,395.59,,,,,,,,,,VR,P,S [F02],10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1463,B,46,X,CC,PAL,7376cc6e81924baf093bf3beb6956ec1
356-U1463B-48X-CC-PAL-FORAM-150-2000,0,10,412.34,412.44,"B Globorotalia margaritae (Gradstein et al., 2012)",B Globorotalia margaritae,,6.08,M14,"M14 - Globigerinoides extremus Partial-range Zone (Gradstein et al., 2012)",,5.72,6.14,R,P,S [F02],20,3,,,,,Glauconite,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1463,B,48,X,CC,PAL,8a27bb7754efd46f610055fb2d21cdf0
356-U1463B-50X-CC-PAL-FORAM-150-2000,0,10,429.26,429.36,,,Bottom of CC,,,,Bottom of CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1463,B,50,X,CC,PAL,83fff89f2a4ffd4dece31bc4c7172b0c
356-U1463B-50X-CC-PAL-FORAM-150-2000,0,10,429.26,429.36,,,Top of CC,,,,Top of CC,,,B,,,0,,,,,,some VR heavily recrystallized Globigerinoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1463,B,50,X,CC,PAL,29e40cb4eda52e3e5c2c561869fa214e
356-U1463B-52X-CC-PAL-FORAM-150-2000,0,10,447.85,447.95,,,,,,,,,,B,,,0,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1463,B,52,X,CC,PAL,0beb6c66a04003e0f031d6c1767cf6c6
356-U1463B-53X-CC-PAL-FORAM-150-2000,0,10,457.3,457.4,,,,,,,,,,B,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1463,B,53,X,CC,PAL,8dd7e81220a47e3c750566bd98891a9d
356-U1463B-55X-CC-PAL-FORAM-150-2000,0,10,484.4,484.5,,,,,,,,,,B,,,,,,,,,Gypsum crystals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1463,B,55,X,CC,PAL,5a29a1335ba5b1c97f7a3a0666fd522c
356-U1463B-57X-CC-PAL-FORAM-150-2000,0,9,496.1,496.19,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1463,B,57,X,CC,PAL,8e3b4b324d56ab8ebc13dd1e30f4758f
356-U1463B-59X-CC-PAL-FORAM-150-2000,0,5,515.5,515.55,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1463,B,59,X,CC,PAL,ec5ef642211589bc7ed537c3c3bb5ea8
356-U1463B-60X-CC-PAL-FORAM-150-2000,0,5,525.2,525.25,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1463,B,60,X,CC,PAL,7b8e4fc34d76ce8a7fcf738ee53809b9
