Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Preservation palynofacies,Dinocysts,Sporomorphs,Prasinophytes,Acritarchs,Foraminiferal linings,Black phytoclasts,Brown phytoclasts,Amorphous organic matter,Saccate pollen,Nothofagus pollen,Other pollen,Spores,Fungal spores,Dinocysts reworked,Pollen/spores reworked,Total in situ dinocysts,Achomosphaera spp.,Aiora fenestrata,Areosphaeridium diktyoplokus,Arcticacysta sp.,Batiacasphaera sp.,Batiacasphaera cooperi,Batiacasphaera minuta,Batiacasphaera sphaerica,Brigantedinium spp.,Brigantedinium pyinei,Cerebrocysta spp.,Chiropteridium galea,Corrudinium sp.,Cryodinium meridianum,Deflandrea antarctica,Deflandrea phosphoritica,Distatodinium sp.,Edwardsiella sexispinosa,Enneadocysta,Filisphaera filifera,Gelatia inflata,Hystrichokolpoma sp.,Hystrichokolpoma bullatum,Hystrichokolpoma truncatum,Hystrichosphaeridium,Impagidinium sp.,Impagidinium pallidum,Impagidinium patulum,Invertocysta tabulata,Islandinium round brown/spiny,Lejeunecysta sp.,Lejeunecysta acuminata,Lejeunecysta adeliensis,Lejeunecysta attenuata,Lejeunecysta cowiei,Lejeunecysta katatonos,Lejeunecysta fallax,Lejeunecysta rotunda,Malvinia escutiana,Nematosphaeropsis labyrinthea,Operculodinium sp.,Operculodinium? eirikianum,Operculodinium janduchenei,Operculodinium piaseckii,Palaeocystodinium sp.,Phelodinium sp.,Pyxidinopsis sp.,Protoperidinium sp.1,Protoperidinium sp. 2,Protoperidinium sp. 3,Selenopemphix antarctica,Selenopemphix brinkhuisii,Selenopemphix dionaeacysta,Selenopemphix kepion,Selenopemphix nephroides,Selenopemphix undulata,Selenopemphix sp. 1,Spinidinium macmurdoense,Spiniferites elongatus,Spiniferites mirabilis,Spiniferites ramosus,Unipontidinium aquaeductum,Vozzhennikovia apertura,Leiosphaeridia sp.,Cymatiosphaera transparent sp. 1,Cymatiosphaera brown sp. 3,Cymatiosphaera brown sp. 4,Cymatiosphaera sp.,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
374-U1521A-22R-CC-PAL-PALY,0,5,204.9,204.95,,G,RF,R,R,R,R,R,R,F,R,B,B,B,B,B,B,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,X,X,X,X,,,,,,374,U1521,A,22,R,CC,PAL,ad162ea8c982334d92be20607af294ef
374-U1521A-25R-CC-PAL-PALY,0,5,233.07,233.12,,G,RF,R,R,R,R,R,R,F,F,B,R,B,B,B,B,,X,,,,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,X,,,,X,X,,,,,,X,X,X,,,,,,,,,,,X,,,X,X,X,,X,,,,,374,U1521,A,25,R,CC,PAL,a6e9443c2e0a3da789fefe3402528178
374-U1521A-27R-CC-PAL-PALY,0,5,253.09,253.14,,G,R,R,R,R,R,B,B,R,R,B,R,B,B,B,B,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,X,X,,,,X,X,X,,,,,,,,,,,,X,,,X,,,,X,,,,,374,U1521,A,27,R,CC,PAL,861098782ef21589ec6824fd185f9aeb
374-U1521A-29R-CC-PAL-PALY,0,5,272.98,273.03,,G,R,R,R,R,R,F,F,R,R,B,R,R,B,B,R,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,XX,X,,,,,,,,374,U1521,A,29,R,CC,PAL,404f80dd1cb850b4fa8cc9e7b7a458ae
374-U1521A-35R-CC-PAL-PALY,0,5,326.72,326.77,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,35,R,CC,PAL,e8652e6126a5d07e2c66469ec0459944
374-U1521A-39R-CC-PAL-PALY,0,5,359.57,359.62,,P,BR,R,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,39,R,CC,PAL,9044ad837e0ab9c56efac05f3aa43812
374-U1521A-41R-CC-PAL-PALY,0,5,371.71,371.76,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,41,R,CC,PAL,28ff2d6587a1d70c9c47eb1d0ed34e22
374-U1521A-44R-CC-PAL-PALY,0,5,390.45,390.5,,P,BR,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,44,R,CC,PAL,34933ac17457a6bec2bcd38787fba565
374-U1521A-46R-CC-PAL-PALY,0,5,405.09,405.14,,P,BR,R,B,B,B,B,B,B,R,R,B,B,B,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,374,U1521,A,46,R,CC,PAL,2989b330a7a7b57683d42b2d23073e26
374-U1521A-48R-CC-PAL-PALY,0,5,428.97,429.02,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,48,R,CC,PAL,05e561e580e6f4303e028aab2e2a6e94
374-U1521A-50R-CC-PAL-PALY,0,5,448.69,448.74,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,50,R,CC,PAL,81e4deed8b67c1c04a6ab0ad74142d9d
374-U1521A-51R-CC-PAL-PALY,0,5,450.52,450.57,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,51,R,CC,PAL,00cb8fbc37035995ea2e7849fd5f152b
374-U1521A-53R-CC-PAL-PALY,0,5,477.71,477.76,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,53,R,CC,PAL,8fdeef1a5b51a06aae7a50616b9a02e6
374-U1521A-55R-CC-PAL-PALY,0,5,492.91,492.96,,M,BR,R,R,R,B,B,B,B,R,F,B,R,B,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,X,,,,,374,U1521,A,55,R,CC,PAL,9d3019719d7c697ac209383699aeb9ad
374-U1521A-58R-CC-PAL-PALY,0,5,524.38,524.43,,P,BR,F,B,R,B,B,B,B,F,F,F,F,B,F,F,,,,,X,,,,,X,,,,,,,X,,,X,,,,,,,,,,,,X,X,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,374,U1521,A,58,R,CC,PAL,57ffbeb483494204cb59778fbc7d1719
374-U1521A-61R-CC-PAL-PALY,0,5,554.47,554.52,,P,BR,F,B,B,B,B,B,B,F,F,F,F,B,F,F,,,,,,,,X,,,,,,,,,X,X,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,374,U1521,A,61,R,CC,PAL,1a264a04236253e87f741444189a87e7
374-U1521A-65R-CC-PAL-PALY,0,5,589.69,589.74,,P,BR,R,B,B,B,B,B,B,R,R,R,R,B,B,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,65,R,CC,PAL,33262e7c49611557cf3bda947f80d1a1
374-U1521A-67R-CC-PAL-PALY,0,5,612.06,612.11,,P,BR,R,B,B,B,B,B,B,R,R,R,R,B,R,R,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,67,R,CC,PAL,fe8d82a027ce7c6f5493aff965e69504
374-U1521A-69R-CC-PAL-PALY,0,5,629.66,629.71,,P,BR,R,B,B,R,B,B,B,R,B,B,B,B,R,R,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,69,R,CC,PAL,c5ae2c6a6db331e88568189e155c82af
374-U1521A-71R-CC-PAL-PALY,0,5,648.12,648.17,,P,BR,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,374,U1521,A,71,R,CC,PAL,1fa72908398f3a1f0a230a2155a3efc1
