Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1465A-2H-6-W,50,50,15.1,15.1,,,M,C,,,,C,R,C,,,,,,,,,,,R,,,,,R,,,,,R,,,,,F,,,,,,,R,,,,F,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,359,U1465,A,2,H,6,W,22a1d319b24a011aded1a97c955a76da
359-U1465A-2H-CC-REIJ,0,5,15.63,15.68,,,G,A,,,,C,C,,,,,,,,,,,,R,,,,,C,,,,,C,,,,,F,,,,,,,P,,,,,R,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,R,,,,,,359,U1465,A,2,H,CC,REIJ,8aec978ca4ea1aba849c1bf59d2fca23
359-U1465A-3H-3-W,31,31,19.86,19.86,,,M,C,,C,,C,R,C,,,,,,,,,,,,,,,,R,,,,,F,,,,,F,,,,,,,F,,,,F,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,359,U1465,A,3,H,3,W,4dc5c0e8379002d8814099d8361468ab
359-U1465A-3H-CC-PAL,0,3,20.44,20.47,,,M,A,,C,,C,R,C,C,,,,,,,,,,F,,,,,C,,,,,R,R,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,359,U1465,A,3,H,CC,PAL,04f540a733e9f7a97f265ed517d77d30
359-U1465A-4H-3-W,50,50,29.6,29.6,,,M,A,,C,,C,,,,,,F,,,,,,,F,,,,,F,,F,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1465,A,4,H,3,W,566daf5a539607e2fd8088fc5c93a3c0
359-U1465A-4H-CC-PAL,0,5,35.08,35.13,,,M,C,,A,,,,,,,,C,,,,,,,,F,,,,,,A,,,,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1465,A,4,H,CC,PAL,8d20094a6d9ed382dd5d8511267ded4f
359-U1465A-5H-CC-PAL,0,5,35.74,35.79,,,P,F,,C,,P,,P,,,,P,,,,,,,R,F,,,,P,,P,,,,,,,,F,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1465,A,5,H,CC,PAL,76578526014c44782d33e9d0fcca01b1
359-U1465A-6F-2-W,60,60,37.86,37.86,,,M,C,,R,,F,,,,,R,F,,,,,,,R,,,,,R,,R,,,R,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1465,A,6,F,2,W,77c7244b6448321dcccc17486824761c
359-U1465A-6F-CC,0,5,38.95,39,,,P,C,,C,,F,,,R,,,F,,,,,,,,,,,,F,,C,,,,R,,,,,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1465,A,6,F,CC,,6e557c1db5cc9e21054ab44826659a4f
359-U1465A-7H-CC-PAL,0,5,48.49,48.54,,,P,C,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,R,F,,,R,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1465,A,7,H,CC,PAL,976f17f6c23f0148d280e6bb783bb599
359-U1465A-8H-CC-PAL,0,5,56.54,56.59,,,M,C,,,,,,,,,R,C,C,,,,R,,F,R,,,,,R,F,,,F,,,,,F,,,,,,,R,,,,R,R,,,,,,,,R,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,359,U1465,A,8,H,CC,PAL,8573ada61370acc5fbc0673045c8f8d5
359-U1465A-9H-CC-PAL,0,5,65.42,65.47,,,G,A,,C,,,,,F,,,C,,,,,P,,R,R,,R,,,R,F,,,,F,,,,F,,,,,,,F,,,,,F,,,,,,,,R,,,,,,F,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1465,A,9,H,CC,PAL,f2f198ed5e899dfb7a76884db07c2fa7
359-U1465A-11X-CC-PAL,0,5,69.47,69.52,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barren,,,,359,U1465,A,11,X,CC,PAL,e6fb93b8e9bf15b9650d548d950484e7
