Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum region,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Fragmentation,Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Beella digitata,Beella praedigitata,Candeina nitida,Dentoglobigerina altispira,Dentoglobigerina globosa,Globigerina bulloides,Globigerina conglomerata,Globigerina eamesi,Globigerina falconensis,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella pseudobesa,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miocenica,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Neogloboquadrina pachyderma (sin.),Orbulina suturalis,Orbulina universa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Turborotalita humilis,Turborotalita quinqueloba,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
353-U1443A-11H-CC-PAL-FORAMP,0,4,96.73,96.77,,,,,,,,,,6.77,8.93,G,D,95.7,,,,,,,,,F,,,,,,,,,,,,,F,,,,C,,,,,,,C,F,,,,,,,,,,,,A,,,,,,,,,,,,,C,,,,C,,,A,,,C,,,,,,,,,,,,C,,,,,,353,U1443,A,11,H,CC,PAL,b8da426d3b8b01cc1931a6f2bf269aba
353-U1443A-12H-CC-PAL-FORAMP,0,8,106.34,106.42,,,,,,,,,,6.77,9.83,M,D,90,,,,,,,,,C,,F,,,,,,,,,,,,,,,R,,,,,,,C,,C,,,,,,,,,F,,,,,,,,,,,,,,,R,,,,R,,C,F,,,,,C,C,,,,,,,,R,C,,,,,,353,U1443,A,12,H,CC,PAL,c7246e150b20d36dab32317090849ec2
353-U1443A-13H-CC-PAL-FORAMP,0,3,116.22,116.25,,,,,,,,,,10.62,,P,D,73,,,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,R,,,,,,,,,F,C,,,,,,353,U1443,A,13,H,CC,PAL,21b390f9b70bb88450c75367cdbbb2c5
353-U1443A-14H-CC-PAL-FORAMP,0,5,125.45,125.5,,,,,,,,,,11.79,13.41,G,D,99.3,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,R,,,,,,,,,R,,,,,,,353,U1443,A,14,H,CC,PAL,d7838e15117ccc447207088a9b4db2da
353-U1443A-15H-CC-PAL-FORAMP,0,5,134.93,134.98,,,,,,,,,,13.41,17.54,G,D,98.6,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,F,,F,,C,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,353,U1443,A,15,H,CC,PAL,b1a4ba50960117b65f386f9c0f5bb996
353-U1443A-16F-CC-PAL-FORAMP,0,5,139.73,139.78,,,,,,,,,,17.54,,G,D,99.2,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,16,F,CC,PAL,b2d6d6afa5c7506d263a182cfd189a32
353-U1443A-17F-CC-PAL-FORAMP,0,5,144.53,144.58,,,,,,,,,,17.54,,G,D,93.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,17,F,CC,PAL,090fcc29854681a403eb1d690c044bc2
353-U1443A-18F-CC-PAL-FORAMP,0,5,149.33,149.38,,,,,,,,,,17.54,22.44,G,D,98.4,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,18,F,CC,PAL,da02ea320756384d648a8a1b3a01e4a1
353-U1443A-19F-CC-PAL-FORAMP,0,6,154.05,154.11,,,,,,,,,,19.09,19.3,G,D,99.4,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,19,F,CC,PAL,cce8014ae3662cb0c1a5e8f10c066e83
353-U1443A-20F-CC-PAL-FORAMP,0,5,158.97,159.02,,,,,,,,,,21.12,22.96,G,D,97.6,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,20,F,CC,PAL,65d5ed8ea4c79e5a75a1ace7ea0b8718
353-U1443A-21F-CC-PAL-FORAMP,0,5,163.69,163.74,,,,,,,,,,21.12,22.96,M,D,98.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,21,F,CC,PAL,4cb518acf979a50944b33da50c3902c7
353-U1443A-22F-CC-PAL-FORAMP,0,3,168.56,168.59,,,,,,,,,,21.12,22.96,G,D,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,22,F,CC,PAL,415bf9d4214518915955e481faf35bfb
353-U1443A-23F-CC-PAL-FORAMP,0,5,173.31,173.36,,,,,,,,,,21.12,22.96,G,D,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,23,F,CC,PAL,bbed9f5a5266299ab3c9a82c7091618c
353-U1443A-24F-CC-PAL-FORAMP,0,5,178.13,178.18,,,,,,,,,,21.12,22.96,G,D,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,24,F,CC,PAL,3d57f3a084b10e759d178ed88dfb7717
353-U1443A-25F-CC-PAL-FORAMP,0,5,182.87,182.92,,,,,,,,,,22.9,22.96,G,D,99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,25,F,CC,PAL,d9ecf43e8cc41b6aa98ded85b9f99b52
353-U1443A-26F-CC-PAL-FORAMP,0,5,187.78,187.83,,,,,,,,,,21.12,22.96,G,D,99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,26,F,CC,PAL,e84eac1fdf054fca68b042ae72494a96
353-U1443A-27F-CC-PAL-FORAMP,0,5,192.51,192.56,,,,,,,,,,21.12,22.96,G,D,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,27,F,CC,PAL,34cdbf702367994486b652639c5ce910
353-U1443A-28F-CC-PAL-FORAMP,0,5,197.36,197.41,,,,,,,,,,22.9,29.18,G,D,99.8,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,28,F,CC,PAL,8319e1d376d7654e784a501325fb6f09
353-U1443A-29F-CC-PAL-FORAMP,0,5,202.13,202.18,,,,,,,,,,22.9,29.18,G,D,98.7,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,29,F,CC,PAL,91da8e357963fa9c649ef69cebb8b96b
353-U1443A-30X-CC-PAL-FORAMP,0,5,211.5,211.55,,,,,,,,,,22.9,29.18,G,D,97.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,30,X,CC,PAL,3b7045ba513f0b78214865aad5d54250
353-U1443A-31X-CC-PAL-FORAMP,0,9,219.26,219.35,,,,,,,,,,,29.18,G,D,97.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,31,X,CC,PAL,2d4c4ed5c4592c820fd927d13078b4b7
353-U1443A-32X-CC-PAL-FORAMP,0,5,231.09,231.14,,,,,,,,,,,,M,D,92,,,,,Unidentifiable Morozovella and Acarinina spp. (Paleocene/Eocene) occur in this sample.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,353,U1443,A,32,X,CC,PAL,6292afead22a36317d90b63a28a2ebad
353-U1443A-33X-CC-PAL-FORAMP,0,5,240.6,240.65,,,,,,,,,,,,P,A,99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,33,X,CC,PAL,3f6fe9c63dc950c4416048c03482bd21
353-U1443A-34X-1-W 55/57-FORAM,0,2,241.35,241.37,,,,,,,,,,32.28,37.75,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,34,X,1,W,646e4a5d0a889bae567015707c0b6fa5
353-U1443A-34X-2-W 64/66-FORAM,0,2,242.94,242.96,,,,,,,,,,37.75,,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,34,X,2,W,ad0b374cf095e04902a5484e45a8a7c6
353-U1443A-34X-CC-PAL-FORAMP,0,5,244.22,244.27,,,,,,,,,,37.75,57.79,P,F,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,34,X,CC,PAL,e86e16cc7f99fb9919eb06b3f0681a0a
353-U1443A-35X-CC-PAL-FORAMP,0,5,251.15,251.2,,,,,,,,,,57.1,57.79,G,D,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,35,X,CC,PAL,47c4e001373827ccd993bece58a22ae7
353-U1443A-36X-CC-PAL-FORAMP,0,5,262.21,262.26,,,,,,,,,,55.2,61.33,G,D,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,36,X,CC,PAL,6e801e79b8ffb4c981ddfb83e0f9080e
353-U1443A-37X-CC-PAL-FORAMP,0,5,272.79,272.84,,,,,,,,,,57.79,61.33,G,D,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,37,X,CC,PAL,a821a68264070401f24e047ce48f3030
353-U1443A-38X-CC-PAL-FORAMP,0,5,279.09,279.14,,,,,,,,,,,65.76,M,A,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,38,X,CC,PAL,d7908fa44c0df9595eb069ed89745c41
353-U1443A-39X-CC-PAL-FORAMP,0,5,289.71,289.76,,,,,,,,,,66.35,,M,D,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,39,X,CC,PAL,a5590f41a1357a827993fcc2256a7c1b
353-U1443A-40X-CC-PAL-FORAMP,0,5,301.63,301.68,,,,,,,,,,66.35,72.05,P,D,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,40,X,CC,PAL,2ac0d120cc07cec35ff024253f176050
353-U1443A-41X-CC-PAL-FORAMP,0,5,304.31,304.36,,,,,,,,,,66.35,,P,A,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,41,X,CC,PAL,5ba87c51964d296b7c56400509d9189e
353-U1443A-42X-CC-PAL-FORAMP,0,5,312.04,312.09,,,,,,,,,,69.18,,M,A,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,42,X,CC,PAL,8b9a0506f624af02dac91756dae80394
353-U1443A-43X-CC-PAL-FORAMP,0,5,321.74,321.79,,,,,,,,,,69.18,75.94,P,A,82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,43,X,CC,PAL,55e648fa35f292d094a7352250fab4ac
353-U1443A-44X-CC-PAL-FORAMP,0,5,326.74,326.79,,,,,,,,,,69.18,,P,C,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,44,X,CC,PAL,ecf19fdc4baf88b9f631f1dd840d3481
353-U1443A-45X-CC-PAL-FORAMP,0,5,330.57,330.62,,,,,,,,,,69.18,,P,C,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,45,X,CC,PAL,9692bdb74d2c86b4ff09c868f1be7b26
353-U1443A-46X-CC-PAL-FORAMP,0,5,335.13,335.18,,,,,,,,,,69.18,,P,C,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,46,X,CC,PAL,beb9f64f5330f412b50e095033409bbd
353-U1443A-47X-CC-PAL-FORAMP,0,5,337.35,337.4,,,,,,,,,,69.18,,M,F,75.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,47,X,CC,PAL,b908fe3cf9ae938fd2d30769ec2ad3c0
353-U1443A-48X-CC-PAL-FORAM,0,5,341.3,341.35,,,,,,,,,,69.18,,P,F,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1443,A,48,X,CC,PAL,c7d781b5600a075974a8c305b4695160
