Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Emiliania huxleyi,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra asanoi,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster coalitus,Catinaster calyculus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Clausicoccus subdistichus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Ceratolithus cristatus,Ceratolithus acutus,Florisphaera profunda,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera burkei,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus belemnos,Sphenolithus disbelemnos,Sphenolithus pseudoheteromorphus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
367-U1499B-13R-5-W 35/35-NANNO,0,0,766.75,766.75,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,13,R,5,W,51abdc3ce7e46eacc86a395c9bedbcd1
367-U1499B-13R-7-W 24/24-NANNO,0,0,769.45,769.45,,P,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissoluted,,,,367,U1499,B,13,R,7,W,9f6f72930d627347f9532daee7ef220b
367-U1499B-13R-CC-PAL-NANNO,0,5,770.49,770.54,,M,R,,,,,,,,,R,,R,,,,,F,,,,,R,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,13,R,CC,PAL,59ffd99acdb9296c71ad0c1d7eef2f44
367-U1499B-14R-2-W 12/12-NANNO,0,0,772.81,772.81,,P,R,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissoluted,,,,367,U1499,B,14,R,2,W,ae82bca176e79b27554722c280b91913
367-U1499B-14R-4-W 37/37-NANNO,0,0,775.87,775.87,,P,R,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,14,R,4,W,e114b421bad6cdd60f8fc7bd2171ed58
367-U1499B-14R-CC-PAL-NANNO,0,5,777.73,777.78,,M,R,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,14,R,CC,PAL,354c1227aa2044a5d84c1d01ac5665f4
367-U1499B-15R-3-W 43/43-NANNO,0,0,784.11,784.11,,P,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,15,R,3,W,b0b440de8c304746480b71dce7303a27
367-U1499B-15R-CC-PAL-NANNO,0,5,788.11,788.16,,M,F,,,,,,,,,F,,F,R,,,,C,,,,,R,,,,,,,R,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,367,U1499,B,15,R,CC,PAL,58583ccb2b37d4c36e4a87a343d48a26
367-U1499B-16R-3-W 85/85-NANNO,0,0,794.59,794.59,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,16,R,3,W,9ac8c909d4f06588866a2dea6f89a203
367-U1499B-16R-6-W 95/95-NANNO,0,0,799.09,799.09,,M,A,,,,,,,,,A,,C,C,,F,,C,,,,,C,,,,,,,F,,F,C,,,,,,,,,,,,,,,C,,,,A,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,367,U1499,B,16,R,6,W,92ac715b91a6a552bbf3ee1b1e0a57b9
367-U1499B-16R-CC-PAL-NANNO,0,5,800.16,800.21,,M,F,,,,,,,,,,,R,F,,,,C,,,,,,,,,,,,,,F,F,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,16,R,CC,PAL,b4c4d9f26e2383c935a2b35eaad03919
367-U1499B-17R-1-W 121/121-NANNO,0,0,801.71,801.71,,M,C,,,,,,,,,C,,F,F,,C,,C,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,367,U1499,B,17,R,1,W,1c197c4f39d3f89151c82e2f1f2ba51e
367-U1499B-17R-4-W 33/33-NANNO,0,0,805.07,805.07,,G,C,,,,,,,,,C,,F,,F,,,C,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,C,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,367,U1499,B,17,R,4,W,e90f1c4cacb8064185900142f86f57b8
367-U1499B-17R-CC-PAL-NANNO,0,5,808.97,809.02,,M,F,,,,,,,,,F,,F,F,,,,C,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,367,U1499,B,17,R,CC,PAL,d04a09b28c1993c9219f0ad6b3845fca
367-U1499B-18R-2-W 94/94-NANNO,0,0,812.64,812.64,,M,C,,,,,,,,,F,,C,,F,,,C,,,,,F,,,,,,,,,,,,,,,,,,,F,,F,,,,F,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,18,R,2,W,20481c093c58a151583b0a7cb5affc01
367-U1499B-18R-3-W 71/71-NANNO,0,0,813.91,813.91,,P,R,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALMOST BARREN,,,,367,U1499,B,18,R,3,W,911fd239542f85d934bfc2edc3439da3
367-U1499B-18R-CC-PAL-NANNO,0,5,817.4,817.45,,M,C,,,,,,,,,F,,C,F,F,F,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,367,U1499,B,18,R,CC,PAL,e62d9d66ffa098698c68eb1a9cdf4c06
367-U1499B-19R-2-W 114/114-NANNO,0,0,822.39,822.39,,P,F,,,,,,,,,F,,F,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,19,R,2,W,2440edc1b9aa4ccffd9abb0b4c2dd0f5
367-U1499B-19R-CC-PAL-NANNO,0,5,822.52,822.57,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,19,R,CC,PAL,b5fa27373bf150de45d4d01581f41750
367-U1499B-20R-2-W 30/30-NANNO,0,0,831.25,831.25,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,367,U1499,B,20,R,2,W,326ad8ca0d0bd8726bad3c7a2cde1045
367-U1499B-20R-CC-PAL-NANNO,0,5,832.64,832.69,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,20,R,CC,PAL,e3b191597f3caba07139524562dfe50b
367-U1499B-21R-CC-PAL-NANNO,0,5,843.18,843.23,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,21,R,CC,PAL,8e038cbc185fc8557b06d6ee935b42d9
367-U1499B-22R-5-W 98/98-NANNO,0,0,855.24,855.24,,M,C,,,,,,,,,,,C,C,F,,,,,,,,F,,C,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,C,F,,,,,,,,,F,,,,,,,367,U1499,B,22,R,5,W,3783e4f7a00561610529091372f75634
367-U1499B-22R-CC-PAL-NANNO,0,5,855.7,855.75,,M,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,22,R,CC,PAL,5528af2624edf41709ff42c09f0192fa
367-U1499B-23R-5-W 58/58-NANNO,0,0,864.49,864.49,,M,C,,,,,,,,,,,C,,F,,,,,,,,F,,F,,,,,,,,,,,F,,C,,,,,,,,,,F,,,,C,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,C,,,,,,,,,367,U1499,B,23,R,5,W,dac33e141f0a31e8cdf665151685a506
367-U1499B-23R-CC-PAL-NANNO,0,5,867.41,867.46,,M,C,,,,,,,,,,,,F,,,,,,,,F,,,A,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,367,U1499,B,23,R,CC,PAL,2a306423549bf284cae3d6f06a7e3ad2
367-U1499B-24R-CC-PAL-NANNO,0,5,878.44,878.49,,G,C,,,,,,,,,,,,,,,,,,,,C,,,A,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,A,,,,,,,,,367,U1499,B,24,R,CC,PAL,2c49f847599359c862f2d5ed93a4f49e
367-U1499B-25R-2-W 12/12-NANNO,0,0,879.43,879.43,,P,A,,,,,,,,,,,F,,,,,,,,,R,F,,C,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,367,U1499,B,25,R,2,W,1044ed7a2fa46e9f81b6e181d3a756d4
367-U1499B-25R-CC-PAL-NANNO,0,5,882.13,882.18,,M,C,,,,,,,,,,,C,C,C,,,,,,,F,C,,C,,,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,C,,,,,Triquetrorhabdulus carinatus,,,,367,U1499,B,25,R,CC,PAL,2fe6b0e554d25b251a91cca7dc15feb4
367-U1499B-26R-2-W 89/89-NANNO,0,0,890.09,890.09,,M,C,,,,,,,,,,,F,,,,,,,,,R,F,,C,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,F,,,,,,,F,,,,,,367,U1499,B,26,R,2,W,279bcd0bf1081558ed678c961fd3fc65
367-U1499B-26R-6-W 18/18-NANNO,0,0,894.62,894.62,,M,C,,,,,,,,,,,F,,,,,,,,,R,F,,C,,,,,,,,,,,C,C,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,367,U1499,B,26,R,6,W,310079daa55577d77ca0ed25ad8bbf7d
367-U1499B-26R-CC-PAL-NANNO,0,5,895.46,895.51,,M,A,,,,,,,,,,,A,A,,,,,,,,F,,,A,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,367,U1499,B,26,R,CC,PAL,7ecc2a0dd7ca03f8ddb97ef55916c2bf
367-U1499B-27R-1-W 56/56-NANNO,0,0,898.06,898.06,,M,C,,,,,,,,,,,,,,,,,,,,R,F,,A,,,,,,,,,,,R,C,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,,,,,,,,,,,,,,367,U1499,B,27,R,1,W,5a403ac93ccf4314ab2815fd7ddb1dcc
367-U1499B-27R-CC-PAL-NANNO,0,5,901.33,901.38,,M,F,,,,,,,,,,,C,C,,,,,,,,,,,C,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,,,,,,,,,,,,367,U1499,B,27,R,CC,PAL,d7909cc8f460d52b5fbef4776f48cadf
367-U1499B-28R-CC-PAL-NANNO,0,5,913.39,913.44,,M,C,,,,,,,,,,,C,C,,,,,,,,C,C,,C,,,,,,,,,,,F,R,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,A,,F,,,,,,,,,,,,,,367,U1499,B,28,R,CC,PAL,a6fd91dab0c8f1ab0091f375bf67be23
367-U1499B-29R-CC-PAL-NANNO,0,5,923.05,923.1,,M,A,,,,,,,,,,,C,C,,,,,,,,C,C,,A,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,,,R,,,,,,,,,367,U1499,B,29,R,CC,PAL,5820075f08107ddd39936fd3704b80af
367-U1499B-30R-1-W 59/59-NANNO,0,0,927.19,927.19,,M,A,,,,,,,,,,,C,C,,,,,,,,,C,,A,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,,,,R,,,,,,,,,367,U1499,B,30,R,1,W,ce895cc6c0416446f99a1b93d3398740
367-U1499B-30R-2-W 101/101-NANNO,0,0,929,929,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,30,R,2,W,583dba509824c42244d2296787243aa6
367-U1499B-30R-2-W 34/34-NANNO,0,0,928.33,928.33,,P,C,,,,,,,F,,,,F,C,,,,,,R,,,C,,A,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,C,R,,,,,,,,,367,U1499,B,30,R,2,W,c0cb316f4a202f880a304840147a815e
367-U1499B-30R-2-W 55/55-NANNO,0,0,928.54,928.54,,M,A,,,,,,,C,,,,,,,,,,,,,,F,,C,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,C,,,,,,,,,,367,U1499,B,30,R,2,W,2999fe39e1b20cb1133cf34304aa318d
367-U1499B-30R-3-W 79/79-NANNO,0,0,930.1,930.1,,G,A,,,,,,,,,,,C,A,,,,,,R,,,C,R,A,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,C,C,R,,,,,,,,,367,U1499,B,30,R,3,W,df57941865ce15e13aff0d70aa4268a6
367-U1499B-30R-5-W 59/59-NANNO,0,0,932.29,932.29,,M,A,,,,,,,,,,,C,A,,,,,,,,,F,,C,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,A,,,,,F,F,R,,,,,Cyclicargolithus abisectus,,,,367,U1499,B,30,R,5,W,c4bcfae7c9694b8dfab8c071d95446d9
