Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Zone name (short),Zone name,Group abundance,Beella digitata,Dentoglobigerina altispira,Globigerina bulloides,Globigerina falconensis,Globigerina glutinata,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globoquadrina venezuelana,Globorotalia conoidea,Globorotalia conomiozea,Globorotalia crassaformis,Globorotalia crassula,Globorotalia flexuosa,Globorotalia hirsuta (dex),Globorotalia inflata,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia multicamerata,Globorotalia plesiotumida,Globorotalia pliozea,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia sphericomiozea,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,"Globoturborotalita apertura (Cushman, 1918)",Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,"Globoturborotalita woodi (Jenkins, 1960)",Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Orbulina universa,Pulleniatina obliquiloculata,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Tenuitella anfracta,preservation,File Data,Ship File Links,Shore File Links,Sample
361,U1477,A,12,12-CC,F,CC,PAL,FORAM,0,5,107.4,107.45,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",C [A103],,,R,R,R,R,,R,,,,,,A,A,,,,F,,,,,,,F,,,,,,,R,,,P,R,P,,,,R,,,R,,,,P,R,,P,,,,,,,,361-U1477A-12F-CC-PAL-FORAM
361,U1477,A,13,13-CC,F,CC,PAL,FORAM,0,5,111.8,111.85,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",C [A103],,,P,,R,P,R,F,R,,,,,A,A,,,,P,,,,,,,R,,,,,,,R,,,R,R,R,,,,P,,,R,,,,F,R,,,,,,,,,,361-U1477A-13F-CC-PAL-FORAM
361,U1477,A,14,14-CC,F,CC,PAL,FORAM,0,5,116.9,116.95,"T Globigerinoides ruber pink (Gradstein et al., 2012)",PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,P,P,R,P,P,,P,,,,P,P,P,,,,,,,,P,,,F,,,,,,,P,,,P,,,,,,,,,P,,,,R,,,,,,,,,,,361-U1477A-14F-CC-PAL-FORAM
361,U1477,A,15,15-CC,F,CC,PAL,FORAM,0,5,121.47,121.52,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R,,R,,R,R,F,,,,R,F,F,,,,R,,,,R,,,R,,,,,,,,,,R,,,,,,,,,R,,,,R,R,,P,,,,,,,,361-U1477A-15F-CC-PAL-FORAM
361,U1477,A,16,16-CC,F,CC,PAL,FORAM,0,5,126.03,126.08,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,,,P,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,361-U1477A-16F-CC-PAL-FORAM
361,U1477,A,17,17-CC,F,CC,PAL,FORAM,0,5,130.92,130.97,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,P,,P,P,,P,,,,,P,P,,,,,,,,,R,,,P,,,,,,,,,,P,,,,,,,,,P,,,,P,R,,,,,,,,,,361-U1477A-17F-CC-PAL-FORAM
361,U1477,A,18,18-CC,F,CC,PAL,FORAM,0,5,135.57,135.62,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,P,,P,P,,P,P,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,P,,,,P,P,,,,,,,,,,361-U1477A-18F-CC-PAL-FORAM
361,U1477,A,19,19-CC,F,CC,PAL,FORAM,0,5,139.84,139.89,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",B [A103],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361-U1477A-19F-CC-PAL-FORAM
361,U1477,A,20,20-CC,F,CC,PAL,FORAM,0,5,145.02,145.07,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,,,P,,,P,P,,,,P,P,P,,,,,,,,P,,,P,,,,,,,,,,P,,,,,,P,,,P,,,,,,,,,,,,,,,361-U1477A-20F-CC-PAL-FORAM
361,U1477,A,21,21-CC,F,CC,PAL,FORAM,0,5,148.64,148.69,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,,,,,,P,,,,,P,R,P,,,,R,,,,P,,,P,,,,,,,,,,R,P,,,,,P,,,P,,P,,R,R,,,,,,,,,,361-U1477A-21F-CC-PAL-FORAM
361,U1477,A,22,22-CC,F,CC,PAL,FORAM,0,5,153.74,153.79,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,P,,,,,P,,,,,,P,P,,,,R,,,,P,,,R,,,,,,,,,,P,,,,,,P,,,R,,,,P,P,,,,,,,,,,361-U1477A-22F-CC-PAL-FORAM
361,U1477,A,23,23-CC,F,CC,PAL,FORAM,0,5,159.24,159.29,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,,,R,P,,R,P,,,,R,F,,,,,P,,,,R,,,R,,,,,,,,,,P,P,,,,,,,,R,,P,,F,,,,,,,,,,,361-U1477A-23F-CC-PAL-FORAM
361,U1477,A,24,24-CC,F,CC,PAL,FORAM,0,5,161.34,161.39,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R,,,P,,R,P,,,,P,P,P,,,,P,,,,,,,P,,,,,,,P,,,,P,,,,,P,,,R,,,,P,R,,,,,,,,,,361-U1477A-24F-CC-PAL-FORAM
361,U1477,A,25,25-CC,F,CC,PAL,FORAM,0,5,168.55,168.6,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R,,R,P,R,R,R,,,,R,A,F,,,,,,,,,,,R,,,,,,,R,,,R,,P,,,,R,,,R,,R,,R,R,,P,,,,,,,,361-U1477A-25F-CC-PAL-FORAM
361,U1477,A,26,26-CC,F,CC,PAL,FORAM,0,5,172.76,172.81,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R,P,R,R,R,R,P,,,,R,A,F,,,,,,,,R,,,R,,,,,,,R,,,R,R,,,,,R,,,F,,R,,R,R,,,,,,,,,,361-U1477A-26F-CC-PAL-FORAM
361,U1477,A,27,27-CC,X,CC,PAL,FORAM,0,5,180.91,180.96,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",B [A103],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361-U1477A-27X-CC-PAL-FORAM
