Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Acritarchs (undifferentiated),Prasinophyceen (unspecified taxon or taxa),Shublikodinium spp.,Dinoflagellate cysts indet.,Suessia swabiana,Suessia sp.,Suessia listeri,Rhaetogonyaulax sp.,Heibergella balmei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,Norian           ,M. cren./S. specios.,              ,122, 759,B, 18,R, 2,  52.00,    156.5200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,Norian           ,M. cren./S. specios.,              ,122, 759,B, 19,R, 1,  72.00,    164.7200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,Norian           ,M. cren./S. specios.,              ,122, 759,B, 19,R, 2,  73.00,    166.2300,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,Norian           ,M. cren./S. specios.,              ,122, 759,B, 19,R, 3,  73.00,    167.7300,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                            ,+                                         ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,Norian           ,M. cren./S. specios.,              ,122, 759,B, 20,R, 1,  60.00,    174.1000,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,R                                         ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 20,R, 2,  60.00,    175.6000,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 20,R, 3,  60.00,    177.1200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 22,R, 1,  72.00,    193.2200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 22,R, 2,  72.00,    194.7200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 22,R, 3,  72.00,    196.2200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                            ,+                                         ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 23,R, 1,  73.00,    202.7300,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                            ,+                                         ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 23,R, 2,  58.00,    204.0800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 23,R, 3,  21.00,    205.1100,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,C                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 25,R, 1,  77.00,    221.7700,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,C                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 25,R, 2,  71.00,    223.2100,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,C                            ,F                                         ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 26,R, 1,  65.00,    231.1500,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 26,R, 2,  65.00,    232.6500,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 27,R, 1,  74.00,    236.2400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 27,R, 2,  59.00,    237.5900,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 27,R, 3,  59.00,    239.0900,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 28,R, 1,  74.00,    241.2400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 28,R, 2,  74.00,    242.7400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 28,R, 3,  74.00,    244.2400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 29,R, 1,  74.00,    246.2400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 29,R, 2,  74.00,    247.7400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 29,R, 3,  74.00,    249.2400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 30,R, 1,  73.00,    251.2300,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 30,R, 2,  73.00,    252.7300,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 31,R, 1,  72.00,    255.7200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 31,R, 2,  72.00,    257.2200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 31,R, 3,  72.00,    258.7200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 32,R, 1,  74.00,    260.7400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 32,R, 2,  74.00,    262.2400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 32,R, 3,  74.00,    263.7400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 33,R, 1,  72.00,    265.7200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 34,R, 1,  74.00,    270.7400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 34,R, 2,  74.00,    272.2400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 34,R, 3,  71.00,    273.7100,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 35,R, 1,  52.00,    275.0200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 35,R, 2,  72.00,    276.7200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 35,R, 3,  28.00,    277.7800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 36,R, 1,  74.00,    280.2400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 36,R, 2,  74.00,    281.7400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 36,R, 3,  74.00,    283.2400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 37,R, 1,  74.00,    284.7400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 37,R, 2,  74.00,    286.2400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 37,R, 3,  74.00,    287.7400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 38,R, 1,  69.00,    289.6900,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 38,R, 2,  71.00,    291.2100,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 38,R, 3,  71.00,    292.7100,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 38,R, 4,  68.00,    294.1800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 39,R, 1,  71.00,    299.2100,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 39,R, 2,  74.00,    300.7400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 39,R, 3,  73.00,    302.2300,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 39,R, 4,  72.00,    303.7200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,                 ,S. speciosus      ,              ,122, 759,B, 39,R, 5,  71.00,    305.2100,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
