Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassionema nitzschioides	Stephanopyxis spp.	Stephanopyxis dimorpha	Proboscia barboi	Neodenticula seminae	Proboscia alata	Fragilariopsis doliolus	Thalassiosira lineata	Coscinodiscus marginatus	Actinocyclus ochotensis	Actinocyclus curvatulus	Thalassiosira oestrupii	Thalassiosira leptopus	Thalassiosira jouseae	Neodenticula kamtschatica	Hemidiscus cuneiformis	Actinocyclus oculatus	Thalassiosira antiqua	Rhizosolenia hebetata	Actinoptychus senarius	Aulacoseira spp.	Thalassiosira eccentrica	Delphineis angustata	Thalassiosira convexa	Rhizosolenia styliformis	Fragilariopsis reinholdii	Nitzschia marina	Delphineis surirella	Coscinodiscus radiatus	Comment
  IR	                 	                 	                  	              	204	1247	B	  9	H	CC	  44.00	     72.2600	Watanabe 	Diatoms                                      	C              	M                 	F                          	R                 	C                     	T               	F                   	               	                       	T                    	R                       	T                      	R                      	T                      	                      	T                    	                         	                      	                     	                     	+                    	R                     	T               	+                       	R                   	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 10	H	CC	  32.00	     81.9000	Watanabe 	Diatoms                                      	F              	P                 	F                          	R                 	F                     	R               	F                   	T              	                       	                     	                        	                       	                       	T                      	                      	                     	                         	                      	R                    	T                    	+                    	T                     	T               	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 11	H	CC	  25.00	     90.4900	Watanabe 	Diatoms                                      	F              	P                 	F                          	R                 	F                     	                	F                   	T              	T                      	T                    	T                       	                       	                       	                       	                      	                     	T                        	                      	                     	                     	+                    	T                     	                	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 12	H	CC	   0.00	    100.4000	Watanabe 	Diatoms                                      	F              	P                 	R                          	R                 	F                     	                	R                   	T              	                       	                     	T                       	                       	                       	                       	                      	                     	                         	                      	                     	T                    	                     	                      	                	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 13	H	CC	  37.00	    106.7200	Watanabe 	Diatoms                                      	C              	P                 	F                          	F                 	C                     	R               	R                   	R              	T                      	                     	                        	T                      	R                      	                       	T                     	+                    	T                        	T                     	T                    	                     	                     	                      	                	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 14	H	CC	   0.00	    113.5300	Watanabe 	Diatoms                                      	F              	P                 	R                          	R                 	R                     	                	T                   	               	                       	                     	T                       	                       	                       	                       	                      	                     	                         	                      	                     	                     	                     	                      	                	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 15	X	CC	  38.00	    118.7300	Watanabe 	Diatoms                                      	C              	P                 	F                          	F                 	C                     	                	R                   	T              	T                      	                     	                        	                       	                       	R                      	                      	                     	                         	                      	                     	                     	                     	                      	                	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 18	X	CC	  19.00	    135.9900	Watanabe 	Diatoms                                      	C              	M                 	F                          	R                 	R                     	T               	F                   	               	                       	                     	R                       	T                      	R                      	                       	                      	                     	                         	                      	                     	                     	                     	                      	                	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 19	X	CC	  12.00	    142.8000	Watanabe 	Diatoms                                      	R              	P                 	T                          	R                 	R                     	                	R                   	               	                       	T                    	                        	                       	                       	                       	                      	                     	                         	                      	                     	                     	                     	                      	                	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 20	X	CC	  28.00	    152.1700	Watanabe 	Diatoms                                      	F              	P                 	R                          	R                 	R                     	T               	R                   	T              	T                      	                     	                        	                       	                       	                       	                      	                     	                         	                      	                     	                     	                     	                      	                	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 21	X	CC	  33.00	    163.5900	Watanabe 	Diatoms                                      	R              	P                 	T                          	R                 	R                     	                	T                   	               	                       	                     	                        	                       	                       	                       	                      	                     	                         	                      	                     	                     	                     	                      	                	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 22	X	CC	  37.00	    171.9700	Watanabe 	Diatoms                                      	R              	P                 	R                          	R                 	R                     	T               	R                   	               	                       	                     	                        	                       	                       	                       	                      	                     	                         	                      	                     	                     	                     	                      	                	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 23	X	CC	  17.00	    182.1600	Watanabe 	Diatoms                                      	R              	P                 	T                          	R                 	R                     	                	R                   	               	                       	                     	                        	                       	                       	                       	                      	                     	                         	                      	                     	                     	                     	                      	                	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 24	X	CC	  38.00	    191.4800	Watanabe 	Diatoms                                      	R              	P                 	R                          	R                 	R                     	                	R                   	               	                       	                     	                        	                       	                       	                       	                      	                     	                         	                      	                     	                     	                     	                      	                	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 25	X	CC	  34.00	    200.7600	Watanabe 	Diatoms                                      	F              	P                 	R                          	R                 	F                     	T               	R                   	               	                       	                     	                        	                       	                       	                       	                      	                     	                         	                      	                     	                     	                     	                      	                	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 26	X	CC	  31.00	    211.5200	Watanabe 	Diatoms                                      	R              	P                 	R                          	R                 	F                     	                	T                   	               	                       	                     	                        	                       	                       	                       	                      	                     	                         	                      	                     	                     	                     	                      	                	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	 27	X	CC	  13.00	    220.5700	Watanabe 	Diatoms                                      	F              	P                 	T                          	R                 	R                     	T               	T                   	               	                       	                     	                        	                       	                       	                       	                      	                     	                         	                      	                     	                     	                     	                      	                	                        	                    	                     	                        	                         	                	                    	                      	       

