Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira oliverana (coarse),Simonseniella barboi,Denticulopsis praedimorpha,Denticulopsis hustedtii,Denticulopsis dimorpha,Coscinodiscus marginatus,Actinocyclus ingens,Actinocyclus curvatulus,Thalassiothrix longissima,Thalassionema nitzschioides,Rhizosolenia hebetata,Nitzschia miocenica,Hemidiscus cuneiformis,Thalassiosira torokina,Thalassiosira nativa,Rhizosolenia styliformis,Katahiraia aspera,Hemidiscus karstenii f.1,Hemidiscus karstenii,Denticulopsis hustedtii var. ovata,Asteromphalus kennettii,Lithodesmium minisculum/reynoldsii,Stellarima spp.,Thalassiosira oestrupii,Thalassiosira oliverana (umbonatus),Thalassiosira oliverana,Thalassiosira miocenica,Thalassiosira eccentrica,Thalassionema nitzschioides  var. parva,Nitzschia reinholdii,Nitzschia donahuensis,Neobrunia mirabilis,Dactyliosolen antarcticus,Actinocyclus ingens var. A,Rouxia isopolica,Nitzschia praeinterfrigidaria,Eucampia antarctica,Actinocyclus octonarius,Thalassiosira inura,Nitzschia barronii,Thalassiosira lentiginosa var. ovalis,Thalassiosira kolbei,Thalassiosira insigna,Paralia sulcata,Nitzschia weaveri,Nitzschia ritscherii,Nitzschia interfrigidaria,Chaetoceros lorenzianus,Thalassiosira lentiginosa,Thalassiosira elliptipora,Nitzschia kerguelenis,Actinocyclus actinochilus,Thalassiosira gracilis,Thalassiosira tumida,Asteromphalus parvulus,Asteromphalus hookeri,Nitzschia separanda,Azpeitia tabularis/endoi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. ingens         ,              ,120, 747,B,  2,H, 1,  20.00,      3.0000,Maruyama ,Diatoms                                      ,               ,                  ,                                ,                    ,                          ,                       ,                      ,                        ,+                  ,                       ,                         ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,                       ,                                   ,+                      ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,+                        ,+                        ,+                    ,+                        ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. ingens         ,              ,120, 747,B,  2,H, 1,  75.00,      3.5500,Maruyama ,Diatoms                                      ,               ,                  ,                                ,                    ,                          ,                       ,                      ,                        ,+                  ,                       ,                         ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,                       ,                                   ,+                      ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,+                        ,+                        ,+                    ,                         ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T. kolbei         ,              ,120, 747,B,  2,H, 6,  70.00,     11.0000,Maruyama ,Diatoms                                      ,               ,                  ,                                ,                    ,                          ,                       ,                      ,                        ,+                  ,                       ,                         ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,                       ,                                   ,                       ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,?                   ,                     ,               ,                 ,                    ,                         ,                       ,+                        ,+                        ,+                    ,                         ,+                     ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T. kolbei         ,              ,120, 747,B,  2,H,CC,  21.00,     11.3800,Maruyama ,Diatoms                                      ,               ,                  ,                                ,                    ,                          ,                       ,                      ,                        ,C                  ,                       ,C                        ,                           ,+                    ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,R                      ,                                   ,                       ,                       ,                        ,                                       ,                    ,                     ,                   ,R                        ,                          ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,F                   ,                         ,                       ,C                        ,                         ,A                    ,                         ,R                     ,+                   ,+                     ,+                    ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,T. vulnifica      ,              ,120, 747,B,  3,H, 1,  50.00,     12.8000,Maruyama ,Diatoms                                      ,               ,                  ,                                ,                    ,                          ,                       ,                      ,                        ,+                  ,                       ,                         ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,                       ,                                   ,                       ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,                         ,+                        ,+                    ,+                        ,+                     ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,T. vulnifica      ,              ,120, 747,B,  3,H, 2,  50.00,     14.3000,Maruyama ,Diatoms                                      ,               ,                  ,                                ,+                   ,                          ,                       ,                      ,                        ,+                  ,                       ,+                        ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,                       ,                                   ,                       ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,                   ,                       ,+                  ,                  ,                                     ,+                   ,                     ,               ,                 ,                    ,                         ,                       ,+                        ,+                        ,+                    ,+                        ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,T. insigna-T. vuln.,              ,120, 747,B,  3,H, 5, 147.00,     19.7700,Maruyama ,Diatoms                                      ,               ,                  ,                                ,+                   ,                          ,                       ,                      ,                        ,                   ,                       ,                         ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,+                   ,                                  ,                       ,                                  ,               ,                       ,                                   ,                       ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,+                    ,               ,                 ,                    ,+                        ,                       ,                         ,                         ,                     ,                         ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N. interfrigidaria,              ,120, 747,B,  3,H,CC,  13.00,     21.7700,Maruyama ,Diatoms                                      ,               ,                  ,                                ,                    ,                          ,                       ,                      ,                        ,                   ,                       ,F                        ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,                       ,F                                  ,F                      ,                       ,                        ,                                       ,                    ,                     ,                   ,R                        ,                          ,                ,                             ,R                  ,                       ,C                  ,                  ,R                                    ,R                   ,C                    ,R              ,C                ,R                   ,R                        ,R                      ,                         ,                         ,                     ,                         ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N. barronii       ,              ,120, 747,B,  4,H, 2,  50.00,     23.8000,Maruyama ,Diatoms                                      ,               ,                  ,                                ,+                   ,                          ,                       ,                      ,                        ,                   ,                       ,+                        ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,+                   ,                                  ,                       ,                                  ,               ,                       ,                                   ,                       ,                       ,                        ,                                       ,+                   ,                     ,                   ,                         ,                          ,                ,+                            ,                   ,                       ,+                  ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,                         ,                         ,                     ,                         ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N. barronii       ,              ,120, 747,B,  4,H, 4,  50.00,     26.8000,Maruyama ,Diatoms                                      ,               ,                  ,                                ,+                   ,                          ,+                      ,                      ,                        ,                   ,                       ,+                        ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,                       ,                                   ,                       ,                       ,                        ,                                       ,+                   ,                     ,                   ,                         ,                          ,                ,+                            ,                   ,                       ,+                  ,+                 ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,                         ,                         ,                     ,                         ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. reinholdii     ,              ,120, 747,B,  4,H, 5,  26.00,     28.0600,Maruyama ,Diatoms                                      ,               ,                  ,                                ,+                   ,                          ,                       ,                      ,+                       ,                   ,                       ,+                        ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,+                   ,                                  ,                       ,                                  ,               ,                       ,                                   ,                       ,                       ,                        ,                                       ,+                   ,                     ,                   ,                         ,                          ,+               ,+                            ,+                  ,+                      ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,                         ,                         ,                     ,                         ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. reinholdii     ,              ,120, 747,B,  4,H, 5,  50.00,     28.3000,Maruyama ,Diatoms                                      ,               ,                  ,                                ,+                   ,                          ,                       ,                      ,+                       ,                   ,                       ,+                        ,                           ,                     ,+                  ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,                       ,                                   ,                       ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,+                         ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,                         ,                         ,                     ,                         ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. reinholdii     ,              ,120, 747,B,  4,H, 6, 131.00,     30.6100,Maruyama ,Diatoms                                      ,               ,                  ,                                ,                    ,                          ,R                      ,+                     ,R                       ,F                  ,                       ,A                        ,F                          ,F                    ,                   ,                      ,                      ,                    ,                        ,+                ,                        ,R                   ,                                  ,                       ,                                  ,               ,F                      ,F                                  ,C                      ,R                      ,+                       ,F                                      ,F                   ,R                    ,+                  ,R                        ,R                         ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,                         ,                         ,                     ,                         ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,H. ovalis         ,              ,120, 747,B,  5,H, 1,  50.00,     31.8000,Maruyama ,Diatoms                                      ,               ,                  ,                                ,                    ,                          ,+                      ,                      ,+                       ,+                  ,                       ,+                        ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,+                      ,                                   ,                       ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,                         ,                         ,                     ,                         ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,T. torokina       ,              ,120, 747,B,  5,H, 4,  50.00,     36.3000,Maruyama ,Diatoms                                      ,               ,                  ,                                ,                    ,                          ,+                      ,                      ,+                       ,                   ,                       ,+                        ,+                          ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,?                       ,+                   ,                                  ,+                      ,                                  ,+              ,                       ,                                   ,                       ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,                         ,                         ,                     ,                         ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,T. torokina       ,              ,120, 747,B,  5,H, 5,  50.00,     37.8000,Maruyama ,Diatoms                                      ,               ,                  ,                                ,                    ,                          ,                       ,                      ,+                       ,                   ,                       ,+                        ,+                          ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,+                                 ,               ,                       ,                                   ,                       ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,                         ,                         ,                     ,                         ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,T. torokina       ,              ,120, 747,B,  5,H,CC,  19.00,     41.0300,Maruyama ,Diatoms                                      ,               ,                  ,                                ,F                   ,                          ,A                      ,                      ,A                       ,                   ,                       ,F                        ,F                          ,C                    ,                   ,                      ,R                     ,F                   ,R                       ,+                ,R                       ,R                   ,F                                 ,R                      ,                                  ,               ,                       ,                                   ,                       ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,                         ,                         ,                     ,                         ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,A. kennettii      ,              ,120, 747,B,  6,H, 1,  67.00,     41.4700,Maruyama ,Diatoms                                      ,               ,                  ,                                ,+                   ,                          ,+                      ,                      ,+                       ,                   ,                       ,+                        ,+                          ,+                    ,+                  ,+                     ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,                       ,                                   ,                       ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,                         ,                         ,                     ,                         ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,A. kennettii      ,              ,120, 747,B,  6,H, 7,  22.00,     50.0200,Maruyama ,Diatoms                                      ,               ,                  ,                                ,                    ,                          ,+                      ,+                     ,+                       ,                   ,                       ,                         ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,                       ,                                   ,                       ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,                         ,                         ,                     ,                         ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. dimorpha       ,              ,120, 747,B,  6,H,CC,   9.00,     50.2100,Maruyama ,Diatoms                                      ,               ,                  ,R                               ,R                   ,F                         ,R                      ,D                     ,C                       ,F                  ,R                      ,                         ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,                       ,                                   ,                       ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,                         ,                         ,                     ,                         ,                      ,                    ,                      ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
