Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Prunopyle titan	Prunopyle hayesi	Lychnocanium grande	Eucyrtidium cienkowskii	Cycladophora spongothorax	Amphistylus angelinus	Acrosphaera murrayana	Acrosphaera australis	Stylatractus universus	Cycladophora humerus	Actinomma golownini	Stichopilium bicorne	Desmospyris spongiosa	Desmospyris rhodospyroides	Dendrospyris megalocephalis	Antarctissa strelkovi	Antarctissa denticulata	Antarctissa deflandrei	Eucyrtidium pseudoinflatum	Siphonosphaera vesuvius	Eucyrtidium calvertense	Cycladophora pliocenica	Acrosphaera labrata	Helotholus haysi	Lithelius nautiloides	Helotholus vema	Spongotrochus glacialis	Cycladophora davisiana	Antarctissa cylindrica	Comment
  IR	                 	                 	                  	              	188	1165	B	 18	H	CC	   0.00	    147.8000	paleo    	Radiolarians                                 	C              	G                 	               	1               	1                  	                       	1                        	                     	                     	1                    	1                     	                    	                   	                    	                     	1                         	                           	                     	                       	                      	                          	1                      	                       	                       	                   	                	                     	               	                       	                      	                      	Acrosphaera australis Zone

  IR	                 	                 	                  	              	188	1165	B	 19	X	CC	  10.00	    151.0000	paleo    	Radiolarians                                 	C              	G                 	               	1               	1                  	1                      	                         	                     	                     	1                    	1                     	                    	                   	                    	                     	                          	                           	1                    	                       	1                     	1                         	1                      	                       	                       	                   	                	                     	               	                       	                      	                      	Acrosphaera australis Zone

  IR	                 	                 	                  	              	188	1165	B	 22	X	CC	  13.00	    185.0800	paleo    	Radiolarians                                 	T              	P                 	               	                	                   	1                      	1                        	                     	                     	1                    	                      	                    	                   	                    	                     	1                         	                           	1                    	                       	                      	1                         	                       	                       	                       	                   	                	                     	               	                       	                      	                      	Cycladopora spongothorax Zone

  IR	                 	                 	                  	              	188	1165	B	 24	X	CC	  40.00	    199.1500	paleo    	Radiolarians                                 	C              	VG                	R              	R1              	R1                 	                       	1                        	R                    	R1                   	R                    	R1                    	R1                  	R1                 	                    	R                    	R1                        	+                          	R1                   	1                      	R                     	                          	                       	                       	                       	                   	                	                     	               	                       	                      	                      	C. spongothorax Zone

  IR	                 	                 	                  	              	188	1165	B	 26	X	CC	   0.00	    213.9000	paleo    	Radiolarians                                 	T              	M                 	T1             	T1              	                   	                       	                         	                     	                     	1                    	                      	                    	T                  	                    	                     	                          	                           	                     	                       	                      	                          	                       	                       	                       	                   	                	                     	               	                       	                      	                      	       

  IR	                 	                 	                  	              	188	1165	B	 27	X	CC	  14.00	    231.6900	paleo    	Radiolarians                                 	T              	M                 	1              	T1              	                   	                       	                         	                     	                     	                     	                      	                    	T                  	                    	                     	                          	                           	                     	                       	                      	                          	                       	                       	                       	                   	                	                     	               	                       	                      	                      	nothing diagnostic

  IR	                 	                 	                  	              	188	1165	B	 28	X	CC	  10.00	    242.6800	paleo    	Radiolarians                                 	T              	M                 	T1             	T1              	+                  	+                      	                         	                     	                     	                     	                      	                    	                   	                    	                     	                          	                           	                     	                       	                      	                          	                       	                       	                       	                   	                	                     	               	                       	                      	                      	nothing diagnostic

  IR	                 	                 	                  	              	188	1165	B	 30	X	CC	  10.00	    253.7100	paleo    	Radiolarians                                 	T              	P                 	               	                	                   	1                      	                         	                     	                     	                     	                      	                    	                   	                    	                     	                          	                           	                     	                       	                      	                          	                       	                       	                       	                   	                	                     	               	                       	                      	                      	nothing diagnostic

