Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group	Group Abundance	Group Preservation	Sphaeroidinellopsis subdehiscens	Sphaeroidinella dehiscens s.l.	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina humerosa	Globorotalia tumida flexuosa	Globorotalia tumida	Globorotalia menardii	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides quadrilobatus	Globigerinoides extremus	Globigerinoides conglobatus	Dentoglobigerina altispira	Globorotalia crassaformis	Globigerinoides ruber	Sphaeroidinellopsis seminulina	Globigerinella siphonifera	Sphaeroidinella dehiscens	Pulleniatina praecursor	Neogloboquadrina acostaensis	Globigerinoides obliquus	Dentoglobigerina globosa	Globigerina bulloides	Globorotalia tosaensis	Globigerinoides fistulosus	Globorotalia scitula	Globigerinita glutinata	Candeina nitida	Globorotalia truncatulinoides	Globorotalia multicamerata	Orbulina suturalis	Hastigerina pelagica	Neogloboquadrina dutertrei	Comment
IR	Late Pliocene	Pleistocene		N21	180	1118	A	11	R	CC	17.00	309.7000	Resig	Planktonic Foraminifers	A	G			F	F	F	F	F	F	A	A	A		A		F	A			F			A				R						R			
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	12	R	CC	19.00	319.7800	Resig	Planktonic Foraminifers	A	G				R	F			F			F				R	F			R							R	F								
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	13	R	7	57.00	329.8400	Resig	Planktonic Foraminifers	F	G		F	F	F	A	F	F	F	A	A	A		A		F	A			F			A			F		R					F	R		
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	14	R	CC	24.00	339.8700	Resig	Planktonic Foraminifers	A	G		F	F		A	F	F	F	A	A	A		A		F	A		R	A						F	R	R	A			R				
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	15	R	CC	19.00	348.8700	Resig	Planktonic Foraminifers	F	G		F	R	F	F		R	F	F		F					F		R	F						R	R	R								
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	16	R	CC	10.00	358.0100	Resig	Planktonic Foraminifers	C	G			F	F	F		F	F	F		F		R		R	F		F	F						R	R	R			R					
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	17	R	6	132.00	367.2400	Resig	Planktonic Foraminifers	C	G		F		R	F	F	F	F	F	F	F		F		R	F		R	F							R		F							
																																																			
IR		Late Pliocene		N21	180	1118	A	18	R	CC	18.00	374.4700	Resig	Planktonic Foraminifers	C	G		F	R	F	F		F	F	A	A	A		A			A		R	F							R									
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	19	R	CC	20.00	384.2000	Resig	Planktonic Foraminifers	A	G		F	F	F	F		F	F		A	A				R	A		F	F							F	R			R					
																																																			
IR		Late Pliocene		N21	180	1118	A	20	R	CC	18.00	396.7500	Resig	Planktonic Foraminifers	A	G		F	F	F			F	F	A	A	A		A		F	A			F			A			F	F	R				F				
																																																			
IR		Late Pliocene		N21	180	1118	A	21	R	CC	24.00	404.1600	Resig	Planktonic Foraminifers	R	G				R				R			R					R																			
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	22	R	CC	19.00	415.1100	Resig	Planktonic Foraminifers	C	M		F	F	R	A		F	F	A	F	A					A			F						F	R	R			R					
																																																			
IR		Late Pliocene		N21	180	1118	A	23	R	CC	24.00	423.7700	Resig	Planktonic Foraminifers	A	G		F	F	F	F		F	F	A		A		A		R	A		F	F						F	F			R						
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	24	R	CC	13.00	435.0200	Perembo	Planktonic Foraminifers	A	G			R	A	A		A	A	A	F	A	A			F	A		F	R						F	A									
																																																			
IR		Late Pliocene		N21	180	1118	A	25	R	CC	12.00	443.7500	Perembo	Planktonic Foraminifers	A	M			R	F	R		A	A	A	F	A	A	F		F	A		R	R							F									
																																																			
IR		Late Pliocene		N21	180	1118	A	26	R	CC	23.00	450.7300	Perembo	Planktonic Foraminifers	A	M				A	F		R	A			A	F			R	A		F	R							R									
																																																			
IR		Pliocene			180	1118	A	27	R	CC	29.00	463.1800	Perembo	Planktonic Foraminifers	C	M				R	R			A	F	R	A		F			A			R																
																																																			
IR		Late Pliocene		N21	180	1118	A	28	R	CC	18.00	472.9300	Perembo	Planktonic Foraminifers	F	M			F	F	R		R	F	F	R	F		R		R	F		R	R																
																																																			
IR		Late Pliocene			180	1118	A	29	R	CC	12.00	482.6200	Perembo	Planktonic Foraminifers	C	M			R	F	F		F	A	F		F	F	R		R	A			R																
																																																			
IR		Late Pliocene		N21	180	1118	A	30	R	CC	14.00	492.4900	Perembo	Planktonic Foraminifers	C	M			F	F	A			A		R		A	F			A			R							F									
																																																			
IR		Late Pliocene		N21	180	1118	A	31	R	CC	16.00	501.5800	Resig	Planktonic Foraminifers	F	M		R	R	R	F			F	F	R			F			F		F								F									
																																																			
IR		Pliocene	N20	N21	180	1118	A	32	R	CC	7.00	509.6700	Resig	Planktonic Foraminifers	F	G		R		R	F		R	F	F	R		F			R	F			R																
																																																			
IR		Late Pliocene		N21	180	1118	A	33	R	CC	20.00	521.1100	Resig	Planktonic Foraminifers	F	M			R	R	R		R	F	F			F				F		F			R					F									
																																																			
IR		Pliocene	N20	N21	180	1118	A	34	R	CC	19.00	529.9900	Resig	Planktonic Foraminifers	F	G		R		R	R		R	F			R	F	R		R	F		R	R					R											
																																																			
IR		Pliocene			180	1118	A	35	R	CC	25.00	540.1800	Resig	Planktonic Foraminifers	R	M		R						R	R			R				R				R															
																																																			
IR		Late Pliocene		N21	180	1118	A	36	R	CC	17.00	549.7500	Resig	Planktonic Foraminifers	F	M			R					F	F	F		F				F									F	R									
																																																			
IR		Late Pliocene		N21	180	1118	A	37	R	CC	18.00	556.9500	Resig	Planktonic Foraminifers	C	M		F	F	F	F		F	F	F				F			F		F	F						F	F									
																																																			
IR		Late Pliocene		N21	180	1118	A	38	R	CC	21.00	568.5500	Resig	Planktonic Foraminifers	F	M			R				R	F	F	R	R	F				F			R						R										
																																																			
IR		Late Pliocene		N21	180	1118	A	39	R	CC	14.00	578.3900	Resig	Planktonic Foraminifers	A	G		F	F	F	A		F	F		A	A		A			A		A	F			A			F	F									
																																																			
IR		Late Pliocene		N21	180	1118	A	40	R	CC	24.00	585.4200	Resig	Planktonic Foraminifers	C	G			F	R	F			F	F		F					F									F		R	F							
																																																			
IR		Late Pliocene		N21	180	1118	A	41	R	CC	26.00	597.5600	Resig	Planktonic Foraminifers	F	G		R	R			R	R	F	F			F	F			F			R						F	F	R								
																																																			
IR		Late Pliocene		N21	180	1118	A	42	R	CC	12.00	608.2000	Perembo	Planktonic Foraminifers	A	G			A	A	A		F	A	A	F	A	F	A	A	R	A			A						A	F									
																																																			
IR		Pliocene			180	1118	A	43	R	CC	26.00	617.6300	Perembo	Planktonic Foraminifers	R	P								R	R							R			R																
																																																			
IR		Late Pliocene		N21	180	1118	A	44	R	CC	51.00	626.8100	Perembo	Planktonic Foraminifers	C	M		R	R	F	F		R	A	A	R	A	A	A	F	R	A			R							F									
																																																			
IR		Late Pliocene		N21	180	1118	A	45	R	CC	14.00	636.3900	Perembo	Planktonic Foraminifers	F	M			R	R	F		R	F	F		F	R	F	F	F	F																			
																																																			
IR		Late Pliocene		N21	180	1118	A	46	R	CC	16.00	646.2300	Perembo	Planktonic Foraminifers	A	G		F	A	F	A	F	A	A	A	R	A	F	F	A	A	A			F	R	F					R									
																																																			
IR		Late Pliocene		N21	180	1118	A	47	R	CC	21.00	655.3100	Perembo	Planktonic Foraminifers	A	M		F	F	R	F		A	A	F		F			A	R	A			F		F					R									
																																																			
IR		Late Pliocene		N21	180	1118	A	48	R	CC	31.00	663.3500	Resig	Planktonic Foraminifers	C	M		R	F	R	F			F	F		F	F		F		F									F										
																																																			
IR		Late Pliocene		N21	180	1118	A	49	R	CC	20.00	667.9300	Resig	Planktonic Foraminifers	A	G		F	A	R	A	F	F	F	A	R	A	A		A	F	A		F	F						R	R									
																																																			
IR		Late Pliocene		N21	180	1118	A	50	R	CC	11.00	681.6900	Resig	Planktonic Foraminifers	C	M		R			R	F	F		F		F	F	F	F	R	F	R	R	R						R	F									
																																																			
IR		Late Pliocene		N21	180	1118	A	51	R	1	71.00	686.0100	Resig	Planktonic Foraminifers	C	G		F	F	R	F	F	F	F	F	F	F	F		F	F	F			F						F	F									
																																																			
IR		Late Pliocene		N21	180	1118	A	51	R	CC	10.00	688.2600	Resig	Planktonic Foraminifers	F	G		R	R		R	R	R	R	F	F	F	F		R	R	F			R		R			R	R										
																																																			
IR		Pliocene		N20	180	1118	A	52	R	1	27.00	695.2700	Resig	Planktonic Foraminifers	C	G		R	R	R	F	R	R	F	F	F	F	F		F	F	F						F													
																																																			
IR		Pliocene		N20	180	1118	A	53	R	CC	32.00	707.5000	Resig	Planktonic Foraminifers	C	G	R	R	R		F		R	F	F	F	F		R	F	R	F		R																	
																																																			
IR		Pliocene		N20	180	1118	A	54	R	CC	18.00	716.0000	Resig	Planktonic Foraminifers	C	G		R	F	R	F	R	R	R	F	F	F	F	F	F	R	F		R						F											
																																																			
IR		Pliocene		N20	180	1118	A	55	R	CC	34.00	727.1000	Resig	Planktonic Foraminifers	C	G	R	R	F	R	R		R	F	F	F		F	F	F	R	F																			
																																																			
IR		Pliocene		N20	180	1118	A	56	R	CC	43.00	740.7600	Resig	Planktonic Foraminifers	F	G	R		F	R	R		R	F	F	F	F	F		F	R	F																			
																																																			
IR		Pliocene			180	1118	A	57	R	CC	21.00	749.8600	Resig	Planktonic Foraminifers	C	G		F	F				F	F			F	F	F	F		F			F																
																																																			
IR					180	1118	A	58	R	CC	35.00	762.1500	Perembo	Planktonic Foraminifers	F	M			F					F	F	R	F		R	F		F																			
																																																			
IR					180	1118	A	59	R	CC	22.00	770.5300	Perembo	Planktonic Foraminifers	C	M		R	R				F	F	F	R	F			F		F			R		F														
																																																			
IR		Late Pliocene		N20	180	1118	A	60	R	CC	8.00	774.5500	Perembo	Planktonic Foraminifers	C	G					F			A	A		A	R		F	F				F		F														
																																																			
IR		Late Pliocene		N20	180	1118	A	61	R	CC	15.00	785.5900	Perembo	Planktonic Foraminifers	A	M			F	R			R	A		F	A			A	A	A			R	R	F		R												
																																																			
IR		Late Pliocene		N20	180	1118	A	62	R	CC	15.00	796.4300	Perembo	Planktonic Foraminifers	C	M		R	R	R	R		F	A	F		F			F	R	F			R																
																																																			
IR		Late Pliocene		N20	180	1118	A	63	R	CC	20.00	806.9100	Perembo	Planktonic Foraminifers	C	G		F	R	R			F	A	A	F	A		R	F	R				F	F	F	R	F												
																																																			
IR		Late Pliocene			180	1118	A	64	R	CC	26.00	813.2200	Perembo	Planktonic Foraminifers	R	P			R					R	R					R					R																
																																																			
IR		Pliocene		N20	180	1118	A	65	R	CC	27.00	828.4000	Resig	Planktonic Foraminifers	F	P		R	R		F		R	R	F		F	F		R	R	F																			
																																																			
IR		Pliocene		N20	180	1118	A	66	R	CC	28.00	836.1200	Resig	Planktonic Foraminifers	F	M	F	F			R	F	F	R	F		F	F		F	R	F																			
																																																			
IR		Pliocene		N20	180	1118	A	67	R	CC	32.00	845.8200	Resig	Planktonic Foraminifers	A	M		F	F	F	F	F		F	A	A	A	A	F	F	R	A	F	F																	
																																																			
IR		Pliocene		N20	180	1118	A	68	R	1	0.00	849.3000	Resig	Planktonic Foraminifers	C	M		F		R	F	F	F	F	F	F				F	R	F																			
																																																			
IR		Pliocene		N20	180	1118	A	68	R	1	135.50	850.6550	Resig	Planktonic Foraminifers	C	P		F	F	R	F	F	F	F	F	F	F	F		F	R	F																			
																																																			
IR		Pliocene		N20	180	1118	A	68	R	2	129.00	852.0400	Perembo	Planktonic Foraminifers	A	M		A	F		F	F	A	A	A	F	A	F		A	R	F																			
																																																			
IR		Pliocene		N20	180	1118	A	68	R	3	109.00	853.1500	Resig	Planktonic Foraminifers	A	P	F	F	F	R	F	F	F	F	A	R	A	F	R	F																					
																																																			
