Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unidentified benthic forams,Laticarinina pauperata,Astrononion spp.,Vulvulina spp.,Uvigerina peregrina,Stilostomella spp.,Pullenia quinqueloba,Pullenia bulloides,Pleurostomella spp.,Oridorsalis umbonatus,Gyroidinoides spp.,Globocassidulina subglobosa,Eggerella bradyi,Cibicidoides spp.,Cibicidoides mundulus,Bolivina spp.,Unilocular species,Ostracoda spp.,Melonis pompilioides,Melonis barleeanus,Karreriella bradyi,Dentalina spp.,Cassidulina spp.,Pullenia spp.,Lenticulina spp.,Parrelloides bradyi,Osangularia culter,Nuttallides umbonifera,Gyroidina zealandica,Uvigerina hispida,Sigmoilina tenuis,Orthomorphina spp.,Dorothia spp.,Cribrostomoides spp.,Bulimina alazanensis,Astacolus spp.,Epistominella exigua,Heronallenia lingulata,Rectuvigerina spp.,Textularia spp.,Hanzawaia mantaensis,Anomalinoides spp.,Sphaeroidina bulloides,Bolivina huneri,Plectofrondicularia spp.,Spiroloculina spp.,Fontbotia wuellerstorfi,Siphotextularia catenata,Ehrenbergina spp.,Pyrulina spp.,Bolboforma aculeata,Triloculina spp.,Pyrgo spp.,Bolboforma spp.,Quinqueloculina spp.,Hopkinsina mioindex,Martinottiella communis,Eggerelloides spp.,Sigmoilopsis schlumbergeri,Anomalinoides globulosus,Gyroidina orbicularis,Nonionella spp.,Hoeglundina elegans,Chilostomella oolina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A,  5,H,CC,   8.00,     39.4000,benthics ,Benthic Foraminifers                         ,C              ,G                 ,                           ,                      ,                ,              ,                   ,T                 ,                    ,R                 ,                   ,R                    ,T                 ,T                          ,T               ,T                ,                     ,T            ,T                 ,R             ,R                   ,R                 ,                  ,              ,                ,T            ,                ,                   ,                  ,                      ,                    ,T                ,                 ,                  ,             ,                    ,                    ,              ,T                   ,                      ,                  ,               ,                    ,                  ,                      ,               ,                        ,                  ,T                      ,                        ,                 ,             ,                   ,                ,R         ,               ,                    ,                   ,T                      ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A,  6,H,CC,   8.00,     49.0300,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                          ,T                     ,T               ,              ,T                  ,R                 ,                    ,R                 ,                   ,R                    ,T                 ,T                          ,T               ,R                ,                     ,             ,R                 ,T             ,F                   ,R                 ,                  ,              ,                ,T            ,                ,                   ,                  ,                      ,T                   ,T                ,                 ,T                 ,             ,                    ,                    ,              ,T                   ,                      ,                  ,               ,                    ,                  ,                      ,               ,                        ,                  ,                       ,                        ,                 ,             ,                   ,                ,R         ,               ,T                   ,                   ,                       ,                  ,                          ,                        ,R                    ,               ,                   ,                    ,B/P: 1/140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A,  7,H,CC,  10.00,     58.2500,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                          ,R                     ,R               ,              ,R                  ,R                 ,                    ,R                 ,                   ,R                    ,                  ,R                          ,R               ,T                ,                     ,             ,R                 ,R             ,                    ,F                 ,                  ,T             ,                ,R            ,                ,T                  ,                  ,F                     ,R                   ,                 ,                 ,                  ,             ,                    ,                    ,              ,                    ,                      ,                  ,               ,                    ,                  ,                      ,               ,                        ,                  ,R                      ,                        ,                 ,             ,                   ,                ,R         ,               ,T                   ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A,  8,H,CC,  16.00,     68.0700,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                          ,                      ,                ,              ,                   ,T                 ,T                   ,T                 ,T                  ,                     ,R                 ,R                          ,                ,R                ,                     ,T            ,T                 ,R             ,R                   ,R                 ,T                 ,              ,                ,             ,                ,                   ,                  ,                      ,                    ,                 ,                 ,                  ,             ,                    ,                    ,              ,                    ,                      ,                  ,               ,                    ,                  ,T                     ,               ,                        ,                  ,                       ,                        ,                 ,T            ,                   ,                ,T         ,               ,                    ,                   ,                       ,                  ,                          ,T                       ,                     ,               ,                   ,                    ,B/P: 1/140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A,  9,H,CC,  15.00,     77.8600,benthics ,Benthic Foraminifers                         ,F              ,G                 ,T                          ,R                     ,                ,              ,                   ,T                 ,                    ,F                 ,                   ,R                    ,T                 ,T                          ,R               ,                 ,                     ,             ,R                 ,T             ,                    ,R                 ,                  ,T             ,T               ,             ,                ,                   ,                  ,F                     ,                    ,                 ,R                ,                  ,             ,                    ,                    ,              ,                    ,                      ,                  ,               ,                    ,                  ,                      ,               ,                        ,                  ,                       ,T                       ,                 ,             ,                   ,                ,          ,               ,                    ,                   ,T                      ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 10,H,CC,  12.00,     87.4800,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                          ,                      ,                ,              ,T                  ,T                 ,                    ,T                 ,T                  ,R                    ,R                 ,                           ,                ,T                ,                     ,             ,                  ,R             ,R                   ,R                 ,                  ,              ,                ,             ,T               ,                   ,                  ,                      ,T                   ,T                ,                 ,                  ,             ,                    ,                    ,              ,                    ,                      ,                  ,               ,                    ,                  ,T                     ,               ,                        ,                  ,T                      ,                        ,                 ,             ,                   ,                ,R         ,               ,                    ,                   ,                       ,                  ,R                         ,                        ,                     ,               ,                   ,                    ,B/P: 1/150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 11,H,CC,  12.00,     96.8800,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                          ,                      ,                ,              ,                   ,R                 ,T                   ,T                 ,R                  ,F                    ,R                 ,                           ,R               ,T                ,                     ,             ,R                 ,T             ,                    ,F                 ,R                 ,R             ,                ,             ,                ,                   ,                  ,                      ,                    ,T                ,                 ,                  ,             ,                    ,                    ,              ,T                   ,                      ,                  ,               ,                    ,                  ,                      ,F              ,                        ,                  ,R                      ,                        ,                 ,             ,                   ,                ,F         ,               ,                    ,                   ,R                      ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 12,H,CC,  10.00,    106.4500,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                          ,T                     ,                ,              ,                   ,                  ,T                   ,                  ,                   ,R                    ,T                 ,T                          ,                ,                 ,T                    ,             ,T                 ,F             ,                    ,T                 ,                  ,              ,                ,             ,                ,                   ,                  ,T                     ,T                   ,                 ,                 ,                  ,             ,                    ,                    ,              ,                    ,                      ,                  ,T              ,                    ,                  ,                      ,T              ,                        ,T                 ,R                      ,                        ,                 ,             ,                   ,                ,T         ,               ,                    ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 13,H,CC,  12.00,    115.2400,benthics ,Benthic Foraminifers                         ,F              ,G                 ,R                          ,                      ,                ,              ,                   ,                  ,                    ,                  ,                   ,F                    ,                  ,R                          ,                ,T                ,                     ,             ,R                 ,R             ,                    ,R                 ,T                 ,              ,                ,             ,                ,                   ,                  ,T                     ,                    ,                 ,                 ,                  ,             ,                    ,                    ,              ,                    ,                      ,                  ,               ,                    ,                  ,T                     ,               ,                        ,                  ,R                      ,                        ,                 ,             ,                   ,                ,          ,               ,T                   ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/130
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 14,H,CC,  11.00,    123.7300,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                          ,R                     ,                ,              ,                   ,T                 ,                    ,R                 ,R                  ,T                    ,T                 ,                           ,T               ,T                ,                     ,             ,                  ,F             ,                    ,R                 ,                  ,T             ,                ,             ,                ,T                  ,                  ,R                     ,                    ,                 ,                 ,T                 ,             ,                    ,T                   ,              ,                    ,                      ,                  ,               ,                    ,                  ,                      ,T              ,                        ,T                 ,F                      ,                        ,                 ,             ,                   ,                ,R         ,               ,                    ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/160
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 15,H,CC,  12.00,    133.9400,benthics ,Benthic Foraminifers                         ,C              ,M                 ,R                          ,R                     ,                ,              ,T                  ,R                 ,                    ,                  ,R                  ,F                    ,                  ,                           ,                ,R                ,                     ,T            ,R                 ,R             ,                    ,R                 ,                  ,              ,                ,T            ,T               ,T                  ,                  ,                      ,T                   ,                 ,                 ,T                 ,             ,                    ,                    ,              ,                    ,                      ,                  ,               ,                    ,                  ,                      ,R              ,                        ,                  ,R                      ,T                       ,                 ,             ,                   ,                ,R         ,               ,F                   ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 16,H,CC,  12.00,    143.7500,benthics ,Benthic Foraminifers                         ,C              ,M                 ,T                          ,R                     ,                ,              ,R                  ,R                 ,                    ,T                 ,R                  ,R                    ,R                 ,R                          ,T               ,T                ,R                    ,             ,R                 ,R             ,                    ,                  ,T                 ,              ,                ,             ,                ,                   ,                  ,                      ,T                   ,R                ,                 ,                  ,             ,                    ,R                   ,              ,                    ,                      ,                  ,T              ,                    ,                  ,                      ,T              ,                        ,                  ,T                      ,                        ,                 ,             ,                   ,T               ,R         ,T              ,R                   ,R                  ,                       ,R                 ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 17,H,CC,  21.00,    153.5700,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                          ,F                     ,T               ,              ,R                  ,R                 ,                    ,R                 ,T                  ,F                    ,R                 ,                           ,R               ,                 ,                     ,             ,R                 ,R             ,                    ,R                 ,                  ,              ,                ,T            ,                ,                   ,T                 ,                      ,R                   ,T                ,T                ,T                 ,             ,                    ,T                   ,              ,T                   ,                      ,                  ,               ,                    ,                  ,                      ,R              ,                        ,                  ,                       ,T                       ,                 ,             ,                   ,                ,          ,               ,T                   ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 18,H,CC,  23.00,    163.7000,benthics ,Benthic Foraminifers                         ,C              ,G                 ,                           ,T                     ,R               ,              ,                   ,                  ,                    ,R                 ,T                  ,R                    ,                  ,T                          ,T               ,                 ,R                    ,             ,R                 ,              ,                    ,                  ,                  ,              ,                ,             ,                ,                   ,                  ,T                     ,                    ,                 ,                 ,                  ,             ,                    ,T                   ,              ,R                   ,                      ,                  ,T              ,                    ,                  ,                      ,T              ,                        ,                  ,                       ,                        ,R                ,             ,                   ,                ,          ,               ,T                   ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 19,X,CC,   3.00,    167.1300,benthics ,Benthic Foraminifers                         ,F              ,G                 ,T                          ,R                     ,                ,              ,                   ,R                 ,                    ,T                 ,                   ,T                    ,R                 ,T                          ,R               ,T                ,                     ,             ,T                 ,R             ,                    ,R                 ,                  ,              ,                ,             ,                ,                   ,                  ,                      ,                    ,                 ,                 ,                  ,             ,                    ,                    ,              ,                    ,                      ,                  ,               ,                    ,                  ,                      ,               ,                        ,                  ,F                      ,                        ,                 ,             ,                   ,                ,          ,               ,T                   ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/160
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 20,X,CC,  21.00,    174.5400,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                          ,R                     ,R               ,              ,T                  ,R                 ,T                   ,R                 ,R                  ,R                    ,R                 ,                           ,R               ,T                ,R                    ,             ,R                 ,R             ,                    ,R                 ,                  ,              ,                ,             ,T               ,                   ,                  ,                      ,R                   ,T                ,                 ,T                 ,T            ,                    ,                    ,              ,                    ,                      ,                  ,T              ,                    ,                  ,                      ,R              ,                        ,                  ,R                      ,                        ,                 ,             ,                   ,                ,          ,               ,                    ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 21,X,CC,  11.00,    180.9100,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                          ,T                     ,                ,              ,                   ,R                 ,R                   ,R                 ,                   ,F                    ,R                 ,R                          ,R               ,                 ,R                    ,             ,T                 ,F             ,                    ,R                 ,T                 ,T             ,                ,             ,                ,                   ,                  ,R                     ,                    ,                 ,T                ,                  ,T            ,                    ,                    ,              ,                    ,                      ,                  ,R              ,                    ,                  ,                      ,               ,                        ,                  ,R                      ,                        ,                 ,             ,                   ,                ,T         ,               ,T                   ,                   ,R                      ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 22,X,CC,  12.00,    192.0500,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                          ,T                     ,                ,              ,                   ,T                 ,                    ,T                 ,R                  ,T                    ,                  ,R                          ,R               ,                 ,R                    ,             ,R                 ,R             ,                    ,R                 ,                  ,T             ,                ,             ,                ,                   ,                  ,R                     ,T                   ,                 ,                 ,T                 ,             ,                    ,T                   ,              ,                    ,                      ,R                 ,               ,                    ,                  ,T                     ,T              ,                        ,T                 ,F                      ,                        ,                 ,             ,                   ,                ,R         ,               ,T                   ,T                  ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 23,X,CC,  12.00,    201.1300,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                          ,R                     ,T               ,              ,T                  ,R                 ,                    ,R                 ,T                  ,C                    ,T                 ,R                          ,R               ,R                ,T                    ,             ,R                 ,R             ,                    ,                  ,                  ,T             ,                ,             ,T               ,                   ,                  ,T                     ,R                   ,                 ,                 ,T                 ,             ,                    ,                    ,              ,T                   ,                      ,                  ,R              ,                    ,                  ,                      ,R              ,                        ,                  ,R                      ,                        ,                 ,             ,                   ,                ,          ,T              ,T                   ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 24,X,CC,  16.00,    210.3100,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                          ,R                     ,                ,              ,                   ,                  ,R                   ,T                 ,T                  ,F                    ,                  ,R                          ,R               ,R                ,R                    ,R            ,R                 ,F             ,                    ,                  ,                  ,              ,                ,             ,                ,T                  ,                  ,F                     ,T                   ,                 ,                 ,                  ,             ,                    ,                    ,              ,                    ,                      ,                  ,R              ,                    ,                  ,                      ,F              ,                        ,T                 ,R                      ,                        ,                 ,             ,                   ,F               ,T         ,T              ,                    ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 25,X,CC,  20.00,    220.3400,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                          ,                      ,T               ,              ,                   ,R                 ,                    ,R                 ,T                  ,F                    ,R                 ,R                          ,                ,                 ,R                    ,             ,R                 ,R             ,                    ,R                 ,R                 ,              ,                ,             ,T               ,                   ,                  ,R                     ,T                   ,                 ,                 ,                  ,             ,                    ,                    ,              ,                    ,                      ,                  ,T              ,                    ,                  ,                      ,R              ,                        ,                  ,F                      ,                        ,                 ,             ,F                  ,                ,          ,               ,                    ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 26,X,CC,  10.00,    227.5500,benthics ,Benthic Foraminifers                         ,C              ,G                 ,                           ,F                     ,                ,              ,                   ,R                 ,                    ,T                 ,                   ,R                    ,                  ,T                          ,R               ,T                ,                     ,             ,R                 ,              ,                    ,T                 ,                  ,              ,                ,             ,                ,                   ,                  ,T                     ,                    ,                 ,                 ,                  ,             ,                    ,                    ,              ,                    ,                      ,                  ,T              ,                    ,                  ,                      ,T              ,                        ,                  ,                       ,                        ,                 ,T            ,                   ,                ,          ,               ,                    ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/160
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 27,X,CC,  12.00,    239.3800,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                          ,                      ,R               ,              ,T                  ,F                 ,                    ,R                 ,T                  ,R                    ,R                 ,R                          ,T               ,                 ,R                    ,             ,R                 ,R             ,                    ,                  ,T                 ,              ,                ,             ,                ,                   ,                  ,                      ,                    ,                 ,                 ,                  ,             ,                    ,                    ,              ,                    ,                      ,                  ,T              ,                    ,                  ,                      ,F              ,                        ,                  ,R                      ,                        ,                 ,             ,                   ,                ,          ,               ,                    ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 28,X,CC,  20.00,    250.7000,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                          ,R                     ,                ,              ,                   ,R                 ,                    ,R                 ,T                  ,F                    ,                  ,R                          ,T               ,                 ,R                    ,             ,R                 ,R             ,                    ,T                 ,                  ,T             ,                ,             ,                ,T                  ,                  ,                      ,T                   ,                 ,                 ,                  ,             ,                    ,                    ,              ,R                   ,                      ,                  ,               ,                    ,                  ,                      ,               ,                        ,                  ,R                      ,                        ,T                ,             ,                   ,                ,          ,               ,                    ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A, 29,X,CC,  10.00,    259.4400,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                          ,T                     ,                ,              ,                   ,                  ,T                   ,T                 ,T                  ,R                    ,                  ,R                          ,                ,                 ,                     ,             ,R                 ,R             ,                    ,                  ,                  ,T             ,                ,             ,                ,                   ,                  ,T                     ,R                   ,                 ,                 ,                  ,             ,                    ,                    ,              ,                    ,                      ,                  ,               ,                    ,                  ,                      ,               ,                        ,                  ,T                      ,T                       ,T                ,             ,                   ,                ,          ,               ,                    ,                   ,                       ,                  ,                          ,                        ,                     ,               ,                   ,                    ,B/P: 1/140
