Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Morozovella subbotinae,Morozovella aequa,Morozovella crassata,Subbotina frontosa,Truncorotaloides topilensis,Globigerina ouachitaensis,Subbotina angiporoides,Hantkenina alabamensis,Globigerinatheka index,Globigerina ampliapertura,Globigerina gortanii,Chiloguembelina cubensis,Globigerina corpulenta,Clavatorella sp. aff. C. nicobarensis,Globigerina angulisuturalis,Cassigerinella chipolensis,Tenuitella munda,Globoquadrina praedehiscens,Jenkinsella continuosa,Globigerinella obesa,Comment
  SR,                 ,                 ,                  ,              ,121, 757,B, 13,H,CC,  12.00,    119.8700,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                      ,                 ,                    ,                  ,                           ,                         ,1.1%                  ,                      ,                      ,                         ,.5%                 ,.4%                     ,                      ,                                     ,                           ,                          ,                ,                           ,                      ,                    ,additional species from ODP Leg 121 SR Chapter 3 Table 6 p 102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 757,B, 14,H, 2, 110.00,    122.7000,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                      ,                 ,                    ,                  ,                           ,                         ,.8%                   ,.5%                   ,.5%                   ,.5%                      ,                    ,                        ,                      ,                                     ,                           ,                          ,                ,                           ,                      ,                    ,additional species from ODP Leg 121 SR Chapter 3 Table 6 p 102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 757,B, 17,H,CC,  14.00,    158.7100,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                      ,                 ,                    ,                  ,.8%                        ,.7%                      ,                      ,                      ,                      ,                         ,                    ,                        ,                      ,                                     ,                           ,                          ,                ,                           ,                      ,                    ,additional species from ODP Leg 121 SR Chapter 3 Table 6 p 102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 757,B, 18,H,CC,   9.00,    168.6100,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                      ,                 ,                    ,.6%               ,                           ,                         ,                      ,                      ,                      ,                         ,                    ,                        ,                      ,                                     ,                           ,                          ,                ,                           ,                      ,                    ,additional species from ODP Leg 121 SR Chapter 3 Table 6 p 102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 757,B, 20,X,CC,  20.00,    184.0400,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                      ,                 ,1.1%                ,                  ,                           ,                         ,                      ,                      ,                      ,                         ,                    ,                        ,                      ,                                     ,                           ,                          ,                ,                           ,                      ,                    ,additional species from ODP Leg 121 SR Chapter 3 Table 6 p 102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 757,B, 23,X,CC,  22.00,    208.6400,van Eijden,Planktonic Foraminifers                      ,               ,                  ,.5%                   ,1.5%             ,                    ,                  ,                           ,                         ,                      ,                      ,                      ,                         ,                    ,                        ,                      ,                                     ,                           ,                          ,                ,                           ,                      ,                    ,additional species from ODP Leg 121 SR Chapter 3 Table 6 p 102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
