Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina utilisindex	Subbotina pseudovenezuelana	Subbotina linaperta s.l.	Subbotina gortanii	Subbotina angiporoides	Praetenuitella sp. 3	Praetenuitella sp. 2	Praetenuitella sp. 1	Paragloborotalia pseudocontinuosa	Paragloborotalia nana	Globorotaloides suteri	Globigerinatheka index	Globigerina leroyi	Chiloguembelina cubensis	Catapsydrax unicavus	Subbotina yeguaensis	Subbotina eocaena	Praetenuitella insolita	Globigerina cf. G. praebulloides	Catapsydrax echinatus	Pseudohastigerina micra	Globigerina tapuriensis	Tenuitella gemma	Tenuitella munda	Globorotaloides aff. testarugosa	Catapsydrax dissimilis	Globigerina praebulloides	Globigerina euapertura	Tenuitella angustiumbilicata	Globoturborotalita labiacrassata	Globigerinita juvenilis	Tenuitella clemenciae	Globoturborotalita connecta	Globoturborotalita brazieri	Turborotalia quinqueloba	Globoturborotalita woodi	Globoturborotalita cf. G. labiacrassata	Sphaeroidinellopsis disjuncta	Paragloborotalita incognita	Globorotalia zealandica	Globorotalia praescitula	Globigerina bulloides	Globorotalia scitula	Neogloboquadrina pachyderma	Globigerina falconensis	Globorotalia puncticulata	Comment

  SR	Late Miocene     	                 	                  	              	119	 744	A	  5	H	CC	  18.00	     37.8400	Huber    	Planktonic Foraminifers                      	C              	E                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	                    	                    	                 	                       	                                	                     	                       	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	C                    	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Miocene     	                 	                  	              	119	 744	A	  6	H	CC	  16.00	     48.2800	Huber    	Planktonic Foraminifers                      	C              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	                    	                    	                 	                       	                                	                     	                       	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	R                    	C                   	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Middle Miocene   	                 	                  	              	119	 744	A	  7	H	CC	  13.00	     59.4000	Huber    	Planktonic Foraminifers                      	A              	E                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	                    	                    	                 	                       	                                	                     	                       	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	C                       	C                    	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Middle Miocene   	                 	                  	              	119	 744	A	  8	H	 1	  95.00	     62.1500	Huber    	Planktonic Foraminifers                      	R              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	                    	                    	                 	                       	                                	                     	                       	                       	                	                	                                	                      	                         	                      	?                           	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	A                      	R                       	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Middle Miocene   	                 	                  	              	119	 744	A	  8	H	 2	  95.00	     63.6500	Huber    	Planktonic Foraminifers                      	F              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	                    	                    	                 	                       	                                	                     	                       	                       	                	                	                                	                      	                         	                      	A                           	                                	                       	C                    	                           	                           	                        	                        	                                       	                             	                           	C                      	A                       	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Middle Miocene   	                 	                  	              	119	 744	A	  8	H	 3	  95.00	     65.1500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	R                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	                      	                         	                      	F                           	                                	                       	R                    	                           	                           	R                       	C                       	                                       	                             	                           	C                      	A                       	F                    	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Middle Miocene   	                 	                  	              	119	 744	A	  8	H	 4	  95.00	     66.6500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	                    	                    	                 	                       	                                	                     	                       	                       	                	                	                                	                      	                         	                      	R                           	                                	                       	R                    	                           	                           	R                       	A                       	                                       	                             	                           	F                      	C                       	C                    	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Miocene    	                 	                  	              	119	 744	A	  8	H	CC	  17.00	     67.1200	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	F                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	R                     	                         	                      	F                           	                                	F                      	                     	                           	                           	F                       	A                       	                                       	                             	                           	F                      	F                       	C                    	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Miocene    	                 	                  	              	119	 744	A	  9	H	 1	  73.00	     71.4300	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	R                     	                      	                  	                        	F                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	F                     	R                        	                      	C                           	                                	F                      	A                    	                           	                           	R                       	                        	R                                      	A                            	                           	                       	C                       	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Miocene    	                 	                  	              	119	 744	A	  9	H	CC	  20.00	     71.8500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	R                     	                      	                  	                        	                    	                    	                 	                       	                                	                     	                       	                       	                	                	                                	R                     	                         	                      	C                           	                                	A                      	A                    	                           	                           	R                       	F                       	                                       	                             	                           	R                      	R                       	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Miocene    	                 	                  	              	119	 744	A	 10	H	 1	  95.00	     81.1500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	F                   	                    	                 	                       	                                	R                    	                       	                       	                	                	                                	C                     	C                        	                      	                            	                                	                       	                     	F                          	                           	C                       	C                       	F                                      	C                            	R                          	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Miocene    	                 	                  	              	119	 744	A	 10	H	 2	  95.00	     82.6500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	R                     	                      	                  	                        	C                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	C                     	C                        	                      	                            	                                	                       	                     	                           	                           	F                       	F                       	C                                      	F                            	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Miocene    	                 	                  	              	119	 744	A	 10	H	 3	  95.00	     84.1500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	A                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	R                     	C                        	                      	                            	                                	R                      	                     	                           	                           	R                       	                        	C                                      	C                            	F                          	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Miocene    	                 	                  	              	119	 744	A	 10	H	CC	  17.00	     90.0100	Huber    	Planktonic Foraminifers                      	C              	M                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	F                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	A                     	C                        	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Miocene    	                 	                  	              	119	 744	A	 11	H	 1	 100.00	     90.7000	Huber    	Planktonic Foraminifers                      	R              	P                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	C                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	A                     	                         	                      	                            	                                	                       	                     	                           	                           	F                       	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Miocene    	                 	                  	              	119	 744	A	 11	H	 2	 100.00	     92.2000	Huber    	Planktonic Foraminifers                      	R              	P                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	F                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	A                     	                         	                      	                            	                                	                       	                     	                           	                           	R                       	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Miocene    	                 	                  	              	119	 744	A	 11	H	 3	 100.00	     93.7000	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	C                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	C                     	C                        	                      	                            	                                	                       	                     	F                          	F                          	                        	C                       	R                                      	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Oligocene   	                 	                  	              	119	 744	A	 11	H	CC	  10.00	     98.4100	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	F                     	                      	                  	                        	C                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	F                     	C                        	                      	                            	                                	A                      	C                    	C                          	R                          	R                       	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Oligocene   	                 	                  	              	119	 744	A	 12	H	 2	  96.00	    101.6600	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	C                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	F                     	C                        	C                     	F                           	                                	R                      	R                    	F                          	F                          	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Oligocene   	                 	                  	              	119	 744	A	 12	H	 3	  95.00	    103.1500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	R                     	                      	                  	                        	C                   	                    	                 	                       	                                	R                    	                       	                       	                	                	                                	F                     	                         	F                     	C                           	                                	A                      	C                    	F                          	F                          	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Oligocene   	                 	                  	              	119	 744	A	 12	H	CC	  15.00	    109.0500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	F                     	                      	                  	                        	R                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	C                     	C                        	R                     	F                           	                                	A                      	C                    	C                          	R                          	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Oligocene   	                 	AP14              	              	119	 744	A	 13	H	 1	  95.00	    109.6500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	F                     	                      	                  	                        	F                   	                    	                 	                       	                                	R                    	                       	                       	                	                	                                	R                     	R                        	R                     	R                           	R                               	A                      	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Oligocene   	                 	AP14              	              	119	 744	A	 13	H	 2	  95.00	    111.1500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	F                     	                      	                  	                        	C                   	                    	                 	                       	                                	R                    	                       	                       	                	                	                                	F                     	R                        	F                     	R                           	F                               	A                      	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Oligocene   	                 	AP14              	              	119	 744	A	 13	H	 3	  95.00	    112.6500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	F                     	                      	                  	R                       	C                   	                    	                 	                       	                                	R                    	                       	                       	                	R               	                                	F                     	F                        	R                     	R                           	                                	A                      	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Oligocene   	                 	AP14              	              	119	 744	A	 13	H	 4	  95.00	    114.1500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	F                     	                      	                  	                        	C                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	F                     	R                        	C                     	R                           	C                               	A                      	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Oligocene   	                 	AP14              	              	119	 744	A	 13	H	 5	  95.00	    115.6500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	F                     	                      	                  	                        	C                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	R                     	F                        	F                     	C                           	C                               	A                      	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Oligocene   	                 	AP14              	              	119	 744	A	 13	H	 6	  95.00	    117.1500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	F                     	                      	                  	                        	C                   	                    	                 	                       	                                	R                    	                       	                       	                	                	                                	F                     	R                        	C                     	R                           	A                               	A                      	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP14              	              	119	 744	A	 13	H	CC	  16.00	    118.3300	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	C                     	                      	                  	A                       	C                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	F                     	F                        	C                     	                            	C                               	C                      	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 14	H	 1	  95.00	    119.1500	Huber    	Planktonic Foraminifers                      	A              	G                 	                     	                           	                        	                  	F                     	                    	                    	                    	                                 	                     	R                     	                      	                  	A                       	C                   	                    	                 	                       	                                	                     	                       	                       	R               	C               	R                               	F                     	R                        	F                     	R                           	C                               	F                      	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 14	H	 2	  95.00	    120.6500	Huber    	Planktonic Foraminifers                      	A              	M                 	C                    	                           	                        	                  	A                     	                    	                    	                    	                                 	                     	F                     	                      	                  	R                       	C                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	R                     	F                        	                      	                            	R                               	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 14	H	 3	  95.00	    122.1500	Huber    	Planktonic Foraminifers                      	A              	M                 	C                    	                           	                        	                  	A                     	                    	                    	                    	                                 	                     	F                     	                      	                  	                        	C                   	                    	                 	                       	                                	                     	                       	                       	                	                	                                	                      	R                        	                      	                            	R                               	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 14	H	 6	  95.00	    126.6500	Huber    	Planktonic Foraminifers                      	A              	G                 	C                    	                           	                        	                  	C                     	                    	                    	                    	                                 	R                    	R                     	                      	                  	F                       	A                   	                    	                 	                       	                                	R                    	                       	                       	                	R               	R                               	                      	R                        	F                     	                            	F                               	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 14	H	CC	  11.00	    127.6600	Huber    	Planktonic Foraminifers                      	A              	G                 	A                    	                           	                        	                  	A                     	                    	                    	                    	                                 	C                    	F                     	                      	                  	C                       	C                   	                    	                 	                       	                                	R                    	                       	                       	                	R               	                                	R                     	R                        	                      	                            	R                               	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 15	H	 1	  95.00	    128.6500	Huber    	Planktonic Foraminifers                      	A              	G                 	R                    	                           	                        	                  	C                     	                    	                    	                    	                                 	F                    	                      	                      	                  	R                       	A                   	                    	                 	                       	                                	R                    	                       	                       	                	                	                                	                      	                         	R                     	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 15	H	 3	  95.00	    131.6500	Huber    	Planktonic Foraminifers                      	C              	G                 	C                    	                           	                        	                  	C                     	                    	                    	                    	                                 	F                    	F                     	                      	                  	F                       	C                   	                    	                 	                       	                                	F                    	                       	                       	                	                	                                	F                     	R                        	R                     	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 15	H	 5	  95.00	    134.6500	Huber    	Planktonic Foraminifers                      	C              	G                 	C                    	R                          	                        	                  	R                     	                    	                    	                    	                                 	                     	R                     	                      	R                 	A                       	F                   	R                   	                 	                       	                                	R                    	                       	                       	R               	C               	R                               	                      	                         	R                     	C                           	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 15	H	CC	  10.00	    137.5000	Huber    	Planktonic Foraminifers                      	A              	G                 	C                    	                           	                        	                  	F                     	                    	                    	                    	                                 	F                    	R                     	                      	                  	C                       	F                   	                    	                 	                       	                                	F                    	                       	                       	C               	A               	                                	R                     	                         	R                     	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 16	H	 1	  89.00	    138.0900	Huber    	Planktonic Foraminifers                      	A              	G                 	A                    	                           	                        	                  	C                     	                    	                    	                    	                                 	R                    	F                     	                      	                  	R                       	C                   	                    	                 	                       	                                	                     	                       	                       	A               	F               	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 16	H	 2	  95.00	    139.6500	Huber    	Planktonic Foraminifers                      	A              	G                 	F                    	R                          	                        	                  	F                     	                    	                    	                    	                                 	                     	R                     	                      	R                 	F                       	C                   	R                   	                 	                       	                                	R                    	                       	                       	A               	C               	R                               	F                     	                         	F                     	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 16	H	 3	  95.00	    141.1500	Huber    	Planktonic Foraminifers                      	C              	G                 	C                    	                           	                        	                  	C                     	                    	                    	                    	                                 	R                    	F                     	                      	                  	F                       	F                   	                    	                 	                       	                                	C                    	                       	                       	A               	F               	                                	                      	R                        	F                     	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 16	H	 5	  95.00	    144.1500	Huber    	Planktonic Foraminifers                      	A              	G                 	C                    	                           	                        	R                 	C                     	                    	                    	                    	                                 	                     	R                     	                      	R                 	C                       	F                   	                    	                 	                       	                                	R                    	                       	                       	F               	R               	R                               	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 16	H	 6	  95.00	    145.6500	Huber    	Planktonic Foraminifers                      	R              	M                 	C                    	                           	                        	                  	C                     	                    	                    	                    	                                 	                     	F                     	                      	R                 	C                       	F                   	                    	                 	                       	                                	R                    	                       	                       	R               	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 16	H	CC	  18.00	    147.0800	Huber    	Planktonic Foraminifers                      	F              	G                 	R                    	                           	                        	                  	F                     	                    	                    	                    	                                 	                     	F                     	                      	                  	F                       	R                   	                    	                 	                       	                                	                     	                       	                       	C               	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 17	H	 1	  28.00	    146.9800	Huber    	Planktonic Foraminifers                      	A              	G                 	A                    	F                          	                        	                  	C                     	                    	                    	                    	                                 	                     	F                     	                      	R                 	F                       	C                   	R                   	                 	                       	                                	R                    	                       	                       	R               	                	R                               	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 17	H	CC	  32.00	    147.4900	Huber    	Planktonic Foraminifers                      	C              	G                 	A                    	R                          	                        	                  	C                     	                    	                    	                    	                                 	F                    	F                     	                      	R                 	F                       	F                   	                    	                 	                       	                                	R                    	                       	                       	R               	                	R                               	R                     	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 18	H	 1	  95.00	    148.5500	Huber    	Planktonic Foraminifers                      	R              	M                 	C                    	                           	                        	                  	C                     	                    	                    	                    	                                 	                     	                      	                      	R                 	R                       	C                   	                    	                 	                       	                                	R                    	                       	                       	                	                	F                               	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Early Oligocene  	                 	AP13              	              	119	 744	A	 18	H	 2	  95.00	    150.0500	Huber    	Planktonic Foraminifers                      	A              	G                 	A                    	                           	                        	                  	F                     	                    	                    	                    	                                 	                     	R                     	                      	                  	A                       	C                   	                    	                 	                       	                                	R                    	                       	                       	R               	                	R                               	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	                     	                    	                           	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

