Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Heterohelix moremani,Hedbergella angolae,Hedbergella delrioensis,Globigerinelloides caseyi,Hedbergella sp.,Praeglobotruncana delrioensis,Hedbergella cf. simplex,Schackoina cf. cenomana,Biticinella sp.,Hedbergella cf. gorbachikae,Ticinella madecassiana,Globigerinelloides bentonensis,Costellagerina libyca,Comment
  SR,Albian           ,                 ,                  ,              ,159, 962,D,  9,R, 5,   4.00,    158.4400,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,+                   ,                   ,                       ,                         ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,Identifications from thin section. from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D,  9,R, 5,  27.00,    158.6700,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                       ,                         ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,Identifications from thin section. from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D,  9,R,CC,  24.00,    160.0500,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,cf                 ,cf                     ,                         ,+              ,cf                           ,                       ,                       ,               ,                           ,                      ,+                             ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 10,R, 1,  19.00,    162.1900,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                       ,                         ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 10,R, 2, 128.00,    164.7800,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                       ,                         ,               ,                             ,+                      ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 10,R,CC,  21.00,    165.5200,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                       ,                         ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 11,R, 1,  34.00,    172.0400,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,+                   ,+                  ,+                      ,+                        ,+              ,                             ,                       ,                       ,               ,                           ,+                     ,cf                            ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 11,R,CC,  21.00,    173.8400,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,+                  ,+                      ,+                        ,               ,                             ,                       ,                       ,+              ,                           ,                      ,                              ,+                    ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 12,R, 1,  90.00,    182.2000,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,+                   ,+                  ,+                      ,+                        ,               ,                             ,                       ,                       ,               ,                           ,+                     ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 12,R, 2,  80.00,    183.6000,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,+                      ,                         ,+              ,                             ,                       ,                       ,               ,                           ,                      ,cf                            ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 13,R, 1, 100.00,    192.0000,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,+                   ,                   ,                       ,                         ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 13,R, 2,  95.00,    193.4500,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,+                      ,                         ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 13,R,CC,   0.00,    193.5700,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,+                  ,+                      ,                         ,+              ,                             ,                       ,                       ,               ,                           ,+                     ,                              ,+                    ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 15,R,CC,   6.00,    210.3600,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,cf                 ,cf                     ,                         ,               ,                             ,                       ,                       ,               ,+                          ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 16,R,CC,  17.00,    224.1700,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,+                  ,+                      ,+                        ,               ,                             ,                       ,                       ,               ,+                          ,+                     ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 18,R,CC,  21.00,    245.0300,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,+                  ,+                      ,                         ,               ,cf                           ,                       ,                       ,               ,                           ,                      ,cf                            ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 19,R,CC,  19.00,    251.2300,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,cf                  ,+                  ,+                      ,+                        ,               ,cf                           ,+                      ,                       ,               ,+                          ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 20,R, 2,   6.00,    259.9600,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                       ,                         ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 20,R, 4,  68.00,    263.5800,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,+                   ,                   ,                       ,                         ,+              ,                             ,                       ,+                      ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 20,R,CC,  20.00,    264.3700,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,+                  ,+                      ,                         ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 21,R,CC,  16.00,    270.2000,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,cf                 ,+                      ,                         ,+              ,cf                           ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 23,R,CC,  23.00,    288.8200,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,cf                 ,+                      ,                         ,+              ,cf                           ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 24,R,CC,  12.00,    300.7300,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,+                  ,+                      ,                         ,               ,                             ,                       ,                       ,               ,                           ,+                     ,cf                            ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 25,R, 1,  46.00,    302.4600,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                       ,                         ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,Identifications from thin section. from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 25,R,CC,  21.00,    303.4300,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,+                  ,+                      ,                         ,+              ,+                            ,                       ,                       ,               ,+                          ,+                     ,                              ,+                    ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 26,R,CC,  12.00,    310.0900,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,+                  ,+                      ,                         ,               ,+                            ,                       ,                       ,               ,                           ,+                     ,+                             ,+                    ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 27,R, 1,  87.00,    312.1700,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,+                      ,                         ,+              ,+                            ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 27,R,CC,  20.00,    314.2200,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,cf                  ,+                  ,+                      ,                         ,+              ,+                            ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 28,R,CC,  16.00,    319.0900,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,+                      ,                         ,               ,                             ,                       ,                       ,               ,+                          ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 29,R, 1,  45.00,    326.4500,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,+                   ,                   ,                       ,cf                       ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 29,R,CC,  21.00,    328.2100,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,+                  ,                       ,                         ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 30,R,CC,  18.00,    338.2000,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,cf                 ,+                      ,                         ,               ,                             ,+                      ,+                      ,+              ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 31,R,CC,  23.00,    348.0600,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,cf                 ,+                      ,                         ,+              ,cf                           ,+                      ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 33,R,CC,  18.00,    367.0100,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                       ,                         ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 34,R, 2,  80.00,    371.6000,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,cf                 ,                       ,                         ,               ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 34,R,CC,   7.00,    372.9100,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,cf                 ,                       ,                         ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 34,R,CC,  11.00,    372.9500,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,cf                 ,+                      ,+                        ,               ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 36,R,CC,  10.00,    388.2800,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,+                   ,                   ,                       ,                         ,               ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D, 37,R,CC,   8.00,    393.9300,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,+                   ,+                  ,                       ,                         ,               ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
