Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tuberculatosporites sp.	Tricolporopollenites sp. A	Stoverisporites lunaris	Schizosporis reticulatus	Perotrilites majus	Nevesisporites dailyi	Neoraistrickia truncata	Neoraistrickia equalis	Microfoveolatosporis canaliculatus	Microcachyridites parvus	Leptolepidites major	Laevigatosporites ovatus	Interulobites ovatus	Fungus (scutate fruit-bodies)	Foveogleicheniidites confossus	Ephedripites sp.	Distaltriangulisporites sp.	Cyathidites minor	Cyatheacidites sp. A	Cyatheacidites botuliformis	Cyatheacidites annulatus	Corollina  (unspecified taxon or taxa)	Cicatricosisporites pseudotripartitus	Cicatricosisporites australiensis	Ceratosporties distalgranulanus	Calamospora sp.	Appendicisporites sp. cf. A. jansonii	Alisporites similis	Triletes tuberculiformis	Stereisporites antiquasporites	Cupressacites sp.	Tricolporopollenites sp. B	Contignisporities fornicatus	Retimonocolpites peroreticulatus	Megaspore (unspecified taxon or taxa)	Dictyophyllidites equiexnus	Cyathidites australis	Clavatipollenites sp. B	Dictyotosporites complex	Retitriletes austroclavatidites	Stoverisporites microverrucatus	Nyssapollenites lanosus	Cyatheacidites sp. B	Cicatricosisporites hughesii	Clavatipollenites hughesii	Podocarpidites sp. A	Stereisporites pocockii	Polycingulatisporites clavus	Vitreisporites pallidus	Reticulisporites sp. B	Reticulisporites sp. A	Clavaifera triplex	Podocarpidites sp. B	Microcachyridites sp.	Leptolepidites (unspecified taxon or taxa)	Podocarpidites sp. C	Liliacidites sp.	Baculaisporites comaumensis	Comment

  SR	                 	                 	                  	              	120	 748	C	 63	R	 1	  82.00	    742.8200	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	+                       	                    	                             	                              	                	                           	+                	                    	                           	+                       	                                      	                                     	                                 	                               	               	                                     	+                  	+                       	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	+                      	                      	                      	+                 	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 63	R	CC	  21.00	    743.4600	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	+                            	                              	                	                           	                 	                    	                           	+                       	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	+                         	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 64	R	 1	  63.00	    752.1300	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	+                     	                                  	                        	                    	+                       	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	+                  	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	+                 	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 64	R	 3	  78.00	    755.2800	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	+                       	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	+                     	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 65	R	 1	  46.00	    761.4600	Mohr     	Pollen/Spores                                	               	                  	+                      	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	+                       	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	+                         	                    	                       	                            	+                      	+                     	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 66	R	 1	  48.00	    770.9800	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	+                      	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 67	R	 1	  69.00	    780.6900	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 68	R	 1	  30.00	    789.8000	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	+                       	                    	+                            	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	+                      	                        	                               	                               	                       	                    	                            	+                         	                    	                       	                            	+                      	                      	+                     	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 69	R	 1	  56.00	    798.0600	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	+                     	+                 	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 70	R	 1	  63.00	    807.6300	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	+                                     	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	+                           	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	+                      	+                     	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 70	R	 4	  54.00	    812.0400	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 70	R	 5	  64.00	    813.6400	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	+                      	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 71	R	 6	 120.00	    825.2000	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 71	R	CC	  23.00	    826.3300	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 72	R	 1	  70.00	    826.7000	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	+                           	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 72	R	CC	  28.00	    832.2500	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	+                      	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 73	R	 1	  57.00	    836.0700	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	+                                 	                        	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 73	R	 6	 121.00	    844.2100	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	+                       	                    	                        	                    	                             	                              	                	                           	                 	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 73	R	 7	  25.00	    844.7500	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	+                 	                     	                       	                      	                                  	                        	                    	                        	                    	                             	                              	                	                           	                 	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 74	R	 1	  59.00	    845.5900	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	+                       	                    	                        	                    	                             	                              	                	                           	                 	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 74	R	 4	  56.00	    850.0600	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 74	R	CC	  19.00	    851.8000	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 75	R	 1	  58.00	    855.0800	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	+                                 	                        	                    	                        	                    	                             	                              	                	                           	                 	                    	                           	                        	                                      	                                     	                                 	+                              	               	                                     	                   	                        	                              	                 	+                         	                            	                                	                                     	                           	+                    	                       	                        	                               	                               	                       	                    	                            	                          	+                   	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 75	R	 5	  55.00	    861.0500	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	+                         	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 75	R	CC	  26.00	    863.0200	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	+                       	                    	                             	                              	                	                           	                 	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	+                	+                         	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 76	R	 1	  60.00	    864.6000	Mohr     	Pollen/Spores                                	               	                  	                       	+                         	                       	                        	                  	                     	                       	                      	                                  	                        	                    	+                       	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	+                  	                        	                              	+                	                          	                            	                                	                                     	                           	+                    	                       	                        	                               	                               	                       	                    	                            	+                         	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 76	R	 5	 120.00	    871.2000	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	+                   	                             	+                             	                	                           	                 	                    	                           	                        	                                      	                                     	+                                	                               	               	                                     	                   	                        	                              	                 	+                         	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 76	R	CC	  15.00	    872.8500	Mohr     	Pollen/Spores                                	               	                  	                       	+                         	+                      	                        	                  	                     	                       	+                     	                                  	+                       	                    	+                       	                    	+                            	+                             	                	+                          	+                	+                   	+                          	+                       	+                                     	+                                    	+                                	+                              	               	+                                    	+                  	+                       	                              	                 	+                         	+                           	                                	                                     	                           	+                    	+                      	                        	                               	                               	+                      	+                   	+                           	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 77	R	 1	  61.00	    874.1100	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	+                       	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	+                                	+                              	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	+                          	                     	                       	                        	                               	+                              	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 77	R	CC	  26.00	    882.4400	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	                             	+                             	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	+                              	               	                                     	                   	                        	                              	+                	+                         	                            	                                	                                     	                           	                     	+                      	                        	+                              	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 78	R	 1	  59.00	    883.5900	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	+                                 	                        	                    	+                       	                    	                             	                              	                	                           	+                	                    	+                          	                        	                                      	                                     	                                 	                               	               	                                     	                   	+                       	+                             	                 	                          	                            	                                	                                     	                           	                     	                       	+                       	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 78	R	 5	 105.00	    890.0500	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	+                                 	                        	                    	+                       	                    	                             	+                             	                	                           	+                	                    	                           	+                       	                                      	                                     	+                                	                               	               	                                     	+                  	                        	                              	                 	                          	+                           	                                	                                     	+                          	+                    	+                      	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 78	R	CC	  13.00	    891.7000	Mohr     	Pollen/Spores                                	               	                  	+                      	+                         	                       	                        	                  	                     	                       	+                     	                                  	+                       	                    	+                       	+                   	                             	+                             	                	+                          	+                	+                   	                           	                        	                                      	+                                    	+                                	                               	               	                                     	+                  	                        	                              	                 	                          	+                           	+                               	+                                    	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 79	R	 1	  55.00	    893.0500	Mohr     	Pollen/Spores                                	               	                  	+                      	                          	                       	                        	                  	                     	                       	                      	+                                 	                        	                    	+                       	                    	+                            	+                             	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	+                         	+                           	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 79	R	 2	  60.00	    894.6000	Mohr     	Pollen/Spores                                	               	                  	+                      	                          	                       	+                       	                  	                     	                       	                      	                                  	                        	                    	+                       	                    	                             	+                             	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	+                       	+                             	+                	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 79	R	 2	 138.00	    895.3800	Mohr     	Pollen/Spores                                	               	                  	+                      	+                         	+                      	+                       	+                 	+                    	+                      	+                     	+                                 	+                       	+                   	+                       	+                   	+                            	+                             	+               	+                          	+                	+                   	+                          	+                       	+                                     	+                                    	+                                	+                              	+              	+                                    	+                  	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

