Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus distentus,Sphenolithus ciperoensis,Reticulofenestra lockerii,Helicosphaera euphratis,Discoaster deflandrei,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Chiasmolithus altus,Braarudosphaera bigelowii,Triquetrorhabdulus carinatus,Triquetrorhabdulus auritus,Helicosphaera recta,Dictyococcites scrippsae,Coccolithus miopelagicus,Sphenolithus moriformis,Micrantholithus entaster,Helicosphaera perch-nielseniae,Pontosphaera multipora,Micrantholithus altus,Coccolithus pelagicus,Triquetrorhabdulus milowii,Syracosphaera pulchra,Sphenolithus dissimilis,Micrantholithus australiensis,Coronocyclus nitescens,Discoaster druggii,Sphenolithus heteromorphus,Pontosphaera multipunctata,Discoaster variabilis,Calcidiscus macintyrei,Reticulofenestra pseudoumbilicus,Pontosphaera pachymorpha,Micrantholithus pinguis,Helicosphaera obliqua,Helicosphaera carteri,Geminilithella rotula,Calcidiscus leptoporus,Calcidiscus premacintyrei,Triquetrorhabdulus rugosus,Reticulofenestra minuta,Reticulofenestra haqii,Scyphosphaera spp.,Pontosphaera japonica,Helicosphaera cf. rhomba,Dictyococcites antarcticus,Sphenolithus neoabies,Sphenolithus abies,Scapholithus fossilis,Reticulofenestra minutula,Reticulofenestra gelida,Discoaster brouweri,Minylitha convallis,Discoaster surculus,Discoaster prepentaradiatus,Triquetrorhabdulus challengeri,Helicosphaera intermedia,Discoaster pentaradiatus,Dictyococcites productus,Amaurolithus primus,Umbilicosphaera sibogae,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Helicosphaera kamptneri,Discoaster triradiatus,Scapholithus rhombiformis,Helicosphaera sellii,Hayaster perplexus,Reticulofenestra asanoi,Helicosphaera wallichii,Rhabdosphaera stylifera,Gephyrocapsa aperta,Oolithotus fragilis,Gephyrocapsa oceanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,NN19          ,182,1126,B,  5,H, 5, 127.00,     42.2700,Ladner   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,                        ,                         ,                       ,                     ,                       ,                           ,                          ,                   ,F                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,F                    ,                          ,F                    ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,C                     ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,F                      ,                        ,F                      ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,NN19          ,182,1126,B,  5,H, 6,  27.00,     42.7700,Ladner   ,Nannofossils                                 ,A              ,M                 ,                       ,                      ,                        ,                         ,                       ,                     ,                       ,                           ,                          ,                   ,F                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,                     ,                          ,C                    ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,C                     ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,F                      ,F                       ,F                      ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,NN19          ,182,1126,B,  5,H,CC,   9.00,     43.5200,Ladner   ,Nannofossils                                 ,C              ,G                 ,                       ,                      ,                        ,                         ,                       ,                     ,                       ,                           ,                          ,                   ,C                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,F                    ,                          ,F                    ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,F                     ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,F                       ,                   ,                       ,F                      ,                        ,                       ,                      ,                         ,                    ,                  ,C                      ,C                      ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,182,1126,B,  6,H,CC,   0.00,     53.1800,Ladner   ,Nannofossils                                 ,A              ,M                 ,                       ,                      ,                        ,                         ,                       ,                     ,                       ,                           ,                          ,                   ,C                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,F                    ,                          ,F                    ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,F                     ,                                ,                        ,                       ,                     ,                     ,                     ,F                     ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,R                    ,                         ,                       ,1                  ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,F                      ,R                       ,                       ,                      ,R                        ,F                   ,F                 ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN18          ,182,1126,B,  7,H,CC,  12.00,     63.9000,Ladner   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,                        ,                         ,                       ,                     ,                       ,                           ,                          ,                   ,F                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,F                    ,                          ,C                    ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,F                     ,                                ,                        ,                       ,                     ,                     ,                     ,F                     ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,R                    ,                         ,                       ,F                  ,                   ,                   ,                           ,                              ,                        ,2                       ,                        ,                   ,C                      ,F                      ,F                       ,F                      ,1                     ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,NN16              ,NN16          ,182,1126,B,  8,H, 3,   1.00,     66.5100,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,                        ,                         ,                       ,                     ,                       ,                           ,                          ,                   ,                         ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,C                    ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,C                     ,                                ,                        ,                       ,                     ,                     ,                     ,                      ,                         ,                          ,A                      ,C                     ,C                 ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,R                  ,                   ,R                  ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,NN12              ,NN12          ,182,1126,B,  8,H, 3,  32.00,     66.8200,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,                        ,                         ,                       ,                     ,                       ,                           ,                          ,                   ,                         ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,C                    ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,F                    ,C                     ,F                               ,                        ,                       ,                     ,                     ,                     ,C                     ,                         ,                          ,A                      ,                      ,C                 ,                     ,                        ,                          ,C                    ,C                 ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,F                       ,R                       ,F                  ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,NN12              ,NN12          ,182,1126,B,  8,H,CC,  13.00,     72.9600,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,                        ,                         ,F                      ,F                    ,                       ,                           ,                          ,                   ,                         ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,                     ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,F                     ,F                               ,                        ,                       ,                     ,F                    ,                     ,                      ,                         ,                          ,C                      ,F                     ,C                 ,F                    ,F                       ,                          ,F                    ,C                 ,                     ,C                        ,                       ,                   ,                   ,                   ,                           ,R                             ,F                       ,F                       ,F                       ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,NN10              ,NN10          ,182,1126,B,  9,H,CC,  15.00,     82.0200,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,                        ,F                        ,                       ,                     ,                       ,C                          ,                          ,                   ,R                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,F                    ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,C                     ,F                               ,                        ,                       ,                     ,F                    ,                     ,C                     ,                         ,                          ,                       ,                      ,F                 ,                     ,                        ,                          ,C                    ,C                 ,                     ,C                        ,F                      ,                   ,C                  ,F                  ,F                          ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Middle Miocene   ,NN9               ,NN10          ,182,1126,B, 10,H,CC,  15.00,     88.6900,Shafik   ,Nannofossils                                 ,C              ,P                 ,                       ,                      ,                        ,                         ,F                      ,                     ,                       ,                           ,                          ,                   ,R                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,F                    ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,F                    ,C                     ,C                               ,                        ,                       ,                     ,F                    ,F                    ,C                     ,                         ,                          ,                       ,F                     ,                  ,                     ,                        ,F                         ,                     ,F                 ,                     ,C                        ,                       ,F                  ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,B, 11,H,CC,  20.00,    102.0900,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,                        ,                         ,                       ,                     ,                       ,                           ,                          ,                   ,                         ,                            ,                          ,                   ,                        ,                        ,F                      ,                        ,                              ,                      ,                     ,F                    ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,C                    ,C                     ,C                               ,                        ,                       ,                     ,F                    ,F                    ,C                     ,                         ,R                         ,C                      ,C                     ,C                 ,                     ,R                       ,C                         ,F                    ,C                 ,                     ,C                        ,C                      ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,B, 12,H,CC,  15.00,    104.0000,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,                        ,                         ,                       ,                     ,                       ,                           ,                          ,                   ,                         ,                            ,                          ,                   ,                        ,                        ,C                      ,                        ,                              ,                      ,                     ,F                    ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,C                    ,F                     ,                                ,                        ,                       ,                     ,F                    ,F                    ,C                     ,R                        ,R                         ,                       ,F                     ,C                 ,                     ,                        ,C                         ,C                    ,C                 ,R                    ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Middle Miocene   ,NN9               ,NN10          ,182,1126,B, 14,H,CC,  12.00,    118.2300,Shafik   ,Nannofossils                                 ,C              ,P                 ,                       ,                      ,                        ,                         ,R                      ,                     ,                       ,C                          ,                          ,                   ,C                        ,                            ,                          ,                   ,                        ,R                       ,                       ,                        ,                              ,                      ,                     ,                     ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,R                    ,F                     ,                                ,                        ,                       ,R                    ,F                    ,F                    ,F                     ,R                        ,                          ,F                      ,C                     ,F                 ,C                    ,R                       ,C                         ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Early Miocene    ,NN4               ,NN5           ,182,1126,B, 15,H,CC,   0.00,    122.8500,Shafik   ,Nannofossils                                 ,C              ,P                 ,                       ,                      ,                        ,                         ,                       ,                     ,                       ,A                          ,                          ,                   ,C                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,                     ,                          ,                     ,                       ,                             ,                      ,                  ,R                         ,                          ,                     ,                      ,                                ,F                       ,F                      ,                     ,F                    ,                     ,C                     ,R                        ,                          ,C                      ,C                     ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,B, 17,H,CC,  13.00,    136.8200,Shafik   ,Nannofossils                                 ,C              ,P                 ,                       ,                      ,                        ,                         ,F                      ,F                    ,                       ,C                          ,                          ,                   ,C                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,                     ,                          ,                     ,                       ,                             ,R                     ,                  ,R                         ,                          ,                     ,                      ,                                ,F                       ,F                      ,                     ,F                    ,                     ,F                     ,F                        ,R                         ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,B, 18,H,CC,  21.00,    147.4900,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,                        ,                         ,                       ,F                    ,                       ,A                          ,                          ,                   ,C                        ,                            ,                          ,                   ,                        ,R                       ,                       ,                        ,                              ,                      ,                     ,                     ,                          ,                     ,                       ,                             ,                      ,                  ,F                         ,                          ,                     ,                      ,                                ,F                       ,F                      ,R                    ,F                    ,                     ,F                     ,R                        ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Early Miocene    ,NN4               ,NN5           ,182,1126,B, 19,H,CC,  23.00,    157.0800,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,                        ,                         ,                       ,F                    ,                       ,C                          ,                          ,                   ,C                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,                     ,                          ,                     ,                       ,                             ,R                     ,                  ,F                         ,                          ,                     ,F                     ,R                               ,F                       ,F                      ,R                    ,R                    ,R                    ,R                     ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,NN5           ,182,1126,B, 20,H,CC,   6.00,    160.2800,Ladner   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,                        ,                         ,                       ,                     ,                       ,F                          ,                          ,                   ,F                        ,                            ,                          ,                   ,                        ,                        ,F                      ,                        ,                              ,                      ,                     ,F                    ,                          ,                     ,                       ,                             ,                      ,                  ,R                         ,                          ,F                    ,R                     ,                                ,                        ,                       ,                     ,                     ,                     ,                      ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,NN5           ,182,1126,B, 21,X,CC,  18.00,    160.4800,Ladner   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,                        ,                         ,                       ,F                    ,                       ,C                          ,                          ,                   ,C                        ,                            ,                          ,                   ,                        ,                        ,F                      ,                        ,                              ,                      ,                     ,                     ,                          ,                     ,                       ,R                            ,                      ,F                 ,                          ,R                         ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,                      ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,NN5           ,182,1126,B, 22,X,CC,  17.00,    168.3500,Ladner   ,Nannofossils                                 ,C              ,M                 ,                       ,                      ,                        ,                         ,                       ,F                    ,                       ,C                          ,                          ,                   ,                         ,                            ,                          ,                   ,                        ,F                       ,C                      ,                        ,                              ,                      ,                     ,F                    ,                          ,                     ,                       ,                             ,                      ,                  ,F                         ,R                         ,C                    ,R                     ,                                ,                        ,                       ,                     ,                     ,                     ,                      ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,                       ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,                   ,                   ,                     ,       
