Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira lentiginosa	Rhaphoneis surirelloides	Nitzschia panduriformis	Nitzschia kerguelenis	Hemidiscus karstenii	Cyclotella striata	Thalassionema nitzschioides	Rhizosolenia hebetata f. hiemalis	Nitzschia ritscherii	Eucampia antarctica	Diploneis sp.	Azpeitia tabularis	Xanthiopyxis ovalis	Thalassiosira oestrupii	Nitzschia separanda	Actinocyclus ingens	Actinocyclus actinochilus	Rocella praenitida	Hyalodiscus sp.	Cymbella sp.	Coscinodiscus radiatus	Chaetoceros spp. (resting spores)	Chaetoceros sp.	Thalassiosira fasciculata	Stephanopyxis turris turris	Paralia sulcata	Hemiaulus sp.	Actinoptychus senarius	Thalassiosira gracilis	Pseudoeunotia doliolus	Navicula directa	Denticulopsis sp.	Cocconeis sp.	Aulacosira granulata	Actinocyclus oculatus	Nitzschia weaveri	Nitzschia reinholdii	Tabularia sp.	Pyxilla reticulata	Actinoptychus splendens	Rouxia sp.	Grammatophora sp.	Comment
  IR	                 	                 	                  	              	181	1122	A	  6	H	CC	  10.00	     56.3400	diatoms  	Diatoms                                      	               	                  	R                        	F                        	R                       	R                      	C                    	T                   	R                 	                           	                                 	R                   	F                  	             	R                 	                   	R                      	T                  	T                  	T                        	                  	T              	            	T                     	                                 	               	                         	                           	R              	             	                      	T                     	T                     	T               	T                	T            	R                   	T                    	                 	                    	             	                  	                       	          	                 	       

  IR	                 	                 	                  	              	181	1122	A	  7	H	CC	   0.00	     65.8000	diatoms  	Diatoms                                      	               	                  	F                        	F                        	                        	T                      	F                    	R                   	                  	                           	                                 	                    	R                  	             	R                 	                   	                       	R                  	R                  	R                        	                  	               	            	T                     	                                 	               	R                        	T                          	R              	T            	T                     	                      	                      	                	                 	             	                    	                     	                 	                    	             	                  	                       	          	                 	       

  IR	                 	                 	                  	              	181	1122	A	  8	H	CC	   0.00	     73.8400	diatoms  	Diatoms                                      	               	                  	T                        	F                        	                        	                       	F                    	                    	                  	                           	                                 	                    	                   	             	                  	                   	                       	                   	                   	                         	                  	T              	            	                      	                                 	               	                         	                           	               	             	                      	                      	                      	                	                 	             	                    	                     	                 	                    	             	                  	                       	          	                 	       

  IR	                 	                 	                  	              	181	1122	A	  9	X	CC	   0.00	     76.4600	diatoms  	Diatoms                                      	               	                  	R                        	R                        	F                       	T                      	F                    	                    	R                 	                           	                                 	R                   	T                  	T            	                  	F                  	                       	                   	                   	                         	T                 	R              	T           	T                     	R                                	R              	                         	                           	               	             	                      	                      	                      	                	                 	             	                    	                     	                 	                    	             	                  	                       	          	                 	       

  IR	                 	                 	                  	              	181	1122	A	 10	X	CC	  10.00	     85.7900	diatoms  	Diatoms                                      	               	                  	F                        	F                        	                        	R                      	F                    	R                   	                  	                           	                                 	R                   	F                  	             	R                 	F                  	T                      	T                  	T                  	R                        	                  	               	            	                      	                                 	               	                         	                           	               	             	                      	                      	                      	                	                 	             	                    	                     	                 	                    	             	                  	                       	          	                 	       

  IR	                 	                 	                  	              	181	1122	A	 12	X	CC	  10.00	    109.6400	diatoms  	Diatoms                                      	               	                  	F                        	F                        	R                       	R                      	F                    	F                   	                  	T                          	T                                	T                   	R                  	T            	R                 	                   	                       	                   	                   	                         	                  	               	            	                      	                                 	               	                         	                           	               	             	                      	                      	                      	                	                 	             	                    	                     	                 	                    	             	                  	                       	          	                 	       

  IR	                 	                 	                  	              	181	1122	A	 13	X	CC	   5.00	    119.9700	diatoms  	Diatoms                                      	               	                  	F                        	F                        	T                       	T                      	F                    	F                   	R                 	                           	                                 	                    	                   	             	                  	                   	                       	                   	                   	                         	                  	               	            	                      	                                 	               	                         	                           	               	             	                      	                      	                      	                	                 	             	                    	                     	                 	                    	             	                  	                       	          	                 	       

