Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitella sp.,Neogloboquadrina continuosa,Globorotaloides variabilis,Globorotalia praescitula,Globorotalia mayeri,Globigerinoides subquadratus,Globigerinoides parawoodi,Globigerinoides bisphericus,Globigerinella praesiphonifera,Fohsella peripheroronda,Fohsella birnageae,Clavatorella bermudezi,Globigerinoides sacculifer,Globoturborotalita woodi,Globorotaloides hexagona,Globorotalia continuosa,Globoquadrina dehiscens,Dentoglobigerina altispira,Globorotalia limbata,Globorotalia archeomenardii,Globigerinoides mitra,Globigerinoides altiapertura,Globigerinita uvula,Globoquadrina venezuelana,Globigerinatella insueta,Praeorbulina sicana,Globigerinita glutinata,Praeorbulina glomerosa,Globigerina bulloides,Globorotalia praemenardii,Fohsella peripheroacuta,Orbulina suturalis,Fohsella praefohsi,Globoturborotalita decoraperta,Globorotalia miozea,Sphaeroidinellopsis kochi,Sphaeroidinellopsis disjuncta,Globigerinoides obliquus,Fohsella fohsi,Orbulina universa,Globigerinoides bollii,Fohsella lenguaensis,Orbulina bilobata,Globoturborotalita druryi,Globigerinella obesa,Globoturborotalita apertura,Beella praedigitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,159, 959,A, 18,H, 5,  57.00,    167.6700,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,              ,                           ,R                         ,                        ,C                  ,                            ,                         ,                           ,R                             ,                       ,                  ,                      ,C                         ,F                       ,F                       ,R                      ,                       ,F                         ,                    ,                           ,R                    ,                            ,                   ,R                        ,                        ,                   ,                       ,                      ,                     ,                         ,                       ,                  ,R                 ,R                             ,T                  ,R                        ,R                            ,F                       ,R             ,                 ,F                     ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,159, 959,A, 18,H, 6,  56.00,    169.1600,Norris   ,Planktonic Foraminifers                      ,F              ,M                 ,              ,                           ,F                         ,R                       ,F                  ,                            ,                         ,                           ,                              ,                       ,                  ,                      ,F                         ,                        ,F                       ,R                      ,                       ,                          ,                    ,                           ,                     ,                            ,                   ,R                        ,                        ,                   ,                       ,                      ,                     ,T                        ,                       ,                  ,R                 ,                              ,T                  ,                         ,F                            ,                        ,R             ,T                ,F                     ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,159, 959,A, 18,H, 7,  55.00,    170.6500,Norris   ,Planktonic Foraminifers                      ,C              ,G                 ,              ,                           ,                          ,R                       ,F                  ,F                           ,                         ,                           ,R                             ,                       ,                  ,                      ,C                         ,F                       ,F                       ,                       ,                       ,                          ,                    ,                           ,R                    ,                            ,R                  ,R                        ,cf                      ,                   ,R                      ,                      ,R                    ,R                        ,                       ,R                 ,F                 ,                              ,                   ,                         ,R                            ,C                       ,R             ,R                ,F                     ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,159, 959,A, 18,H,CC,  10.00,    170.9300,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,              ,                           ,R                         ,                        ,F                  ,                            ,                         ,                           ,F                             ,                       ,                  ,                      ,C                         ,F                       ,F                       ,F                      ,                       ,R                         ,                    ,R                          ,R                    ,                            ,                   ,R                        ,cf                      ,                   ,F                      ,                      ,R                    ,R                        ,                       ,R                 ,                  ,                              ,R                  ,R                        ,R                            ,C                       ,R             ,R                ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,159, 959,A, 19,H, 1,  56.00,    171.1600,Norris   ,Planktonic Foraminifers                      ,R              ,M                 ,              ,                           ,                          ,                        ,C                  ,R                           ,                         ,                           ,R                             ,                       ,                  ,R                     ,C                         ,                        ,R                       ,                       ,                       ,F                         ,                    ,                           ,                     ,                            ,R                  ,R                        ,                        ,                   ,R                      ,                      ,R                    ,R                        ,                       ,                  ,F                 ,                              ,                   ,                         ,                             ,C                       ,              ,R                ,R                     ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,159, 959,A, 19,H, 2,  56.00,    172.6600,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,              ,                           ,R                         ,                        ,C                  ,                            ,                         ,                           ,R                             ,                       ,                  ,                      ,C                         ,R                       ,                        ,                       ,                       ,R                         ,                    ,                           ,                     ,                            ,R                  ,R                        ,cf                      ,                   ,F                      ,                      ,F                    ,R                        ,                       ,                  ,F                 ,                              ,                   ,R                        ,R                            ,F                       ,T             ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N11               ,              ,159, 959,A, 19,H, 3,  56.00,    174.1600,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,              ,                           ,R                         ,                        ,                   ,                            ,                         ,                           ,                              ,                       ,                  ,                      ,F                         ,                        ,                        ,                       ,                       ,                          ,                    ,                           ,                     ,                            ,                   ,R                        ,                        ,                   ,                       ,                      ,                     ,                         ,R                      ,                  ,F                 ,R                             ,T                  ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N11               ,              ,159, 959,A, 20,X, 1,  57.00,    180.6700,Norris   ,Planktonic Foraminifers                      ,A              ,M                 ,              ,                           ,R                         ,R                       ,R                  ,                            ,                         ,                           ,R                             ,                       ,                  ,                      ,C                         ,R                       ,                        ,                       ,F                      ,                          ,                    ,                           ,                     ,                            ,                   ,R                        ,                        ,                   ,                       ,                      ,R                    ,R                        ,F                      ,R                 ,R                 ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N10               ,              ,159, 959,A, 20,X, 2,  57.00,    182.1700,Norris   ,Planktonic Foraminifers                      ,C              ,P                 ,              ,                           ,                          ,                        ,R                  ,                            ,                         ,                           ,                              ,F                      ,                  ,                      ,C                         ,                        ,                        ,                       ,F                      ,                          ,                    ,                           ,                     ,                            ,                   ,R                        ,                        ,                   ,                       ,                      ,R                    ,R                        ,R                      ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N10               ,              ,159, 959,A, 20,X, 3,  57.00,    183.6700,Norris   ,Planktonic Foraminifers                      ,C              ,P                 ,              ,                           ,                          ,                        ,R                  ,                            ,                         ,                           ,F                             ,F                      ,                  ,                      ,F                         ,                        ,                        ,                       ,F                      ,                          ,                    ,                           ,                     ,                            ,                   ,R                        ,                        ,                   ,                       ,                      ,R                    ,R                        ,R                      ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,159, 959,A, 20,X, 4,  56.00,    185.1600,Norris   ,Planktonic Foraminifers                      ,C              ,P                 ,              ,                           ,                          ,                        ,R                  ,                            ,                         ,                           ,C                             ,R                      ,                  ,                      ,C                         ,                        ,R                       ,                       ,F                      ,                          ,                    ,R                          ,                     ,                            ,R                  ,R                        ,cf                      ,                   ,                       ,                      ,                     ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,159, 959,A, 20,X, 5,  57.00,    186.6700,Norris   ,Planktonic Foraminifers                      ,A              ,M                 ,              ,                           ,R                         ,                        ,R                  ,                            ,                         ,                           ,                              ,R                      ,                  ,                      ,C                         ,                        ,R                       ,                       ,                       ,                          ,                    ,F                          ,                     ,                            ,R                  ,R                        ,                        ,R                  ,                       ,                      ,R                    ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,159, 959,A, 20,X, 6,  57.00,    188.1700,Norris   ,Planktonic Foraminifers                      ,A              ,P                 ,              ,                           ,R                         ,                        ,R                  ,                            ,                         ,                           ,F                             ,R                      ,                  ,R                     ,F                         ,R                       ,                        ,                       ,R                      ,                          ,                    ,R                          ,                     ,                            ,                   ,R                        ,                        ,R                  ,                       ,                      ,                     ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,159, 959,A, 21,X, 1,  55.00,    189.6500,Norris   ,Planktonic Foraminifers                      ,F              ,M                 ,              ,                           ,R                         ,                        ,F                  ,R                           ,                         ,                           ,                              ,C                      ,                  ,R                     ,C                         ,R                       ,                        ,                       ,F                      ,R                         ,                    ,R                          ,R                    ,                            ,R                  ,                         ,                        ,R                  ,R                      ,R                     ,F                    ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,159, 959,A, 21,X, 2,  57.00,    191.1700,Norris   ,Planktonic Foraminifers                      ,C              ,M                 ,              ,                           ,                          ,R                       ,                   ,R                           ,                         ,                           ,F                             ,R                      ,R                 ,R                     ,C                         ,                        ,                        ,R                      ,F                      ,R                         ,                    ,R                          ,                     ,                            ,                   ,R                        ,cf                      ,F                  ,R                      ,R                     ,                     ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,159, 959,A, 21,X, 3,  57.00,    192.6700,Norris   ,Planktonic Foraminifers                      ,F              ,M                 ,              ,                           ,R                         ,                        ,                   ,                            ,                         ,                           ,F                             ,F                      ,                  ,                      ,C                         ,                        ,                        ,                       ,R                      ,R                         ,                    ,                           ,                     ,                            ,                   ,                         ,                        ,R                  ,R                      ,                      ,                     ,R                        ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,159, 959,A, 21,X, 4,  56.00,    194.1600,Norris   ,Planktonic Foraminifers                      ,F              ,M                 ,              ,                           ,R                         ,                        ,F                  ,                            ,                         ,                           ,F                             ,F                      ,                  ,                      ,C                         ,                        ,                        ,R                      ,R                      ,                          ,                    ,R                          ,R                    ,                            ,                   ,R                        ,                        ,R                  ,                       ,                      ,R                    ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,159, 959,A, 21,X, 5,  54.00,    195.6400,Norris   ,Planktonic Foraminifers                      ,F              ,M                 ,R             ,                           ,R                         ,R                       ,                   ,R                           ,                         ,                           ,F                             ,F                      ,R                 ,                      ,C                         ,R                       ,                        ,R                      ,                       ,R                         ,                    ,R                          ,                     ,                            ,                   ,                         ,                        ,R                  ,R                      ,                      ,                     ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,159, 959,A, 21,X, 6,  57.00,    197.1700,Norris   ,Planktonic Foraminifers                      ,F              ,M                 ,              ,                           ,                          ,R                       ,R                  ,                            ,R                        ,                           ,F                             ,F                      ,R                 ,                      ,C                         ,                        ,                        ,                       ,R                      ,                          ,                    ,R                          ,                     ,R                           ,                   ,R                        ,                        ,F                  ,                       ,R                     ,                     ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,159, 959,A, 22,X, 1,  54.00,    199.1400,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,R             ,                           ,R                         ,R                       ,                   ,F                           ,R                        ,                           ,F                             ,C                      ,F                 ,R                     ,C                         ,R                       ,R                       ,                       ,                       ,                          ,                    ,R                          ,                     ,R                           ,                   ,                         ,cf                      ,F                  ,R                      ,                      ,                     ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,159, 959,A, 22,X, 2,  50.00,    200.6000,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,R             ,                           ,R                         ,R                       ,                   ,F                           ,R                        ,F                          ,F                             ,F                      ,                  ,R                     ,C                         ,F                       ,                        ,                       ,R                      ,                          ,                    ,                           ,R                    ,                            ,                   ,                         ,T                       ,R                  ,R                      ,                      ,                     ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,159, 959,A, 22,X, 3,  56.00,    202.1600,Norris   ,Planktonic Foraminifers                      ,C              ,G                 ,R             ,                           ,R                         ,R                       ,                   ,                            ,F                        ,R                          ,                              ,F                      ,R                 ,R                     ,C                         ,                        ,                        ,                       ,R                      ,                          ,                    ,                           ,                     ,                            ,                   ,                         ,R                       ,                   ,R                      ,                      ,                     ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,159, 959,A, 22,X, 4,  57.00,    203.6700,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,              ,                           ,R                         ,R                       ,                   ,F                           ,F                        ,F                          ,C                             ,F                      ,R                 ,R                     ,C                         ,R                       ,                        ,R                      ,R                      ,                          ,                    ,                           ,                     ,                            ,                   ,                         ,                        ,R                  ,                       ,                      ,                     ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N7                ,              ,159, 959,A, 22,X, 5,  57.00,    205.1700,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,              ,                           ,F                         ,                        ,                   ,F                           ,R                        ,F                          ,F                             ,F                      ,R                 ,R                     ,C                         ,R                       ,                        ,                       ,R                      ,                          ,                    ,                           ,                     ,R                           ,                   ,R                        ,T                       ,                   ,                       ,                      ,                     ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N7                ,              ,159, 959,A, 22,X, 6,  43.00,    206.5300,Norris   ,Planktonic Foraminifers                      ,C              ,G                 ,              ,                           ,R                         ,                        ,                   ,                            ,R                        ,F                          ,F                             ,C                      ,R                 ,R                     ,C                         ,                        ,T                       ,                       ,R                      ,                          ,                    ,T                          ,F                    ,R                           ,T                  ,                         ,                        ,                   ,                       ,                      ,                     ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N7                ,              ,159, 959,A, 22,X, 7,  55.00,    207.6500,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,              ,                           ,                          ,                        ,R                  ,                            ,                         ,R                          ,                              ,R                      ,                  ,                      ,F                         ,                        ,                        ,                       ,R                      ,                          ,T                   ,                           ,                     ,                            ,                   ,                         ,                        ,                   ,                       ,                      ,                     ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N7                ,              ,159, 959,A, 23,X, 1,  54.00,    208.1400,Norris   ,Planktonic Foraminifers                      ,C              ,M                 ,R             ,                           ,R                         ,R                       ,R                  ,F                           ,                         ,F                          ,F                             ,F                      ,R                 ,R                     ,F                         ,F                       ,R                       ,R                      ,R                      ,R                         ,                    ,                           ,                     ,                            ,                   ,                         ,                        ,                   ,                       ,                      ,                     ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N7                ,              ,159, 959,A, 23,X, 2,  58.00,    209.6800,Norris   ,Planktonic Foraminifers                      ,C              ,P                 ,              ,                           ,                          ,R                       ,F                  ,                            ,F                        ,F                          ,                              ,F                      ,                  ,                      ,R                         ,                        ,                        ,                       ,                       ,                          ,                    ,                           ,                     ,                            ,                   ,                         ,                        ,                   ,                       ,                      ,                     ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N7                ,              ,159, 959,A, 23,X, 3,  60.00,    211.2000,Norris   ,Planktonic Foraminifers                      ,C              ,G                 ,R             ,R                          ,R                         ,R                       ,F                  ,F                           ,R                        ,F                          ,F                             ,F                      ,R                 ,R                     ,                          ,                        ,                        ,                       ,                       ,                          ,                    ,                           ,                     ,                            ,                   ,                         ,                        ,                   ,                       ,                      ,                     ,                         ,                       ,                  ,                  ,                              ,                   ,                         ,                             ,                        ,              ,                 ,                      ,                    ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
