Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina angiporoides	Paragloborotalia pseudocontinuosa	Globorotaloides testarugosa	Globorotaloides suteri	Globigerina praebulloides	Catapsydrax unicavus	Zeaglobigerina labiacrassata	Paragloborotalia opima nana	Globoquadrina venezuelana	Globigerina euapertura	Tenuitella munda	Globigerinita parkerae	Globigerinita juvenilis	Globigerina officinalis	Globigerina ciperoensis	Neogloboquadrina continuosa	Globoquadrina tripartita	Globoquadrina dehiscens	Zeaglobigerina druryi	Globoconella miozea	Globigerinoides trilobus	Globigerinoides sicanus	Globoconella praescitula	Fohsella peripheroronda	Fohsella birnageae	Zeaglobigerina woodi	Praeorbulina glomerosa	Globoconella conoidea	Globigerina bulloides	Orbulina suturalis	Globigerina falconensis	Orbulina universa	Globigerinoides ruber	Globigerinella obesa	Tenuitellinata juvenilis	Jenkinsella mayeri	Globorotalia praemenardii	Globigerinella siphonifera	Dentoglobigerina altispira	Neogloboquadrina pachyderma (dextral)	Globorotalia puncticulata	Globorotalia crassaformis	Globigerina quinqueloba	Globorotalia truncatulinoides	Globorotalia inflata	Comment
  IR	                 	Middle Miocene   	                  	Mt5           	182	1132	C	 21	R	CC	  23.00	    423.1300	Li       	Planktonic Foraminifers                      	R              	P                 	                      	                                 	                           	                      	                         	                    	                            	                           	                         	                      	                	                      	                       	                       	                       	                           	                        	F                      	                     	R                  	                        	P                      	P                       	P                      	P                 	                    	                      	                     	                     	                  	                       	                 	                     	                    	                        	                  	                         	                          	                          	                                     	                         	                         	                       	                             	                    	strongly recrystallized

  IR	                 	Middle Miocene   	                  	Mt5           	182	1132	C	 22	R	CC	  10.00	    432.3000	Li       	Planktonic Foraminifers                      	F              	P                 	                      	                                 	                           	P                     	                         	                    	                            	                           	                         	                      	                	                      	                       	                       	                       	                           	                        	F                      	P                    	P                  	P                       	F                      	                        	                       	                  	                    	                      	                     	                     	                  	                       	                 	                     	                    	                        	                  	                         	                          	                          	                                     	                         	                         	                       	                             	                    	       

  IR	                 	Miocene          	                  	              	182	1132	C	 23	R	CC	  18.00	    441.6800	Li       	Planktonic Foraminifers                      	T              	P                 	                      	                                 	                           	                      	                         	                    	                            	                           	                         	                      	                	                      	                       	                       	                       	                           	                        	P                      	                     	                   	                        	                       	                        	                       	                  	                    	                      	                     	                     	                  	                       	                 	                     	                    	                        	                  	                         	                          	                          	                                     	                         	                         	                       	                             	                    	       

  IR	                 	Oligocene        	                  	              	182	1132	C	 24	R	CC	  14.00	    450.9400	Li       	Planktonic Foraminifers                      	T              	P                 	                      	                                 	                           	                      	                         	P                   	                            	                           	                         	P                     	                	                      	P                      	P                      	P                      	P                          	P                       	                       	                     	                   	                        	                       	                        	                       	                  	                    	                      	                     	                     	                  	                       	                 	                     	                    	                        	                  	                         	                          	                          	                                     	                         	                         	                       	                             	                    	orange calcareous grains

  IR	                 	Late Oligocene   	                  	              	182	1132	C	 25	R	CC	   9.00	    459.7900	Li       	Planktonic Foraminifers                      	R              	P                 	                      	                                 	P                          	                      	                         	P                   	                            	P                          	                         	                      	P               	P                     	P                      	P                      	P                      	                           	                        	                       	                     	                   	                        	                       	                        	                       	                  	                    	                      	                     	                     	                  	                       	                 	                     	                    	                        	                  	                         	                          	                          	                                     	                         	                         	                       	                             	                    	       

  IR	                 	Late Oligocene   	                  	              	182	1132	C	 26	R	CC	  19.00	    468.7900	Li       	Planktonic Foraminifers                      	R              	P                 	                      	                                 	F                          	F                     	                         	P                   	                            	P                          	                         	P                     	                	                      	                       	                       	                       	                           	                        	                       	                     	                   	                        	                       	                        	                       	                  	                    	                      	                     	                     	                  	                       	                 	                     	                    	                        	                  	                         	                          	                          	                                     	                         	                         	                       	                             	                    	       

  IR	                 	Oligocene        	                  	              	182	1132	C	 27	R	CC	  17.00	    478.1700	Li       	Planktonic Foraminifers                      	T              	P                 	                      	                                 	                           	P                     	                         	                    	P                           	P                          	P                        	P                     	                	                      	                       	                       	                       	                           	                        	                       	                     	                   	                        	                       	                        	                       	                  	                    	                      	                     	                     	                  	                       	                 	                     	                    	                        	                  	                         	                          	                          	                                     	                         	                         	                       	                             	                    	       

  IR	                 	Oligocene        	                  	              	182	1132	C	 28	R	CC	  20.00	    487.9000	Li       	Planktonic Foraminifers                      	T              	P                 	P                     	                                 	                           	P                     	                         	P                   	                            	                           	                         	                      	                	                      	                       	                       	                       	                           	                        	                       	                     	                   	                        	                       	                        	                       	                  	                    	                      	                     	                     	                  	                       	                 	                     	                    	                        	                  	                         	                          	                          	                                     	                         	                         	                       	                             	                    	       

  IR	                 	Oligocene        	                  	              	182	1132	C	 29	R	CC	  24.00	    497.6400	Li       	Planktonic Foraminifers                      	F              	P                 	F                     	P                                	P                          	P                     	P                        	P                   	                            	                           	                         	                      	                	                      	                       	                       	                       	                           	                        	                       	                     	                   	                        	                       	                        	                       	                  	                    	                      	                     	                     	                  	                       	                 	                     	                    	                        	                  	                         	                          	                          	                                     	                         	                         	                       	                             	                    	       

