Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vulvulina sp.,Uvigerina mantaensis,Unilocular species,Siphonodosaria paucistriata,Pullenia bulloides,Planulina renzi,Oridorsalis umbonatus,Nodosaria longiscata,Melonis pompilioides,Melonis affinis,Martinottiella cyclostomata,Hansenisca zealandica,Hansenisca soldanii,Guttulina irregularis,Cibicidoides kullenbergi,Bulimina striata,Anomalinoides pompiloides,Amphimorphina stainforthi,Alabamina polita,Uvigerina gallowayi,Sphaeroidina bulloides,Plectofrondicularia morreyae,Parrelloides bradyi,Osangularia culter,Nuttallides sp. cf. P. decorata,Hoeglundina elegans,Hansenisca altiformis,Gyroidina turgida,Cibicidoides trinitatensis,Bulimina alazanensis,Brizalina sp. cf. B. gladius,Plectofrondicularia sp.,Nodogenerina spp.,Nodogenerina spinea,Laticarinina pauperata,Uvigerina rustica,Uvigerina auberiana,Spirolocammina tenuis,Sigmoilopsis schlumbergeri,Pleurostomella alternans,Hofkeruva smithi,Bulimina alligata,Bolivina sp. ex. gr. B. vaughani,Astrononion schwageri,Pseudoparrella sp.,Nodosaria sp. cf. D.consobrina Orbigny,Globocassidulina subglobosa horizontalis,Uvigerina sp. cf. U.postica,Lagenoglandulina sp.,Spirosigmoilinella compressa,Pseudoparrella  exigua,Ehrenbergina sp.,Buliminella curta,Quinqueloculina venusta,Pyrgo murrhyna,Fontbotia wuellerstorfi,Bulimina translucens,Bulimina pupoides auct.,Bolivina decussata,Uvigerina senticosa,Uvigerina bradyana,Pseudoparrella sandiegoensis,Plectofrondicularia californica,Plectofrondicularia advena,Nodosaria catesbyi,Globocassidulina subglobosa,Globocassidulina depressa,Globobulimina pacifica,Epistominella smithi,Eilohedra levicula,Cassidulina cushmani,Bulimina subacuminata,Bulimina exilis tenuata,Brizalina spissa,Bolivinita minuta,Bolivina costata,Angulogerina carinata,Angulogerina angulosa,Alexanderina viejoensis,Gyroidina lamarckiana,Uvigerina peregrina,Nonionella auris,Globobulimina affinis,Cassidulinoides bradyi,Bolivinellina pacifica,Amphimorphina sp.,Pyrgo serrata,Cassidelina complanata,Bulimina pyrula spinescens,Valvulineria rugosa minuta,Triloculina sp.,Martinottiella communis,Gyroidina neosoldanii,Bulimina barbata,Valvulineria glabra,Eggerella bradyi,Cassidulinoides sp.,Pseudoparrella subperuviana,Nonionella miocenica,Gyroidina sp.,Chilostomella oolina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 683,A, 13,X,CC,   9.00,    107.6500,Resig    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,4                 ,                           ,1                 ,               ,                     ,                    ,                    ,               ,                           ,                     ,                   ,                     ,                        ,                ,                         ,                         ,                ,                   ,                      ,                            ,                   ,                  ,                               ,                   ,                     ,                 ,                          ,                    ,                            ,                       ,1                ,                   ,                      ,                 ,                   ,                     ,                          ,                        ,                ,                 ,                                ,                     ,                  ,                                      ,                                        ,                           ,                    ,                            ,                      ,                ,                 ,                       ,T             ,                       ,                    ,                       ,                  ,37                 ,                  ,                            ,                               ,T                         ,                  ,                           ,4                        ,                      ,                    ,14                ,                    ,1                    ,8                      ,                ,                 ,21              ,                     ,                     ,                       ,                     ,1                  ,1               ,1                    ,2                     ,3                     ,1                ,             ,                      ,                          ,                          ,               ,                       ,                     ,                ,                   ,                ,                   ,                           ,                    ,             ,                    ,count=196 from ODP Leg 112 SR Chapter 16 Table 7 p 284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 683,A, 17,X,CC,  15.00,    145.8200,Resig    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,5                 ,                           ,3                 ,               ,                     ,                    ,                    ,               ,                           ,                     ,                   ,                     ,                        ,                ,                         ,                         ,                ,                   ,                      ,                            ,1                  ,                  ,                               ,                   ,                     ,                 ,                          ,                    ,                            ,                       ,                 ,                   ,                      ,                 ,                   ,                     ,                          ,                        ,                ,                 ,                                ,                     ,                  ,                                      ,                                        ,                           ,                    ,                            ,                      ,                ,                 ,                       ,              ,                       ,                    ,                       ,                  ,83                 ,                  ,                            ,                               ,                          ,                  ,                           ,1                        ,                      ,                    ,1                 ,                    ,                     ,4                      ,                ,                 ,1               ,                     ,                     ,                       ,1                    ,                   ,                ,                     ,                      ,                      ,                 ,             ,                      ,                          ,                          ,               ,                       ,                     ,                ,                   ,                ,                   ,                           ,                    ,             ,                    ,count=81 from ODP Leg 112 SR Chapter 16 Table 7 p 284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 683,A, 19,X,CC,  25.00,    164.7000,Resig    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,1                 ,                           ,T                 ,               ,                     ,                    ,                    ,1              ,                           ,                     ,                   ,                     ,                        ,                ,                         ,                         ,                ,                   ,T                     ,                            ,                   ,                  ,                               ,T                  ,1                    ,                 ,                          ,                    ,                            ,                       ,5                ,                   ,                      ,                 ,7                  ,                     ,                          ,                        ,                ,                 ,                                ,                     ,                  ,                                      ,                                        ,                           ,                    ,                            ,                      ,                ,1                ,                       ,              ,                       ,                    ,                       ,                  ,2                  ,T                 ,2                           ,T                              ,1                         ,T                 ,T                          ,3                        ,T                     ,4                   ,11                ,12                  ,2                    ,T                      ,1               ,6                ,36              ,T                    ,1                    ,1                      ,                     ,                   ,                ,                     ,                      ,                      ,                 ,             ,                      ,                          ,                          ,               ,                       ,                     ,                ,                   ,                ,                   ,                           ,                    ,             ,                    ,count=265 from ODP Leg 112 SR Chapter 16 Table 7 p 284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,112, 683,A, 28,X,CC,  19.00,    252.2600,Resig    ,Benthic Foraminifers                         ,               ,                  ,             ,2                   ,4                 ,3                          ,1                 ,               ,T                    ,                    ,                    ,1              ,1                          ,1                    ,2                  ,                     ,                        ,                ,                         ,1                        ,                ,                   ,1                     ,                            ,1                  ,1                 ,                               ,                   ,                     ,3                ,                          ,57                  ,                            ,                       ,                 ,                   ,                      ,                 ,                   ,                     ,T                         ,T                       ,T               ,1                ,8                               ,1                    ,                  ,4                                     ,1                                       ,3                          ,                    ,                            ,                      ,T               ,                 ,                       ,              ,                       ,                    ,T                      ,4                 ,                   ,                  ,                            ,                               ,                          ,                  ,                           ,                         ,                      ,                    ,                  ,                    ,                     ,                       ,                ,                 ,                ,                     ,                     ,                       ,                     ,                   ,                ,                     ,                      ,                      ,                 ,             ,                      ,                          ,                          ,               ,                       ,                     ,                ,                   ,                ,                   ,                           ,                    ,             ,                    ,count=138 from ODP Leg 112 SR Chapter 16 Table 7 p 285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,112, 683,A, 29,X,CC,  14.00,    260.1400,Resig    ,Benthic Foraminifers                         ,               ,                  ,             ,3                   ,4                 ,1                          ,1                 ,               ,T                    ,                    ,                    ,3              ,1                          ,1                    ,T                  ,                     ,                        ,                ,                         ,T                        ,                ,T                  ,T                     ,                            ,T                  ,1                 ,                               ,1                  ,                     ,10               ,                          ,                    ,                            ,                       ,                 ,                   ,                      ,                 ,3                  ,                     ,                          ,1                       ,                ,T                ,53                              ,                     ,                  ,5                                     ,T                                       ,2                          ,                    ,                            ,8                     ,2               ,                 ,T                      ,T             ,T                      ,T                   ,                       ,                  ,                   ,                  ,                            ,                               ,                          ,                  ,                           ,                         ,                      ,                    ,                  ,                    ,                     ,                       ,                ,                 ,                ,                     ,                     ,                       ,                     ,                   ,                ,                     ,                      ,                      ,                 ,             ,                      ,                          ,                          ,               ,                       ,                     ,                ,                   ,                ,                   ,                           ,                    ,             ,                    ,count=270 from ODP Leg 112 SR Chapter 16 Table 7 p 285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,112, 683,A, 30,X,CC,  23.00,    270.7200,Resig    ,Benthic Foraminifers                         ,               ,                  ,             ,4                   ,T                 ,2                          ,                  ,               ,1                    ,1                   ,                    ,1              ,4                          ,1                    ,1                  ,                     ,                        ,                ,                         ,1                        ,                ,                   ,1                     ,                            ,1                  ,1                 ,                               ,2                  ,                     ,2                ,                          ,1                   ,7                           ,                       ,                 ,                   ,                      ,1                ,3                  ,                     ,                          ,1                       ,                ,1                ,57                              ,                     ,                  ,3                                     ,2                                       ,                           ,                    ,T                           ,T                     ,1               ,T                ,                       ,              ,                       ,                    ,                       ,                  ,                   ,                  ,                            ,                               ,                          ,                  ,                           ,                         ,                      ,                    ,                  ,                    ,                     ,                       ,                ,                 ,                ,                     ,                     ,                       ,                     ,                   ,                ,                     ,                      ,                      ,                 ,             ,                      ,                          ,                          ,               ,                       ,                     ,                ,                   ,                ,                   ,                           ,                    ,             ,                    ,count=212 from ODP Leg 112 SR Chapter 16 Table 7 p 285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,112, 683,A, 31,X,CC,  15.00,    279.5300,Resig    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,1                 ,6                          ,5                 ,               ,15                   ,                    ,1                   ,5              ,                           ,6                    ,                   ,                     ,1                       ,                ,                         ,9                        ,17              ,1                  ,                      ,1                           ,4                  ,1                 ,                               ,1                  ,                     ,11               ,                          ,                    ,                            ,                       ,                 ,                   ,                      ,2                ,1                  ,                     ,                          ,                        ,                ,1                ,                                ,                     ,                  ,5                                     ,1                                       ,2                          ,3                   ,                            ,                      ,                ,                 ,                       ,              ,                       ,                    ,                       ,                  ,                   ,                  ,                            ,                               ,                          ,                  ,                           ,                         ,                      ,                    ,                  ,                    ,                     ,                       ,                ,                 ,                ,                     ,                     ,                       ,                     ,                   ,                ,                     ,                      ,                      ,                 ,             ,                      ,                          ,                          ,               ,                       ,                     ,                ,                   ,                ,                   ,                           ,                    ,             ,                    ,count=139 from ODP Leg 112 SR Chapter 16 Table 7 p 285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,112, 683,A, 32,X,CC,  15.00,    288.3400,Resig    ,Benthic Foraminifers                         ,               ,                  ,             ,1                   ,3                 ,6                          ,5                 ,               ,20                   ,12                  ,                    ,3              ,3                          ,2                    ,1                  ,                     ,9                       ,                ,                         ,9                        ,                ,1                  ,                      ,1                           ,                   ,                  ,                               ,                   ,                     ,9                ,                          ,                    ,                            ,                       ,3                ,                   ,                      ,                 ,1                  ,                     ,                          ,                        ,                ,2                ,                                ,                     ,3                 ,3                                     ,3                                       ,                           ,                    ,                            ,                      ,                ,                 ,                       ,              ,                       ,                    ,                       ,                  ,                   ,                  ,                            ,                               ,                          ,                  ,                           ,                         ,                      ,                    ,                  ,                    ,                     ,                       ,                ,                 ,                ,                     ,                     ,                       ,                     ,                   ,                ,                     ,                      ,                      ,                 ,             ,                      ,                          ,                          ,               ,                       ,                     ,                ,                   ,                ,                   ,                           ,                    ,             ,                    ,count=152 from ODP Leg 112 SR Chapter 16 Table 7 p 285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,112, 683,A, 33,X,CC,  19.00,    305.5500,Resig    ,Benthic Foraminifers                         ,               ,                  ,             ,13                  ,3                 ,8                          ,7                 ,3              ,4                    ,4                   ,                    ,4              ,8                          ,2                    ,                   ,                     ,                        ,                ,4                        ,2                        ,                ,1                  ,2                     ,                            ,2                  ,2                 ,                               ,                   ,                     ,1                ,                          ,9                   ,                            ,                       ,                 ,                   ,                      ,6                ,2                  ,2                    ,1                         ,2                       ,1               ,5                ,1                               ,1                    ,                  ,                                      ,                                        ,                           ,                    ,                            ,                      ,                ,                 ,                       ,              ,                       ,                    ,                       ,                  ,                   ,                  ,                            ,                               ,                          ,                  ,                           ,                         ,                      ,                    ,                  ,                    ,                     ,                       ,                ,                 ,                ,                     ,                     ,                       ,                     ,                   ,                ,                     ,                      ,                      ,                 ,             ,                      ,                          ,                          ,               ,                       ,                     ,                ,                   ,                ,                   ,                           ,                    ,             ,                    ,count=119 from ODP Leg 112 SR Chapter 16 Table 7 p 285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,112, 683,A, 39,X,CC,  22.00,    360.7300,Resig    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,3                 ,2                          ,9                 ,13             ,7                    ,2                   ,9                   ,1              ,2                          ,12                   ,7                  ,                     ,                        ,                ,                         ,17                       ,                ,                   ,                      ,2                           ,                   ,                  ,                               ,                   ,2                    ,                 ,                          ,3                   ,1                           ,2                      ,1                ,1                  ,4                     ,                 ,                   ,                     ,                          ,                        ,                ,                 ,                                ,                     ,                  ,                                      ,                                        ,                           ,                    ,                            ,                      ,                ,                 ,                       ,              ,                       ,                    ,                       ,                  ,                   ,                  ,                            ,                               ,                          ,                  ,                           ,                         ,                      ,                    ,                  ,                    ,                     ,                       ,                ,                 ,                ,                     ,                     ,                       ,                     ,                   ,                ,                     ,                      ,                      ,                 ,             ,                      ,                          ,                          ,               ,                       ,                     ,                ,                   ,                ,                   ,                           ,                    ,             ,                    ,count=181 from ODP Leg 112 SR Chapter 16 Table 7 p 285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,112, 683,A, 40,X,CC,  27.00,    373.4100,Resig    ,Benthic Foraminifers                         ,               ,                  ,T            ,                    ,2                 ,1                          ,12                ,5              ,5                    ,1                   ,5                   ,               ,T                          ,2                    ,12                 ,T                    ,4                       ,T               ,T                        ,2                        ,25              ,T                  ,1                     ,1                           ,3                  ,T                 ,3                              ,T                  ,1                    ,T                ,1                         ,11                  ,1                           ,                       ,                 ,                   ,                      ,                 ,                   ,                     ,                          ,                        ,                ,                 ,                                ,                     ,                  ,                                      ,                                        ,                           ,                    ,                            ,                      ,                ,                 ,                       ,              ,                       ,                    ,                       ,                  ,                   ,                  ,                            ,                               ,                          ,                  ,                           ,                         ,                      ,                    ,                  ,                    ,                     ,                       ,                ,                 ,                ,                     ,                     ,                       ,                     ,                   ,                ,                     ,                      ,                      ,                 ,             ,                      ,                          ,                          ,               ,                       ,                     ,                ,                   ,                ,                   ,                           ,                    ,             ,                    ,count=355 from ODP Leg 112 SR Chapter 16 Table 7 p 285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,112, 683,A, 41,X,CC,  13.00,    382.1200,Resig    ,Benthic Foraminifers                         ,               ,                  ,1            ,1                   ,3                 ,1                          ,17                ,7              ,2                    ,16                  ,3                   ,4              ,1                          ,2                    ,19                 ,1                    ,9                       ,1               ,T                        ,6                        ,6               ,                   ,                      ,                            ,                   ,                  ,                               ,                   ,                     ,                 ,                          ,                    ,                            ,                       ,                 ,                   ,                      ,                 ,                   ,                     ,                          ,                        ,                ,                 ,                                ,                     ,                  ,                                      ,                                        ,                           ,                    ,                            ,                      ,                ,                 ,                       ,              ,                       ,                    ,                       ,                  ,                   ,                  ,                            ,                               ,                          ,                  ,                           ,                         ,                      ,                    ,                  ,                    ,                     ,                       ,                ,                 ,                ,                     ,                     ,                       ,                     ,                   ,                ,                     ,                      ,                      ,                 ,             ,                      ,                          ,                          ,               ,                       ,                     ,                ,                   ,                ,                   ,                           ,                    ,             ,                    ,count=140 from ODP Leg 112 SR Chapter 16 Table 7 p 285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
