Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia peripheroronda,Globorotalia obesa,Globorotalia siakensis,Globorotalia minutissima,Globigerinoides immaturus,Globigerinita uvula,Cassigerinella chipolensis,Globorotaloides hexagona,Neogloboquadrina continuosa,Globorotalia praescitula,Globorotalia challengeri,Globigerinoides sacculifer,Globigerinoides quadrilobatus,Globigerina foliata,Globorotalia scitula scitula,Globorotalia birnageae,Globoquadrina dehiscens dehiscens,Globoquadrina baroemoenensis,Globoquadrina altispira globosa,Globigerinoides parawoodi,Globigerinita glutinata,Globigerina woodi,Globigerina praebulloides,Globigerina falconensis,Globigerina eamesi,Globoquadrina venezuelana,Orbulina universa,Neogloboquadrina incompta,Neogloboquadrina humerosa,Neogloboquadrina dutertrei,Globorotalia bermudezi,Globigerinella aequilateralis,Globigerina bulloides,Neogloboquadrina pachyderma,Globorotalia inflata,Globigerina quinqueloba,Globorotalia pumilio,Hastigerinopsis riedeli,Neogloboquadrina acostaensis,Globorotalia tumida,Beella praedigitata,Globorotalia hirsuta,Globigerina bulbosa,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Neogloboquadrina blowi,Globorotalia cultrata menardii,Globoquadrina conglomerata,Globigerinita iota,Globigerina calida calida,Orbulina suturalis,Globorotalia truncatulinoides,Globigerinoides trilobus,Globigerina umbilicata,Globigerinoides ruber,Globorotalia praepumilio,Beella digitata,Globigerina decoraperta,Turborotalita humilis,Globigerina megastoma,Globorotalia cultrata cultrata,Globigerinoides cyclostomus,Globigerina rubescens,Neogloboquadrina eggeri,Globorotalia theyeri,Globorotalia crassula,Globorotalia crassaformis crassaformis,Globigerina calida praecalida,Globigerinita parkerae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  3,H, 4,  63.00,     16.8300,Ibaraki  ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                  ,                      ,                        ,T                        ,                   ,                          ,R                       ,                           ,                        ,                        ,                          ,                             ,                   ,T                           ,                      ,                                 ,                            ,                               ,                         ,R                      ,                 ,                         ,C                      ,                  ,                         ,                 ,A                        ,                         ,F                         ,                      ,                             ,C                    ,A                          ,                    ,F                      ,                    ,                       ,                            ,T                  ,T                  ,                    ,                   ,                         ,T                           ,F                     ,                              ,                          ,F                 ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,F                      ,                     ,                     ,R                             ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  3,H,CC,  15.00,     19.3400,Ibaraki  ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,T                 ,                      ,                        ,                         ,                   ,                          ,T                       ,                           ,                        ,                        ,                          ,                             ,                   ,R                           ,                      ,                                 ,                            ,                               ,                         ,C                      ,                 ,                         ,A                      ,                  ,                         ,R                ,A                        ,                         ,C                         ,                      ,                             ,A                    ,A                          ,                    ,F                      ,                    ,F                      ,                            ,                   ,T                  ,                    ,                   ,                         ,                            ,C                     ,T                             ,                          ,F                 ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  4,H, 4,  64.00,     26.3400,Ibaraki  ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                  ,                      ,                        ,                         ,                   ,                          ,                        ,                           ,                        ,                        ,                          ,                             ,                   ,T                           ,                      ,                                 ,                            ,                               ,                         ,                       ,                 ,                         ,C                      ,                  ,                         ,                 ,A                        ,T                        ,A                         ,                      ,                             ,C                    ,A                          ,                    ,                       ,                    ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,T                     ,F                             ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,F              ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  4,H,CC,  24.00,     31.0800,Ibaraki  ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,R                 ,                      ,                        ,                         ,                   ,                          ,F                       ,                           ,                        ,                        ,                          ,                             ,                   ,F                           ,                      ,                                 ,                            ,                               ,                         ,F                      ,                 ,                         ,A                      ,                  ,                         ,F                ,C                        ,R                        ,A                         ,                      ,                             ,A                    ,C                          ,                    ,C                      ,                    ,R                      ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,T                             ,T                         ,C                 ,                         ,T                 ,                             ,                        ,                      ,T                    ,                        ,               ,                       ,T                    ,C                    ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  5,H, 3,  60.00,     34.3000,Ibaraki  ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,F                 ,                      ,                        ,                         ,                   ,                          ,T                       ,                           ,                        ,                        ,                          ,                             ,                   ,T                           ,                      ,                                 ,                            ,                               ,                         ,T                      ,                 ,                         ,T                      ,                  ,                         ,                 ,                         ,                         ,A                         ,                      ,                             ,A                    ,A                          ,                    ,                       ,                    ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,C                     ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,T                      ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  5,H,CC,  25.00,     35.5700,Ibaraki  ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,T                 ,                      ,                        ,                         ,T                  ,                          ,R                       ,                           ,                        ,                        ,                          ,                             ,                   ,R                           ,                      ,                                 ,                            ,                               ,                         ,F                      ,                 ,                         ,C                      ,                  ,                         ,                 ,C                        ,                         ,A                         ,                      ,                             ,C                    ,A                          ,                    ,F                      ,                    ,F                      ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,T                 ,                             ,                        ,                      ,                     ,                        ,R              ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  6,H, 3,  58.00,     43.7800,Ibaraki  ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,F                 ,                      ,                        ,                         ,                   ,                          ,F                       ,                           ,                        ,                        ,                          ,                             ,                   ,R                           ,                      ,                                 ,                            ,                               ,                         ,C                      ,                 ,                         ,A                      ,                  ,                         ,F                ,A                        ,                         ,F                         ,                      ,                             ,A                    ,A                          ,                    ,C                      ,                    ,R                      ,F                           ,                   ,T                  ,                    ,                   ,                         ,T                           ,                      ,                              ,T                         ,                  ,T                        ,R                 ,                             ,                        ,                      ,                     ,T                       ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  6,H,CC,  37.00,     50.7200,Ibaraki  ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,R                 ,                      ,                        ,                         ,                   ,                          ,F                       ,                           ,                        ,                        ,                          ,                             ,                   ,F                           ,                      ,                                 ,                            ,                               ,                         ,F                      ,                 ,                         ,C                      ,                  ,                         ,C                ,A                        ,R                        ,C                         ,                      ,T                            ,C                    ,A                          ,                    ,F                      ,                    ,F                      ,                            ,R                  ,T                  ,                    ,                   ,                         ,T                           ,                      ,                              ,T                         ,R                 ,T                        ,C                 ,                             ,                        ,                      ,T                    ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  7,H, 4,  64.00,     54.8400,Ibaraki  ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,R                 ,                      ,                        ,                         ,                   ,                          ,F                       ,                           ,                        ,                        ,F                         ,                             ,                   ,R                           ,                      ,                                 ,                            ,                               ,                         ,C                      ,                 ,                         ,A                      ,                  ,                         ,F                ,C                        ,                         ,A                         ,                      ,R                            ,A                    ,                           ,                    ,R                      ,                    ,                       ,                            ,R                  ,T                  ,T                   ,                   ,                         ,                            ,C                     ,                              ,T                         ,                  ,R                        ,R                 ,R                            ,T                       ,R                     ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  7,H,CC,  14.00,     59.3500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                  ,                      ,                        ,R                        ,                   ,                          ,F                       ,                           ,                        ,                        ,T                         ,                             ,                   ,F                           ,                      ,                                 ,                            ,                               ,                         ,A                      ,                 ,                         ,C                      ,                  ,                         ,F                ,                         ,C                        ,A                         ,                      ,T                            ,                     ,F                          ,                    ,C                      ,                    ,                       ,                            ,F                  ,                   ,                    ,                   ,T                        ,T                           ,C                     ,T                             ,T                         ,F                 ,C                        ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  8,H, 4,  63.00,     64.3300,Ibaraki  ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                  ,                      ,                        ,                         ,                   ,                          ,C                       ,                           ,                        ,                        ,                          ,                             ,                   ,T                           ,                      ,                                 ,                            ,                               ,                         ,A                      ,                 ,                         ,T                      ,                  ,                         ,                 ,                         ,                         ,A                         ,                      ,                             ,F                    ,A                          ,                    ,F                      ,                    ,                       ,                            ,                   ,                   ,T                   ,F                  ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  8,H,CC,  29.00,     69.4100,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                  ,                      ,                        ,                         ,                   ,                          ,                        ,                           ,                        ,                        ,                          ,                             ,                   ,                            ,                      ,                                 ,                            ,                               ,                         ,                       ,                 ,                         ,T                      ,                  ,                         ,                 ,C                        ,                         ,C                         ,                      ,                             ,T                    ,A                          ,                    ,                       ,                    ,                       ,F                           ,T                  ,T                  ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  9,H,CC,  13.00,     77.1400,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                  ,                      ,                        ,                         ,                   ,                          ,                        ,                           ,                        ,                        ,                          ,                             ,                   ,                            ,                      ,                                 ,                            ,                               ,                         ,A                      ,                 ,                         ,T                      ,                  ,                         ,                 ,A                        ,                         ,                          ,                      ,                             ,T                    ,A                          ,                    ,                       ,                    ,T                      ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A, 10,X, 1,  78.00,     78.9800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                  ,                      ,                        ,                         ,                   ,                          ,T                       ,                           ,                        ,                        ,                          ,                             ,                   ,                            ,                      ,                                 ,                            ,                               ,                         ,T                      ,                 ,                         ,C                      ,                  ,                         ,                 ,T                        ,                         ,A                         ,                      ,T                            ,A                    ,A                          ,                    ,C                      ,C                   ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A, 11,X, 1, 113.00,     88.8300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,P                 ,                           ,                  ,                      ,                        ,                         ,                   ,                          ,                        ,                           ,                        ,                        ,                          ,                             ,                   ,                            ,                      ,                                 ,                            ,                               ,                         ,                       ,                 ,                         ,                       ,                  ,                         ,                 ,                         ,                         ,                          ,                      ,                             ,T                    ,T                          ,                    ,                       ,                    ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A, 13,X, 1,  42.00,    107.1200,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,R                 ,                      ,                        ,                         ,                   ,                          ,T                       ,                           ,                        ,                        ,                          ,                             ,                   ,                            ,                      ,                                 ,                            ,                               ,                         ,T                      ,                 ,                         ,T                      ,                  ,                         ,                 ,                         ,                         ,                          ,                      ,R                            ,A                    ,A                          ,                    ,T                      ,                    ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A, 13,X,CC,   9.00,    107.6500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                  ,                      ,                        ,                         ,                   ,                          ,                        ,                           ,                        ,                        ,                          ,                             ,                   ,                            ,                      ,                                 ,                            ,                               ,                         ,                       ,                 ,                         ,                       ,                  ,                         ,                 ,                         ,                         ,                          ,                      ,                             ,T                    ,R                          ,                    ,T                      ,                    ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A, 14,X,CC,  11.00,    117.3900,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                  ,                      ,T                       ,                         ,                   ,                          ,C                       ,                           ,                        ,                        ,                          ,                             ,                   ,T                           ,                      ,                                 ,                            ,                               ,                         ,T                      ,                 ,                         ,F                      ,                  ,                         ,                 ,C                        ,F                        ,                          ,T                     ,C                            ,A                    ,A                          ,T                   ,C                      ,                    ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A, 19,X,CC,  25.00,    164.7000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,F                 ,                      ,                        ,                         ,                   ,                          ,F                       ,                           ,                        ,                        ,                          ,                             ,                   ,                            ,                      ,                                 ,                            ,                               ,                         ,                       ,                 ,                         ,C                      ,                  ,                         ,T                ,F                        ,F                        ,C                         ,T                     ,T                            ,A                    ,                           ,                    ,                       ,                    ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A, 28,X, 2, 120.00,    251.9000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                  ,                      ,                        ,                         ,                   ,                          ,                        ,                           ,                        ,                        ,T                         ,                             ,                   ,                            ,                      ,T                                ,                            ,                               ,T                        ,                       ,                 ,                         ,                       ,                  ,T                        ,                 ,                         ,                         ,                          ,                      ,                             ,                     ,                           ,                    ,                       ,                    ,                       ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,                         ,                  ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
