Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis disjuncta	Globorotalia mayeri	Globoquadrina venezuelana	Praeorbulina sicana	Globorotaloides suteri	Globorotalia peripheroronda	Globoquadrina dehiscens	Globoquadrina baroemoenensis	Globigerinoides ruber s.l.	Globigerinoides quadrilobatus s.l.	Globigerinatella insueta	Dentoglobigerina altispira altispira	Globigerinoides diminutus	Globorotalia praescitula	Globigerinoides obliquus s.l.	Praeorbulina glomerosa curva	Globorotaloides variabilis	Globorotalia archeomenardii	Globorotaloides hexagona	Praeorbulina glomerosa glomerosa	Clavatorella bermudezi	Praeorbulina glomerosa circularis	Orbulina suturalis	Globorotalia peripheroacuta	Sphaeroidinellopsis kochi	Globorotalia praefohsi	Dentoglobigerina altispira globosa	Globorotalia scitula	Globorotalia praemenardii	Globorotalia fohsi fohsi	Orbulina universa	Globorotalia tumida	Globorotalia fohsi lobata	Sphaeroidinellopsis seminulina	Globorotalia fohsi robusta	Globigerinella siphonifera	Globorotalia menardii	Globorotalia plesiotumida	Globorotalia limbata	Comment
  SR	Late Miocene     	                 	N17               	              	138	 845	A	 12	H	CC	  25.00	    112.3300	Vincent  	Planktonic Foraminifers                      	R              	P                 	                             	                   	                         	                   	                      	                           	                       	                            	                          	+                                 	                        	                                    	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	                         	                      	                                  	                    	                         	                        	+                	                   	                         	T                             	                          	                          	                     	+                        	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	                 	                 	                  	              	138	 845	A	 17	H	 1	  80.00	    150.9000	Vincent  	Planktonic Foraminifers                      	R              	P                 	                             	+                  	+                        	                   	                      	                           	                       	                            	                          	T                                 	                        	                                    	                         	                        	                             	                            	+                         	                           	T                       	                                	                      	                                 	                  	                           	T                        	                      	                                  	                    	                         	                        	                 	                   	                         	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N13               	              	138	 845	A	 17	H	 4	  44.00	    155.0400	Vincent  	Planktonic Foraminifers                      	R              	P                 	                             	T                  	+                        	                   	                      	                           	                       	                            	                          	T                                 	                        	T                                   	                         	                        	                             	                            	+                         	                           	                        	                                	                      	                                 	                  	                           	T                        	                      	                                  	                    	+                        	                        	                 	                   	                         	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N13               	              	138	 845	A	 17	H	 5	  64.00	    156.7400	Vincent  	Planktonic Foraminifers                      	R              	P                 	                             	T                  	+                        	                   	                      	                           	T                      	                            	T                         	+                                 	                        	T                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	+                 	                           	                         	                      	                                  	                    	                         	                        	T                	                   	                         	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N13               	              	138	 845	A	 17	H	 6	  24.00	    157.8400	Vincent  	Planktonic Foraminifers                      	F              	M                 	                             	+                  	+                        	                   	                      	                           	T                      	+                           	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	+                         	                           	                        	                                	                      	                                 	                  	                           	                         	                      	+                                 	+                   	                         	                        	+                	                   	                         	+                             	                          	                          	+                    	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N13               	              	138	 845	A	 17	H	 6	 123.00	    158.8300	Vincent  	Planktonic Foraminifers                      	F              	P                 	                             	+                  	+                        	                   	                      	                           	+                      	T                           	T                         	+                                 	                        	+                                   	                         	                        	T                            	                            	+                         	                           	                        	                                	                      	                                 	                  	                           	T                        	                      	T                                 	T                   	                         	                        	+                	                   	                         	+                             	                          	                          	T                    	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N13               	              	138	 845	A	 17	H	 7	   3.00	    159.1300	Vincent  	Planktonic Foraminifers                      	F              	P                 	                             	+                  	+                        	                   	                      	                           	                       	T                           	T                         	+                                 	                        	T                                   	                         	                        	                             	                            	+                         	                           	T                       	                                	                      	                                 	                  	                           	T                        	                      	T                                 	+                   	T                        	                        	T                	                   	                         	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N13               	              	138	 845	A	 17	H	 7	  23.00	    159.3300	Vincent  	Planktonic Foraminifers                      	C              	M                 	                             	+                  	+                        	                   	                      	                           	+                      	+                           	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	+                         	                           	                        	                                	                      	                                 	+                 	                           	+                        	                      	T                                 	+                   	                         	                        	+                	                   	                         	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N13               	              	138	 845	A	 17	H	 7	  48.00	    159.5800	Vincent  	Planktonic Foraminifers                      	R              	P                 	                             	                   	+                        	                   	                      	                           	T                      	T                           	T                         	+                                 	                        	T                                   	                         	                        	                             	                            	T                         	                           	                        	                                	                      	                                 	                  	                           	+                        	                      	                                  	T                   	T                        	                        	+                	                   	                         	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 18	H	 1	   3.00	    159.6300	Vincent  	Planktonic Foraminifers                      	R              	P                 	                             	T                  	+                        	                   	                      	                           	T                      	+                           	                          	+                                 	                        	+                                   	                         	                        	                             	                            	T                         	                           	                        	                                	                      	                                 	                  	                           	                         	                      	T                                 	                    	T                        	                        	                 	                   	T                        	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 18	H	 1	  23.00	    159.8300	Vincent  	Planktonic Foraminifers                      	F              	P                 	                             	T                  	+                        	                   	                      	                           	+                      	+                           	                          	+                                 	                        	+                                   	                         	                        	                             	                            	T                         	                           	                        	                                	                      	                                 	                  	                           	T                        	                      	T                                 	T                   	+                        	                        	+                	                   	                         	+                             	T                         	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 18	H	 1	  43.00	    160.0300	Vincent  	Planktonic Foraminifers                      	F              	P                 	                             	                   	+                        	                   	                      	                           	+                      	+                           	T                         	T                                 	                        	+                                   	                         	                        	                             	                            	T                         	                           	T                       	                                	                      	                                 	                  	                           	                         	                      	                                  	                    	                         	                        	+                	                   	                         	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 18	H	 1	  66.00	    160.2600	Vincent  	Planktonic Foraminifers                      	C              	P                 	                             	                   	+                        	                   	                      	                           	                       	+                           	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	+                         	                           	                        	                                	                      	                                 	T                 	                           	T                        	                      	                                  	                    	T                        	                        	+                	                   	T                        	+                             	                          	T                         	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 18	H	 1	 142.00	    161.0200	Vincent  	Planktonic Foraminifers                      	F              	P                 	                             	+                  	+                        	                   	                      	                           	+                      	+                           	                          	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	                         	                      	                                  	T                   	T                        	                        	+                	                   	T                        	+                             	T                         	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 18	H	 2	  80.00	    161.9000	Vincent  	Planktonic Foraminifers                      	F              	P                 	                             	+                  	+                        	                   	                      	                           	+                      	+                           	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	+                        	                      	                                  	+                   	+                        	+                       	+                	                   	+                        	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 18	H	 3	  43.00	    163.0300	Vincent  	Planktonic Foraminifers                      	C              	P                 	                             	+                  	+                        	                   	                      	                           	+                      	+                           	T                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	T                 	                           	T                        	                      	                                  	+                   	+                        	+                       	+                	                   	                         	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 18	H	 4	   3.00	    164.1300	Vincent  	Planktonic Foraminifers                      	               	                  	                             	+                  	+                        	                   	+                     	                           	+                      	+                           	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	T                        	                      	                                  	                    	+                        	+                       	+                	                   	+                        	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 18	H	 4	  80.00	    164.9000	Vincent  	Planktonic Foraminifers                      	C              	M                 	                             	+                  	+                        	                   	                      	                           	+                      	+                           	+                         	+                                 	                        	+                                   	                         	                        	T                            	                            	                          	                           	                        	                                	T                     	                                 	+                 	                           	T                        	                      	                                  	                    	+                        	+                       	+                	                   	+                        	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 18	H	 5	   3.00	    165.6300	Vincent  	Planktonic Foraminifers                      	F              	P                 	                             	+                  	+                        	                   	+                     	                           	+                      	+                           	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	                         	                      	                                  	                    	+                        	T                       	+                	                   	+                        	T                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 18	H	 6	   3.00	    167.1300	Vincent  	Planktonic Foraminifers                      	F              	P                 	                             	+                  	+                        	                   	T                     	                           	+                      	T                           	+                         	+                                 	                        	T                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	T                        	                      	                                  	                    	+                        	+                       	+                	                   	+                        	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 18	H	 6	 141.00	    168.5100	Vincent  	Planktonic Foraminifers                      	F              	P                 	                             	                   	+                        	                   	                      	                           	+                      	T                           	T                         	+                                 	                        	T                                   	                         	                        	                             	                            	                          	                           	T                       	                                	                      	                                 	T                 	                           	                         	                      	                                  	T                   	                         	T                       	+                	                   	+                        	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 18	H	 7	  43.00	    169.0300	Vincent  	Planktonic Foraminifers                      	C              	P                 	                             	+                  	+                        	                   	                      	                           	+                      	+                           	T                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	+                       	                                	                      	                                 	                  	                           	                         	                      	                                  	                    	T                        	+                       	+                	                   	+                        	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 18	H	CC	  24.00	    169.6600	Vincent  	Planktonic Foraminifers                      	R              	P                 	                             	+                  	+                        	                   	                      	                           	+                      	+                           	                          	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	                         	                      	                                  	                    	                         	T                       	                 	                   	T                        	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 19	H	 1	   3.00	    169.1300	Vincent  	Planktonic Foraminifers                      	C              	M                 	                             	+                  	+                        	                   	                      	                           	+                      	                            	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	                         	                      	+                                 	                    	T                        	+                       	                 	                   	+                        	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 19	H	 1	 143.00	    170.5300	Vincent  	Planktonic Foraminifers                      	C              	                  	                             	+                  	+                        	                   	                      	                           	+                      	T                           	+                         	+                                 	                        	T                                   	                         	                        	                             	                            	                          	                           	T                       	                                	                      	                                 	                  	                           	                         	                      	                                  	T                   	                         	T                       	                 	                   	+                        	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 19	H	 2	   3.00	    170.6300	Vincent  	Planktonic Foraminifers                      	C              	M                 	                             	+                  	+                        	                   	                      	                           	+                      	T                           	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	+                        	                      	                                  	                    	T                        	T                       	+                	                   	+                        	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 19	H	 2	  23.00	    170.8300	Vincent  	Planktonic Foraminifers                      	A              	M                 	                             	+                  	+                        	                   	                      	                           	+                      	+                           	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	+                        	                      	+                                 	                    	T                        	T                       	+                	                   	+                        	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 19	H	 3	   3.00	    172.1300	Vincent  	Planktonic Foraminifers                      	A              	M                 	                             	+                  	+                        	                   	                      	                           	+                      	+                           	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	T                 	                           	                         	                      	                                  	+                   	+                        	+                       	+                	T                  	+                        	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 19	H	 3	 123.00	    173.3300	Vincent  	Planktonic Foraminifers                      	A              	M                 	                             	+                  	+                        	                   	                      	                           	+                      	                            	                          	+                                 	                        	T                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	+                        	                      	T                                 	                    	+                        	+                       	+                	                   	+                        	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 19	H	 4	 103.00	    174.6300	Vincent  	Planktonic Foraminifers                      	A              	M                 	                             	+                  	+                        	                   	                      	                           	T                      	T                           	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	                         	                      	T                                 	T                   	+                        	+                       	+                	                   	+                        	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 19	H	 5	  80.00	    175.9000	Vincent  	Planktonic Foraminifers                      	C              	M                 	                             	+                  	+                        	                   	                      	                           	+                      	+                           	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	+                        	                      	                                  	                    	+                        	T                       	+                	                   	T                        	+                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 19	H	 6	 103.00	    177.6300	Vincent  	Planktonic Foraminifers                      	C              	P                 	                             	+                  	+                        	                   	                      	                           	+                      	+                           	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	                         	                      	                                  	                    	T                        	+                       	+                	                   	+                        	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 19	H	 7	  21.00	    178.3100	Vincent  	Planktonic Foraminifers                      	C              	P/M               	T                            	                   	+                        	                   	                      	                           	                       	T                           	+                         	+                                 	                        	+                                   	                         	                        	T                            	                            	                          	                           	                        	                                	                      	                                 	T                 	                           	+                        	                      	T                                 	                    	                         	+                       	T                	                   	+                        	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 19	H	CC	  27.00	    179.1300	Vincent  	Planktonic Foraminifers                      	C              	P/M               	+                            	+                  	+                        	                   	                      	                           	T                      	+                           	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	T                 	                           	+                        	                      	T                                 	                    	T                        	+                       	+                	                   	+                        	T                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 20	H	 1	  61.00	    179.2100	Vincent  	Planktonic Foraminifers                      	C              	M                 	T                            	+                  	+                        	                   	                      	                           	+                      	+                           	+                         	+                                 	                        	T                                   	                         	                        	                             	                            	                          	                           	T                       	                                	T                     	                                 	+                 	                           	                         	                      	                                  	                    	T                        	+                       	T                	                   	+                        	T                             	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 20	H	 2	  41.00	    180.5100	Vincent  	Planktonic Foraminifers                      	C              	M                 	T                            	+                  	+                        	                   	                      	                           	T                      	                            	T                         	+                                 	                        	T                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	+                 	                           	T                        	                      	                                  	                    	T                        	+                       	                 	                   	+                        	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 20	H	 3	  41.00	    182.0100	Vincent  	Planktonic Foraminifers                      	A              	P/M               	                             	+                  	+                        	                   	                      	                           	+                      	T                           	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	+                 	                           	T                        	                      	+                                 	                    	+                        	+                       	                 	                   	+                        	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 20	H	 4	  80.00	    183.9000	Vincent  	Planktonic Foraminifers                      	A              	M                 	                             	+                  	+                        	                   	                      	                           	                       	+                           	                          	                                  	                        	+                                   	                         	                        	                             	                            	                          	                           	T                       	                                	                      	                                 	+                 	                           	T                        	                      	                                  	                    	T                        	+                       	T                	                   	+                        	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 20	H	 6	   3.00	    186.1300	Vincent  	Planktonic Foraminifers                      	F              	P                 	                             	+                  	+                        	                   	                      	                           	                       	+                           	T                         	+                                 	                        	+                                   	                         	                        	T                            	                            	                          	                           	                        	                                	                      	                                 	                  	                           	T                        	                      	+                                 	                    	                         	T                       	                 	                   	+                        	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 20	H	 7	  75.00	    188.3500	Vincent  	Planktonic Foraminifers                      	A              	M                 	                             	+                  	+                        	                   	                      	                           	                       	T                           	+                         	+                                 	                        	+                                   	                         	                        	T                            	                            	                          	                           	                        	                                	                      	                                 	+                 	                           	+                        	T                     	+                                 	                    	+                        	+                       	                 	T                  	+                        	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 20	H	CC	  24.00	    188.7000	Vincent  	Planktonic Foraminifers                      	R              	P                 	T                            	                   	T                        	                   	                      	                           	                       	                            	                          	                                  	                        	                                    	                         	                        	T                            	                            	                          	                           	                        	                                	                      	                                 	                  	                           	                         	                      	                                  	                    	                         	T                       	T                	T                  	                         	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 21	H	 1	 143.00	    189.5300	Vincent  	Planktonic Foraminifers                      	               	                  	+                            	+                  	+                        	                   	                      	                           	+                      	+                           	+                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	+                 	                           	T                        	T                     	+                                 	                    	+                        	+                       	                 	T                  	+                        	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 21	H	 4	   3.00	    192.6300	Vincent  	Planktonic Foraminifers                      	A              	M                 	T                            	+                  	+                        	                   	                      	                           	T                      	+                           	                          	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	+                 	                           	+                        	+                     	T                                 	                    	T                        	+                       	T                	                   	                         	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 21	H	 6	 143.00	    197.0300	Vincent  	Planktonic Foraminifers                      	C              	M                 	T                            	+                  	+                        	                   	                      	                           	T                      	+                           	                          	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	+                 	                           	T                        	                      	T                                 	                    	                         	+                       	                 	                   	                         	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 21	H	CC	  23.00	    198.1000	Vincent  	Planktonic Foraminifers                      	F              	P/M               	+                            	+                  	+                        	                   	                      	                           	T                      	+                           	T                         	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	                         	+                     	+                                 	                    	                         	T                       	                 	                   	                         	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 22	H	 1	 143.00	    199.0300	Vincent  	Planktonic Foraminifers                      	A              	M                 	T                            	+                  	+                        	                   	                      	                           	T                      	+                           	                          	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	+                 	                           	+                        	T                     	+                                 	+                   	+                        	+                       	T                	                   	                         	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 22	H	 2	 143.00	    200.5300	Vincent  	Planktonic Foraminifers                      	C              	P/M               	                             	                   	+                        	                   	                      	                           	T                      	+                           	                          	+                                 	                        	+                                   	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	                         	+                     	+                                 	                    	                         	T                       	+                	                   	                         	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 22	H	 4	  22.00	    202.3200	Vincent  	Planktonic Foraminifers                      	A              	M                 	+                            	+                  	+                        	                   	                      	                           	T                      	+                           	+                         	+                                 	                        	+                                   	                         	                        	T                            	                            	+                         	                           	                        	                                	                      	                                 	+                 	                           	+                        	+                     	T                                 	+                   	                         	T                       	T                	                   	                         	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Middle Miocene   	                 	N12               	              	138	 845	A	 22	H	 5	 143.00	    205.0300	Vincent  	Planktonic Foraminifers                      	A              	M                 	+                            	+                  	+                        	                   	                      	                           	T                      	+                           	                          	+                                 	                        	+                                   	                         	                        	T                            	                            	                          	                           	                        	                                	                      	                                 	+                 	                           	+                        	+                     	+                                 	                    	+                        	+                       	                 	                   	                         	                              	                          	                          	                     	                         	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

