Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Styliola subula,Limacina trochiformis,Limacina lesueuri,Limacina inflata,Limacina bulimoides,Diacria trispinosa,Diacria quadridentata,Cavolinia inflexa,Cavolinia globulosa,Clio pyramidata,Clio convexa,Clio cuspidata,Cavolinia longirostris,Hyalocylis striata,Creseis acicula,Cavolinia gibbosa,Comment
  SR,                 ,                 ,                  ,              ,134, 831,A,  2,H, 4,  73.00,      9.6300,Glacon   ,Pteropods                                    ,               ,                  ,82             ,                     ,8                ,154             ,9                  ,                  ,3                    ,3                ,                   ,3              ,            ,              ,                      ,                  ,               ,                 ,from ODP Leg 134 SR Chapter 15 Table 4 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 831,A,  2,H, 5,  73.00,     11.1300,Glacon   ,Pteropods                                    ,               ,                  ,130            ,                     ,9                ,197             ,                   ,                  ,2                    ,3                ,                   ,1              ,            ,              ,                      ,                  ,               ,                 ,from ODP Leg 134 SR Chapter 15 Table 4 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 831,A,  2,H, 6,  73.00,     12.6300,Glacon   ,Pteropods                                    ,               ,                  ,126            ,                     ,5                ,161             ,6                  ,                  ,1                    ,5                ,                   ,1              ,            ,1             ,1                     ,                  ,               ,                 ,from ODP Leg 134 SR Chapter 15 Table 4 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 831,A,  3,H, 1,  75.00,      7.1500,Glacon   ,Pteropods                                    ,               ,                  ,108            ,                     ,6                ,158             ,6                  ,                  ,3                    ,6                ,                   ,               ,            ,              ,                      ,1                 ,               ,1                ,from ODP Leg 134 SR Chapter 15 Table 4 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 831,A,  3,H, 2,  75.00,      8.6500,Glacon   ,Pteropods                                    ,               ,                  ,117            ,                     ,3                ,91              ,                   ,                  ,4                    ,3                ,                   ,               ,            ,              ,                      ,                  ,               ,                 ,from ODP Leg 134 SR Chapter 15 Table 4 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 831,A,  3,H, 3,  75.00,     10.1500,Glacon   ,Pteropods                                    ,               ,                  ,55             ,3                    ,6                ,106             ,4                  ,                  ,                     ,                 ,                   ,               ,            ,              ,                      ,1                 ,               ,                 ,from ODP Leg 134 SR Chapter 15 Table 4 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 831,A,  3,H, 4,  75.00,     11.6500,Glacon   ,Pteropods                                    ,               ,                  ,344            ,                     ,10               ,442             ,13                 ,1                 ,5                    ,6                ,                   ,3              ,            ,              ,                      ,1                 ,5              ,1                ,from ODP Leg 134 SR Chapter 15 Table 4 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 831,A,  3,H, 5,  75.00,     13.1500,Glacon   ,Pteropods                                    ,               ,                  ,479            ,2                    ,11               ,35              ,4                  ,1                 ,3                    ,4                ,                   ,1              ,1           ,              ,                      ,                  ,               ,                 ,from ODP Leg 134 SR Chapter 15 Table 4 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 831,A,  3,H, 6,  75.00,     14.6500,Glacon   ,Pteropods                                    ,               ,                  ,93             ,5                    ,15               ,192             ,14                 ,1                 ,3                    ,1                ,1                  ,               ,            ,              ,                      ,                  ,               ,                 ,from ODP Leg 134 SR Chapter 15 Table 4 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
