Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera spp.	Thoracosphaera saxea	Syracosphaera spp.	Scapholithus fossilis	Rhabdosphaera stylifera	Rhabdosphaera clavigera	Pseudoemiliania lacunosa	Oolithotus fragilis	Helicosphaera sellii	Helicosphaera pavimentum	Helicosphaera kamptneri	Helicosphaera hyalina	Gephyrocapsa spp. (small)	Emiliania ovata	Discoaster triradiatus	Discoaster spp. (fragments)	Discoaster brouweri	Coccolithus pataecus	Calcidiscus macintyrei	Calcidiscus leptoporus	Thoracosphaera spp.	Scyphosphaera sp. (fragment)	Pontosphaera spp.	Hayaster perplexus	Discoaster blackstockae	Cyclolithus annulus	Ceratolithus rugosus	Scyphosphaera apsteinii	Pontosphaera japonica	Holodiscolithus spp.	Discoaster tamalis (grainy)	Discoaster spp. (5 rays)	Ceratolithus cristatus	Gephyrocapsa caribbeanica	Gephyrocapsa oceanica	Thoracosphaera heimii	Reticulofenestra spp. (small - medium)	Discoaster variabilis	Discoaster pentaradiatus (grainy)	Discoaster pentaradiatus	Ceratolithus telesmus	Sphenolithus spp.	Scyphosphaera pulcherrima	Scyphosphaera galeana	Coccolithus pelagicus	Discoaster quadramus	Discoaster asymmetricus	Scyphosphaera recurvata	Discoaster brouweri (grainy)	Discoaster asymmetricus (grainy)	Triquetrorhabdulus rugosus (questionable fragments)	Pontosphaera indooceanica	Helicosphaera inversa	Comment

  SR	Pleistocene      	                 	CN14a             	              	135	 837	A	  4	H	 6	 111.00	     35.6100	Styzen   	Nannofossils                                 	               	                  	L                   	S                   	C                 	S                    	L                      	F                      	A                       	S                  	                    	F                       	L                      	F                    	X                        	A              	                      	                           	R                  	S                   	                      	F                     	F                  	R                           	F                	                  	                       	S                  	                    	                       	S                    	F                   	                           	                        	                      	M                        	F                    	                     	                                      	                     	                                 	                        	                     	                 	                         	R                    	                     	                    	                       	                       	                            	                                	                                                   	                         	                     	from ODP Leg 135 Chapter 13 Table 6 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 837	A	  5	H	 4	 123.00	     42.2300	Styzen   	Nannofossils                                 	               	                  	L                   	R                   	M                 	R                    	C                      	F                      	L                       	F                  	                    	R                       	C                      	F                    	W                        	L              	                      	R                          	                   	S                   	R                     	F                     	S                  	                            	F                	                  	                       	S                  	                    	                       	                     	S                   	                           	                        	R                     	F                        	M                    	                     	                                      	                     	                                 	R                       	                     	                 	R                        	R                    	                     	R                   	R                      	                       	                            	                                	                                                   	                         	                     	from ODP Leg 135 Chapter 13 Table 6 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 837	A	  5	H	CC	  13.00	     46.2500	Styzen   	Nannofossils                                 	               	                  	M                   	R                   	C                 	F                    	L                      	F                      	L                       	                   	                    	R                       	C                      	F                    	X                        	L              	                      	                           	R                  	S                   	                      	M                     	F                  	F                           	F                	R                 	                       	R                  	                    	                       	S                    	R                   	                           	                        	                      	F                        	M                    	                     	                                      	                     	                                 	R                       	                     	                 	                         	                     	R                    	                    	                       	                       	                            	                                	                                                   	                         	                     	from ODP Leg 135 Chapter 13 Table 6 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 837	A	  6	H	 5	  38.00	     52.3800	Styzen   	Nannofossils                                 	               	                  	C                   	                    	F                 	                     	L                      	F                      	V                       	                   	R                   	                        	C                      	F                    	X                        	V              	                      	                           	                   	S                   	                      	L                     	                   	R                           	                 	                  	                       	S                  	                    	                       	                     	R                   	                           	                        	S                     	L                        	F                    	                     	                                      	                     	R                                	                        	                     	                 	                         	                     	                     	                    	                       	                       	                            	                                	                                                   	                         	                     	from ODP Leg 135 Chapter 13 Table 6 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 837	A	  6	H	 5	 127.00	     53.2700	Styzen   	Nannofossils                                 	               	                  	X                   	F                   	A                 	F                    	V                      	L                      	W                       	                   	                    	F                       	V                      	F                    	X                        	W              	                      	R                          	                   	S                   	                      	L                     	M                  	F                           	C                	                  	                       	F                  	                    	                       	R                    	S                   	                           	R                       	F                     	A                        	M                    	                     	                                      	                     	                                 	                        	                     	R                	R                        	R                    	                     	                    	                       	                       	                            	                                	                                                   	                         	                     	from ODP Leg 135 Chapter 13 Table 6 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 837	A	  7	H	 3	  60.00	     59.1000	Styzen   	Nannofossils                                 	               	                  	A                   	                    	L                 	S                    	A                      	S                      	W                       	S                  	S                   	R                       	A                      	F                    	X                        	W              	                      	                           	                   	A                   	R                     	A                     	M                  	R                           	R                	                  	                       	C                  	                    	                       	                     	                    	                           	                        	F                     	V                        	M                    	R                    	R                                     	R                    	R                                	R                       	S                    	                 	                         	                     	                     	                    	                       	                       	                            	                                	                                                   	                         	                     	from ODP Leg 135 Chapter 13 Table 6 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 837	A	  7	H	 6	  14.00	     63.1400	Styzen   	Nannofossils                                 	               	                  	L                   	R                   	A                 	C                    	A                      	F                      	A                       	R                  	                    	S                       	A                      	F                    	X                        	V              	R                     	                           	R                  	                    	                      	C                     	F                  	S                           	F                	                  	                       	S                  	                    	                       	S                    	F                   	                           	                        	R                     	S                        	S                    	                     	                                      	                     	                                 	                        	                     	                 	                         	                     	                     	                    	                       	                       	                            	                                	                                                   	                         	                     	from ODP Leg 135 Chapter 13 Table 6 p. 200

  SR	Pliocene         	                 	CN13b             	              	135	 837	A	  8	H	 4	 109.00	     70.5900	Styzen   	Nannofossils                                 	               	                  	F                   	R                   	F                 	                     	C                      	S                      	L                       	                   	                    	R                       	M                      	R                    	W                        	C              	                      	R                          	R                  	S                   	R                     	F                     	R                  	                            	                 	                  	                       	R                  	                    	                       	R                    	R                   	                           	                        	                      	R                        	                     	                     	                                      	                     	                                 	                        	                     	                 	                         	                     	                     	                    	                       	                       	                            	                                	                                                   	                         	                     	from ODP Leg 135 Chapter 13 Table 6 p. 200

  SR	Pliocene         	                 	CN13a             	              	135	 837	A	  8	H	 5	 147.00	     72.4700	Styzen   	Nannofossils                                 	               	                  	C                   	                    	A                 	S                    	L                      	M                      	A                       	S                  	S                   	F                       	C                      	F                    	X                        	C              	                      	R                          	                   	R                   	F                     	M                     	S                  	                            	R                	R                 	                       	F                  	R                   	R                      	R                    	M                   	R                          	R                       	R                     	                         	                     	                     	                                      	                     	                                 	                        	                     	                 	                         	                     	                     	                    	                       	                       	                            	                                	                                                   	                         	                     	from ODP Leg 135 Chapter 13 Table 6 p. 200

  SR	Pliocene         	                 	CN12d             	              	135	 837	A	  9	H	 4	  99.00	     79.9900	Styzen   	Nannofossils                                 	               	                  	C                   	R                   	C                 	                     	A                      	C                      	W                       	S                  	F                   	                        	F                      	R                    	X                        	W              	M                     	L                          	L                  	R                   	C                     	V                     	F                  	S                           	R                	R                 	S                      	R                  	S                   	                       	                     	                    	                           	                        	                      	                         	                     	                     	                                      	                     	                                 	                        	                     	                 	                         	                     	                     	                    	                       	                       	                            	                                	                                                   	                         	                     	from ODP Leg 135 Chapter 13 Table 6 p. 200

  SR	Pliocene         	                 	CN12d             	              	135	 837	A	  9	H	CC	  11.00	     82.1100	Styzen   	Nannofossils                                 	               	                  	S                   	R                   	F                 	R                    	S                      	R                      	M                       	R                  	R                   	R                       	M                      	R                    	W                        	M              	R                     	R                          	R                  	R                   	S                     	S                     	                   	                            	                 	                  	                       	                   	                    	                       	                     	                    	                           	                        	                      	                         	                     	                     	                                      	                     	                                 	                        	                     	                 	                         	                     	                     	                    	                       	                       	                            	                                	                                                   	                         	                     	from ODP Leg 135 Chapter 13 Table 6 p. 200

