Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina continuosa (dextral)	Globoquadrina venezuelana	Praeorbulina glomerosa curva	Globorotalia peripheroronda	Globoquadrina dehiscens	Globoquadrina altispira	Globorotalia sp. cf. G. praescitula	Globigerinoides trilobus	Globigerinoides subquadratus	Globigerinoides sicanus	Globigerinoides sacculifer	Globigerinita glutinata	Globigerina druryi	Catapsydrax stainforthi	Catapsydrax dissimilis	Sphaeroidinellopsis multiloba 	Globigerina nepenthes	Sphaeroidinellopsis seminulina	Orbulina universa	Globorotaloides hexagona	Globorotalia limbata	Globigerinoides obliquus obliquus	Globorotalia plesiotumida	Globorotalia menardii	Globigerina bulloides	Globigerina apertura	Globorotalia scitula	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina humerosa	Neogloboquadrina acostaensis (dextral)	Globorotalia margaritae	Globorotalia cibaoensis	Globigerinoides obliquus extremus	Globigerinella obesa	Candeina nitida	Sphaeroidinellopsis kochi	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina continuosa (sinistral)	Neogloboquadrina acostaensis (sinistral)	Globigerinella aequilateralis	Globorotalia exilis	Globigerinoides conglobatus	Pulleniatina praecursor	Globorotalia crassaformis crassaformis	Globigerina falconensis	Neogloboquadrina dutertrei	Globorotalia puncticulata	Globorotalia pertenuis	Globorotalia miocenica	Globorotalia crassula	Sphaeroidinella dehiscens	Globigerinoides ruber (white)	Globorotalia crassaformis viola	Globorotalia crassaformis hessi	Globigerinoides tenellus	Globigerinoides fistulosus	Globigerina quinqueloba	Beella digitata	Pulleniatina obliquiloculata	Globorotalia inflata	Globorotalia truncatulinoides	Globigerinoides ruber (pink)	Globigerinella calida	Comment

  SR	                 	                 	                  	              	108	 659	A	  5	H	 6	  94.00	     44.7400	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	                       	                                   	R                       	                            	                       	R                         	R                      	                  	                       	                      	                              	                     	                              	F                	                        	                    	                                 	                         	R                    	                     	C                   	R                   	C                                    	                         	                                      	                       	                       	                                 	                    	               	                         	                                       	                                       	                                        	                             	                   	R                          	                       	                                      	                       	F                         	                         	                      	                      	                     	R                        	C                            	                               	R                              	R                       	                          	R                      	               	R                           	F                   	                             	                            	                     	zonal assignment is uncertain from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	PL6               	              	108	 659	A	  7	H	CC	  15.00	     64.8800	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	                       	                                   	R                       	                            	                       	R                         	R                      	                  	                       	                      	                              	                     	                              	F                	                        	                    	R                                	                         	                     	                     	C                   	                    	C                                    	                         	F                                     	                       	                       	                                 	R                   	               	                         	                                       	                                       	                                        	R                            	                   	R                          	                       	R                                     	                       	F                         	                         	R                     	                      	                     	R                        	C                            	                               	                               	                        	                          	                       	               	R                           	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	PL5               	              	108	 659	A	  8	H	 1	  36.00	     65.1600	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	                       	                                   	R                       	                            	                       	R                         	R                      	                  	                       	                      	                              	                     	                              	R                	                        	                    	R                                	                         	                     	C                    	R                   	F                   	C                                    	R                        	C                                     	                       	                       	                                 	                    	               	                         	                                       	                                       	                                        	R                            	R                  	                           	                       	R                                     	R                      	                          	                         	                      	F                     	                     	                         	C                            	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	PL5               	              	108	 659	A	  8	H	CC	  12.00	     73.3400	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	                       	                                   	R                       	                            	                       	R                         	F                      	                  	                       	                      	                              	                     	                              	R                	                        	                    	R                                	                         	                     	F                    	F                   	R                   	F                                    	                         	                                      	                       	                       	                                 	                    	               	                         	                                       	                                       	                                        	R                            	                   	R                          	                       	R                                     	R                      	C                         	F                        	R                     	F                     	                     	R                        	F                            	R                              	                               	                        	                          	                       	R              	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	PL5               	              	108	 659	A	  9	H	CC	  10.00	     82.5700	Weaver   	Planktonic Foraminifers                      	A              	M                 	                                     	                         	                            	                           	                       	                       	                                   	R                       	                            	                       	R                         	F                      	                  	                       	                      	                              	                     	                              	R                	                        	                    	R                                	                         	                     	F                    	F                   	R                   	F                                    	R                        	                                      	                       	                       	                                 	                    	               	                         	R                                      	                                       	                                        	R                            	R                  	R                          	                       	R                                     	                       	F                         	F                        	                      	R                     	                     	R                        	R                            	R                              	R                              	R                       	R                         	R                      	R              	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	PL4               	              	108	 659	A	 10	H	 1	 100.00	     84.8000	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	F                      	                                   	F                       	                            	                       	F                         	R                      	                  	R                      	                      	                              	                     	                              	R                	R                       	                    	F                                	                         	F                    	R                    	R                   	R                   	R                                    	C                        	                                      	                       	                       	R                                	                    	               	                         	                                       	                                       	                                        	R                            	R                  	R                          	                       	R                                     	                       	R                         	R                        	                      	R                     	F                    	R                        	C                            	R                              	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	PL4               	              	108	 659	A	 10	H	 3	  70.00	     87.5000	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	R                      	                                   	R                       	                            	                       	R                         	R                      	                  	                       	                      	                              	                     	                              	R                	R                       	R                   	F                                	                         	R                    	F                    	                    	                    	C                                    	                         	F                                     	                       	                       	R                                	R                   	               	                         	                                       	                                       	                                        	R                            	R                  	                           	                       	R                                     	                       	                          	C                        	                      	R                     	                     	R                        	F                            	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	PL3               	              	108	 659	A	 10	H	 5	  70.00	     90.5000	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	R                      	                                   	F                       	                            	                       	R                         	R                      	                  	                       	                      	                              	                     	R                             	R                	R                       	                    	                                 	                         	                     	C                    	R                   	R                   	R                                    	R                        	                                      	                       	                       	F                                	                    	               	                         	                                       	                                       	                                        	R                            	R                  	R                          	                       	R                                     	                       	C                         	C                        	                      	R                     	R                    	                         	F                            	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	PL3               	              	108	 659	A	 10	H	CC	  11.00	     92.3600	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	F                      	                                   	R                       	                            	                       	R                         	R                      	                  	                       	                      	                              	                     	R                             	R                	R                       	F                   	R                                	                         	                     	F                    	F                   	R                   	R                                    	                         	R                                     	                       	                       	                                 	                    	R              	                         	                                       	                                       	                                        	R                            	R                  	R                          	                       	R                                     	                       	C                         	F                        	                      	F                     	R                    	                         	F                            	F                              	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	PL3               	              	108	 659	A	 11	H	CC	   7.00	    101.1300	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	F                      	                                   	R                       	                            	                       	R                         	R                      	                  	                       	                      	                              	                     	R                             	R                	R                       	                    	F                                	                         	                     	C                    	F                   	R                   	R                                    	                         	                                      	                       	                       	                                 	                    	               	                         	                                       	                                       	                                        	R                            	                   	R                          	R                      	R                                     	                       	R                         	R                        	                      	R                     	                     	                         	F                            	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	PL3               	              	108	 659	A	 12	H	CC	  13.00	    104.3500	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	R                      	                                   	F                       	                            	                       	F                         	R                      	                  	                       	                      	                              	                     	R                             	R                	R                       	F                   	R                                	                         	                     	F                    	R                   	R                   	R                                    	R                        	                                      	                       	                       	R                                	                    	               	                         	R                                      	                                       	                                        	R                            	                   	R                          	R                      	R                                     	R                      	C                         	C                        	R                     	R                     	R                    	R                        	R                            	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	PL3               	              	108	 659	A	 13	H	CC	  14.00	    121.7000	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	F                      	                                   	R                       	                            	                       	R                         	R                      	                  	R                      	                      	                              	                     	R                             	R                	R                       	F                   	F                                	                         	                     	F                    	R                   	R                   	R                                    	                         	                                      	                       	                       	F                                	                    	               	                         	                                       	                                       	                                        	R                            	R                  	R                          	R                      	R                                     	R                      	F                         	R                        	R                     	R                     	R                    	                         	                             	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	PL2               	              	108	 659	A	 14	H	 3	  73.00	    125.5300	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	R                      	                                   	F                       	                            	                       	F                         	R                      	                  	                       	                      	                              	                     	R                             	R                	R                       	F                   	                                 	R                        	                     	R                    	F                   	R                   	                                     	C                        	                                      	R                      	                       	F                                	                    	               	R                        	                                       	                                       	                                        	R                            	                   	R                          	C                      	R                                     	R                      	                          	                         	                      	                      	                     	                         	                             	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	PL2               	              	108	 659	A	 14	H	CC	  23.00	    130.0300	Weaver   	Planktonic Foraminifers                      	A              	G                 	C                                    	                         	                            	                           	                       	F                      	                                   	R                       	                            	                       	R                         	R                      	                  	                       	                      	                              	                     	R                             	R                	                        	R                   	F                                	                         	                     	F                    	                    	R                   	C                                    	R                        	R                                     	R                      	                       	F                                	R                   	               	                         	C                                      	                                       	                                        	R                            	                   	R                          	                       	                                      	                       	                          	                         	                      	                      	                     	                         	                             	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	M13               	PL1           	108	 659	A	 15	H	CC	   9.00	    138.5300	Weaver   	Planktonic Foraminifers                      	A              	G                 	C                                    	                         	                            	                           	                       	R                      	                                   	R                       	                            	                       	R                         	R                      	                  	                       	                      	                              	R                    	R                             	                 	R                       	F                   	F                                	                         	                     	C                    	R                   	R                   	C                                    	F                        	                                      	R                      	                       	R                                	                    	               	                         	                                       	C                                      	                                        	R                            	R                  	                           	                       	                                      	                       	                          	                         	                      	                      	                     	                         	                             	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	M13               	PL1           	108	 659	A	 16	H	CC	  14.00	    148.9200	Weaver   	Planktonic Foraminifers                      	A              	M                 	C                                    	                         	                            	                           	                       	R                      	                                   	R                       	                            	                       	R                         	R                      	                  	                       	                      	                              	R                    	R                             	                 	                        	                    	R                                	                         	R                    	F                    	                    	R                   	C                                    	F                        	C                                     	R                      	                       	R                                	R                   	               	R                        	F                                      	F                                      	F                                       	R                            	                   	                           	                       	                                      	                       	                          	                         	                      	                      	                     	                         	                             	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	M13               	PL1           	108	 659	A	 17	H	CC	  15.00	    158.1500	Weaver   	Planktonic Foraminifers                      	A              	G                 	C                                    	                         	                            	                           	                       	F                      	                                   	R                       	                            	                       	R                         	R                      	                  	                       	                      	                              	R                    	R                             	R                	                        	                    	F                                	R                        	                     	                     	                    	                    	C                                    	F                        	C                                     	F                      	R                      	F                                	R                   	R              	                         	                                       	                                       	                                        	                             	                   	                           	                       	                                      	                       	                          	                         	                      	                      	                     	                         	                             	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	M9                	M10           	108	 659	A	 20	H	 3	 103.00	    182.8300	Weaver   	Planktonic Foraminifers                      	               	M                 	F                                    	C                        	                            	                           	                       	R                      	                                   	R                       	                            	                       	R                         	R                      	                  	                       	                      	                              	C                    	C                             	F                	R                       	                    	R                                	                         	                     	                     	                    	R                   	                                     	                         	                                      	                       	                       	                                 	                    	               	                         	                                       	                                       	                                        	                             	                   	                           	                       	                                      	                       	                          	                         	                      	                      	                     	                         	                             	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	M9                	M10           	108	 659	A	 20	H	CC	  22.00	    188.4500	Weaver   	Planktonic Foraminifers                      	               	M                 	                                     	A                        	                            	                           	                       	R                      	                                   	R                       	                            	                       	R                         	R                      	                  	                       	                      	R                             	F                    	C                             	R                	R                       	R                   	F                                	R                        	R                    	R                    	R                   	                    	                                     	                         	                                      	                       	                       	                                 	                    	               	                         	                                       	                                       	                                        	                             	                   	                           	                       	                                      	                       	                          	                         	                      	                      	                     	                         	                             	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	M9                	M10           	108	 659	A	 21	X	CC	  26.00	    192.7700	Weaver   	Planktonic Foraminifers                      	               	M                 	                                     	F                        	                            	                           	F                      	                       	                                   	                        	                            	                       	                          	                       	                  	                       	                      	R                             	A                    	C                             	R                	R                       	R                   	R                                	                         	                     	                     	                    	                    	                                     	                         	                                      	                       	                       	                                 	                    	               	                         	                                       	                                       	                                        	                             	                   	                           	                       	                                      	                       	                          	                         	                      	                      	                     	                         	                             	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	M9                	M10           	108	 659	A	 22	X	CC	  18.00	    204.4900	Weaver   	Planktonic Foraminifers                      	R              	P                 	                                     	                         	                            	                           	                       	                       	                                   	                        	                            	                       	                          	                       	                  	                       	                      	P                             	P                    	                              	                 	                        	                    	                                 	                         	                     	                     	                    	                    	                                     	                         	                                      	                       	                       	                                 	                    	               	                         	                                       	                                       	                                        	                             	                   	                           	                       	                                      	                       	                          	                         	                      	                      	                     	                         	                             	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	P. glomerosa      	              	108	 659	A	 24	X	CC	  15.00	    219.4300	Weaver   	Planktonic Foraminifers                      	A              	M                 	                                     	F                        	                            	A                          	C                      	C                      	R                                  	R                       	R                           	R                      	R                         	R                      	R                 	R                      	R                     	                              	                     	                              	                 	                        	                    	                                 	                         	                     	                     	                    	                    	                                     	                         	                                      	                       	                       	                                 	                    	               	                         	                                       	                                       	                                        	                             	                   	                           	                       	                                      	                       	                          	                         	                      	                      	                     	                         	                             	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	C. stainforthi    	              	108	 659	A	 25	X	CC	  30.00	    234.1000	Weaver   	Planktonic Foraminifers                      	               	P                 	                                     	R                        	R                           	A                          	F                      	F                      	                                   	                        	                            	                       	                          	                       	                  	                       	                      	                              	                     	                              	                 	                        	                    	                                 	                         	                     	                     	                    	                    	                                     	                         	                                      	                       	                       	                                 	                    	               	                         	                                       	                                       	                                        	                             	                   	                           	                       	                                      	                       	                          	                         	                      	                      	                     	                         	                             	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	C. stainforthi    	              	108	 659	A	 27	X	CC	  29.00	    254.9700	Weaver   	Planktonic Foraminifers                      	R              	P                 	P                                    	P                        	                            	                           	                       	                       	                                   	                        	                            	                       	                          	                       	                  	                       	                      	                              	                     	                              	                 	                        	                    	                                 	                         	                     	                     	                    	                    	                                     	                         	                                      	                       	                       	                                 	                    	               	                         	                                       	                                       	                                        	                             	                   	                           	                       	                                      	                       	                          	                         	                      	                      	                     	                         	                             	                               	                               	                        	                          	                       	               	                            	                    	                             	                            	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

