Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Tribrachiatus orthostylus	Toweius pertusus	Sphenolithus radians	Reticulofenestra umbilica	Reticulofenestra samodurovii	Reticulofenestra reticulata	Reticulofenestra hillae	Neococcolithes dubius	Ericsonia formosa	Discoaster lodoensis	Discoaster kuepperi	Coccolithus pelagicus	Chiasmolithus solitus	Chiasmolithus oamaruensis	Chiasmolithus expansus	Toweius magnicrassus	Toweius callosus	Sphenolithus moriformis	Pontosphaera fimbriata	Markalius inversus	Discoaster bifax	Chiasmolithus eograndis	Reticulofenestra dictyoda	Discoaster praebifax	Discoaster diastypus	Discoaster cruciformis	Reticulofenestra bisecta	Isthmolithus recurvus	Chiasmolithus grandis	Discoaster distinctus	Ellipsolithus lajollaensis	Reticulofenestra hampdenensis	Comment
  SR	Early Eocene     	                 	NP13              	              	120	 749	C	  7	R	 3	  70.00	    162.7000	Aubry    	Nannofossils                                 	A              	M-P               	F                      	                         	C               	                    	                         	                            	                           	                       	F                    	F                	F                   	F                  	C                    	C                    	                         	F                     	                    	                	                       	F                     	                  	C               	                       	                         	R                   	                    	                      	                        	                     	R                    	                     	                          	                             	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Early Eocene     	                 	NP13              	              	120	 749	C	  7	R	 3	  85.00	    162.8500	Aubry    	Nannofossils                                 	A              	P                 	C                      	                         	C               	F                   	                         	                            	                           	                       	F                    	F                	                    	F                  	C                    	C                    	                         	R                     	F                   	                	                       	F                     	                  	                	R                      	R                        	R                   	                    	                      	                        	                     	                     	                     	                          	                             	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Early Eocene     	                 	NP13              	              	120	 749	C	  8	R	 1	  69.00	    169.1900	Aubry    	Nannofossils                                 	A              	M                 	C                      	                         	C               	C                   	+                        	+                           	                           	                       	F                    	F                	R                   	F                  	C                    	C                    	                         	C                     	R                   	                	                       	C                     	R                 	F               	F                      	R                        	R                   	                    	                      	+                       	+                    	                     	                     	                          	                             	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Early Eocene     	                 	NP13              	              	120	 749	C	  8	R	 1	  70.00	    169.2000	Aubry    	Nannofossils                                 	A              	P                 	                       	                         	C               	F                   	                         	                            	                           	                       	F                    	F                	R                   	R                  	C                    	C                    	                         	F                     	F                   	                	                       	C                     	                  	C               	F                      	R                        	R                   	R                   	F                     	                        	                     	                     	                     	                          	                             	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Early Eocene     	                 	NP12              	              	120	 749	C	 10	R	 1	  70.00	    188.2000	Aubry    	Nannofossils                                 	A              	P                 	C                      	C                        	C               	F                   	                         	                            	                           	                       	C                    	                 	F                   	C                  	                     	C                    	                         	C                     	R                   	R               	C                      	C                     	R                 	F               	C                      	                         	                    	                    	                      	                        	                     	                     	                     	                          	                             	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Early Eocene     	                 	NP12              	              	120	 749	C	 10	R	CC	  20.00	    188.8700	Aubry    	Nannofossils                                 	A              	M                 	C                      	F                        	C               	C                   	                         	                            	                           	                       	F                    	                 	C                   	C                  	C                    	                     	                         	                      	R                   	R               	C                      	C                     	                  	                	                       	                         	                    	                    	                      	                        	                     	                     	                     	                          	                             	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Early Eocene     	                 	NP12              	              	120	 749	C	 12	R	 1	   2.00	    206.5200	Aubry    	Nannofossils                                 	A              	M                 	C                      	C                        	C               	C                   	+                        	+                           	+                          	+                      	C                    	C                	A                   	C                  	C                    	C                    	+                        	C                     	                    	                	                       	                      	                  	                	                       	                         	                    	                    	                      	                        	                     	                     	                     	                          	                             	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

