Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Prinsius martinii	Placozygus sigmoides	Ericsonia subpertusa	Ericsonia cava	Ellipsolithus bollii	Cruciplacolithus tenuis	Cruciplacolithus primus	Chiasmolithus danicus	Prinsius tenuiculum	Neochiastozygus modestus	Chiasmolithus edentulus	Praeprinsius tenuiculus	Ellipsolithus macellus	Chiastozygus ultimus	Neocrepidolithus neocrassus	Neochiastozygus imbriei	Lanternithus duocavus	Prinsius bisulcus	Neochiastozygus saepes	Chiasmolithus edwardsii	Chiasmolithus bidens	Sphenolithus primus	Bomolithus elegans	Ericsonia robusta	Cruciplacolithus edwardsii	Chiastozygus tenuis	Braarudosphaera bigelowii	Fasciculithus ulii	Fasciculithus tympaniformis	Fasciculithus pileatus	Chiasmolithus consuetus	Fasciculithus stonehengei	Toweius pertusus	Thoracosphaera spp.	Heliolithus cantabriae	Sphenolithus anarrhopus	Heliolithus kleinpellii	Toweius eminens	Discoaster bramlettei	Heliolithus riedelii	Discoaster nobilis	Discoaster mohleri	Markalius inversus	Fasciculithus involutus	Ellipsolithus distichus	Toweius tovae	Discoaster multiradiatus	Heliolithus floris	Fasciculithus aubertae	Campylosphaera eodela	Tribrachiatus bramlettei	Rhomboaster cuspis	Discoaster diastypus	Discoaster salisburgensis	Rhomboaster bramlettei	Lophodolithus nascens	Tribrachiatus contortus	Tribrachiatus digitalis	Tribrachiatus orthostylus	Sphenolithus editus	Sphenolithus radians	Sphenolithus orphanknollensis	Discoaster lodoensis	Chiasmolithus solitus	Discoaster lenticularis	Discoaster kuepperi	Transversopontis pulcher	Toweius magnicrassus	Toweius gammation	Lophodolithus mochlophorus	Ericsonia formosa	Toweius crassus	Zygrhablithus bijugatus	Helicosphaera seminulum	Helicosphaera lophota	Discoaster sublodoensis	Coccolithus pelagicus	Campylosphaera dela	Reticulofenestra dictyoda	Chiasmolithus expansus	Rhabdosphaera inflata	Discoaster barbadiensis	Coccolithus eopelagicus	Pseudotriquetrorhabdulus inversus	Discoaster strictus	Neococcolithes dubius	Nannotetrina fulgens	Chiasmolithus grandis	Discoaster saipanensis	Chiasmolithus gigas	Sphenolithus furcatolithoides	Neococcolithes minutus	Lanternithus minutus	Nannotetrina quadrata	Nannotetrina pappii	Sphenolithus spiniger	Reticulofenestra umbilica	Discoaster bifax	Pemma papillatum	Cribrocentrum reticulatum	Ericsonia obruta	Helicosphaera compacta	Sphenolithus predistentus	Discoaster tanii	Dictyococcites bisectus	Bramletteius serraculoides	Discoaster nodifer	Comment

  IR	                 	Middle Eocene    	                  	CP14a         	171	1051	A	 19	X	CC	  27.00	    177.5300	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	R                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	R                        	                	F               	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1051	A	 20	X	CC	  27.00	    187.1600	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	F                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	F                        	                	F               	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1051	A	 21	X	CC	  32.00	    196.8000	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	R                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	R                        	R               	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1051	A	 22	X	CC	  25.00	    202.6500	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	F                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	R                        	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1051	A	 23	X	CC	  36.00	    215.9800	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	+                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	+                        	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	                 	                  	              	171	1051	A	 24	X	CC	  17.00	    225.4300	Watkins  	Nannofossils                                 	               	                  	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	F                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	F                                	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP13c         	171	1051	A	 25	X	 1	  64.00	    226.0400	Watkins  	Nannofossils                                 	C              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	+                        	+                     	                     	                       	                       	                                 	                   	                     	+                   	+                    	+                     	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP13c         	171	1051	A	 25	X	 2	  67.00	    227.5700	Watkins  	Nannofossils                                 	C              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	+                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	+                        	                      	                     	                       	                       	                                 	                   	                     	+                   	+                    	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP13c         	171	1051	A	 25	X	 6	  70.00	    233.6000	Watkins  	Nannofossils                                 	C              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	+                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	+                    	                      	                   	+                            	                      	                    	                     	                   	+                    	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP13c         	171	1051	A	 25	X	CC	  32.00	    235.2500	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	R                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	+                   	                     	                      	                   	                             	                      	                    	                     	R                  	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP13c         	171	1051	A	 26	X	CC	  46.00	    244.6300	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	F                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	R                    	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP13b         	171	1051	A	 27	X	CC	  36.00	    254.4700	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	+                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	C. gigas reworked

  IR	                 	Middle Eocene    	                  	CP13c         	171	1051	A	 28	X	CC	  27.00	    263.9800	Watkins  	Nannofossils                                 	C              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	+                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	+                      	+                      	                                 	                   	                     	                    	+                    	+                     	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	C. gigas reworked

  IR	                 	Middle Eocene    	                  	CP13c         	171	1051	A	 29	X	CC	  22.00	    273.4200	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	r                   	+                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	C. gigas reworked

  IR	                 	Middle Eocene    	                  	CP13c         	171	1051	A	 30	X	CC	  20.00	    280.4500	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	+                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	                   	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	C. gigas reworked

  IR	                 	Middle Eocene    	                  	CP13b         	171	1051	A	 31	X	CC	  37.00	    292.8000	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	+                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	                     	                      	+                  	                             	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP13b         	171	1051	A	 32	X	CC	  35.00	    300.4100	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	+                                	                   	                     	                    	                     	                      	+                  	+                            	+                     	+                   	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP13b         	171	1051	A	 33	X	CC	  13.00	    307.7400	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	+                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	+                        	+                     	                     	                       	                       	+                                	                   	                     	                    	+                    	                      	+                  	+                            	                      	                    	                     	                   	                     	                         	                	                	                         	                	                      	                         	                	                       	                          	                  	       
