Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Hedbergella delrioensis,Clavihedbergella simplex,Heterohelix moremani,Heterohelix globulosa,Globigerinelloides caseyi,Whiteinella inornata,Whiteinella baltica,Hedbergella planispira,Contusotruncana fornicata,Archaeoglobigerina bosquensis,Archaeoglobigerina blowi,Whiteinella archaeocretacea,Marginotruncana sinuosa,Marginotruncana pseudolinneiana,Dicarinella concavata,Archaeoglobigerina cretacea,Rugoglobigerina rugosa,Globotruncana linneiana,Globotruncana arca,Globotruncana aegyptiaca,Pseudoguembelina costulata,Globotruncana esnehensis,Globotruncana insignis,Rugoglobigerina rotundata,Pseudotextularia elegans,Globotruncanita stuarti,Globotruncana ventricosa,Gansserina gansseri,Abathomphalus mayaroensis,Racemiguembelina fructicosa,Pseudotextularia deformis,Praemurica uncinata,Praemurica inconstans,Parasubbotina pseudobulloides,Heterohelix labellosa,Parasubbotina varianta,Morozovella praeangulata,Subbotina triloculinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  2,R, 2, 109.00,    532.5900,forams   ,Planktonic Foraminifers                      ,A              ,P                 ,                       ,                        ,                    ,                     ,                         ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,P                  ,P                    ,P                            ,                     ,P                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  2,R, 3,   0.00,    533.0000,forams   ,Planktonic Foraminifers                      ,A              ,P                 ,                       ,                        ,                    ,                     ,                         ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,P                  ,P                    ,P                            ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  2,R, 3,  51.00,    533.5100,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                       ,                        ,                    ,                     ,                         ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,P                  ,P                    ,P                            ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  2,R, 3,  78.00,    533.7800,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                       ,                        ,                    ,                     ,                         ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,P                     ,                       ,                  ,                        ,P                         ,P                       ,                      ,P                        ,                        ,                       ,P                       ,P                  ,P                        ,P                          ,P                        ,P                  ,P                    ,P                            ,P                    ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  2,R, 3, 124.00,    534.2400,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                       ,                        ,                    ,P                    ,                         ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,P                     ,                       ,                  ,P                       ,                          ,                        ,                      ,P                        ,                        ,P                      ,                        ,P                  ,P                        ,                           ,                         ,                   ,                     ,                             ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  3,R, 6,  79.00,    547.3900,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                       ,                        ,                    ,P                    ,                         ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,P                     ,                       ,                  ,                        ,                          ,                        ,                      ,P                        ,P                       ,P                      ,P                       ,                   ,                         ,                           ,                         ,                   ,                     ,                             ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  4,R, 1, 140.00,    550.6000,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                       ,                        ,                    ,P                    ,                         ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,P                     ,P                      ,                  ,P                       ,                          ,P                       ,P                     ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,                   ,                     ,                             ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  4,R, 2,  77.00,    551.4700,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                       ,                        ,                    ,                     ,                         ,                    ,                   ,                      ,P                        ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,P                     ,                       ,P                 ,P                       ,P                         ,P                       ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,                   ,                     ,                             ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  4,R, 4, 140.00,    555.1000,forams   ,Planktonic Foraminifers                      ,               ,                  ,+                      ,                        ,                    ,                     ,                         ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,                   ,                     ,                             ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  4,R,CC,  11.00,    556.9200,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                       ,                        ,                    ,P                    ,                         ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,P                     ,P                      ,P                 ,P                       ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,                   ,                     ,                             ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  5,R, 8,  58.00,    568.2900,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                       ,                        ,                    ,P                    ,                         ,                    ,                   ,                      ,P                        ,                             ,P                       ,P                          ,P                      ,P                              ,P                    ,P                          ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,                   ,                     ,                             ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  6,R, 7,  58.00,    577.7800,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                       ,                        ,                    ,P                    ,                         ,                    ,                   ,                      ,P                        ,P                            ,P                       ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,                   ,                     ,                             ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  7,R,CC,   0.00,    585.6300,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                       ,                        ,                    ,P                    ,                         ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,                   ,                     ,                             ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  8,R, 3,  62.00,    591.2200,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                       ,                        ,                    ,P                    ,                         ,                    ,                   ,P                     ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,                   ,                     ,                             ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  9,R,CC,  12.00,    603.9500,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                       ,                        ,                    ,P                    ,                         ,                    ,P                  ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,                   ,                     ,                             ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B, 10,R,CC,  10.00,    611.3400,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,P                      ,P                       ,                    ,P                    ,                         ,                    ,P                  ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,                   ,                     ,                             ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B, 11,R,CC,  14.00,    619.6100,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                       ,                        ,                    ,                     ,                         ,P                   ,P                  ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,                   ,                     ,                             ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B, 14,R, 2,   0.00,    646.7000,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,P                      ,                        ,P                   ,P                    ,P                        ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,                   ,                     ,                             ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B, 14,R, 3,   0.00,    648.2000,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,P                      ,P                       ,                    ,                     ,                         ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,                   ,                     ,                             ,                     ,                      ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
