Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Toweius pertusus	Sphenolithus radians	Reticulofenestra pseudogammation	Pseudotriquetrorhabdulus inversus	Pontosphaera plana	Neococcolithes dubius	Lophodolithus nascens	Ericsonia formosa	Discoaster praebifax	Discoaster munitus	Discoaster lodoensis	Discoaster kuepperi	Discoaster cruciformis	Discoaster bifax	Cruciplacolithus vanheckae	Coccolithus pelagicus	Chiphragmalithus sp.	Chiasmolithus solitus	Chiasmolithus expansus	Toweius magnicrassus	Toweius callosus	Reticulofenestra hampdenensis	Discoaster sublodoensis	Discoaster binodosus	Chiasmolithus titus	Braarudosphaera bigelowii	Pontosphaera multipora	Ellipsolithus lajollaensis	Discoaster wemmelensis	Syracosphaera pulchra	Sphenolithus moriformis	Reticulofenestra dictyoda	Nannotetrina sp	Nannotetrina fulgens	Nannotetrina cristata	Discoaster saipanensis	Chiasmolithus eograndis	Scampanella asymmetrica	Blackites tenuis	Reticulofenestra samodurovii	Markalius inversus	Pontosphaera versa	Blackites spinulus	Scampanella sp.	Pontosphaera pectinata	Reticulofenestra umbilica	Reticulofenestra reticulata	Reticulofenestra hesslandii	Reticulofenestra hillae	Discoaster tanii nodifer	Reticulofenestra floridana	Clausicoccus subdistichus	Discoaster tanii	Chiasmolithus oamaruensis	Chiasmolithus altus	Reticulofenestra bisecta	Discoaster barbadiensis	Isthmolithus recurvus	Comment

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 749	B	  1	H	 4	  70.00	      5.2000	Aubry    	Nannofossils                                 	A              	M                 	                       	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	R                    	                    	                     	                      	                    	                	F                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	                           	F                          	                       	                        	A                         	                         	                	                         	C                  	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 749	B	  1	H	 4	 135.00	      5.8500	Aubry    	Nannofossils                                 	A              	M                 	                       	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	F                    	                    	                     	                      	                    	                	F                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	                           	F                          	                       	                        	A                         	                         	                	                         	A                  	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 749	B	  2	H	 1	  70.00	      6.5000	Aubry    	Nannofossils                                 	A              	M                 	                       	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	R                    	                    	                     	                      	                    	                	C                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	                           	C                          	                       	                        	R                         	                         	                	                         	A                  	R                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 749	B	  2	H	 2	  70.00	      8.0000	Aubry    	Nannofossils                                 	A              	M                 	                       	                	                    	                                	                                 	                  	+                    	                     	                 	                    	                  	                    	                   	                      	                	                          	R                    	                    	                     	                      	                    	                	C                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	                           	                           	                       	                        	A                         	                         	                	                         	A                  	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 749	B	  2	H	 3	  70.00	      9.5000	Aubry    	Nannofossils                                 	A              	M/G               	                       	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	R                    	                    	                     	                      	                    	                	C                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	                           	                           	+                      	                        	A                         	                         	                	                         	A                  	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 749	B	  2	H	 4	  70.00	     11.0000	Aubry    	Nannofossils                                 	A              	M-P               	F                      	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	R                    	                    	                     	                      	                    	                	C                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	                           	                           	                       	                        	F                         	                         	                	                         	A                  	F                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 749	B	  2	H	 5	  70.00	     12.5000	Aubry    	Nannofossils                                 	A              	M-P               	                       	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	                      	                    	                	A                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	                           	                           	                       	                        	A                         	                         	                	                         	A                  	C                       	                       	+                    	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 749	B	  2	H	 6	  70.00	     14.0000	Aubry    	Nannofossils                                 	A              	M/G               	                       	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	R                    	                    	                     	                      	                    	                	A                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	                           	                           	                       	                        	C                         	                         	                	                         	A                  	R                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 749	B	  2	H	CC	  18.00	     15.2100	Aubry    	Nannofossils                                 	A              	G                 	                       	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	+                     	                    	                	A                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	                           	                           	                       	                        	C                         	                         	                	                         	A                  	F                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Eocene      	                 	NP19/20           	              	120	 749	B	  3	H	 1	  70.00	     16.0000	Aubry    	Nannofossils                                 	A              	M                 	C                      	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	F                    	                    	                     	                      	                    	                	C                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	C                        	                           	                           	F                      	                        	F                         	                         	                	F                        	C                  	F                       	                       	F                    	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Eocene      	                 	NP18              	              	120	 749	B	  3	H	 2	  70.00	     17.5000	Aubry    	Nannofossils                                 	A              	M                 	C                      	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	                      	                    	                	                             	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	F                           	                  	                  	                  	               	                      	                         	F                          	                           	C                      	R                       	                          	                         	                	F                        	C                  	F                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Eocene      	                 	NP18              	              	120	 749	B	  3	H	 3	  70.00	     19.0000	Aubry    	Nannofossils                                 	A              	M-P               	F                      	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	                      	                    	                	                             	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	A                          	                           	C                      	                        	A                         	                         	                	F                        	A                  	R                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Eocene      	                 	NP18              	              	120	 749	B	  3	H	 4	  70.00	     20.5000	Aubry    	Nannofossils                                 	A              	M-P               	C                      	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	F                    	                    	                     	                      	                    	                	C                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	F                          	                           	C                      	                        	A                         	                         	                	C                        	                   	C                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Eocene      	                 	NP18              	              	120	 749	B	  3	H	 5	  70.00	     22.0000	Aubry    	Nannofossils                                 	A              	M-P               	C                      	                	                    	                                	                                 	                  	F                    	                     	                 	                    	                  	                    	                   	                      	                	                          	F                    	                    	                     	                      	                    	                	R                            	                       	                    	                   	                         	                      	                          	                      	                     	F                      	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	F                          	                           	R                      	                        	F                         	                         	R               	C                        	                   	C                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Eocene      	                 	NP18              	              	120	 749	B	  3	H	 6	  70.00	     23.5000	Aubry    	Nannofossils                                 	A              	M                 	C                      	                	                    	                                	                                 	                  	C                    	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	                      	                    	                	R                            	                       	                    	                   	                         	                      	                          	                      	                     	F                      	                         	               	                    	                     	                      	                       	                       	                	A                           	                  	                  	                  	               	                      	F                        	A                          	                           	A                      	                        	C                         	                         	F               	F                        	                   	A                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Eocene      	                 	NP18              	              	120	 749	B	  3	H	CC	  10.00	     24.9900	Aubry    	Nannofossils                                 	A              	G                 	C                      	                	                    	                                	                                 	                  	R                    	                     	                 	                    	                  	                    	                   	                      	                	                          	R                    	                    	                     	                      	                    	                	R                            	                       	                    	                   	                         	                      	                          	                      	                     	R                      	                         	               	                    	                     	                      	                       	                       	                	R                           	                  	                  	                  	               	                      	F                        	R                          	C                          	A                      	                        	R                         	                         	                	C                        	C                  	A                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Eocene      	                 	NP18              	              	120	 749	B	  4	H	 2	  70.00	     27.0000	Aubry    	Nannofossils                                 	A              	M                 	C                      	                	                    	                                	                                 	                  	R                    	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	                      	                    	                	C                            	                       	                    	                   	                         	                      	                          	                      	                     	F                      	                         	               	                    	                     	                      	                       	                       	                	R                           	                  	                  	                  	               	                      	C                        	A                          	C                          	C                      	                        	C                         	                         	                	C                        	C                  	F                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Eocene      	                 	NP18              	              	120	 749	B	  4	H	 3	  70.00	     28.5000	Aubry    	Nannofossils                                 	A              	M                 	C                      	                	                    	                                	                                 	                  	R                    	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	                      	                    	                	R                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	F               	F                           	                  	                  	                  	               	                      	F                        	A                          	                           	C                      	R                       	                          	                         	                	C                        	F                  	F                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Eocene      	                 	NP18              	              	120	 749	B	  4	H	 4	  70.00	     30.0000	Aubry    	Nannofossils                                 	A              	M                 	F                      	                	                    	                                	                                 	                  	R                    	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	                      	                    	                	F                            	                       	                    	                   	                         	                      	                          	                      	                     	R                      	                         	               	                    	                     	                      	                       	                       	F               	C                           	                  	                  	                  	               	                      	C                        	A                          	                           	C                      	                        	                          	                         	                	C                        	F                  	C                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Eocene      	                 	NP18              	              	120	 749	B	  4	H	 5	  70.00	     31.5000	Aubry    	Nannofossils                                 	A              	M                 	C                      	                	                    	                                	                                 	                  	R                    	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	                      	                    	                	A                            	                       	                    	                   	                         	                      	                          	                      	                     	F                      	                         	               	                    	                     	                      	                       	                       	                	F                           	                  	                  	                  	               	                      	                         	A                          	                           	C                      	                        	                          	                         	                	C                        	C                  	R                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Eocene      	                 	NP18              	              	120	 749	B	  4	H	 6	  70.00	     33.0000	Aubry    	Nannofossils                                 	A              	M-P               	C                      	                	                    	                                	                                 	                  	R                    	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	                      	                    	                	A                            	                       	                    	                   	                         	                      	                          	                      	                     	R                      	                         	               	                    	                     	                      	                       	                       	                	C                           	                  	                  	                  	               	                      	                         	A                          	                           	R                      	                        	                          	                         	                	C                        	F                  	R                       	C                      	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Eocene      	                 	NP18              	              	120	 749	B	  4	H	CC	  18.00	     34.4100	Aubry    	Nannofossils                                 	A              	M                 	C                      	                	                    	                                	                                 	                  	C                    	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	                      	                    	                	A                            	                       	                    	                   	                         	                      	                          	                      	                     	C                      	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	C                        	C                          	                           	C                      	                        	C                         	                         	                	C                        	F                  	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Eocene      	                 	NP18              	              	120	 749	B	  5	H	 1	  70.00	     35.0000	Aubry    	Nannofossils                                 	A              	M/G               	C                      	                	                    	                                	                                 	                  	R                    	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	                      	                    	                	C                            	                       	                    	                   	                         	                      	                          	                      	                     	F                      	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	C                        	C                          	                           	C                      	                        	                          	                         	                	C                        	C                  	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	              	120	 749	B	  5	H	 2	  70.00	     36.5000	Aubry    	Nannofossils                                 	A              	M-P               	C                      	                	                    	                                	                                 	                  	R                    	                     	                 	                    	                  	                    	                   	                      	                	                          	F                    	                    	                     	                      	                    	                	A                            	                       	                    	                   	                         	                      	                          	                      	                     	F                      	                         	               	                    	                     	                      	                       	                       	                	F                           	                  	                  	                  	               	                      	                         	A                          	                           	C                      	                        	                          	                         	                	C                        	C                  	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	              	120	 749	B	  5	H	 3	  70.00	     38.0000	Aubry    	Nannofossils                                 	A              	M                 	C                      	                	                    	                                	                                 	                  	C                    	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	F                     	                    	                	C                            	                       	                    	                   	                         	                      	                          	                      	                     	F                      	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	A                          	                           	A                      	                        	C                         	                         	R               	                         	                   	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	              	120	 749	B	  5	H	 4	  70.00	     39.5000	Aubry    	Nannofossils                                 	A              	M                 	C                      	                	                    	                                	                                 	                  	F                    	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	C                     	                    	                	A                            	                       	                    	                   	                         	                      	                          	                      	                     	F                      	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	A                          	                           	C                      	                        	F                         	R                        	                	                         	                   	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	              	120	 749	B	  5	H	 5	  70.00	     41.0000	Aubry    	Nannofossils                                 	A              	M                 	C                      	                	                    	                                	                                 	                  	F                    	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	C                     	                    	                	F                            	                       	                    	                   	                         	                      	                          	                      	                     	F                      	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	A                          	                           	A                      	                        	                          	                         	                	                         	                   	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	              	120	 749	B	  5	H	 6	  70.00	     42.5000	Aubry    	Nannofossils                                 	A              	M                 	C                      	                	                    	                                	F                                	                  	C                    	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	C                     	                    	                	F                            	                       	                    	                   	                         	                      	                          	                      	                     	F                      	                         	               	                    	                     	                      	                       	                       	                	F                           	                  	                  	                  	R              	                      	                         	F                          	                           	A                      	                        	                          	                         	                	                         	                   	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	NP16          	120	 749	B	  5	H	CC	  21.00	     43.8500	Aubry    	Nannofossils                                 	A              	M                 	C                      	                	                    	                                	                                 	                  	F                    	                     	                 	                    	                  	                    	                   	                      	R               	                          	C                    	                    	C                    	C                     	                    	                	F                            	                       	                    	                   	                         	                      	                          	                      	                     	F                      	                         	               	                    	                     	                      	                       	                       	                	C                           	R                 	                  	                  	               	                      	C                        	A                          	                           	C                      	                        	                          	                         	                	                         	                   	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	NP16          	120	 749	B	  6	X	CC	  17.00	     44.1100	Aubry    	Nannofossils                                 	A              	M                 	F                      	                	                    	R                               	                                 	                  	F                    	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	C                    	C                     	                    	                	C                            	                       	                    	                   	                         	                      	                          	                      	                     	F                      	F                        	               	                    	                     	                      	                       	                       	F               	C                           	                  	                  	                  	               	                      	C                        	A                          	                           	C                      	R                       	                          	                         	                	                         	                   	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	NP16          	120	 749	B	  7	X	CC	  29.00	     53.9200	Aubry    	Nannofossils                                 	A              	G                 	C                      	                	                    	C                               	                                 	                  	F                    	                     	F                	                    	                  	                    	                   	                      	                	                          	C                    	                    	C                    	C                     	                    	                	C                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	R                     	                       	                       	R               	A                           	                  	                  	                  	               	                      	                         	A                          	                           	C                      	R                       	                          	                         	                	                         	                   	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	NP16          	120	 749	B	  9	X	 1	  70.00	     73.0000	Aubry    	Nannofossils                                 	A              	M-P               	C                      	                	                    	C                               	F                                	                  	F                    	                     	C                	                    	                  	                    	F                  	                      	R               	                          	F                    	                    	C                    	C                     	                    	                	F                            	                       	                    	                   	                         	                      	                          	                      	                     	F                      	                         	               	                    	                     	R                     	                       	                       	F               	                            	                  	                  	                  	               	                      	C                        	                           	                           	F                      	                        	                          	                         	                	                         	                   	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	NP16          	120	 749	B	  9	X	 2	  70.00	     74.5000	Aubry    	Nannofossils                                 	A              	M-P               	C                      	                	                    	F                               	                                 	R                 	F                    	                     	C                	                    	                  	                    	F                  	                      	R               	                          	C                    	                    	A                    	C                     	                    	                	C                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	F               	C                           	                  	                  	                  	               	                      	A                        	F                          	                           	A                      	R                       	                          	                         	                	                         	                   	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	NP16          	120	 749	B	  9	X	 3	  70.00	     76.0000	Aubry    	Nannofossils                                 	A              	M-P               	A                      	                	                    	C                               	                                 	                  	C                    	                     	F                	                    	                  	                    	                   	                      	R               	                          	C                    	                    	A                    	F                     	                    	                	                             	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	+              	                    	                     	                      	                       	                       	F               	C                           	                  	R                 	                  	               	                      	C                        	C                          	C                          	                       	                        	                          	                         	                	                         	                   	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	NP16          	120	 749	B	  9	X	 4	  70.00	     77.5000	Aubry    	Nannofossils                                 	A              	M-P               	C                      	                	                    	C                               	                                 	                  	C                    	                     	C                	                    	                  	                    	                   	                      	                	                          	C                    	                    	A                    	F                     	R                   	C               	                             	                       	R                   	                   	                         	                      	                          	                      	                     	                       	F                        	               	                    	                     	                      	                       	                       	                	C                           	                  	                  	                  	               	                      	C                        	                           	                           	                       	                        	                          	                         	                	                         	                   	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	NP16          	120	 749	B	  9	X	 4	 134.00	     78.1400	Aubry    	Nannofossils                                 	A              	M                 	C                      	                	                    	C                               	                                 	                  	C                    	                     	F                	                    	                  	                    	                   	                      	                	                          	                     	                    	C                    	F                     	                    	C               	                             	                       	                    	                   	                         	                      	                          	                      	                     	F                      	                         	               	                    	                     	                      	                       	                       	                	C                           	                  	                  	                  	               	                      	                         	                           	                           	                       	                        	                          	                         	                	                         	                   	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	NP16          	120	 749	B	 10	X	 1	  70.00	     82.5000	Aubry    	Nannofossils                                 	A              	M-P               	C                      	                	                    	C                               	F                                	                  	C                    	                     	F                	                    	                  	                    	                   	                      	R               	                          	C                    	                    	C                    	C                     	                    	C               	                             	                       	                    	                   	                         	                      	                          	                      	                     	F                      	                         	               	                    	                     	R                     	                       	                       	                	R                           	                  	                  	                  	R              	R                     	                         	                           	                           	                       	                        	                          	                         	                	                         	                   	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	NP16          	120	 749	B	 10	X	 5	 108.00	     88.8800	Aubry    	Nannofossils                                 	A              	M-P               	C                      	                	                    	C                               	                                 	                  	C                    	                     	F                	                    	                  	                    	                   	                      	R               	                          	C                    	                    	C                    	C                     	                    	C               	                             	                       	R                   	                   	                         	                      	                          	                      	R                    	R                      	F                        	               	                    	R                    	                      	                       	                       	                	C                           	R                 	R                 	R                 	               	                      	                         	                           	                           	                       	                        	                          	                         	                	                         	                   	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Middle Eocene    	                 	NP17              	NP16          	120	 749	B	 11	X	 1	  70.00	     92.0000	Aubry    	Nannofossils                                 	A              	G                 	C                      	A               	                    	A                               	                                 	                  	C                    	                     	R                	                    	                  	                    	                   	                      	                	                          	                     	                    	C                    	C                     	                    	                	                             	                       	R                   	                   	                         	                      	                          	                      	                     	                       	F                        	               	                    	R                    	                      	                       	                       	R               	R                           	R                 	                  	                  	               	                      	                         	                           	                           	                       	                        	                          	                         	                	                         	                   	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

