Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triceratium castelliferum	Stephanopyxis turris	Coscinodiscus marginatus	Azpeitia oligocenica	Asterolampra uraster	Xanthiopyxis panduraeformis	Xanthiopyxis oblonga	Rouxia obesa	Pyxilla reticulata	Paralia sulcata var. crenulata	Paralia architecturalis	Hemiaulus polycystinorum	Asterolampra vulgaris var. cellulosa	Asterolampra grevillei	Ethmodiscus rex	Asterolampra schmidtii	Triceratium kanaya var. quadrilobata	Stephanopyxis ornata	Xanthiopyxis acrolopha	Triceratium inconspicuum	Skeletonema barbadense	Rouxia granda	Diatom (genus & species indet.)	Actinocyclus spp.	Thalassiosira primalabiata	Hemiaulus incisus	Coscinodiscus superbus	Coscinodiscus hajosiae	Asterolampra tela	Thalassiosira bukryi	Synedra jouseana	Rocella praenitida	Rhizosolenia antarctica	Pseudotriceratium radiosoreticulatum	Cestodiscus pulchellus	Cestodiscus convexus	Stellarima spp.	Simonseniella praebarboi	Rocella vigilans var. A	Rhizosolenia hebetata	Baxteriopsis brunii	Asteromphalus oligocenicus	Cestodiscus antarcticus	Asterolampra punctifera	Sceptroneis pesplanus	Kozloviella minor	Coscinodiscus lewisianus	Rocella semigelida	Coscinodiscus superbus 1	Diatom (genus & species indet. 1)	Cestodiscus reticulatus	Stephanopyxis spinossima	Coscinodiscus rhombicus	Coscinodiscus lewisianus var. similis	Rossiella symmetrica	Rhizosolenia sp. A	Coscinodiscus lewisianus var. levis	Azpeitia gombosi	Hemiaulus taurus	Diatom (genus & species indet. 2)	Rocella vigilans var. B	Pleurosigma spp.	Lisitzinia ornata	Thalassiothrix longissima	Thalassiosira vulnifica	Thalassiosira torokina	Thalassiosira oliverana	Thalassiosira oestrupii	Thalassiosira lentiginosa	Thalassiosira kolbei	Thalassiosira inura	Thalassiosira insigna	Rouxia diploneides	Rocella gelida	Rhizosolenia styliformis	Nitzschia weaveri	Nitzschia separanda	Nitzschia kerguelenis	Nitzschia interfrigidaria	Nitzschia arcula	Eucampia antarctica	Actinocyclus karstenii	Actinocyclus ingens var. irregularis	Actinocyclus ingens	Actinocyclus fasciculatus	Thalassiosira oliverana (coarse)	Rouxia naviculoides	Rouxia antarctica	Rhizosolenia sp.	Nitzschia ritscherii	Nitzschia aurica	Hemidiscus karstenii	Denticulopsis dimorpha	Actinocyclus actinochilus	Thalassiosira gracilis	Dactyliosolen antarcticus	Azpeitia tabularis	Asteromphalus parvulus	Asteromphalus hookeri	Nitzschia curta	Thalassiosira lentiginosa var. ovalis	Thalassiosira complicata	Nitzschia reinholdii	Nitzschia barronii	Denticulopsis hustedtii	Comment

  SR	                 	                 	                  	              	120	 749	B	  1	H	 1	  27.00	      0.2700	Maruyama 	Diatoms                                      	               	                  	                         	                    	                        	                    	                    	                           	                    	            	                  	                              	                       	                        	                                    	                      	               	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	                 	                      	                      	                 	                    	                	                  	                       	                                    	                      	                    	               	                        	                       	                     	                   	                          	                       	                       	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	                    	                  	                                   	                	                	                                 	                       	                	r                	C                        	C                      	R                     	C                      	R                      	F                        	R                   	R                  	F                    	R                 	r             	R                       	R                	F                  	R                    	R                        	R               	F                  	R                     	R                                   	F                  	R                        	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 11 back pocket

  SR	Late Oligocene   	                 	L. ornata         	              	120	 749	B	  1	H	 1	  38.00	      0.3800	Maruyama 	Diatoms                                      	               	                  	                         	R                   	A                       	                    	                    	                           	                    	            	                  	                              	                       	                        	                                    	                      	F              	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	                 	                      	                      	                 	                    	C               	                  	                       	                                    	                      	                    	               	                        	                       	R                    	                   	                          	                       	                       	                     	                 	                        	R                 	                        	                                 	                       	                        	R                      	                                     	                    	                  	                                   	                	R               	                                 	F                      	                	F                	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Late Oligocene   	                 	L. ornata         	              	120	 749	B	  1	H	 1	 110.00	      1.1000	Maruyama 	Diatoms                                      	               	                  	                         	R                   	A                       	R                   	                    	                           	                    	            	                  	                              	                       	R                       	                                    	                      	F              	                      	                                    	                    	                      	                        	                      	             	                               	R                	                          	                 	                      	                      	R                	                    	A               	                  	                       	                                    	                      	                    	               	                        	                       	R                    	                   	R                         	                       	                       	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	F                   	                  	                                   	                	R               	                                 	F                      	                	C                	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Late Oligocene   	                 	L. ornata         	              	120	 749	B	  1	H	 2	  47.00	      1.9700	Maruyama 	Diatoms                                      	               	                  	                         	R                   	F                       	                    	                    	                           	                    	            	                  	                              	                       	                        	                                    	                      	R              	                      	                                    	                    	                      	                        	                      	             	                               	R                	                          	                 	                      	                      	                 	                    	C               	                  	                       	                                    	R                     	                    	               	                        	                       	R                    	                   	                          	                       	                       	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	                    	                  	                                   	                	                	                                 	                       	                	R                	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Late Oligocene   	                 	L. ornata         	              	120	 749	B	  1	H	 2	 110.00	      2.6000	Maruyama 	Diatoms                                      	               	                  	                         	R                   	C                       	R                   	                    	                           	                    	            	                  	                              	                       	                        	                                    	                      	R              	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	                 	                      	                      	                 	                    	A               	                  	                       	                                    	F                     	                    	               	                        	                       	R                    	                   	                          	                       	                       	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	R                   	                  	                                   	R               	                	                                 	                       	                	R                	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Late Oligocene   	                 	L. ornata         	              	120	 749	B	  1	H	 3	  47.00	      3.4700	Maruyama 	Diatoms                                      	               	                  	                         	R                   	F                       	                    	                    	                           	                    	            	                  	                              	                       	R                       	                                    	                      	               	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	                 	                      	                      	R                	                    	C               	                  	                       	                                    	F                     	                    	               	                        	                       	R                    	                   	                          	                       	                       	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	R                   	                  	                                   	R               	                	                                 	                       	                	                 	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Late Oligocene   	                 	L. ornata         	              	120	 749	B	  1	H	 3	 110.00	      4.1000	Maruyama 	Diatoms                                      	               	                  	                         	R                   	F                       	R                   	                    	                           	                    	            	                  	                              	                       	R                       	                                    	                      	               	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	                 	                      	                      	                 	                    	C               	                  	                       	                                    	R                     	                    	               	                        	                       	R                    	                   	                          	                       	                       	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	R                   	                  	                                   	R               	                	                                 	                       	                	R                	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Late Oligocene   	                 	L. ornata         	              	120	 749	B	  1	H	 4	  47.00	      4.9700	Maruyama 	Diatoms                                      	               	                  	                         	R                   	F                       	R                   	                    	                           	                    	            	                  	                              	                       	R                       	                                    	                      	               	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	                 	R                     	                      	R                	                    	C               	                  	                       	                                    	R                     	                    	               	                        	                       	R                    	                   	R                         	                       	                       	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	R                   	                  	                                   	R               	                	                                 	                       	                	R                	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Late Oligocene   	                 	L. ornata         	              	120	 749	B	  1	H	 4	 110.00	      5.6000	Maruyama 	Diatoms                                      	               	                  	                         	F                   	C                       	R                   	                    	                           	                    	            	                  	                              	                       	                        	                                    	                      	F              	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	                 	                      	                      	                 	                    	A               	                  	                       	                                    	R                     	                    	               	                        	                       	R                    	                   	                          	                       	                       	                     	                 	                        	R                 	                        	                                 	                       	                        	                       	                                     	F                   	                  	                                   	R               	R               	                                 	F                      	                	C                	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Late Oligocene   	                 	L. ornata         	              	120	 749	B	  1	H	 4	 135.00	      5.8500	Maruyama 	Diatoms                                      	               	                  	                         	                    	C                       	R                   	                    	                           	                    	            	                  	                              	                       	R                       	                                    	                      	               	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	                 	                      	                      	R                	                    	C               	                  	                       	                                    	R                     	                    	               	R                       	                       	                     	                   	                          	                       	                       	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	R                   	                  	                                   	R               	R               	                                 	R                      	R               	R                	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Late Oligocene   	                 	A. gombosii       	              	120	 749	B	  2	H	 1	  47.00	      6.2700	Maruyama 	Diatoms                                      	               	                  	                         	R                   	F                       	                    	                    	                           	                    	            	                  	                              	                       	                        	                                    	                      	R              	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	                 	                      	                      	                 	                    	A               	                  	                       	                                    	R                     	                    	R              	                        	                       	R                    	                   	R                         	                       	                       	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	                    	R                 	                                   	R               	                	                                 	                       	                	                 	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Late Oligocene   	                 	A. gombosii       	              	120	 749	B	  2	H	 1	 110.00	      6.9000	Maruyama 	Diatoms                                      	               	                  	                         	F                   	A                       	                    	                    	                           	                    	            	                  	                              	                       	R                       	                                    	                      	F              	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	R                	                      	R                     	R                	                    	C               	                  	                       	                                    	                      	                    	               	R                       	                       	R                    	                   	R                         	R                      	                       	                     	                 	                        	                  	                        	R                                	                       	                        	                       	                                     	R                   	R                 	                                   	R               	R               	R                                	                       	                	                 	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Late Oligocene   	                 	A. gombosii       	              	120	 749	B	  2	H	 2	  47.00	      7.7700	Maruyama 	Diatoms                                      	               	                  	                         	R                   	C                       	R                   	                    	                           	                    	            	                  	                              	                       	R                       	                                    	                      	R              	                      	                                    	                    	                      	                        	                      	             	                               	                 	R                         	R                	                      	                      	R                	                    	C               	                  	                       	                                    	C                     	                    	R              	R                       	                       	R                    	                   	R                         	                       	                       	                     	R                	                        	                  	                        	R                                	                       	                        	R                      	R                                    	R                   	R                 	R                                  	R               	                	                                 	                       	                	                 	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Early Oligocene  	                 	R. vigilans subz  b	              	120	 749	B	  2	H	 2	 110.00	      8.4000	Maruyama 	Diatoms                                      	               	                  	                         	F                   	R                       	R                   	                    	                           	                    	            	                  	                              	                       	R                       	                                    	                      	R              	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	                 	                      	R                     	R                	                    	A               	                  	                       	                                    	F                     	                    	R              	R                       	                       	R                    	                   	R                         	                       	R                      	                     	                 	                        	                  	                        	                                 	                       	R                       	R                      	F                                    	                    	                  	                                   	                	                	                                 	                       	                	                 	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Early Oligocene  	                 	R. vigilans subz  b	              	120	 749	B	  2	H	 3	  47.00	      9.2700	Maruyama 	Diatoms                                      	               	                  	                         	R                   	                        	                    	                    	                           	                    	            	                  	                              	                       	                        	                                    	                      	R              	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	                 	                      	R                     	                 	                    	C               	                  	                       	R                                   	A                     	                    	R              	                        	                       	                     	                   	C                         	R                      	R                      	                     	                 	                        	                  	                        	                                 	R                      	                        	                       	                                     	                    	                  	                                   	                	                	                                 	                       	                	                 	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Early Oligocene  	                 	R. vigilans subz a	              	120	 749	B	  2	H	 3	 110.00	      9.9000	Maruyama 	Diatoms                                      	               	                  	                         	F                   	R                       	R                   	                    	                           	                    	            	                  	                              	                       	R                       	                                    	                      	R              	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	R                	                      	                      	                 	                    	A               	R                 	R                      	R                                   	F                     	                    	R              	                        	F                      	                     	                   	R                         	                       	R                      	                     	R                	                        	                  	                        	R                                	                       	                        	                       	                                     	                    	                  	                                   	                	                	                                 	                       	                	                 	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Early Oligocene  	                 	R. vigilans subz a	              	120	 749	B	  2	H	 4	  47.00	     10.7700	Maruyama 	Diatoms                                      	               	                  	                         	R                   	R                       	                    	                    	                           	                    	R           	                  	                              	                       	                        	                                    	                      	R              	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	F                	                      	R                     	                 	                    	A               	R                 	                       	                                    	C                     	                    	R              	                        	C                      	R                    	                   	R                         	                       	                       	                     	R                	                        	R                 	R                       	                                 	                       	                        	                       	                                     	                    	                  	                                   	                	                	                                 	                       	                	                 	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Early Oligocene  	                 	R. vigilans subz a	              	120	 749	B	  2	H	 4	 110.00	     11.4000	Maruyama 	Diatoms                                      	               	                  	                         	R                   	                        	R                   	                    	                           	R                   	R           	                  	                              	                       	R                       	                                    	                      	               	R                     	                                    	                    	                      	                        	                      	             	                               	R                	                          	R                	R                     	R                     	                 	                    	C               	R                 	R                      	                                    	F                     	R                   	R              	                        	F                      	R                    	                   	                          	                       	                       	R                    	F                	?                       	                  	                        	                                 	                       	                        	                       	                                     	                    	                  	                                   	                	                	                                 	                       	                	                 	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Early Oligocene  	                 	R. vigilans subz a	              	120	 749	B	  2	H	 5	  47.00	     12.2700	Maruyama 	Diatoms                                      	               	                  	                         	F                   	R                       	R                   	                    	                           	R                   	R           	                  	                              	                       	R                       	                                    	                      	F              	                      	                                    	                    	                      	                        	                      	R            	                               	                 	                          	R                	C                     	R                     	                 	                    	C               	                  	R                      	R                                   	                      	                    	F              	                        	C                      	R                    	                   	R                         	                       	R                      	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	                    	                  	                                   	                	                	                                 	                       	                	                 	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Early Oligocene  	                 	R. vigilans subz a	              	120	 749	B	  2	H	 5	 110.00	     12.9000	Maruyama 	Diatoms                                      	               	                  	                         	F                   	R                       	                    	                    	                           	                    	            	                  	                              	                       	                        	                                    	                      	R              	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	R                	R                     	                      	F                	                    	C               	                  	R                      	                                    	                      	                    	R              	R                       	R                      	R                    	                   	                          	R                      	R                      	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	                    	                  	                                   	                	                	                                 	                       	                	                 	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

  SR	Early Oligocene  	                 	R. vigilans subz a	              	120	 749	B	  2	H	 6	  47.00	     13.7700	Maruyama 	Diatoms                                      	               	                  	                         	                    	                        	                    	                    	                           	                    	R           	                  	                              	                       	R                       	                                    	                      	R              	                      	                                    	                    	R                     	                        	                      	             	                               	                 	                          	R                	C                     	                      	F                	                    	F               	                  	R                      	                                    	R                     	                    	R              	                        	R                      	R                    	R                  	                          	                       	                       	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	                    	                  	                                   	                	                	                                 	                       	                	                 	                         	                       	                      	                       	                       	                         	                    	                   	                     	                  	              	                        	                 	                   	                     	                         	                	                   	                      	                                    	                   	                         	                                	                   	                 	                	                    	                	                    	                      	                         	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 12 backpocket

