Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Xitus spp.,Tricolocapsa sp. B,Tricolocapsa sp. A,Nassellaria taxa (cryptocephalic and cryptothoracic),Holocryptocanium barbui,Eusyringium sp. A,Cyrtocapsa (?) sp. aff. C. pseudacerra,Cyrtocapsa (?) sp. A,Cryptamphorella sp. A,Archaeodictyomitra spp. (slender group),Archaeodictyomitra brouweri var. alpha,Archaeodictyomitra brouweri s.l.,Tripocalpis laboriosus,Spongocapsula (?) sp. A,Sethocapsa sp. B,Sethocapsa sp. A,Cryptamphorella sp. aff. C. macropora,Archaeodictyomitra sp. A,Archaeodictyomitra brouweri typica,Archaeodictyomitra brouweri gamma,Archaeodictyomitra aff. A. apiarium,Spongocapsula (?) sp. B,Sethocapsa orca,Ristola sp. A,Praeconocaryomma (?) sp. A,Parvicingula sp. E,Parvicingula sp. A,Paronaella (?) sp. A,Paronaella spp.,Pantanellium squinaboli cantuchapai,Eusyringium sp. B,Eucyrtis hanni,Cenosphaera spp.,Acaeniotyle (?) sp. A,Sethocapsa spp.,Pseudoeucyrtis sp. A,Podocapsa amphitreptera,Parvicingula sp. B,Napora spp.,Angulobracchia (?) sp. A,Sethocapsa dorysphaeroides,Patellula sp. A,Parvicingula sp. D,Pantanellium squinaboli squinaboli,Obesacapsula verbana,Crucella spp.,Pseudoeucyrtis sp. C,Tricolocapsa spp.,Sethocapsa leiostraca,Praeconocaryomma spp.,Parvicingula sphaerica,Eucyrtis micropora,Cryptamphorella spp.,Angulobracchia spp.,Acaeniotyle umbilicata,Parvicingula sp. C,Orbiculiforma spp.,Sethocapsa cetia,Pseudoeucyrtis sp. B,Praeconocaryomma sp. aff. P. prisca,Podocapsa sp. A,Eusyringium sp. C,Eusyringium sp. D,Crucella sp. aff. C. espartoensis,Acaeniotyle diaphorogona,Cecrops septemporatus,Angulobracchia (?)  media,Amphipyndax mediocris,Alievium helenae,Acanthocircus trizonalis,Stichocapsa perspicua,Mirifusus chenodes,Histiastrum cruciferum,Cyclastrum infundibuliforme,Triactoma echiodes,Lithatractus pusillus,Parvicingulid sp. A,Eucyrtis columbaria,Petasiforma sp.,Parvicingulid sp. B,Stephanastrum orbiculare,Orbiculiforma railensis,Eucyrtis tenuis,Cyclastrum sp. A,Acanthocircus trizonalis dicranacanthos,Parvicingulid sp. C,Pseudodictyomitra lilyae,Stephanastrum inflexum,Spongotripus trigonus,Parvicingula malleola,Crucella cachensis,Foremanella diamphidia hipposidericus,Foremanella diamphidia diamphidia,Parvicingulid sp. D,Vitorfus brustolensis,Cyrtocapsa grutterinki,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 43,R, 3,  98.00,    753.0800,Baumgartner,Radiolarians                                 ,A              ,G                 ,          ,                  ,                  ,R                                                   ,                       ,                 ,                                      ,                    ,                     ,R                                      ,                                      ,R                               ,                      ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,R              ,                                   ,                 ,              ,F               ,                     ,               ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,                                  ,                    ,F            ,                    ,                 ,                     ,A                    ,                      ,F                 ,                    ,R                  ,F                     ,                  ,R                 ,                ,                    ,                                   ,               ,                 ,R                ,R                                ,                        ,                     ,                         ,                     ,                ,                        ,                     ,VR                ,                      ,                           ,                  ,                     ,F                  ,R                  ,               ,R                  ,R                       ,R                      ,R              ,                ,                                       ,C                  ,                        ,                      ,                     ,                     ,R                 ,                                     ,                                 ,F                  ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 43,R, 5,  47.00,    755.6000,Baumgartner,Radiolarians                                 ,C              ,M                 ,          ,                  ,                  ,                                                    ,                       ,                 ,                                      ,                    ,                     ,R                                      ,                                      ,R                               ,                      ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,               ,                                   ,                 ,VR            ,F               ,                     ,               ,                    ,                       ,R                 ,           ,                        ,                          ,               ,                  ,                                  ,                    ,R            ,                    ,                 ,                     ,F                    ,                      ,R                 ,                    ,R                  ,F                     ,                  ,                  ,                ,                    ,                                   ,VR             ,                 ,F                ,F                                ,R                       ,                     ,                         ,                     ,F               ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,R                  ,               ,R                  ,                        ,                       ,               ,                ,                                       ,R                  ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,R                  ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Tables 1 & 2 pp 304-305 & taxonomy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 45,R, 1,  76.00,    768.9600,Baumgartner,Radiolarians                                 ,C              ,M                 ,          ,                  ,                  ,A                                                   ,                       ,                 ,                                      ,                    ,                     ,                                       ,                                      ,                                ,                      ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,R              ,                                   ,                 ,              ,F               ,                     ,               ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,C                                 ,                    ,R            ,                    ,                 ,                     ,C                    ,                      ,                  ,                    ,R                  ,F                     ,                  ,F                 ,                ,                    ,C                                  ,               ,                 ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,VR                 ,               ,                   ,R                       ,                       ,               ,                ,                                       ,F                  ,                        ,                      ,R                    ,                     ,R                 ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 45,R, 2,  26.00,    769.9600,Baumgartner,Radiolarians                                 ,A              ,M                 ,          ,                  ,                  ,A                                                   ,                       ,                 ,                                      ,                    ,                     ,                                       ,                                      ,                                ,                      ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,F              ,R                                  ,                 ,              ,C               ,                     ,R              ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,R                                 ,                    ,R            ,                    ,                 ,                     ,                     ,                      ,R                 ,                    ,R                  ,                      ,                  ,F                 ,                ,                    ,A                                  ,               ,                 ,                 ,R                                ,                        ,                     ,R                        ,                     ,                ,                        ,R                    ,R                 ,                      ,R                          ,                  ,                     ,F                  ,                   ,               ,                   ,VR                      ,                       ,               ,                ,                                       ,                   ,                        ,R                     ,R                    ,R                    ,                  ,R                                    ,R                                ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 45,R, 4,  52.00,    773.2200,Baumgartner,Radiolarians                                 ,C              ,M                 ,          ,                  ,                  ,A                                                   ,                       ,                 ,                                      ,                    ,                     ,R                                      ,                                      ,                                ,                      ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,R              ,                                   ,                 ,              ,C               ,                     ,               ,                    ,                       ,                  ,VR         ,R                       ,                          ,               ,                  ,                                  ,                    ,F            ,                    ,                 ,                     ,                     ,                      ,R                 ,                    ,R                  ,R                     ,                  ,C                 ,                ,                    ,C                                  ,               ,                 ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,R                    ,                  ,                      ,                           ,                  ,                     ,                   ,R                  ,               ,                   ,                        ,R                      ,               ,                ,                                       ,C                  ,                        ,R                     ,R                    ,R                    ,R                 ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 49,R, 3,  69.00,    809.9900,Baumgartner,Radiolarians                                 ,R              ,G                 ,          ,                  ,                  ,A                                                   ,A                      ,                 ,                                      ,                    ,                     ,                                       ,C                                     ,A                               ,                      ,                       ,                ,                ,                                     ,                        ,F                                 ,C                                ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,               ,                                   ,                 ,              ,                ,                     ,               ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,                                  ,                    ,             ,                    ,F                ,                     ,                     ,                      ,                  ,                    ,                   ,                      ,                  ,                  ,                ,                    ,                                   ,               ,                 ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 50,R, 1,  80.00,    816.4000,Baumgartner,Radiolarians                                 ,A              ,M                 ,R         ,                  ,                  ,A                                                   ,                       ,                 ,                                      ,                    ,                     ,                                       ,                                      ,                                ,                      ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,               ,                                   ,                 ,VR            ,                ,                     ,F              ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,R                                 ,                    ,             ,                    ,                 ,                     ,                     ,                      ,                  ,                    ,                   ,R                     ,                  ,                  ,                ,                    ,R                                  ,               ,                 ,C                ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,R                  ,               ,F                  ,                        ,                       ,               ,                ,                                       ,C                  ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 50,R, 3, 111.00,    819.7100,Baumgartner,Radiolarians                                 ,F              ,G                 ,          ,                  ,                  ,A                                                   ,F                      ,                 ,                                      ,                    ,                     ,                                       ,C                                     ,A                               ,                      ,                       ,                ,                ,                                     ,                        ,C                                 ,C                                ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,               ,                                   ,                 ,              ,                ,                     ,               ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,                                  ,                    ,             ,                    ,F                ,                     ,                     ,                      ,                  ,                    ,                   ,                      ,                  ,                  ,                ,                    ,                                   ,               ,                 ,                 ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,F                       ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Tables 1 & 2 pp 304-305 & taxonomy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 50,R,CC,   0.00,    823.6200,Baumgartner,Radiolarians                                 ,R              ,G                 ,          ,                  ,                  ,VR                                                  ,R                      ,                 ,                                      ,                    ,                     ,                                       ,                                      ,VR                              ,                      ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,               ,                                   ,                 ,              ,                ,                     ,               ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,                                  ,                    ,             ,                    ,                 ,                     ,                     ,                      ,                  ,                    ,                   ,                      ,                  ,                  ,                ,                    ,                                   ,               ,                 ,VR               ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,VR                 ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 51,R, 2,  20.00,    826.7000,Baumgartner,Radiolarians                                 ,R              ,G                 ,          ,F                 ,                  ,                                                    ,F                      ,                 ,                                      ,                    ,                     ,                                       ,                                      ,A                               ,                      ,                       ,                ,                ,                                     ,                        ,F                                 ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,               ,                                   ,                 ,              ,                ,                     ,               ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,                                  ,                    ,             ,                    ,F                ,                     ,                     ,                      ,                  ,                    ,                   ,                      ,                  ,                  ,                ,                    ,                                   ,               ,                 ,R                ,                                 ,                        ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,                   ,                   ,               ,                   ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 51,R, 2,  30.00,    826.8000,Baumgartner,Radiolarians                                 ,A              ,G                 ,R         ,                  ,                  ,F                                                   ,                       ,                 ,                                      ,                    ,                     ,R                                      ,R                                     ,                                ,R                     ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,R              ,                                   ,                 ,R             ,F               ,                     ,               ,                    ,                       ,                  ,VR         ,                        ,                          ,               ,                  ,                                  ,                    ,R            ,                    ,                 ,R                    ,                     ,                      ,                  ,                    ,R                  ,R                     ,                  ,R                 ,                ,                    ,                                   ,               ,                 ,A                ,R                                ,R                       ,                     ,                         ,                     ,                ,                        ,R                    ,                  ,R                     ,                           ,                  ,                     ,R                  ,R                  ,               ,R                  ,                        ,                       ,               ,                ,                                       ,R                  ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 51,R, 3,   6.00,    828.0600,Baumgartner,Radiolarians                                 ,A              ,M                 ,          ,                  ,                  ,F                                                   ,                       ,R                ,                                      ,                    ,                     ,                                       ,                                      ,                                ,VR                    ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,R              ,                                   ,                 ,              ,                ,                     ,               ,                    ,                       ,                  ,VR         ,                        ,                          ,               ,                  ,R                                 ,                    ,F            ,                    ,                 ,R                    ,                     ,                      ,                  ,                    ,R                  ,R                     ,                  ,F                 ,                ,                    ,                                   ,               ,                 ,A                ,                                 ,R                       ,                     ,R                        ,                     ,                ,                        ,                     ,                  ,R                     ,                           ,                  ,                     ,                   ,VR                 ,               ,R                  ,R                       ,R                      ,R              ,R               ,VR                                     ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 51,R, 3,  88.00,    828.8800,Baumgartner,Radiolarians                                 ,A              ,G                 ,F         ,                  ,                  ,A                                                   ,                       ,                 ,                                      ,                    ,                     ,                                       ,                                      ,                                ,R                     ,                       ,                ,F               ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,               ,                                   ,                 ,              ,R               ,                     ,F              ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,                                  ,                    ,R            ,                    ,                 ,R                    ,                     ,                      ,                  ,                    ,R                  ,                      ,                  ,R                 ,                ,                    ,                                   ,               ,                 ,A                ,                                 ,R                       ,                     ,R                        ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,R                  ,R                  ,R              ,F                  ,                        ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Tables 1 & 2 pp 304-305 & taxonomy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
