Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Verneuilinoides sp. (slender),Uvigerinammina spp.,Trochammina sp. A (large biconvex),Trochammina quinqueloba,Rhizammina spp.,Pseudobolivina spp.,Psammosphaera sp.,Hyperammina spp.,Hippocrepina depressa,Haplophragmoides kirki,Glomospira gordialis,Glomospira charoides,Bulbobaculites inconstans,Bathysiphon spp.,Ammodiscus tenuissimus,Ammodiscus sp. C (robust),Ammodiscus sp. B (coarse irreg. flat),Ammodiscoides sp.,Trochammina abrupta (low-spired),Trochammina abrupta,Rhabdammina spp.,Recurvoides sp. A (smooth),Psammosphaera fusca,Ammolagena clavata,Ammobaculites sp. (coarse),Reophax sp. C (coarse),Haplophragmoides sp. D (flat evolute),Aschemocella spp.,Marssonella sp. (conical),Verneuilinoides neocomiensis,Recurvoides sp. B (coarse 5 chamb),Bigenerina sp.,Trochamminoides sp.,Pseudoreophax cisovnicensis,Praedorothia sp. B (biserial),Lagenammina spp.,Hormosina crassa,Haplophragmoides sp. B (five-chamb. round),Glomospira sp. aff. G. serpens,Glomospira irregularis,Ammodiscus sp. A (wide whorl),Ammodiscus cretaceus,Ammobaculoides sp.,Spiroplectammina sp.,Saccammina sp.,Reophax helveticus,Paratrochammina spp.,Paalzowella feifeli,Lingulina semiornata,Lenticulina sp. aff. L. nodosa,Lenticulina muensteri,Dentalina spp.,Citharina sp.,Arenoturrispirillina jeletzkyi,Subreophax spp.,Praedorothia sp. A (smooth),Hormosina cf. crassa,Turritellella sp.,Reophax sp. B (globular chamber),Reophax duplex,Paratrochamminoides spp.,Hormosina excelsa,Glomospirella gaultina,Praecystammina? sp.,Hyperammina dilatata,Glomospirella sp.,Kalamopsis sp. aff. K. grzybowskii,Haplophragmoides sp. A (flat),Gaudryina filiformis,Hormosinella sp.,Haplophragmoides sp. (broad),Haplophragmoides sp. C (thick convex),Eggerella sp. (coarse flaring),Textularia sp. (coarse),Dendrophyra latissima,Gaudryina sp. A (coarse),Praedorothia praehauteriviana,Lenticulina spp.,Ramulina aculeata,Pyrulina longa,Lenticulina sp. aff. L. saxonica,Lenticulina ouachensis,Epistomina caracolla,Vaginulopsis reticulosa,Vaginulinopsis humilis,Vaginulina sp.,Nodosaria sp.,Lingulina loryi,Lenticulina subalata,Lenticulina guttata,Gavelinella sp.,Gavelinella bettenstaedti,Lituotuba spp.,Glomospira sp. aff. G. diffundens,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Barremian        ,                 ,                  ,              ,123, 765,C, 50,R, 2,  66.00,    817.7600,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,F              ,                   ,                 ,                ,                     ,                      ,                    ,                    ,                         ,                ,F                     ,                         ,                                     ,                 ,                                ,                   ,                ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,                ,                                          ,                              ,                      ,                             ,                    ,                  ,                    ,              ,                  ,                    ,                   ,                    ,                              ,                     ,              ,             ,                              ,               ,                           ,                    ,                 ,                                ,              ,                        ,                 ,                      ,                   ,                    ,                 ,                                  ,                             ,                    ,                ,                            ,                                     ,                              ,                       ,                     ,                        ,                             ,                ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,              ,R                                ,Total species = 3; from ODP Leg 123 SR Chapter 13 appendix A p 265-268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Barremian        ,                 ,                  ,              ,123, 765,C, 50,R, 3, 111.00,    819.7100,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,C              ,                   ,                 ,                ,                     ,                      ,                    ,R                   ,                         ,                ,                      ,                         ,                                     ,                 ,                                ,                   ,                ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,                ,                                          ,                              ,                      ,                             ,R                   ,                  ,                    ,              ,                  ,                    ,                   ,                    ,                              ,                     ,              ,             ,                              ,               ,                           ,                    ,                 ,                                ,              ,                        ,                 ,                      ,                   ,                    ,                 ,                                  ,                             ,                    ,                ,                            ,                                     ,                              ,                       ,                     ,                        ,                             ,                ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,              ,R                                ,Total species = 4; from ODP Leg 123 SR Chapter 13 appendix A p 265-268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Barremian        ,                 ,                  ,              ,123, 765,C, 51,R,CC,  23.00,    832.7300,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,R              ,                   ,                 ,                ,                     ,                      ,                    ,                    ,                         ,                ,                      ,                         ,                                     ,                 ,                                ,                   ,                ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,                ,                                          ,                              ,                      ,                             ,                    ,                  ,                    ,              ,                  ,                    ,                   ,                    ,                              ,                     ,              ,             ,                              ,               ,                           ,                    ,                 ,                                ,              ,                        ,                 ,                      ,                   ,                    ,                 ,                                  ,                             ,                    ,                ,                            ,                                     ,                              ,                       ,                     ,                        ,                             ,                ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,              ,                                 ,Total species = 1; from ODP Leg 123 SR Chapter 13 appendix A p 265-268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 52,R, 3,  75.00,    838.2500,Kaminski ,Benthic Foraminifers                         ,B              ,                  ,                             ,                   ,                                  ,                       ,C              ,                   ,                 ,                ,                     ,                      ,                    ,R                   ,                         ,                ,                      ,                         ,                                     ,                 ,                                ,                   ,                ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,                ,                                          ,                              ,                      ,R                            ,                    ,                  ,                    ,              ,                  ,                    ,                   ,                    ,                              ,                     ,              ,             ,                              ,               ,                           ,                    ,                 ,                                ,              ,                        ,                 ,                      ,                   ,                    ,                 ,                                  ,                             ,                    ,                ,                            ,                                     ,                              ,                       ,                     ,                        ,                             ,                ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,              ,                                 ,from ODP Leg 123 SR Chapter Appendix C p 269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,                 ,                  ,              ,123, 765,C, 53,R, 7,  55.00,    853.6500,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,               ,                   ,                 ,                ,                     ,                      ,                    ,R                   ,                         ,                ,                      ,                         ,                                     ,                 ,                                ,                   ,                ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,                ,                                          ,                              ,                      ,                             ,                    ,                  ,                    ,              ,                  ,                    ,                   ,                    ,                              ,                     ,              ,             ,                              ,               ,                           ,                    ,                 ,                                ,              ,                        ,                 ,                      ,                   ,                    ,                 ,                                  ,                             ,                    ,                ,                            ,                                     ,                              ,                       ,                     ,                        ,                             ,                ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,              ,                                 ,Total species = 1; from ODP Leg 123 SR Chapter 13 appendix A p 265-268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,                 ,                  ,              ,123, 765,C, 55,R, 2,  72.00,    865.2200,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,R              ,                   ,                 ,                ,                     ,                      ,R                   ,R                   ,                         ,                ,                      ,                         ,                                     ,                 ,                                ,                   ,                ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,R               ,                ,                                          ,                              ,                      ,                             ,                    ,                  ,                    ,              ,                  ,                    ,                   ,                    ,                              ,                     ,              ,             ,                              ,               ,                           ,                    ,                 ,                                ,              ,                        ,                 ,                      ,                   ,                    ,                 ,                                  ,                             ,                    ,                ,                            ,                                     ,                              ,                       ,                     ,                        ,                             ,                ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,              ,                                 ,Total species = 4; from ODP Leg 123 SR Chapter 13 appendix A p 265-268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,                  ,              ,123, 765,C, 56,R, 1, 134.00,    873.8400,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,A              ,                   ,                 ,                ,R                    ,                      ,F                   ,C                   ,                         ,                ,R                     ,                         ,                                     ,                 ,                                ,                   ,R               ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,                ,                                          ,                              ,                      ,R                            ,R                   ,                  ,                    ,R             ,                  ,R                   ,                   ,                    ,                              ,                     ,              ,             ,                              ,               ,                           ,                    ,                 ,                                ,R             ,R                       ,                 ,                      ,                   ,                    ,                 ,                                  ,C                            ,                    ,                ,                            ,                                     ,                              ,                       ,F                    ,                        ,                             ,                ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,              ,                                 ,Total species = 15; from ODP Leg 123 SR Chapter 13 appendix A p 265-268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,                  ,              ,123, 765,C, 56,R, 2,  69.00,    874.6900,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,A              ,                   ,F                ,                ,R                    ,                      ,                    ,                    ,                         ,C               ,F                     ,                         ,                                     ,                 ,                                ,                   ,                ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,F               ,R               ,                                          ,                              ,                      ,                             ,                    ,                  ,F                   ,              ,R                 ,R                   ,                   ,                    ,                              ,                     ,              ,             ,                              ,               ,                           ,                    ,                 ,                                ,              ,                        ,                 ,                      ,                   ,                    ,                 ,                                  ,                             ,                    ,                ,                            ,                                     ,                              ,                       ,C                    ,R                       ,                             ,                ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,R             ,                                 ,Total species = 14; from ODP Leg 123 SR Chapter 13 appendix A p 265-268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 56,R, 4, 144.00,    878.4400,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,               ,                   ,                 ,                ,                     ,                      ,                    ,F                   ,                         ,                ,                      ,                         ,                                     ,                 ,                                ,                   ,                ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,                ,                                          ,                              ,                      ,                             ,                    ,                  ,                    ,              ,                  ,                    ,                   ,                    ,                              ,F                    ,F             ,             ,                              ,               ,                           ,                    ,                 ,                                ,              ,                        ,                 ,                      ,                   ,                    ,                 ,                                  ,                             ,                    ,                ,                            ,                                     ,                              ,                       ,                     ,                        ,C                            ,C               ,R                ,              ,                                ,                      ,                    ,R                      ,F                     ,R             ,F            ,R              ,R                   ,R                  ,R              ,R                        ,              ,                                 ,from ODP Leg 123 SR Chapter Appendix B p 269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 56,R,CC,   0.00,    878.5000,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,               ,                   ,                 ,                ,                     ,                      ,                    ,R                   ,                         ,                ,                      ,                         ,                                     ,                 ,                                ,                   ,                ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,                ,                                          ,                              ,                      ,                             ,R                   ,                  ,                    ,              ,                  ,                    ,F                  ,                    ,                              ,                     ,              ,R            ,                              ,               ,                           ,                    ,                 ,                                ,              ,                        ,                 ,                      ,                   ,                    ,                 ,                                  ,                             ,                    ,                ,                            ,                                     ,                              ,                       ,                     ,                        ,C                            ,C               ,R                ,F             ,R                               ,R                     ,R                   ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,              ,                                 ,from ODP Leg 123 SR Chapter Appendix B p 269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,                  ,              ,123, 765,C, 57,R, 2,  79.00,    883.9900,Kaminski ,Benthic Foraminifers                         ,               ,                  ,R                            ,                   ,                                  ,                       ,A              ,                   ,                 ,                ,F                    ,                      ,F                   ,A                   ,                         ,                ,                      ,                         ,                                     ,                 ,                                ,                   ,C               ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,                ,                                          ,R                             ,R                     ,R                            ,                    ,                  ,                    ,F             ,                  ,                    ,                   ,                    ,                              ,                     ,              ,             ,                              ,               ,                           ,                    ,                 ,                                ,              ,R                       ,                 ,                      ,                   ,                    ,                 ,                                  ,                             ,                    ,                ,                            ,                                     ,                              ,                       ,                     ,                        ,                             ,                ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,              ,                                 ,Total species = 10; from ODP Leg 123 SR Chapter 13 appendix A p 265-268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,                  ,              ,123, 765,C, 57,R, 6,  57.00,    889.7700,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,C              ,                   ,                 ,                ,R                    ,                      ,R                   ,C                   ,                         ,                ,R                     ,                         ,                                     ,                 ,                                ,                   ,R               ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,R               ,                                          ,                              ,                      ,R                            ,R                   ,                  ,                    ,R             ,                  ,                    ,                   ,                    ,                              ,                     ,              ,             ,                              ,               ,                           ,                    ,                 ,                                ,              ,                        ,                 ,                      ,                   ,R                   ,                 ,                                  ,R                            ,                    ,                ,                            ,                                     ,                              ,                       ,                     ,                        ,                             ,                ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,              ,                                 ,Total species = 12; from ODP Leg 123 SR Chapter 13 appendix A p 265-268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,                  ,              ,123, 765,C, 57,R,CC,   6.00,    890.8100,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,A              ,                   ,F                ,                ,R                    ,                      ,C                   ,A                   ,R                        ,F               ,C                     ,                         ,                                     ,                 ,                                ,R                  ,F               ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,C               ,                                          ,                              ,                      ,                             ,                    ,F                 ,                    ,              ,                  ,                    ,                   ,                    ,                              ,                     ,              ,             ,F                             ,F              ,                           ,                    ,                 ,                                ,              ,R                       ,                 ,                      ,                   ,R                   ,                 ,                                  ,R                            ,                    ,                ,                            ,                                     ,                              ,                       ,F                    ,R                       ,                             ,                ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,              ,                                 ,Total species = 19; from ODP Leg 123 SR Chapter 13 appendix A p 265-268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 58,R, 2,  10.00,    892.8000,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,R              ,                   ,                 ,                ,                     ,                      ,                    ,R                   ,                         ,                ,                      ,                         ,                                     ,                 ,                                ,                   ,                ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,R               ,                                          ,                              ,                      ,                             ,                    ,                  ,                    ,              ,                  ,                    ,R                  ,R                   ,R                             ,R                    ,F             ,R            ,                              ,               ,                           ,                    ,                 ,                                ,              ,                        ,                 ,                      ,                   ,                    ,                 ,                                  ,                             ,                    ,                ,                            ,                                     ,                              ,                       ,                     ,                        ,R                            ,F               ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,              ,                                 ,from ODP Leg 123 SR Chapter Appendix B p 269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
