Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma,Globorotalia crassaformis,Globoconella inflata,Globigerina quinqueloba,Globigerina bulloides,Menardella menardii,Hastigerina siphonifera,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia scitula,Globigerinoides sacculifer,Globigerinoides ruber,Globigerinella siphonifera,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Globorotalia tumida,Comment
  IR,                 ,Pleistocene      ,                  ,              ,175,1082,A,  6,H,CC,  23.00,     55.9200,Christensen,Planktonic Foraminifers                      ,A              ,VG                ,3                ,1                                      ,1                          ,2                        ,3                   ,                       ,7                    ,                   ,                       ,1                            ,                      ,                    ,                          ,                     ,                          ,1                           ,2                         ,                   ,U peregrina common; rads and sponge spicsules present; bulloides is doinant in 150 - 250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1082,A,  7,H,CC,  22.00,     65.4700,Christensen,Planktonic Foraminifers                      ,A              ,VG                ,+                ,+                                      ,+                          ,+                        ,D                   ,                       ,A                    ,                   ,                       ,+                            ,                      ,                    ,                          ,+                    ,+                         ,                            ,                          ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1082,A,  8,H,CC,  27.00,     75.2700,Christensen,Planktonic Foraminifers                      ,A              ,VG                ,                 ,+                                      ,+                          ,                         ,D                   ,P                      ,D                    ,                   ,                       ,                             ,                      ,+                   ,+                         ,P                    ,                          ,                            ,                          ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,175,1082,A, 14,H,CC,  18.00,    128.5800,Christensen,Planktonic Foraminifers                      ,A              ,VG                ,A15              ,P                                      ,P                          ,A8                       ,2                   ,                       ,A4                   ,1                  ,1                      ,2                            ,2                     ,                    ,                          ,                     ,                          ,                            ,                          ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1082,A, 15,X,CC,  36.00,    135.3000,Christensen,Planktonic Foraminifers                      ,               ,                  ,1                ,                                       ,                           ,                         ,8                   ,                       ,                     ,                   ,                       ,                             ,                      ,                    ,                          ,                     ,                          ,                            ,                          ,                   ,Bolivina flood  Strange sample; nothing except G. inflata and a few Orbulina psp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1082,A, 16,X,CC,  50.00,    145.3400,Christensen,Planktonic Foraminifers                      ,F              ,G                 ,6                ,P                                      ,P                          ,1                        ,15                  ,P                      ,3                    ,                   ,                       ,                             ,                      ,                    ,                          ,                     ,                          ,                            ,                          ,                   ,many fragments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
