Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassionema nitzschioides,Rossiella paleacea,Crucidenticula nicobarica,Coscinodiscus lewisianus,Cestodiscus pulchellus var. maculatus,Cestodiscus pulchellus,Cestodiscus peplum,Cavitatus jouseanus,Annellus californicus,Coscinodiscus marginatus,Thalassiosira tappanae,Odontella aurita,Craspedodiscus coscinodiscus,Asterolampra acutiloba,Actinoptychus senarius,Asteromphalus elegans,Triceratium pileus,Azpeitia nodulifera,Actinocyclus moronensis,Thalassiosira oestrupii,Denticulopsis hustedtii,Actinocyclus ellipticus var. javanica,Coscinodiscus lewisianus var. similis,Actinocyclus ellipticus f. lanceolata,Thalassiosira plicata,Thalassiosira yabei,Coscinodiscus gigas var. diorama,Coscinodiscus temperei var. delicata,Hemidiscus cuneiformis,Nitzschia miocenica,Nitzschia reinholdii,Nitzschia marina,Rhizosolenia praebergonii var. robusta,Actinocyclus ellipticus,Nitzschia fossilis,Pseudoeunotia doliolus,Actinoptychus minutus,Rhizosolenia praebergonii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,P. doliolus   ,,170,1039,B,  5,H,CC,  21.00,     40.3800,White    ,Diatoms                                      ,A              ,G                 ,                         ,                           ,                  ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,                      ,R                     ,                     ,                  ,F                  ,                       ,C                      ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,C               ,                                      ,                       ,                  ,C                     ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,P. doliolus   ,,170,1039,B,  6,H,CC,  21.00,     49.7800,White    ,Diatoms                                      ,A              ,G                 ,                         ,C                          ,                  ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,                      ,                      ,                     ,                  ,R                  ,                       ,C                      ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,R                     ,                   ,R                   ,F               ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,P. doliolus   ,,170,1039,B,  7,H,CC,  40.00,     59.4800,White    ,Diatoms                                      ,A              ,M                 ,                         ,C                          ,                  ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,R                     ,                      ,R                    ,rR                ,F                  ,                       ,F                      ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,F               ,rR                                    ,                       ,R                 ,F                     ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,P. doliolus   ,,170,1039,B,  8,H,CC,  19.00,     68.8800,White    ,Diatoms                                      ,F              ,M                 ,                         ,                           ,                  ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,                      ,                      ,R                    ,                  ,F                  ,                       ,F                      ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,R               ,                                      ,                       ,R                 ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Late Pliocene    ,                  ,N. reinholdii ,,170,1039,B,  9,H,CC,  20.00,     78.3700,White    ,Diatoms                                      ,C              ,M                 ,                         ,F                          ,                  ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,                      ,R                     ,                     ,rR                ,F                  ,                       ,F                      ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,R                   ,R               ,rR                                    ,                       ,R                 ,R                     ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Late Pliocene    ,                  ,N. reinholdii ,,170,1039,B, 10,H,CC,  46.00,     87.9800,White    ,Diatoms                                      ,F              ,P                 ,F                        ,F                          ,                  ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,                      ,                      ,                     ,                  ,F                  ,                       ,F                      ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,R                     ,                   ,R                   ,R               ,                                      ,                       ,R                 ,R                     ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Late Pliocene    ,                  ,N. reinholdii ,,170,1039,B, 12,X,CC,  29.00,    106.7100,White    ,Diatoms                                      ,R              ,P                 ,R                        ,R                          ,                  ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N.marina      ,,170,1039,B, 13,X,CC,  19.00,    113.0900,White    ,Diatoms                                      ,F              ,M                 ,R                        ,                           ,                  ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,R                     ,F                     ,R                    ,                  ,F                  ,                       ,F                      ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,F                     ,                   ,R                   ,T               ,R                                     ,                       ,F                 ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N.marina      ,,170,1039,B, 14,X,CC,  19.00,    122.7000,White    ,Diatoms                                      ,F              ,P                 ,                         ,                           ,                  ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,R                   ,T               ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Early Pliocene   ,                  ,N. jouseae    ,,170,1039,B, 17,X,CC,  21.00,    151.1900,White    ,Diatoms                                      ,C              ,M                 ,                         ,                           ,                  ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,                      ,                      ,                     ,rR                ,F                  ,rR                     ,                       ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,F                   ,R               ,R                                     ,rR                     ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Early Pliocene   ,                  ,T. convexa    ,,170,1039,B, 18,X,CC,  19.00,    160.9700,White    ,Diatoms                                      ,A              ,M                 ,A                        ,A                          ,                  ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,R                       ,                      ,                ,                            ,                      ,R                     ,                     ,rR                ,R                  ,                       ,R                      ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,R                     ,R                  ,R                   ,R               ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,N. porteri    ,,170,1039,B, 19,X,CC,  32.00,    170.7300,White    ,Diatoms                                      ,A              ,M                 ,C                        ,C                          ,R                 ,                         ,rR                      ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,R                  ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,T. yabei      ,,170,1039,B, 20,X,CC,  29.00,    180.3600,White    ,Diatoms                                      ,A              ,G                 ,C                        ,C                          ,                  ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,                      ,R                     ,                     ,                  ,                   ,                       ,                       ,F                      ,                                     ,                                     ,                                     ,                     ,F                  ,                                ,                                    ,R                     ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. coscinodiscus,,170,1039,B, 21,X,CC,  26.00,    189.8700,White    ,Diatoms                                      ,A              ,G                 ,A                        ,                           ,F                 ,                         ,F                       ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,R                           ,                      ,                      ,R                    ,rR                ,                   ,                       ,                       ,F                      ,                                     ,                                     ,                                     ,                     ,F                  ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. giga var diorama,170,1039,B, 22,X,CC,  20.00,    198.6500,White    ,Diatoms                                      ,A              ,G                 ,C                        ,C                          ,F                 ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,F                      ,R                                    ,                                     ,                                     ,                     ,F                  ,                                ,R                                   ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C.lewisianus  ,,170,1039,B, 23,X,CC,  26.00,    208.7600,White    ,Diatoms                                      ,A              ,G                 ,A                        ,C                          ,F                 ,                         ,F                       ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,C                           ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,C                      ,                                     ,                                     ,                                     ,                     ,F                  ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C.lewisianus  ,,170,1039,B, 24,X,CC,  33.00,    218.4300,White    ,Diatoms                                      ,A              ,G                 ,A                        ,C                          ,F                 ,                         ,F                       ,                                     ,                      ,                  ,F                  ,                     ,                        ,                      ,                ,                            ,                      ,                      ,                     ,                  ,                   ,F                      ,                       ,C                      ,                                     ,F                                    ,                                     ,                     ,R                  ,R                               ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C.lewisianus  ,,170,1039,B, 25,X,CC,  23.00,    228.2700,White    ,Diatoms                                      ,A              ,M                 ,A                        ,C                          ,F                 ,F                        ,F                       ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,F                           ,                      ,                      ,                     ,                  ,R                  ,                       ,                       ,C                      ,                                     ,                                     ,                                     ,F                    ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C.lewisianus  ,,170,1039,B, 26,X,CC,  20.00,    238.0000,White    ,Diatoms                                      ,A              ,M                 ,C                        ,C                          ,                  ,C                        ,F                       ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,F               ,F                           ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,F                      ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C.lewisianus  ,,170,1039,B, 27,X,CC,  25.00,    247.5600,White    ,Diatoms                                      ,A              ,M                 ,C                        ,C                          ,R                 ,A                        ,                        ,                                     ,R                     ,                  ,                   ,                     ,                        ,                      ,                ,F                           ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,F                      ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C.lewisianus  ,,170,1039,B, 28,X,CC,  27.00,    257.2700,White    ,Diatoms                                      ,A              ,G                 ,A                        ,C                          ,R                 ,R                        ,F                       ,                                     ,                      ,                  ,R                  ,                     ,                        ,C                     ,F               ,R                           ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,C                      ,                                     ,F                                    ,R                                    ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C.lewisianus  ,,170,1039,B, 29,X,CC,  25.00,    266.8400,White    ,Diatoms                                      ,A              ,M                 ,A                        ,C                          ,                  ,C                        ,C                       ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,C                      ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. peplum B   ,,170,1039,B, 30,X,CC,  26.00,    274.1500,White    ,Diatoms                                      ,A              ,G                 ,A                        ,C                          ,                  ,C                        ,C                       ,                                     ,F                     ,R                 ,                   ,                     ,                        ,F                     ,R               ,F                           ,                      ,                      ,                     ,                  ,                   ,                       ,F                      ,C                      ,R                                    ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. peplum B   ,,170,1039,B, 31,X,CC,  20.00,    286.2500,White    ,Diatoms                                      ,A              ,M                 ,C                        ,                           ,                  ,C                        ,F                       ,                                     ,F                     ,R                 ,                   ,                     ,F                       ,F                     ,F               ,                            ,R                     ,                      ,                     ,rR                ,F                  ,R                      ,                       ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. peplum B   ,,170,1039,B, 32,X,CC,  30.00,    296.1400,White    ,Diatoms                                      ,A              ,M                 ,A                        ,F                          ,F                 ,C                        ,F                       ,                                     ,C                     ,R                 ,F                  ,                     ,F                       ,                      ,F               ,F                           ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. peplum B   ,,170,1039,B, 33,X,CC,  23.00,    305.6700,White    ,Diatoms                                      ,A              ,M                 ,C                        ,F                          ,F                 ,F                        ,                        ,                                     ,                      ,F                 ,                   ,                     ,C                       ,F                     ,C               ,F                           ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. peplum B   ,,170,1039,B, 34,X,CC,  30.00,    315.3600,White    ,Diatoms                                      ,A              ,G                 ,A                        ,C                          ,R                 ,F                        ,R                       ,                                     ,F                     ,R                 ,F                  ,                     ,C                       ,                      ,F               ,F                           ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. peplum B   ,,170,1039,B, 35,X,CC,  37.00,    324.8600,White    ,Diatoms                                      ,A              ,M                 ,C                        ,F                          ,R                 ,F                        ,                        ,                                     ,F                     ,R                 ,F                  ,                     ,F                       ,                      ,F               ,R                           ,                      ,                      ,R                    ,                  ,                   ,                       ,                       ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. peplum B   ,,170,1039,B, 36,X,CC,  41.00,    334.6200,White    ,Diatoms                                      ,A              ,M                 ,C                        ,F                          ,R                 ,F                        ,                        ,                                     ,F                     ,F                 ,F                  ,                     ,F                       ,                      ,                ,                            ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. peplum B   ,,170,1039,B, 37,X,CC,  35.00,    344.2300,White    ,Diatoms                                      ,A              ,G                 ,A                        ,F                          ,C                 ,                         ,C                       ,                                     ,F                     ,R                 ,C                  ,                     ,F                       ,                      ,C               ,                            ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. peplum B   ,,170,1039,B, 38,X,CC,  40.00,    353.8500,White    ,Diatoms                                      ,A              ,M                 ,C                        ,F                          ,F                 ,R                        ,F                       ,                                     ,C                     ,                  ,F                  ,                     ,F                       ,R                     ,C               ,R                           ,R                     ,R                     ,                     ,                  ,                   ,                       ,                       ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. peplum B   ,,170,1039,B, 39,X,CC,  30.00,    363.3200,White    ,Diatoms                                      ,A              ,M                 ,C                        ,F                          ,                  ,C                        ,                        ,                                     ,A                     ,R                 ,F                  ,                     ,F                       ,                      ,                ,                            ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. peplum A   ,,170,1039,B, 40,X,CC,  26.00,    372.8900,White    ,Diatoms                                      ,A              ,M                 ,A                        ,C                          ,F                 ,R                        ,F                       ,C                                    ,C                     ,R                 ,C                  ,R                    ,                        ,                      ,                ,                            ,                      ,                      ,                     ,                  ,                   ,                       ,                       ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,                ,                                      ,                       ,                  ,                      ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
